[00:00:22.116 --> 00:00:23.356]  Welcome, ladies and gentlemen.
[00:00:23.396 --> 00:00:24.877]  It's Thursday, January 12, 2012.
[00:00:25.177 --> 00:00:35.660]  I'm Aaron Dykes, and we are again going to battle for reality against those who would universally deceive, just as in the George Orwell quote.
[00:00:35.940 --> 00:00:38.961]  Now, we have some big Hollywood stars in tonight's broadcast.
[00:00:39.001 --> 00:00:41.762]  Don't want to give the names away, but Brad Gelina.
[00:00:42.342 --> 00:00:42.943]  Is coming up.
[00:00:43.043 --> 00:00:48.247]  So is Paul Joseph Watson, editor of PrisonPlan.com, with his analysis on Iran.
[00:00:48.547 --> 00:00:51.069]  But first, we have plenty of news.
[00:00:52.010 --> 00:00:59.295]  Now, Homeland Security is admittedly monitoring the Drudge Report, the New York Times, social media, and plenty more.
[00:00:59.736 --> 00:01:05.880]  And no, it's not because some jihadist is twittering, OBL would have been proud of me for my upcoming attack.
[00:01:06.201 --> 00:01:11.865]  This is a war on us, as we all know, and Homeland Security is nothing more than a Stasi network.
[00:01:12.365 --> 00:01:19.753]  But of course we already knew that Homeland Security was spying on the Drudge Report, as well as InfoWars and plenty of other places.
[00:01:19.793 --> 00:01:21.655]  That came out in December of 2010.
[00:01:23.417 --> 00:01:29.724]  People like Congressman Bob Barr vowed to investigate it and were plenty mad about the infringement of civil rights.
[00:01:30.125 --> 00:01:31.366]  Something to keep an eye on.
[00:01:32.427 --> 00:01:34.328]  Meanwhile, cashless society.
[00:01:34.788 --> 00:01:41.890]  India implements the first biometric ID program for all of its 1.2 billion residents.
[00:01:42.290 --> 00:01:47.352]  Not only is this a gigantic feat, it's a very scary big brother move.
[00:01:47.692 --> 00:01:53.974]  Recently, India has launched a nationwide program involving the allocation of a unique identification number, UID,
[00:01:54.754 --> 00:02:07.318]  To every one of its 1.2 billion residents, many of whom live in far-reaching rural areas, each of the numbers will be tied to biometric data of the recipient using three different forms of information.
[00:02:07.738 --> 00:02:15.601]  Fingerprints, iris scans, and a picture of the face in all ten digits of the hand will be recorded, as well as both eyes.
[00:02:17.583 --> 00:02:27.097]  And Aaron Sainz of the Singularity Hub is quoted in here saying he wouldn't be surprised if it went on to be part of a cashless payment system.
[00:02:27.538 --> 00:02:32.766]  In fact, writes Brandon Turboville, the author of this article, this is exactly the intention
[00:02:33.126 --> 00:02:40.509]  With India's new biometric ID program, in fact, the Cashless Society is the stated goal of the UID program.
[00:02:40.889 --> 00:02:50.112]  CEO of MindTrees IT Services, the company awarded with the government contract for development and maintenance of the UID explained in an interview with
[00:02:50.512 --> 00:02:55.476]  Computer Weekly that the ID scheme will support a cashless society.
[00:02:55.796 --> 00:03:02.782]  Said all vendors will have a biometric reader and citizens could pay for things with a fingerprint scan, even a bag of rice.
