[00:00:36.440 --> 00:00:41.887]  It's September 20, 2012.
[00:00:42.468 --> 00:00:44.110]  I'm Paul Joseph Watson.
[00:00:44.270 --> 00:00:48.016]  This is Infowars Nightly News and here's a look at what's coming up on the show.
[00:00:52.506 --> 00:00:59.430]  Tonight, on the InfoWars Nightly News, DHS enlists citizen spies to snitch with smartphones.
[00:01:00.090 --> 00:01:05.493]  Then, Eric Holder plays crossing guard as Fast and Furious runs over the Fall Guy.
[00:01:05.974 --> 00:01:08.975]  Plus, GMO creates mutant mice in France.
[00:01:09.796 --> 00:01:14.679]  All that and secrets of Dread Leaked, coming up on the InfoWars Nightly News.
[00:01:25.236 --> 00:01:30.261]  Top story tonight, DHS enlists citizen spies via new smartphone app.
[00:01:30.341 --> 00:01:31.723]  This is InfoWars.com.
[00:01:32.103 --> 00:01:47.219]  Homeland Security officials in Delaware are hoping to enlist citizens as spies for the state by encouraging them to use a new app which allows smartphone users to attach pictures of suspicious vehicles or persons and send them directly to the federal government.
[00:01:47.759 --> 00:02:01.223]  The Delaware Information and Analysis Center, DIAC, now offers a mobile app to report suspicious activities in real time by attaching a photo, sending location information, or entering details about suspicious vehicles or persons.
[00:02:01.623 --> 00:02:09.385]  In addition, users can choose to make their report anonymously, or can include contact information for follow-up by law enforcement.
[00:02:09.485 --> 00:02:11.526]  This is out of dailyfinance.com.
[00:02:12.526 --> 00:02:35.295]  So I find it quite ironic that authorities across the United States are simultaneously claiming that taking photographs in public is a potential indication of terrorism, meanwhile trying to recruit, trying to encourage the citizens to do exactly that in the name of reporting terrorism as part of this suspicious activity snitch program.
[00:02:35.935 --> 00:02:39.997]  And the comments actually on this Infowars.com article are really worth the read because
[00:02:40.737 --> 00:02:50.505]  The people there are actually advocating that we get involved in this and we take pictures of things like the White House or a Monsanto processing facility.
[00:02:50.905 --> 00:02:56.569]  Because, you know, the government wants us to report to them the terrorists, so let's go ahead and report the terrorists.
[00:02:57.330 --> 00:03:21.813]  But we've got all this information being collated in these so-called fusion centers, which of course are littered across the country, which the FBI has basically given carte blanche to do what they like with whatever information they collect, because according to a 2008 FBI memorandum, Congress cannot investigate these federal fusion centers without the FBI's permission.
[00:03:22.870 --> 00:03:38.550]  And in addition, the employees of those fusion centers who may use the information to harass, you know, surveil innocent people for completely asinine reasons, they're also immune from taking responsibility for their actions under the same FBI memorandum.
[00:03:39.977 --> 00:03:47.239]  That's the fact that the state enlisting citizens to spy on each other is a hallmark of an authoritarian society.
[00:03:47.740 --> 00:04:00.124]  And while it's all done in the name of safety and security, history of course tells us that it does nothing to increase safety and it only breeds distrust and resentment amongst the population.
[00:04:00.684 --> 00:04:06.226]  And in fact in this article I link to the study done by Robert Galately of Florida State University
