[00:00:21.636 --> 00:00:22.457]  Welcome, my friends.
[00:00:22.517 --> 00:00:24.318]  It is Tuesday, January 17, 2012.
[00:00:24.878 --> 00:00:39.228]  Thank you for joining us for another edition of InfoWars Nightly News, made possible by patriots that don't want to live as slaves in a New World Order plantation like you.
[00:00:40.348 --> 00:00:49.674]  We've got an interview coming up with Kurt Linderman Sr., an investigative journalist, dealing with the scourge of police and
[00:00:50.735 --> 00:00:57.598]  Paramilitary goons harassing and even arresting people that do not vaccinate their children.
[00:00:57.878 --> 00:01:00.959]  Doesn't matter if it's not a law, we have a lawless government.
[00:01:00.979 --> 00:01:05.921]  So we're going to be breaking that down with him in the interview segment tonight.
[00:01:06.241 --> 00:01:12.483]  When we break down autism, vaccine dangers, you name it, that's all coming up.
[00:01:12.943 --> 00:01:16.725]  An extremely powerful interview this evening.
[00:01:18.311 --> 00:01:22.194]  In the meantime, let's go ahead and jump right into the news.
[00:01:23.074 --> 00:01:30.179]  Mitt Romney has come out and said that he would sign the National Defense Authorization Act.
[00:01:30.979 --> 00:01:38.684]  And, in fact, we have him saying that last night during the debate, and we have Ron Paul's response to that.
[00:01:40.165 --> 00:01:44.028]  Governor Romney, as president, would you have signed the National Defense Act as written?
[00:01:44.488 --> 00:01:46.930]  Yes, I would have, and I do believe that it's appropriate.
[00:01:50.305 --> 00:01:57.691]  To have in our nation the capacity to detain people who are threats to this country, who are members of Al Qaeda.
[00:01:57.711 --> 00:02:00.052]  I know that if I were president, I would not abuse this power.
[00:02:00.493 --> 00:02:06.898]  And I can also tell you that in my view, you have to choose people who you believe have sufficient character not to abuse the power of the presidency.
[00:02:09.560 --> 00:02:13.962]  Well, you don't give the president powers that he could abuse.
[00:02:14.463 --> 00:02:16.084]  It's called the Constitution and Bill of Rights.
[00:02:16.764 --> 00:02:18.765]  This is the new doublespeak we're hearing from Obama.
[00:02:19.045 --> 00:02:24.289]  I'm signing this bill to secretly arrest you and have you disappear into a black hole, but I'm not going to implement it.
[00:02:24.809 --> 00:02:26.190]  Well, then why do you want that power?
[00:02:27.403 --> 00:02:38.464]  And of course Ron Paul responded, but what's so just frightening and creepy about all this is he's talking about detaining people like they don't have the power to detain terror suspects now.
[00:02:40.134 --> 00:02:45.216]  No, it's indefinitely detained, without a trial, and no one even knows where you went.
[00:02:45.536 --> 00:02:46.396]  Where'd Alex go?
[00:02:46.656 --> 00:02:47.536]  Where'd Darren go?
[00:02:47.796 --> 00:02:48.737]  Where'd Marcos go?
[00:02:49.277 --> 00:02:51.137]  Where did Rob go?
[00:02:51.558 --> 00:02:52.478]  Where'd Wesley go?
[00:02:53.038 --> 00:02:57.059]  Oh, well, they all disappeared into a black hole.
[00:02:57.359 --> 00:02:58.460]  No one knows where you went.
[00:02:59.040 --> 00:03:05.002]  And here's Ron Paul, the kook, the extremist, saying, hey, let's follow America's jurisprudence.
[00:03:05.822 --> 00:03:07.383]  This is what makes America, America.
[00:03:07.403 --> 00:03:11.604]  And they're all like, he doesn't want us to be able to secretly arrest whoever we want.
[00:03:12.184 --> 00:03:14.905]  My God, this is insane.
[00:03:15.546 --> 00:03:18.387]  No, it's called America and you traitors don't like it.
[00:03:18.607 --> 00:03:19.107]  Here's the clip.
[00:03:19.127 --> 00:03:20.808]  Congressman Paul, different question.
[00:03:21.148 --> 00:03:25.929]  Your plan to... Why can't I answer you about that one?
[00:03:26.870 --> 00:03:29.111]  You were included in the question in the first place.
[00:03:29.131 --> 00:03:31.051]  Do you want 30 seconds to respond to this?
[00:03:31.131 --> 00:03:31.732]  I need a minute.
[00:03:34.541 --> 00:03:38.064]  No, I think we're going in the wrong direction for the protection of our liberties here at home.
[00:03:38.104 --> 00:03:39.264]  They're under deep threat.
[00:03:39.445 --> 00:03:40.625]  This is major.
[00:03:40.946 --> 00:03:54.014]  This says that the military can arrest an American citizen for under suspicion and he can be held indefinitely without habeas corpus and deny the lawyer indefinitely even in a prison here.
[00:03:54.315 --> 00:03:59.538]  So don't give up on our American judicial system so easily, I beg of you.
[00:04:02.523 --> 00:04:03.364]  Whoa!
[00:04:04.325 --> 00:04:05.345]  Whoa!
[00:04:05.606 --> 00:04:08.028]  I mean, follow the Bill of Rights and Constitution.
[00:04:08.048 --> 00:04:09.289]  That's what makes America, America.
[00:04:09.809 --> 00:04:13.392]  I apologize to viewers for airing that type of profanity and extremism.
[00:04:13.893 --> 00:04:15.554]  I'm starting to agree with the establishment.
