[00:00:21.118 --> 00:00:25.500]  Welcome to InfoWars Nightly News, this Monday, January 16th edition of 2012.
[00:00:25.780 --> 00:00:30.242]  This is Mike Adams, the Health Ranger, filling in for Alex Jones tonight.
[00:00:30.742 --> 00:00:43.628]  We have a lot of breaking news ahead for you here, and an interview with Ed Corcoran from Survivalist Magazine is going to be talking to us about global events and the Strait of Hormuz in Iran, possibility of war with Iran, and many other topics.
[00:00:43.668 --> 00:00:44.769]  But first, breaking news.
[00:00:45.409 --> 00:00:57.298]  On the GMO front, we have news right out of the state of Washington, where state Senator Marilyn Chase has introduced a bill that would require the labeling of genetically engineered foods sold in that state.
[00:00:58.078 --> 00:01:00.740]  She says, quote, people have the right to know what they're eating.
[00:01:01.080 --> 00:01:01.821]  Can you imagine that?
[00:01:02.401 --> 00:01:18.321]  Now this bill states that by July 2014 all genetically engineered raw foods must be clearly labeled with the words genetically engineered and processed foods must include a label that states that the product may contain genetically engineered ingredients and it must name those ingredients on the label.
[00:01:18.942 --> 00:01:30.712]  Now you may recall that there's already a ballot initiative measure underway in California that hopes to put a bill on the ballot that would require the mandatory labeling of genetically engineered ingredients in California.
[00:01:31.152 --> 00:01:34.455]  Combine that with Washington and then you only have Oregon left out of the scene.
[00:01:34.475 --> 00:01:43.002]  You could have the entire West Coast a new realm of mandatory GMO labeling that could set a precedent to spread to the rest of the states.
[00:01:44.488 --> 00:01:46.029]  Now moving on, more breaking news.
[00:01:46.109 --> 00:01:51.372]  Ron Paul receives a game-changing endorsement from a South Carolina senator.
[00:01:51.412 --> 00:01:52.593]  This is a big deal.
[00:01:53.153 --> 00:01:54.834]  The state, I'm sorry, the U.S.
[00:01:54.934 --> 00:02:03.679]  Senator, I'm sorry, State Senator Tom Davis from South Carolina is considered a heavyweight, a very influential individual in that state.
[00:02:04.280 --> 00:02:06.221]  And he says there's, this is his quote,
[00:02:06.721 --> 00:02:12.866]  There's only one person, only one person speaking to what I believe is the core problem of our country today.
[00:02:13.346 --> 00:02:15.968]  The biggest threat to our liberty comes from debt.
[00:02:16.708 --> 00:02:23.173]  There is only one candidate that is talking about this problem to the degree, at the scale, and with the scope that it needs to be talked about.
[00:02:23.674 --> 00:02:26.135]  You can't nibble around the edges anymore.
[00:02:26.296 --> 00:02:30.439]  And we now have a short video clip of State Senator Tom Davis explaining more.
[00:02:31.127 --> 00:02:36.811]  We need drastic, radical return to the principles this country was founded upon.
[00:02:36.851 --> 00:02:48.960]  And if you look at Dr. Paul, and if you look at the lonely battle that he's fought up there in Washington, D.C., and if you look at the courage that he has shown, and if you look at the withstanding of the pressure that I know he's under, because I feel it in Columbia.
[00:02:48.980 --> 00:02:52.003]  I feel it in Columbia all the time.
[00:02:52.483 --> 00:02:54.106]  We're good to go.
[00:03:27.225 --> 00:03:43.694]  And talking about the Federal Reserve, and talking about quantitative easing, and talking about monetary policy, and talking about how it values our dollar, and talking about that's key to the public and our economy, he has brought to the forefront ideas that five or six years ago, people had no idea what you were talking about.
[00:03:43.754 --> 00:03:47.016]  Now, everybody in this field talking about it.
[00:03:47.056 --> 00:03:48.717]  We have Dr. Ron Cawthon.
[00:03:54.545 --> 00:04:02.832]  Alright, well the audio wasn't great on that, but the important point is that Tom Davis has officially and publicly endorsed Ron Paul for president.
[00:04:02.872 --> 00:04:03.973]  That's a very powerful endorsement.
[00:04:04.414 --> 00:04:10.419]  We now have a short video clip from Jesse Benton who's talking about how Ron Paul is now surging in the polls.
[00:04:10.899 --> 00:04:12.300]  We're surging in South Carolina.
[00:04:12.620 --> 00:04:16.423]  We've got the resources, we've got the grassroots, and most importantly, we've got the winning message.
[00:04:16.963 --> 00:04:28.831]  People in South Carolina are looking for a candidate that will really cut the spending, be serious about this debt that we've got exploding, and really, really go to the White House to cut the spending and get this government under control.
[00:04:29.132 --> 00:04:32.074]  They know Dr. Paul's got the credibility, and Dr. Paul will do what he says.
[00:04:32.494 --> 00:04:33.895]  We're surging in South Carolina.
[00:04:34.395 --> 00:04:41.578]  Good news is that over 1.3 million dollars has already been raised in South Carolina for Ron Paul's election.
[00:04:42.178 --> 00:04:44.819]  A lot more of that coming, no doubt, with future money bombs.
[00:04:45.319 --> 00:04:53.062]  Now moving on to additional news that still involves Ron Paul, however, look at the outrageous, overreaching, tyrannical
[00:04:54.691 --> 00:04:55.652]  Actions of the EPA.
[00:04:55.693 --> 00:04:57.956]  I mean, this is an agency that's completely out of control.
[00:04:58.476 --> 00:04:58.757]  The U.S.
[00:04:58.777 --> 00:05:04.564]  Supreme Court has now heard the opening arguments of a case known as Sackett versus the EPA.
[00:05:05.305 --> 00:05:08.870]  And Ron Paul calls it an outrageous overreach of the EPA.
[00:05:09.651 --> 00:05:11.472]  And in his address, he talked about it.
[00:05:11.513 --> 00:05:23.121]  He says, unless Congress acts, EPA bureaucrats will continue to inflict potentially devastating economic consequences on communities like Matagorda County and people like the Sacketts.
[00:05:23.562 --> 00:05:26.144]  Destroying the economy is no way to save the environment.
[00:05:26.784 --> 00:05:33.629]  A thriving economy and a fair judicial system that respects property rights and the Constitution provides the best protection of the environment.
