[00:00:40.170 --> 00:00:42.513]  Good evening and welcome to the InfoWars Nightly News.
[00:00:42.913 --> 00:00:49.700]  I'm your host Rob Dew, and today's date is September 21st, 2012, which is a Friday.
[00:00:50.541 --> 00:00:52.523]  And we're about to have an amazing show.
[00:00:52.543 --> 00:00:53.324]  Strap yourselves in.
[00:00:58.294 --> 00:01:01.775]  Tonight, two very special InfoWars Nightly News reports.
[00:01:02.275 --> 00:01:08.656]  Up first, Rob Dew goes in-depth on how the environmentalist death cult is brainwashing your kids into hating themselves.
[00:01:09.216 --> 00:01:16.058]  Then, as Agenda 21 slams into Texas, greedy developers set to pad their pockets plundering an Austin treasure.
[00:01:16.258 --> 00:01:21.639]  Plus, a mother and daughter exercise their Second Amendment rights by using a pink gun to fight crime.
[00:01:21.979 --> 00:01:25.120]  All that and more up next on the InfoWars Nightly News.
[00:01:35.247 --> 00:01:37.068]  So we've got two big special reports.
[00:01:37.228 --> 00:01:40.650]  One of them, Alex, literally sprung on me just a couple hours ago.
[00:01:41.110 --> 00:01:49.895]  We've got an amazing interview with a Libertarian running for Congress in Texas, taking over Lloyd Doggett's spot, hopefully.
[00:01:50.536 --> 00:01:53.477]  And Jakari Jackson's got some interesting Second Amendment news.
[00:01:53.537 --> 00:01:54.098]  But first...
[00:01:54.838 --> 00:01:56.079]  We move to the dung beetle.
[00:01:56.180 --> 00:02:03.507]  Janet Napolitano, executive order on cyber security is close to completion and this is out of the Hill newspaper.
[00:02:03.907 --> 00:02:11.535]  Homeland Security Secretary Janet Napolitano on Wednesday said the cyber security executive order that the White House is drafting is close to completion.
[00:02:12.216 --> 00:02:18.924]  Well, you guys remember how Barack Obama said several times, we're going to try to figure out how to do things without Congress' help.
[00:02:19.264 --> 00:02:20.746]  If they don't want to do it, I'm going to do it.
[00:02:20.766 --> 00:02:26.753]  In fact, I think it was last night on Dan Badandi's piece on security of slavery that he put that in there.
[00:02:27.453 --> 00:02:28.875]  Or was it Jokari's?
[00:02:28.915 --> 00:02:30.476]  I think it was Jokari's Judge Dreadpiece.
[00:02:30.516 --> 00:02:30.997]  That's what it was.
[00:02:31.257 --> 00:02:32.919]  We've got so many special reports coming out.
[00:02:32.939 --> 00:02:34.681]  We've got so many great reporters working out.
[00:02:34.761 --> 00:02:36.022]  I can hardly keep track of it.
[00:02:36.482 --> 00:02:38.104]  And that's why I've hardly been doing the news.
[00:02:38.124 --> 00:02:41.828]  I've been trying to get these people in front of the camera, getting them looking good and making it happen.
[00:02:42.268 --> 00:02:44.490]  So moving on with this piece of trash here.
[00:02:45.211 --> 00:02:52.997]  At the Senate Homeland Security and Government Affairs Committee hearing, Napolitano said, the executive order is still being drafted in the interagency process.
[00:02:53.017 --> 00:02:55.540]  That means they're figuring out how to really screw everybody out there.
[00:02:55.960 --> 00:03:00.083]  And it's close to completion, depending on a few issues that need to be resolved at the highest levels.
[00:03:00.203 --> 00:03:10.772]  Yeah, what the highest levels are, that's what corporations will be able to contact the Department of Homeland Security and say, this person's posting something bad and I think it's bad and go after them and shut their website down.
[00:03:11.152 --> 00:03:12.253]  And they've already started doing it.
[00:03:12.273 --> 00:03:16.515]  They've already been shutting down websites claiming copyright infringement and they're just going to keep on doing it.
[00:03:16.936 --> 00:03:23.860]  And the web is supposed to be a place where information is free and transferred and we all get to use it for the betterment of society.
[00:03:24.180 --> 00:03:26.241]  I mean, what else is it there for?
[00:03:26.682 --> 00:03:35.087]  Oh, maybe it's there for Google and Facebook to spy on you and sell your information to large corporations so they can just continue the process of siphoning the money out of your pocket.
[00:03:36.647 --> 00:03:38.087]  One more quote here in this article.
[00:03:38.647 --> 00:03:42.888]  The White House began to explore an executive order last month after Senate Republicans blocked it.
[00:03:44.309 --> 00:03:45.849]  That was a Joe Lieberman article.
[00:03:45.909 --> 00:03:51.710]  Basically they were going to go after, or Joe Lieberman bill, they were basically going to go after anybody who was posting anything, which I said before.
[00:03:52.350 --> 00:03:59.772]  Napolitano again urged Congress to enact comprehensive cybersecurity legislation, arguing the White House cannot completely address the threat on its own.
[00:04:00.872 --> 00:04:09.364]  And an order from the President's office can't offer liability protections to companies which protect them from legal action if they're hit by a cyber attack.
[00:04:10.005 --> 00:04:10.886]  And what does all this mean?
[00:04:10.906 --> 00:04:14.090]  Well, we know if the government's getting into it, it's going to be bad.
[00:04:14.711 --> 00:04:15.953]  We're not looking forward to it.
[00:04:17.970 --> 00:04:23.813]  Moving on, we now got a real creepy story and this is out of Fox 31 in Denver, Colorado.
[00:04:24.294 --> 00:04:28.696]  Stand up for kids founder arrested for sexual assault on child.
[00:04:29.157 --> 00:04:38.642]  So once again we have one of the heads of these charities and do-gooder organizations for children has been found to be a pedophile, essentially.
[00:04:39.363 --> 00:04:41.504]  Or at least is an alleged pedophile at this point.
[00:04:41.524 --> 00:04:43.665]  He's been arrested for sexual assault.
[00:04:43.685 --> 00:04:46.107]  So we're going to say he's an alleged pedophile at this point.
[00:04:46.127 --> 00:04:46.527]  I don't want to
[00:04:47.659 --> 00:04:51.642]  I don't want to point any fingers, but he's looking pretty smug in that photo.
[00:04:51.922 --> 00:04:59.006]  And it's always interesting how it's always the heads of these organizations that are supposed to care for the children that we find they prey on the children.
[00:04:59.306 --> 00:05:00.687]  Just look at Jerry Sandusky.
[00:05:00.727 --> 00:05:03.209]  We covered that one earlier in the week.
[00:05:05.658 --> 00:05:12.002]  Basically, he was a founder of a non-profit group that worked with homeless children in 37 cities over two decades.
[00:05:12.342 --> 00:05:23.829]  It's the homeless children without parents to talk to, or without people to run to, those kids that are not protected, that always end up being the victims and stuff like this, because they're preyed upon by predators.
[00:05:24.370 --> 00:05:27.812]  People like this are predators, and they look for easy prey.
[00:05:28.695 --> 00:05:29.936]  That's why they go after these kids.
[00:05:31.057 --> 00:05:40.764]  The police department confirmed that Tuesday, Richard Coca Sr., who founded Stand Up For Kids in 1990, was taken into custody on September 15th after an investigation that began on August 29th.
[00:05:41.245 --> 00:05:49.832]  Authorities said over that period of time they built a case that alleges Coca was committing felony sexual assault on a child he was supervising in Aurora.
[00:05:50.814 --> 00:05:52.475]  And of course it's a position of trust.
[00:05:52.635 --> 00:05:53.816]  And they did give him a high bond, $250,000.
[00:05:54.056 --> 00:05:58.039]  He's not going to get out of there soon.
[00:05:58.679 --> 00:06:00.120]  And it's just totally disgusting.
[00:06:00.140 --> 00:06:05.964]  And we're going to have more on how the elites and these people in power positions prey on your children.
[00:06:06.384 --> 00:06:12.949]  But this time it's more so that they feel so bad that they want to end up committing suicide or getting to that thing that they're bad for the earth.
[00:06:12.969 --> 00:06:14.690]  And we're going to go into that a little bit later.
[00:06:14.710 --> 00:06:16.431]  Moving on to some science news.
[00:06:16.751 --> 00:06:20.514]  Warp Drive may be more realistic than thought.
[00:06:21.495 --> 00:06:24.418]  And basically scientists have worked it out.
[00:06:24.478 --> 00:06:31.126]  A ring-shaped warp drive device could transport a football-shaped starship to effective speeds faster than light.
[00:06:31.146 --> 00:06:32.868]  And this is out of Wired Magazine.
[00:06:33.389 --> 00:06:36.572]  So NASA scientists now think that they can make warp drive happen.
[00:06:37.333 --> 00:06:49.236]  A warp drive would work by warping the space-time around any space-ship, which physicist Miguel Acuber showed was theoretically possible in 1994, albeit way beyond the current technical capabilities of humanity.
[00:06:49.836 --> 00:06:59.598]  However, such abucare drive was assumed to require more energy equivalent to the mass-energy of the whole planet of Jupiter that could ever possibly be supplied, rendering impossible to build.
[00:07:00.738 --> 00:07:07.344]  You need the amount of energy equipped, or the same size as the mass of Jupiter in order to attain warp drive.
[00:07:07.704 --> 00:07:09.486]  Maybe someday we will get there.
[00:07:09.946 --> 00:07:18.454]  We won't get there if, well, if all the bees die, because I think it was Albert Einstein said, once the bees go away, we're not too far behind.
[00:07:19.254 --> 00:07:20.315]  And now we know.
[00:07:20.395 --> 00:07:22.497]  Mystery of the disappearing bees solved.
[00:07:23.098 --> 00:07:24.859]  And it's like what we said all along.
[00:07:25.791 --> 00:07:27.173]  Most likely something man-made.
[00:07:27.193 --> 00:07:31.939]  We were speculating either it was going to be the cell phone towers or pesticides.
[00:07:31.959 --> 00:07:34.943]  Well, it turns out it looks like pesticides is the problem.
