[00:00:21.280 --> 00:00:22.221]  Hello again, everyone.
[00:00:22.281 --> 00:00:24.743]  Welcome to the InfoWars Nightly News.
[00:00:24.863 --> 00:00:27.985]  I'm Darren McBreen, sitting in tonight for Alex Jones.
[00:00:28.426 --> 00:00:35.271]  It is Friday, February 24, 2012, and here's a quick look at what we have lined up for you this evening.
[00:00:39.594 --> 00:00:43.637]  In my opinion, it's the most clear evidence of a false flag event by the U.S.
[00:00:43.697 --> 00:00:44.158]  government.
[00:00:44.904 --> 00:00:45.965]  Delta Flight 253.
[00:00:46.485 --> 00:00:47.646]  The U.S.
[00:00:47.686 --> 00:00:52.729]  government allowed a known potential terrorist to board the plane without a passport.
[00:00:53.549 --> 00:01:10.059]  Tonight, the final segment of our four-part series of an exclusive InfoWars interview with Flight 253 passenger Kurt Haskell, who maintains that the underwear bomber was carrying a fake bomb and was the unwitting dupe in a case of government entrapment.
[00:01:11.039 --> 00:01:16.344]  Then, is global warming being exploited by governments as an excuse to play God?
[00:01:16.864 --> 00:01:25.652]  Rosalind Peterson of the Agriculture Defense Coalition joins us to talk about the UN's plan to regulate worldwide geoengineering of the planet.
[00:01:33.075 --> 00:01:36.656]  All that and more coming up during the next 30 minutes or so.
[00:01:36.816 --> 00:01:39.697]  But first, let's get right on to our top headlines.
[00:01:40.298 --> 00:01:44.799]  CIA-NATO front group drafts humanitarian aid for Syria.
[00:01:45.220 --> 00:01:54.643]  An effort to impose the same sort of humanitarian aid on Syria that ultimately killed around 30,000 people in Libya is now underway in Tunisia.
[00:01:55.043 --> 00:02:00.005]  CNN reports that world powers, more like corrupt states belonging to the Arab League and
[00:02:00.145 --> 00:02:00.686]  We're good to go.
[00:02:18.744 --> 00:02:25.127]  Working with the Free Syrian Army and the Syrian National Council to overthrow the Al-Assad regime.
[00:02:25.467 --> 00:02:29.548]  The Free Syrian Army is widely recognized as a creation of NATO.
[00:02:29.868 --> 00:02:37.251]  It is comprised largely of militants from the Muslim Brotherhood itself, an asset of British intelligence.
[00:02:37.771 --> 00:02:38.532]  So perhaps...
[00:02:39.252 --> 00:02:49.780]  President Obama is, you know, shooting for another Nobel Peace Prize as the CIA launches yet another covert operation and bombs yet another country.
[00:02:50.586 --> 00:02:55.789]  Evidence grows that 9-11 first responders got cancer at ground zero.
[00:02:56.170 --> 00:03:06.857]  The director of Mount Sinai Medical Center's World Trade Center Health Program is preparing to publish a study that will show elevated risk of cancer among 9-11 rescue workers.
[00:03:07.357 --> 00:03:13.901]  This is very sad because these are the same heroes that were barred from attending the 10th anniversary ceremony of the 9-11 attacks
[00:03:15.242 --> 00:03:20.691]  And those who enrolled in health care programs got screened through terrorism databases.
[00:03:21.392 --> 00:03:24.677]  Once again, literally adding insult to injury.
[00:03:26.180 --> 00:03:27.241]  Moving right along.
[00:03:28.393 --> 00:03:36.040]  And now concerns over martial law in America as the Patriot movement is now on the FBI's radar.
[00:03:36.521 --> 00:03:46.030]  A recent report by the LA Times characterizes the sovereign citizen movement as a major threat and they say it's on par with Islamic extremism.
[00:03:46.730 --> 00:03:53.735]  It actually states that more than 100,000 Americans are domestic terrorists as a result of their affiliation with the group.
[00:03:54.196 --> 00:03:59.360]  This is something that InfoWars, the InfoWars team, Alex Jones has warned you about for many years.
[00:03:59.820 --> 00:04:10.048]  If you are, let's say, a Tea Partier, a Constitutionalist, you value your Second Amendment, then according to the government you are a bigger threat than Al-Qaeda.
