[00:00:04.414 --> 00:00:04.875]  We're good to go.
[00:00:38.106 --> 00:00:39.968]  It's Thursday, June 28, 2012.
[00:00:40.889 --> 00:00:43.652]  A day that will live in infamy.
[00:00:44.092 --> 00:00:45.734]  A horrible day for our Republic.
[00:00:46.555 --> 00:00:49.698]  I'm Alex Jones and this is InfoWars Nightly News.
[00:00:53.089 --> 00:00:58.450]  Tonight, the Supreme Court betrays the Republic and upholds Obamacare.
[00:00:58.850 --> 00:01:07.032]  Then, the mainstream media blacks out shocking revelations of a possible false flag event during the London Olympics.
[00:01:07.432 --> 00:01:20.414]  Plus, Joe Gilbert, the writer and director of Dreams of My Real Father, talks with Alex Jones about the controversial book and documentary film exposing Obama's true origin and hidden past.
[00:01:20.854 --> 00:01:25.498]  Also, why we don't need vaccines with Dr. Joe Wallach.
[00:01:25.798 --> 00:01:29.021]  That's up next on the InfoWars Nightly News.
[00:01:41.411 --> 00:01:48.897]  When I was in the office this morning and we got the horrible news that the private Federal Reserve was instituting their tax
[00:01:50.370 --> 00:01:54.393]  via health care, and would have the IRS enforce this takeover.
[00:01:55.554 --> 00:01:59.437]  John Bowne, one of our producers and researchers, said, you watch.
[00:02:00.498 --> 00:02:05.783]  They are going to now sacrifice Holder, at least on the surface, as a distraction from this.
[00:02:06.743 --> 00:02:07.064]  Boom!
[00:02:07.104 --> 00:02:13.509]  They had the vote today to slap Holder on the wrist for the contempt of Congress.
[00:02:13.549 --> 00:02:15.591]  Now, I looked up the statutes.
[00:02:15.691 --> 00:02:17.753]  They refer it to the Attorney General.
[00:02:18.953 --> 00:02:21.694]  But you can't do that because he's the guy that's in contempt.
[00:02:22.115 --> 00:02:28.958]  Or they refer it to the attorney for the District of Columbia, who is also a globalist minion.
[00:02:28.998 --> 00:02:30.499]  And they can serve a year in jail.
[00:02:31.519 --> 00:02:33.700]  They've got fines as well.
[00:02:34.341 --> 00:02:39.143]  The statute hasn't been changed since the 1890s, or the 1790s, excuse me.
[00:02:39.664 --> 00:02:40.684]  So the biggest fine is only $1,000.
[00:02:42.785 --> 00:02:50.548]  So, there's not much punishment for the guy who helped run guns into Mexico and drugs back into the U.S.
[00:02:50.568 --> 00:02:51.609]  to blame the Second Amendment.
[00:02:51.989 --> 00:02:58.372]  By the way, that was even the Washington Post now that Wayne LaPierre of the NRA is talking about the drug dealing angle of this.
[00:03:00.305 --> 00:03:03.147]  It is really scaring the system that this information is coming out.
[00:03:03.688 --> 00:03:08.311]  But the House has held Mr. Holder in contempt.
[00:03:08.552 --> 00:03:15.958]  He was the Deputy Attorney General back during Oklahoma City, which they used to demonize the Second Amendment and a lot more.
[00:03:16.998 --> 00:03:21.602]  But he is still just a minion in the final equation.
[00:03:22.203 --> 00:03:24.885]  But that news is nonetheless very, very important.
[00:03:26.889 --> 00:03:30.491]  We are going to be talking to Dr. Joel Wallach about the health care ruling.
[00:03:30.511 --> 00:03:38.234]  We're also going to be talking to the filmmaker who has conclusively, in my view, documented the providence of Obama and who his daddy really is.
[00:03:38.294 --> 00:03:40.655]  So that is coming up tonight.
[00:03:41.595 --> 00:03:44.256]  But first, here on the Teleprompter, free transmission.
[00:03:45.257 --> 00:03:50.239]  I covered this for three painful hours on the radio today because it's just another signpost of tyranny.
[00:03:50.999 --> 00:03:52.540]  Government-run health care.
[00:03:53.540 --> 00:04:00.162]  I had said that I believed they were going to rule for it, because it's what the insurance companies wrote, it's what they wanted, they're owned by the big banks.
[00:04:01.562 --> 00:04:03.883]  It's not even really socialist health care, and that's bad enough.
[00:04:04.623 --> 00:04:07.203]  It's eugenicist, globalist, death panel health care.
[00:04:08.264 --> 00:04:09.824]  And they know exactly what they're doing.
[00:04:10.324 --> 00:04:14.685]  But people said, oh no, in the arguments a few months ago, the Supreme Court said they were going to rule against it.
[00:04:15.165 --> 00:04:17.666]  So I said, okay, well that's a good sign for our country.
[00:04:18.713 --> 00:04:32.969]  But we had one of the Republican-appointed justices go over to make it the 5-4 ruling for it, and on this day upheld the individual health insurance mandate that is the heart of President Obama's landmark health care law.
[00:04:32.989 --> 00:04:35.712]  In fact, out of five issues being looked at, they upheld four.
[00:04:37.151 --> 00:04:39.393]  And again, it was in the Wall Street Journal.
[00:04:39.433 --> 00:04:43.835]  They had the head of the healthcare and insurance banker consortium in there.
[00:04:43.875 --> 00:04:47.898]  I remember last year they were saying, oh yeah, we wrote this, we think it's great.
[00:04:48.839 --> 00:05:00.426]  And we saw in the news today, in fact we have some of those articles from Investment Watch, also Barron's, stocks exploded for healthcare companies and insurance companies because it makes 35 million people.
[00:05:03.151 --> 00:05:13.934]  Buy insurance and it allows the government and these boards, staffed by HMO and insurance company people, to say your doctor can't give you a treatment.
[00:05:14.234 --> 00:05:18.576]  So this is not a big boon for the doctors or even hospitals in many extents.
[00:05:19.256 --> 00:05:29.139]  It is the insurance companies who make you buy their product, already up by 25%, they're talking about a 50% increase in the next two years, make you buy their product, but wait, it gets worse.
[00:05:31.226 --> 00:05:32.127]  It gets a lot worse.
[00:05:32.707 --> 00:05:38.332]  The IRS, as was in the bill, has already hired 7,500 extra people.
[00:05:38.372 --> 00:05:39.693]  They're going to hire another 10,000.
[00:05:40.794 --> 00:05:42.796]  And I'm already getting calls, and we're vetting this.
[00:05:43.156 --> 00:05:50.783]  They're already, months ago, because they knew where the ruling was going, taking money out of people's accounts who don't have insurance.
[00:05:51.684 --> 00:05:52.605]  The IRS is.
[00:05:52.785 --> 00:05:53.725]  Out of your bank accounts.
[00:05:54.471 --> 00:06:01.758]  Digitally, they already have this capability to, to quote, go towards Medicaid and Medicare because they say you're not buying it.
[00:06:03.459 --> 00:06:08.844]  And Rubio talked about this a long time ago, but now it is actually happening.
[00:06:08.864 --> 00:06:16.972]  The Supreme Court upholds Obama's health care law, and now since health care is socialized, oh, the government's going to control what you eat.
[00:06:18.294 --> 00:06:22.658]  I mean, they're saying this because, after all, you're costing us all money now.
[00:06:23.058 --> 00:06:27.422]  So there's the nightmare social engineering aspect to all of this.
[00:06:27.482 --> 00:06:30.565]  So Obama is very, very proud of it.
[00:06:30.585 --> 00:06:32.347]  The Washington Post is very, very proud of it.
[00:06:32.827 --> 00:06:37.892]  It's all a giant joke to them that they've rammed this through.
[00:06:37.912 --> 00:06:39.493]  They've got all these useful idiots.
[00:06:40.393 --> 00:06:44.394]  The same folks who said, oh, praise God, Obama's been elected, I'm going to get a free car, free house.
[00:06:44.754 --> 00:06:50.155]  You didn't get jack squat, but a globalist-engineered Agenda 21 depression.
[00:06:51.536 --> 00:06:57.677]  Rubio argued that millions of Americans will face being out of compliance with the IRS for not having health insurance coverage.
[00:06:57.697 --> 00:06:58.857]  Well, he didn't argue that.
[00:06:58.877 --> 00:07:00.558]  I love that they make it partisan.
[00:07:00.658 --> 00:07:04.499]  It's in the legislation that the IRS is going to come after you.
[00:07:04.919 --> 00:07:06.219]  And it's already happening.
[00:07:07.498 --> 00:07:08.959]  Okay, let's continue here.
[00:07:09.039 --> 00:07:13.663]  Obamacare, it's about enriching banksters and Wall Street.
[00:07:13.703 --> 00:07:24.651]  And Curt Nemo at Infowars.com goes through all of the admissions by the lobbyists, all of them, he has links to it, where they admit they would make giant profits off of this.
[00:07:25.071 --> 00:07:28.113]  This is Curt Nemo back in 2010.
[00:07:29.094 --> 00:07:34.538]  Two years ago, broke down what it would do with all the links as the fat cats bragged.
[00:07:36.377 --> 00:07:41.199]  And again, it's already gone up 25% since the law was put in, not even implemented.
[00:07:41.679 --> 00:07:43.719]  They're talking about 50% increase.
[00:07:44.079 --> 00:07:46.580]  Oh, and by the way, pull up the Associated Press, guys.
[00:07:47.240 --> 00:07:50.121]  It doesn't cover pre-existing conditions for children.
[00:07:50.582 --> 00:07:52.902]  But I saw Obama in his press conference saying that today.
[00:07:53.282 --> 00:07:54.683]  Total screw job.
[00:07:54.983 --> 00:08:01.085]  Lets the insurance companies cut back on the care, set up death panels to ration care, and make you buy it.
[00:08:02.603 --> 00:08:03.063]  Unbelievable.
[00:08:03.264 --> 00:08:09.368]  Have you researched the unbelievable garbage going on with the National Health Care System, NHS in England and other places?
[00:08:10.868 --> 00:08:13.290]  Paul Watson, thank God, could go to an herbalist and get healed.
[00:08:13.790 --> 00:08:15.511]  One month, couldn't get to see a doctor.
[00:08:16.032 --> 00:08:19.794]  When he finally got in, massive taxes in England.
[00:08:19.834 --> 00:08:20.455]  He pays for this.
[00:08:21.308 --> 00:08:24.289]  They gave him a packet of aspirins and stuff and said, go home.
[00:08:24.749 --> 00:08:25.789]  Still couldn't get well.
[00:08:26.290 --> 00:08:29.671]  Couldn't go see a private doctor, you gotta get bureaucrat permission for that.
[00:08:30.291 --> 00:08:32.191]  Was able to get well on herbs and things.
[00:08:33.712 --> 00:08:35.232]  This is what we're talking about, folks.
[00:08:36.153 --> 00:08:41.755]  Tom Daschle, who helped write it with Mitt Romney, said, you're 65, you don't get eye surgery.
[00:08:42.075 --> 00:08:46.376]  Yeah, there's National Review running the Associated Press, if you scroll down, via AP.
[00:08:46.896 --> 00:08:48.957]  Obamacare does not cover pre-existing
[00:08:50.134 --> 00:08:51.710]  Conditions in children.
[00:08:53.237 --> 00:08:57.140]  Here's the Natural News article, also posted at Infowars.com.
[00:08:58.041 --> 00:09:05.286]  10 years of Obamacare would cost $1.76 trillion for more than originally claimed.
[00:09:06.187 --> 00:09:08.649]  So there's also, it's meant to bankrupt us, that's the plan.
[00:09:09.409 --> 00:09:17.135]  Okay, shifting gears now into the staged terror of 7-7 and 9-11, we have a report here.
[00:09:17.575 --> 00:09:22.139]  Whistleblower reveals plan to evacuate London during Olympics.
[00:09:23.929 --> 00:09:30.415]  200,000 casket linings on standby, says undercover journalist who infiltrated security team.
[00:09:30.735 --> 00:09:34.679]  And I've talked to Tony Gosling at Bilderberg.org, great investigative journalist.
[00:09:35.019 --> 00:09:35.639]  I've talked to others.
[00:09:35.679 --> 00:09:38.001]  This guy is a well-known investigative journalist in England.
[00:09:38.382 --> 00:09:40.003]  He's produced TV shows nationally.
[00:09:40.023 --> 00:09:41.625]  We're not going to obviously say who he is.
[00:09:42.185 --> 00:09:44.628]  He went in and they didn't even want him to pass a test.
[00:09:44.948 --> 00:09:45.890]  The dumber the better.
[00:09:46.270 --> 00:09:50.295]  He put him in and they're massing foreign troops.
[00:09:50.655 --> 00:09:52.998]  They're saying this big event is coming right when it ends.
[00:09:53.439 --> 00:09:59.566]  Then I thought about how the Munich games in one day in September, they have Michael Douglas voicing it and it's Academy Award winning.
[00:09:59.927 --> 00:10:01.028]  I saw it when it came out in the late 90s.
[00:10:04.150 --> 00:10:13.559]  German intelligence staged the terror attacks and hired the Muslims and had front men who thought they were actually fighting for Islam or whatever as the front people and they staged hijackings.
[00:10:14.019 --> 00:10:17.222]  And I mean this is like at the end of the main film one day in September.
[00:10:17.242 --> 00:10:19.024]  In fact, pull that up so folks can see that.
[00:10:19.844 --> 00:10:22.307]  I saw it over at the Arbor Cinema when it came out.
[00:10:22.327 --> 00:10:23.528]  I didn't even know about false flag.
[00:10:24.465 --> 00:10:27.166]  I was just getting politically, you know, awakened things.
[00:10:27.206 --> 00:10:27.686]  In fact, I said 99.
[00:10:27.846 --> 00:10:29.547]  I think it was giving me like 97.
[00:10:29.807 --> 00:10:30.367]  I don't remember.
[00:10:30.607 --> 00:10:31.288]  Point is, I was just 99.
[00:10:32.008 --> 00:10:33.048]  Okay, I was right.
[00:10:33.228 --> 00:10:34.229]  Original memory was correct.
[00:10:35.249 --> 00:10:40.651]  Again, we used the computers to check my electrochemical system to make sure it's accurate, but I was accurate.
[00:10:40.831 --> 00:10:40.651]  99.
[00:10:41.391 --> 00:10:46.053]  And I'm looking at this, and at the end of the movie, oh God, Muslims are horrible.
[00:10:46.093 --> 00:10:47.194]  By the way, the government staged it.
[00:10:51.195 --> 00:10:52.876]  We gotta pull clips of this sometimes.
[00:10:53.837 --> 00:10:54.357]  I mean, look at it.
[00:10:54.397 --> 00:10:55.938]  Out of 10 stars, it's got 7.9.
[00:10:56.178 --> 00:10:56.878]  That's rare to get 7.9.
[00:10:56.918 --> 00:11:04.380]  I mean, it's a very well-done documentary, but they spent like a minute at the end of it to admit the whole thing was staged.
[00:11:06.041 --> 00:11:07.801]  So, this fits in, folks.
[00:11:08.841 --> 00:11:13.003]  Whistleblower reveals plans to evacuate London during Olympics.
[00:11:13.023 --> 00:11:18.304]  200,000 casket linings on standby, says undercover journalist who infiltrated security team.
[00:11:18.704 --> 00:11:20.665]  And he tried to bring this before he brought it to us.
[00:11:21.650 --> 00:11:26.835]  He's got it on one radio show, Tony Gosling's in England that's on mainline broadcast radio.
[00:11:28.256 --> 00:11:30.538]  He tried to bring it to the mainstream dominant press.
[00:11:30.578 --> 00:11:31.919]  They said, we already know about this.
[00:11:31.939 --> 00:11:33.541]  We've been told there is a blackout.
[00:11:33.881 --> 00:11:35.703]  And that's the new article out on today.
[00:11:36.063 --> 00:11:43.730]  Here are four clips from the live radio interview we did today on my syndicated radio show that airs 12 to 3 p.m.
[00:11:43.850 --> 00:11:45.491]  Eastern at Infoworks.com.
[00:11:45.531 --> 00:11:45.892]  Here it is.
[00:11:46.847 --> 00:11:55.516]  Well, I was approached in one of my classes by a student and he offered to sell me marijuana in the classroom.
