[00:00:00.000 --> 00:00:16.379]  [Outro]
[00:00:16.456 --> 00:00:17.358]  Tomorrow's news.
[00:00:17.658 --> 00:00:17.978]  Today.
[00:00:20.669 --> 00:00:23.552]  It's Sunday, January 15th, 2023.
[00:00:24.113 --> 00:00:25.134]  I'm your host, Alex Jones.
[00:00:25.514 --> 00:00:28.217]  We have a very special live broadcast lined up for you tonight.
[00:00:28.677 --> 00:00:32.000]  Gerald Cilente, the Top Trends Forecaster, is going to be co-hosting with Owen Schroer.
[00:00:32.421 --> 00:00:39.128]  And then, coming up in about two hours, the great Harrison Smith will host Sunday Night Live from 6 to 8 p.m.
[00:00:39.949 --> 00:00:57.099]  Now, Owen's got his own agenda of important news information to cover, and I'm sure he's going to be covering it, because I know I was talking to him just today, and he's really excited, because the CDC's had to come out and say, okay, the shots are linked to strokes, heart attacks, myocarditis, and now they're blaming...
[00:00:57.839 --> 00:01:03.723]  Big Pharma for not telling them that they'd done secret trials and knew this was going to happen.
[00:01:04.003 --> 00:01:09.266]  This is just a spectacular development as their cover-up implodes.
[00:01:09.366 --> 00:01:13.329]  And it was all of you out there spreading the word and supporting the broadcast that did this.
[00:01:13.829 --> 00:01:14.790]  So people call in.
[00:01:14.890 --> 00:01:17.371]  They say, Alex, you saved millions of lives exposing the shot.
[00:01:17.411 --> 00:01:19.453]  And now 98% of people aren't taking it.
[00:01:19.913 --> 00:01:21.934]  And the military isn't being forced anymore.
[00:01:21.974 --> 00:01:23.555]  And now they're backing off on kids.
[00:01:23.615 --> 00:01:24.496]  Wow, great job, Alex.
[00:01:24.756 --> 00:01:25.637]  Great job, you.
[00:01:26.457 --> 00:01:28.999]  Great job for you in the last three years when we exposed this.
[00:01:29.419 --> 00:01:32.442]  Supporting the show, sharing the articles, sharing the videos.
[00:01:32.722 --> 00:01:36.585]  Do you realize that our success is because of you?
[00:01:38.072 --> 00:01:39.934]  You are the reason the dog hunted.
[00:01:40.254 --> 00:01:41.736]  You're the reason this message got out.
[00:01:42.436 --> 00:01:44.278]  You're the reason that the light was turned on.
[00:01:44.698 --> 00:01:47.241]  Yeah, the light's there, but if you don't throw the switch, nobody sees it.
[00:01:47.561 --> 00:01:52.546]  So, you have saved millions of people, all of us collectively have, by the grace of God.
[00:01:52.606 --> 00:01:53.967]  And praise God for this awakening.
[00:01:54.287 --> 00:01:55.148]  Now, we're winning battles.
[00:01:55.188 --> 00:02:01.094]  We haven't won the war yet, but at least we're winning battles for the first time in more than 50 years against this globalist combine.
[00:02:01.274 --> 00:02:02.255]  We're identifying them.
[00:02:02.475 --> 00:02:05.357]  We're exposing them, and we're going to bring them down with God's help.
[00:02:05.737 --> 00:02:07.638]  So, tell everybody to tune in right now.
[00:02:07.999 --> 00:02:09.179]  The whole system's imploding.
[00:02:09.439 --> 00:02:10.520]  The world is waking up.
[00:02:10.740 --> 00:02:13.102]  We're going to bring the Fauci's and Bill Gates' to justice.
[00:02:13.942 --> 00:02:17.645]  And please recommit to understand, yeah, we're winning some battles, but we've been the tip of the spear.
[00:02:17.725 --> 00:02:22.248]  We've gone through hell, and we need you to rebuild us and keep us on the front lines.
[00:02:22.528 --> 00:02:33.316]   So if you want to keep this dog in the fight, Go to Infowarestore.com right now and get great films, great books, great supplements like The Real Red Pill and The Great Reset and The War for the World.
[00:02:33.596 --> 00:02:37.279]  The number one seller in the world in the first month it was out.
[00:02:37.620 --> 00:02:45.763]   You can get it everywhere, but if you want to get a signed copy, part of the fundraiser, and exclusively have a piece of history, go to Infowarsstore.com.
[00:02:45.763 --> 00:02:49.123]   And it's got a substantive markup on it because it's a fundraiser.
[00:02:49.123 --> 00:02:55.361]   Like when NPR sells a hat for 50 bucks it cost them 10, or a t-shirt for 100 bucks it cost them 5. You get that
[00:02:55.361 --> 00:02:56.723]  because you're part of the fundraiser.
[00:02:56.723 --> 00:02:58.641]  They get taxpayer money and do fundraisers.
[00:02:58.821 --> 00:02:59.842]  We don't get taxpayer money.
[00:03:00.122 --> 00:03:02.724]  We appeal directly to you to support us and get the book for $99.95.
[00:03:02.864 --> 00:03:04.946]  Or get it for 20-something bucks.
[00:03:04.966 --> 00:03:06.947]  If you don't have the money, I totally understand.
[00:03:06.967 --> 00:03:09.209]  Get an unsigned copy at InfoWarshaw.com.
[00:03:09.489 --> 00:03:14.232]  But it has been your donations and your support with things like the book that have kept us on air.
[00:03:14.292 --> 00:03:16.994]  And we're right there on the edge of being able to stay on air.
[00:03:17.034 --> 00:03:18.115]  And it's so frustrating.
[00:03:18.475 --> 00:03:19.636]  I don't want to lay people off.
[00:03:20.297 --> 00:03:21.658]  I don't want the enemy to have victories.
[00:03:22.458 --> 00:03:26.460]  But that victory for us against the Globalists of George Soros and Bill Gates is in your hands.
[00:03:26.820 --> 00:03:28.801]  You decide whether we stay on air.
[00:03:29.101 --> 00:03:33.543]  You decide whether people see articles and videos at InfoWars.com and Band.Video.
[00:03:33.883 --> 00:03:37.364]  You decide whether we're going to be victorious in this fight or not.
[00:03:37.665 --> 00:03:40.866]  And so far, you have made us win together.
[00:03:41.346 --> 00:03:52.370]  So I salute you humbly and I thank you for your past support and I encourage you to bet on the horse that keeps winning but that is exhausted and the best horse we have in the fight.
[00:03:52.790 --> 00:04:01.548]   Go now to InfoWarStore.com and get The Great Reset and the War for the World signed exclusively.
[00:04:01.568 --> 00:04:05.232]  There's only about a thousand left, and when they're gone, they're gone.
[00:04:05.752 --> 00:04:06.573]  It's an exclusive.
[00:04:06.914 --> 00:04:10.277]  But again, whatever you do, Owen is loaded for bear.
[00:04:10.577 --> 00:04:11.939]  Gerald Cilente is loaded for bear.
[00:04:12.199 --> 00:04:19.026]  They've got all the clips coming up with what's happening, with even CNN admitting the shot's killing people, and all these new deaths, all this craziness.
[00:04:19.787 --> 00:04:27.672]  But no one is going to see the past analysis and who's really behind it and what the globalists are planning next if you don't share this feed.
[00:04:27.692 --> 00:04:29.774]  Because we're not just tooting our horn that we were right about the past.
[00:04:30.174 --> 00:04:33.656]  Now we're about to tell you what's going to go down in the future if we don't stop them.
[00:04:33.696 --> 00:04:34.777]  This is do or die.
[00:04:35.077 --> 00:04:36.238]  Thank you all for your support.
[00:04:36.478 --> 00:04:41.502]  Now go to infowarestore.com right now and get The Great Reset and the War for the World signed.
[00:04:41.762 --> 00:04:45.925]  And I thank you so much from the bottom of my heart for keeping my crew and myself in the fight.
[00:04:46.185 --> 00:04:51.175]   We'll be right back with Owen Schroeder, Gerald Cilente, Harrison Smith and more.
[00:04:51.014 --> 00:05:06.055]  Stay with us.
[00:05:06.734 --> 00:05:21.018]  But now in the last four days, the CDC has come out, the NIH has come out, the FDA boards have come out, and all pointed fingers at each other saying they were lied to about secret studies that were done on the experimental shots.
[00:05:21.678 --> 00:05:31.122]  Studies that were done once the injections began, but now the CDC is releasing documents confirming massive increases in blood clots, myocarditis, heart attacks, infertility, strokes, you name it.
[00:05:31.762 --> 00:05:37.084]  And then today, Fox News, we're about to play the clip, comes out and says, whoa!
[00:05:37.224 --> 00:05:43.026]  The CDC says it got covered up what happened with strokes increasing and they're so upset they didn't know.
[00:05:43.767 --> 00:05:46.408]  This is rats leaving the sinking ship.
[00:05:47.268 --> 00:05:49.834]  This is the establishment that did this on purpose being caught.
[00:05:50.515 --> 00:05:55.124]  If you go back to 2014-15, Obama funded the University of Texas, Galveston.
[00:05:55.986 --> 00:05:56.608]  My studies...
[00:05:57.665 --> 00:06:09.034]  And they found, with a similar coronavirus mRNA vaccine, that it was causing massive heart attacks, blood clots in the lungs, myocarditis, and the rats lived about half as long as rats normally do.
[00:06:09.615 --> 00:06:16.961]  Ladies and gentlemen, they knew what they were doing, as Dr. Michael Yeadon, the former chief scientist and vice president of Pfizer, said a week ago.
[00:06:17.381 --> 00:06:19.943]  They knew it was toxic, they knew it was a depopulation weapon.
[00:06:20.343 --> 00:06:22.045]  So here's the clip from Fox News.
[00:06:22.665 --> 00:06:25.886]  The bad news is millions have died, hundreds of millions are sick.
[00:06:26.386 --> 00:06:31.748]  The good news is less than 10% of people are taking these shots compared to what were just a year ago.
[00:06:32.108 --> 00:06:39.650]  So the public's waking up, but now we've got to bring Big Pharma and these mad scientists led by Fauci and Bill Gates and Peter Daszak to justice.
[00:06:39.670 --> 00:06:43.852]  This was premeditated, just like I told you three years ago when this all started.
[00:06:44.172 --> 00:06:50.874]  But remember, back in 1976, only three people died from the swine flu vaccine, and they suspended the whole program.
[00:06:51.334 --> 00:06:55.237]  We know hundreds and hundreds of thousands, conservatively, have died in the U.S.
[00:06:55.297 --> 00:06:55.597]  alone.
[00:06:55.897 --> 00:06:59.019]  All the documents are posted at InfoWars.com and Band.Video.
[00:06:59.460 --> 00:07:06.184]  All of you that told the truth, all the doctors and scientists that spoke out, all of us as independent journalists that told the truth, we are vindicated.
[00:07:06.485 --> 00:07:07.545]  But it's not about being vindicated.
[00:07:07.926 --> 00:07:10.207]  It's about bringing the criminals and judges to protect the innocent.
[00:07:10.227 --> 00:07:15.831]  Because now they're coming after not just six-month-old and up, they're coming after newborn babies and pregnant women.
[00:07:16.192 --> 00:07:16.752]  Here's the report.
[00:07:16.992 --> 00:07:18.753]  So we are just getting word of this now.
[00:07:19.173 --> 00:07:32.279]  Regarding the COVID vaccine, the CDC is now saying there has been enough cases of people who have had the vaccine, received the vaccine, and then suffered a stroke.
[00:07:32.859 --> 00:07:40.162]  The agency will now be investigating any potential links between the shots and the strokes in some of those patients.
[00:07:40.502 --> 00:07:42.443]  The globalist criminals are on the run.
[00:07:42.583 --> 00:07:43.664]  We're really starting to win.
[00:07:44.525 --> 00:07:45.926]  But we've only won major battles.
[00:07:45.966 --> 00:07:47.026]  We haven't won the war.
[00:07:47.446 --> 00:07:49.007]  That's why Info Wars is so important.
[00:07:49.027 --> 00:07:49.907]  It's why it's the tip of the spear.
[00:07:49.947 --> 00:07:52.288]  It's why those that launch this attack are so scared.
[00:07:52.688 --> 00:07:56.910]  There's not just my Sunday show coming up tomorrow, 4 to 6 p.m., with key guests and analysis.
[00:07:57.330 --> 00:07:59.011]  Not just my weekday show from 11 a.m.
[00:07:59.231 --> 00:07:59.731]  to 3 p.m.
[00:07:59.771 --> 00:08:00.071]  Central.
[00:08:00.452 --> 00:08:05.073]  But on Tuesday, we're doing an Alex Jones Was Right marathon broadcast from 8 a.m.
[00:08:05.213 --> 00:08:08.875]  past midnight with top scientists and experts across the board.
[00:08:09.235 --> 00:08:11.256]  Looks like we've got Michael Yeadon coming on as well.
[00:08:11.636 --> 00:08:15.063]  So be sure and join us this coming Tuesday at 8 a.m.
[00:08:15.083 --> 00:08:17.247]  for the kickoff of this marathon broadcast.
[00:08:17.547 --> 00:08:18.689]  We're going to save a lot of lives.
[00:08:18.810 --> 00:08:24.250]   We're going to move the goal one step closer to bringing the new world order to justice.
[00:08:24.250 --> 00:08:37.129]  What have you had the plans to the Death Star?
[00:08:37.329 --> 00:08:40.592]  What if you knew the globalist operations that could stop it?
[00:08:40.612 --> 00:08:41.633]  Well, we've done the research.
[00:08:42.133 --> 00:08:44.355]  We have the number one best-selling book in the country.
[00:08:44.775 --> 00:08:46.517]  Not just in politics, but period.
[00:08:46.877 --> 00:08:48.298]  It's the Great Reset and the War for the World.
[00:08:48.598 --> 00:08:50.520]  And you get a signed copy of this, the last 1,400.
[00:08:50.780 --> 00:08:52.802]  Keep InfoWars on the air.
[00:08:53.222 --> 00:08:54.123]  Please take action.
[00:08:54.143 --> 00:08:55.684]  I want to thank you all for your past support.
[00:08:56.285 --> 00:09:01.649]  Get one of these signed copies and know you kept InfoWars on the air at the most critical juncture in our history.
[00:09:01.969 --> 00:09:03.010]  Again, 2023 is here.
[00:09:03.050 --> 00:09:05.533]  The last run of signed copies of the book.
[00:09:05.914 --> 00:09:07.555]  We also have unsigned copies as well.
[00:09:07.876 --> 00:09:10.298]  The signed copies are limited and are about to run out.
[00:09:10.318 --> 00:09:11.520]  Thank you for your support.
[00:09:11.779 --> 00:09:15.279]  Again, get yours at InfowarsStore.com.
[00:09:15.279 --> 00:09:25.038]  Alright, thank you Alex.
[00:09:25.038 --> 00:09:31.118]   And we are now live inside Infowars World Headquarters in Austin, Texas.
[00:09:31.154 --> 00:09:37.859]  Owen Schroer here with you hosting the Alex Jones Show the rest of the way, joined by Gerald Salente as well.
[00:09:37.919 --> 00:09:42.262]  He's over there in New York like a busy beaver going through all of his documents.
[00:09:42.783 --> 00:09:46.145]  I've got all my documents laid out here in front of me as well.
[00:09:46.466 --> 00:09:49.028]  Before I bring Gerald in, though, I just want to get one thing.
[00:09:50.211 --> 00:09:52.852]  Off my chest, if you will, before we get started here.
[00:09:52.873 --> 00:09:56.775]  That was I want to reiterate that was already stated by Alex Jones.
[00:09:57.735 --> 00:10:07.100]  I can't express my gratitude to this audience enough and I really hope you understand as Alex has tried to explain many times without you.
[00:10:07.521 --> 00:10:15.145]  We don't exist and in case you haven't noticed and I don't want to make a big thing of this tonight, but in case you haven't noticed.
[00:10:15.825 --> 00:10:19.928]  A lot of people are getting their Twitter accounts back, but you've noticed who's not by now, haven't you?
[00:10:20.108 --> 00:10:22.130]  You've noticed who's not allowed to go back on Twitter.
[00:10:22.490 --> 00:10:26.914]  It's Alex Jones and it's his great crew, myself included, Harrison Smith and others.
[00:10:27.414 --> 00:10:31.337]  So, we are the most censored network in the world.
[00:10:31.397 --> 00:10:35.681]  We are the most censored individuals that work here at this network in the world.
[00:10:35.801 --> 00:10:38.223]  It is now completely proven once again.
[00:10:38.863 --> 00:10:44.876]  And so, for me personally, if I don't have you supporting us at Infowarestore.com, I don't know what happens.
[00:10:45.397 --> 00:10:47.301]  I'm not going to be allowed back by Big Tech.
[00:10:47.321 --> 00:10:48.724]  They've already made that very clear.
[00:10:49.628 --> 00:11:05.311]  And so I am eternally grateful for this audience, and I am eternally grateful for everything you've done to make InfoWars successful, to keep us on the air despite all the attacks against us, so that we can come in here every day and do a great job trying to inform the world.
[00:11:05.851 --> 00:11:14.953]  And, as people have started to notice, you know, we don't claim to be saving lives here, like that's what our duty is every day, but it is a fact.
[00:11:15.353 --> 00:11:20.554]  We've probably saved hundreds of thousands, if not millions of lives when it comes to this vaccine.
[00:11:21.015 --> 00:11:22.755]  And that's just by telling the truth.
[00:11:22.795 --> 00:11:25.716]  That's not even like we have to come out here and think, how can we save lives?
[00:11:26.096 --> 00:11:32.778]  They're telling you a COVID-19 poison injection is safe and effective when we knew the opposite was true.
[00:11:33.218 --> 00:11:35.599]  So that's all it was, was just getting out the information.
[00:11:35.639 --> 00:11:38.439]  Wouldn't you like to know before you bite into that apple if it's poisoned?
[00:11:38.740 --> 00:11:41.080]  We're just here telling you that's a poisoned apple.
[00:11:41.180 --> 00:11:42.361]  You might not want to bite into it.
[00:11:42.401 --> 00:11:45.502]   So once again, Eternally grateful for you.
[00:11:45.702 --> 00:11:47.283]  Don't take InfoWars for granted.
[00:11:47.583 --> 00:11:52.146]  You want to continue to see us on the air every day, shop at InfoWarsStore.com.
[00:11:52.466 --> 00:12:01.471]  And the great guests, one of which who's been joining us for a long time, from the Trends Journal, the story before it happens, Gerald Cilente.
