[00:02:32.947 --> 00:02:33.527]  Pull this over.
[00:02:33.687 --> 00:02:34.188]  I'm neurotic.
[00:02:34.208 --> 00:02:36.029]  If I'm not centered on the camera, I get mad at myself.
[00:02:36.849 --> 00:02:37.529]  But here we go.
[00:02:37.689 --> 00:02:38.370]  Centered now, guys?
[00:02:39.550 --> 00:02:40.111]  All right, good.
[00:02:40.911 --> 00:02:41.251]  Whoo!
[00:02:41.351 --> 00:02:42.752]  We're ready to launch, baby!
[00:02:43.892 --> 00:02:45.133]  The crew did a great job.
[00:02:45.153 --> 00:02:46.994]  Some of them were up here until 10 o'clock last night.
[00:02:47.094 --> 00:02:50.836]  I was on the job at 5 a.m., so I seem a little frazzled.
[00:02:50.856 --> 00:02:54.958]  I am definitely burning the candle at both ends, but this is the time to do it.
[00:02:55.458 --> 00:02:56.438]  Overhead shot, please.
[00:02:56.879 --> 00:03:01.101]  There are decades when nothing happens, and there are weeks when decades happen.
[00:03:02.264 --> 00:03:04.225]  Vladimir Lenin.
[00:03:05.146 --> 00:03:06.627]  Evil guy, but very smart.
[00:03:06.727 --> 00:03:09.609]  And that's absolutely true.
[00:03:10.750 --> 00:03:17.796]  And that's where we are right now in the super turbocharged historical zeitgeist.
[00:03:18.876 --> 00:03:21.258]  And we are going to cover the waterfront today.
[00:03:21.278 --> 00:03:24.080]  This is not going to be about Alex Jones and Alex Jones returning to Twitter.
[00:03:24.661 --> 00:03:28.904]  That's just a symptom of the recovery that we're seeing.
[00:03:29.724 --> 00:03:31.446]  That's just an indicator that we're getting a little bit better.
[00:03:32.913 --> 00:03:50.788]  It's the things Elon Musk said as the reportedly richest man in the world about Team Human and being a human supremacist and how the globalists want to depopulate the earth and how they're taking us towards total collapse and extinction event while blaming us for the extinction event that they themselves are engineering.
[00:03:51.828 --> 00:03:54.130]  So, this is what the globalists are doing.
[00:03:54.210 --> 00:03:54.811]  It's their plan.
[00:03:54.831 --> 00:03:55.712]  It's their operation.
[00:03:57.335 --> 00:03:59.797]  And if you're not talking about that, we're going to lose everything.
[00:04:00.258 --> 00:04:06.984]  But if we just recognize we have a psychotic, out-of-control death cult running things, then it's game over, ladies and gentlemen.
[00:04:07.524 --> 00:04:12.629]  Recognize the death cult and take the keys away from them.
[00:04:13.449 --> 00:04:14.590]  That is what we're doing.
[00:04:15.191 --> 00:04:16.552]  We're doing it together.
[00:04:16.572 --> 00:04:18.374]  And it's extremely exciting.
[00:04:19.054 --> 00:04:20.195]  I have been really blessed.
[00:04:21.167 --> 00:04:25.211]  Uh, with this big event happening to be doing a whole bunch of huge interviews.
[00:04:25.912 --> 00:04:28.895]  Everybody from Steven Crowder to Charlie Kirk to you name it.
[00:04:28.975 --> 00:04:30.397]  Tucker's gonna be coming on soon.
[00:04:30.517 --> 00:04:31.538]  Owen's on his show tomorrow.
[00:04:31.978 --> 00:04:33.480]  I basically have unlimited interviews I can do.
[00:04:33.500 --> 00:04:34.841]  I've got a whole bunch to add to the show.
[00:04:35.522 --> 00:04:41.868]  I'm gonna start doing a special report daily just like Tucker does on X. I'm gonna take that today and put it out tonight.
[00:04:41.948 --> 00:04:43.991]  This is really hardcore focus, ten minutes or so.
[00:04:45.410 --> 00:04:49.294]  And I'm on all these huge shows talking about the entire blueprint of the New World Order.
[00:04:49.615 --> 00:04:51.577]  They cannot survive this, folks.
[00:04:52.357 --> 00:04:57.202]  I mean, it'll take a while for it to set in, but this is the blood of victory.
[00:04:57.443 --> 00:04:59.124]  You're witnessing victory right now, praise God.
[00:05:00.265 --> 00:05:03.409]  When I say this, I mean it from the very bottom of my heart.
[00:05:04.560 --> 00:05:08.666]  I want to say thank you to all the viewers and listeners for supporting the broadcast over the years.
[00:05:09.166 --> 00:05:15.655]  We together have changed the world at an incredible level and I want to salute the crew as well and all of our sponsors and supporters.
[00:05:16.075 --> 00:05:20.101]  Ladies and gentlemen, wow, the fight has really been joined with a globalist.
[00:05:21.125 --> 00:05:28.633]  And as we go into 2024, the most important election in world history, it is now more important than ever to get around the censors and override the globalists.
[00:05:28.653 --> 00:05:30.334]  So keep spreading the word about the broadcast.
[00:05:30.775 --> 00:05:31.936]  Keep sharing your articles and videos.
[00:05:32.316 --> 00:05:35.219]  Keep praying for the broadcast and our reporters and the crew.
[00:05:35.600 --> 00:05:42.767]  And shop at infowarestore.com, where for Christmas, we have the biggest sales of the year, double Patriot points, storewide free shipping,
[00:05:43.107 --> 00:06:00.092]  Up to 60% off on products like Brain Force Plus, Brain Force Ultra, Turbo Force is back in stock, X2 is back in stock, Vazo Beats is back in stock, Body's Ultimate Turmeric Formula, it's all there, my new book, The Great Awakening, do your Christmas shopping there, get great products at Fund The Info War, thank you.
[00:06:06.454 --> 00:06:11.395]  From the front lines of the information war, it's Alex Jones.
[00:06:26.957 --> 00:06:31.221]  Team Humanity versus Team Demon or Team New World Order.
[00:06:33.182 --> 00:06:37.446]  I talked to Elon Musk for more than two hours yesterday and the whole thing was recorded.
[00:06:39.288 --> 00:06:41.209]  Vivek Ramaswamy was on.
[00:06:43.091 --> 00:06:44.692]  Congressman Matt Gaetz was on.
[00:06:44.873 --> 00:06:48.736]  Andrew Tate, Tristan Tate, Mark Dice, Laura Loomer.
[00:06:50.117 --> 00:06:50.838]  It was wild.
[00:06:52.932 --> 00:07:00.718]  And they also have some sniveling corporate media on there that kept trying to get me to talk about a school shooting that happened over ten years ago in Connecticut.
[00:07:01.278 --> 00:07:02.519]  I'm like, that's not who I am.
[00:07:03.320 --> 00:07:04.601]  I'm not talking about it.
[00:07:05.081 --> 00:07:07.603]  Sorry, you claim I talk about it all the time, I don't.
[00:07:11.606 --> 00:07:17.991]  Now, we've got huge world news, and really, the Great Awakening is here, super positive things are happening.
[00:07:19.520 --> 00:07:28.503]  And my term human supremacy is really getting picked up everywhere as a counter to the globalists who are anti-human and want us to roll over and die and hate ourselves and have no life force or no will.
[00:07:29.823 --> 00:07:32.044]  Incredible discussions with Elon Musk about it.
[00:07:33.144 --> 00:07:33.544]  Surreal.
[00:07:36.825 --> 00:07:46.788]  But meanwhile, I have Senators, House members, Democratic Party leaders, Biden, the Secretary of Defense, the Secretary of State,
[00:07:48.078 --> 00:07:53.921]  All saying, oh, if you don't do what we want in the war, we're going to have to go ahead and go to full war with Russia.
[00:07:54.402 --> 00:07:56.163]  That's their main October surprise.
[00:07:56.603 --> 00:08:00.285]  The Tucker Carlson's warned of, the Charlie Kirk's warned of, the Jack Posobiec.
[00:08:00.485 --> 00:08:01.406]  He was also on yesterday.
[00:08:01.766 --> 00:08:02.946]  He's on today, coming up next hour.
[00:08:03.427 --> 00:08:05.768]  Jack Posobiec's been warning of in a really eloquent way.
[00:08:05.828 --> 00:08:06.508]  I've been warning of it.
[00:08:07.109 --> 00:08:07.909]  And now it's here.
[00:08:08.910 --> 00:08:12.612]  For at least six months, we've been just warning you and warning you and warning you and warning you.
