[00:00:00.000 --> 00:00:03.480]  [MUSIC PLAYING]
[00:00:03.480 --> 00:00:04.480]  [GUNSHOT]
[00:00:04.480 --> 00:00:07.458]  [SIREN]
[00:00:07.458 --> 00:00:33.679]   So you hear the air raid siren going off, and you know that means it's an emergency.
[00:00:33.679 --> 00:00:38.179]  That means it's an emergency.
[00:00:38.145 --> 00:00:47.468]  And we have a new system now, the Amber Alert System, that lets you know there's a child that has been potentially kidnapped in an area near you.
[00:00:48.649 --> 00:00:52.350]  It's an emergency, it's a warning, look out, child predator on the loose.
[00:00:52.930 --> 00:01:11.398]   So it's really an amazing thing In the last week, maybe 10 or so days, since the Sound of Freedom came out, and the issue of child sex trafficking has become to the front of the conversation, how much the left, the Democrats and the Liberals don't want to have it?
[00:01:13.199 --> 00:01:14.260]  Well, Donald Trump...
[00:01:16.033 --> 00:01:31.943]  I was thrilled to host a screening at Bedminster of the important new film, Sound of Freedom, about the power of faith in overcoming evil, and in particular, the evil of child trafficking.
[00:01:32.023 --> 00:01:32.703]  Big problem.
[00:01:33.144 --> 00:01:38.667]  We had it down to the lowest number in many years just four years ago, and now it's gone through the roof.
[00:01:39.287 --> 00:01:42.008]  Even though the fake news media has tried to ignore it.
[00:01:42.408 --> 00:01:48.031]  Sound of Freedom has been a national sensation and a colossal success at the box office.
[00:01:48.191 --> 00:01:49.231]  Really big numbers.
[00:01:49.771 --> 00:01:50.772]  Everyone should see it.
[00:01:51.112 --> 00:01:55.253]  This is a very important film and very important movie.
[00:01:55.353 --> 00:01:58.635]  And it's a very important documentary all wrapped up in one.
[00:01:59.435 --> 00:02:03.418]  It's really about an issue that has to be discussed.
[00:02:03.859 --> 00:02:11.505]  Under my leadership, we did more than any administration in history to combat human trafficking and to end modern-day slavery.
[00:02:12.146 --> 00:02:21.413]  In one of my first acts in office, I signed an executive order targeting transnational criminal organizations that traffic and exploit innocent people.
[00:02:21.793 --> 00:02:26.998]  I signed the Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act.
[00:02:27.578 --> 00:02:32.602]  Authorizing $430 million to fight sex and labor trafficking.
[00:02:33.062 --> 00:02:41.729]  I signed legislation to crack down on foreign countries who are not meeting standards for eliminating trafficking, of which there are many.
[00:02:42.109 --> 00:02:47.987]   I also signed into law the Abolish Human Trafficking Act, which strengthened programs supporting
[00:02:47.987 --> 00:02:53.069]   survivors and provided more resources for ending modern slavery.
[00:02:53.069 --> 00:02:55.989]  We do have modern slavery, if you can believe it.
[00:02:55.989 --> 00:03:00.788]   Additionally, I created the first ever White House position focused solely on combating
[00:03:00.788 --> 00:03:02.448]  human trafficking.
[00:03:02.448 --> 00:03:07.749]   And perhaps most importantly, we created the most secure border in U.S. history by far,
[00:03:07.749 --> 00:03:11.109]  dealing a major blow to the cartels and traffickers.
[00:03:11.403 --> 00:03:13.565]  We built hundreds of miles of wall.
[00:03:13.925 --> 00:03:16.828]  We renovated hundreds of miles of wall.
[00:03:17.228 --> 00:03:18.850]  We never had anything like it.
[00:03:19.270 --> 00:03:26.958]  And then I got Mexico, free of charge, to give us 28,000 soldiers to protect us from people coming into our country illegally.
[00:03:27.458 --> 00:03:36.246]  When I am back in the White House, I will immediately end the Biden border nightmare that traffickers are using to exploit vulnerable women and children.
[00:03:36.666 --> 00:03:38.428]  We will fully secure the border.
[00:03:38.849 --> 00:03:46.916]  I will wage war on the cartels just as I destroyed the ISIS caliphate, 100% gone, 100% destroyed.
[00:03:47.196 --> 00:03:50.099]  They'll come back now because we have a weak administration.
[00:03:50.399 --> 00:03:59.630]  I will use Title 42 to end the child trafficking crisis by returning all trafficked children to their families in their home countries and without delay.
[00:04:00.130 --> 00:04:14.020]   And I will urge Congress to ensure that anyone caught trafficking children across our border Receives the death penalty immediately and that includes also for women because women as you know are number one in trafficking.
[00:04:14.300 --> 00:04:15.961]  Children are actually number two.
[00:04:15.981 --> 00:04:24.485]  I want to thank Eduardo, Jim, Tim Ballard and everyone else involved in this film for their incredible efforts and their great genius.
[00:04:24.926 --> 00:04:30.548]  Together we will end the scourge of human trafficking and we will defend the dignity of human life.
[00:04:30.608 --> 00:04:31.489]  Thank you very much.
[00:04:32.429 --> 00:04:33.870]  Thank you very much Donald Trump.
[00:04:35.796 --> 00:04:38.812]  Death penalty for all child traffickers.
[00:04:38.852 --> 00:04:39.898]  Now who doesn't agree with that?
[00:04:42.005 --> 00:04:43.786]  Well, we found out, haven't we, in the last 10 days.
[00:04:44.146 --> 00:04:45.706]  We have found out he doesn't agree with that.
[00:04:46.606 --> 00:04:56.109]  Now, I'm really, we are really going to get into the 2024 presidential election again here tonight, because just like last Sunday night, there have been major developments in the last week.
[00:04:56.129 --> 00:04:59.150]  So we're going to look at some polls and break it all down right here.
[00:04:59.590 --> 00:05:04.992]  And honored to be here with you on this Sunday, July 23rd.
[00:05:07.474 --> 00:05:08.918]  2023 edition of the Alex Jones Show.
[00:05:08.978 --> 00:05:12.027]  I will tell you Alex Jones is in studio.
[00:05:12.107 --> 00:05:14.253]  He's working on some other stuff right now.
[00:05:17.196 --> 00:05:20.139]  I don't know if I'm allowed to tell you, but let's just say, big book.
[00:05:20.519 --> 00:05:22.521]  Big book gonna be hitting the shelves very soon.
[00:05:23.222 --> 00:05:25.104]  So he's got some work he's doing on that right now.
[00:05:25.164 --> 00:05:28.367]  I told him to come in here, pop in if you need a break from that.
[00:05:28.727 --> 00:05:30.209]  He said, no, no, I'm gonna be busy with this.
[00:05:30.269 --> 00:05:34.413]  So we'll see, we may be hearing from Alex at some point tonight as well.
[00:05:34.973 --> 00:05:37.215]  And just quick programming note here.
[00:05:38.206 --> 00:05:43.709]  For InfoWars Sunday Night Live after the Alex Jones Show, two hours right here on Band.Video.
[00:05:44.170 --> 00:05:51.654]  Harrison Smith is going to be joining me in studio, and we're going to be chopping it up on everything I'm about to cover here with your calls as well.
[00:05:51.754 --> 00:05:59.619]  So, going to be a lively four hours here at InfoWars tonight, and I am excited and honored to be here with you.
[00:06:00.940 --> 00:06:02.361]  Let's get into it.
[00:06:07.190 --> 00:06:10.911]  Let's talk about where we're at politically in America today.
[00:06:14.532 --> 00:06:31.597]  If you look to your left, you're going to see somebody that has the basic worldview and understanding that crooks run the country and we are in a much worse place since Joe Biden has taken office and we were doing much better under Donald Trump.
[00:06:31.637 --> 00:06:37.526]   If you look to your right, You're going to see somebody that understands that, but also believes that the election was stolen from Trump.
[00:06:38.667 --> 00:06:48.678]  And then if you look behind you, you're going to see somebody that agrees with all those ideas, but also thinks that there's a pedophile cult blackmailed running the country with the likes of Jeffrey Epstein.
[00:06:50.139 --> 00:06:54.363]  And you look around and you say, well, gee, I used to be in the minority here.
[00:06:54.404 --> 00:06:55.405]  Now everybody agrees.
[00:06:57.045 --> 00:06:58.826]  Why aren't we winning politically?
[00:06:58.946 --> 00:07:00.748]  Why aren't we crushing politically?
[00:07:00.788 --> 00:07:07.732]  Why are we still dealing with the corruption, the criminals in DC, with the lies and deception of the American left?
[00:07:07.812 --> 00:07:08.933]  What is going on here?
[00:07:11.995 --> 00:07:19.200]  Well, it just highlights, it's just the evidence of all the corruption that we know we are living under.
[00:07:19.580 --> 00:07:28.628]   Your worst fears, that your elections are rigged and stolen from you, perhaps confirmed With this real world experience.
[00:07:30.349 --> 00:07:37.692]  So we've got this strange phenomenon where seemingly more than ever the average American just gets it, just gets it.
[00:07:38.373 --> 00:07:45.856]  Might not fully understand everything, might not be immersed in it like you or I. But no, they see that since Biden's gotten to office it's much worse.
[00:07:46.236 --> 00:07:47.757]  They know the media's lying to them.
[00:07:48.337 --> 00:07:49.898]  They know the government's extremely corrupt.
[00:07:49.918 --> 00:07:50.618]  They know D.C.
[00:07:50.658 --> 00:07:51.679]  is the district of criminals.
[00:07:52.890 --> 00:07:54.091]  It's basic common knowledge.
[00:07:54.411 --> 00:07:57.614]  And hell, a lot of people are really starting to get ticked off about it too.
[00:07:58.535 --> 00:08:01.858]  And that's a whole nother, that's a whole nother level of this.
[00:08:03.799 --> 00:08:07.563]  But my guess is you've probably experienced this.
[00:08:09.184 --> 00:08:10.345]  As I have experienced this.
[00:08:11.466 --> 00:08:14.749]  And now the polls are reflecting this.
[00:08:16.310 --> 00:08:18.892]  Not just with Donald Trump surging right now.
[00:08:19.861 --> 00:08:26.166]  To the top of the Republican nomination polls, it's basically like 60% is the lowest he's polling at now.
[00:08:27.087 --> 00:08:29.509]  So it's pretty much over.
[00:08:30.990 --> 00:08:31.491]  It's done.
[00:08:32.351 --> 00:08:36.595]  But you've got the little kamikazes being run by Ronna McDaniel, which is now confirmed.
[00:08:37.756 --> 00:08:44.902]  Ronna McDaniel is running the kamikazes of Chris Christie and Nikki Haley, and probably Asa Hutchinson and Mike Pence too.
