[00:00:05.739 --> 00:00:07.340]  Hitler took the guns.
[00:00:07.340 --> 00:00:11.462]  Stalin took the guns.
[00:00:11.462 --> 00:00:13.383]  Mao took the guns.
[00:00:13.383 --> 00:00:15.544]  Fidel Castro took the guns.
[00:00:15.544 --> 00:00:19.146]  Hugo Chavez took the guns.
[00:00:36.934 --> 00:00:42.378]  1776 will commence again if you try to take our firearms!
[00:00:42.378 --> 00:00:45.479]  The Republic will rise again when you attempt to take our guns.
[00:00:45.479 --> 00:00:50.542]  I am sworn upon the altar of God.
[00:00:50.542 --> 00:00:54.845]  Eternal hostility against every form of tyranny of the mind.
[00:00:59.000 --> 00:01:00.902]  The answer to 1984 is 1776.
[00:01:00.902 --> 00:01:07.206]  You're listening to the Alex Jones Show.
[00:01:07.206 --> 00:01:10.909]  Boom!
[00:01:10.909 --> 00:01:12.210]  It's Thursday, November 23rd, 2023.
[00:01:12.210 --> 00:01:12.830]  It's Thanksgiving.
[00:01:16.639 --> 00:01:28.223]  And I am extremely thankful for God giving me consciousness and creating this great universe and providing us all the wonderment and light and love that we can all take part in if we choose that.
[00:01:28.223 --> 00:01:35.966]  And I really want to thank the audience of activists out there, every red-blooded human across this planet, black, white, old, young, you name it.
[00:01:35.966 --> 00:01:36.507]  I love you.
[00:01:36.507 --> 00:01:37.427]  I appreciate you.
[00:01:37.427 --> 00:01:38.147]  I love the crew.
[00:01:38.147 --> 00:01:40.368]  I'm very thankful for my family.
[00:01:40.368 --> 00:01:42.569]  And I think it's very important
[00:01:43.444 --> 00:01:44.105]  To be thankful.
[00:01:44.105 --> 00:01:47.828]  We can all be more thankful and not live in victim ideology.
[00:01:47.828 --> 00:01:55.275]  You know, I speak out a lot against victimhood and victim ideology, but we are being victimized by the globalists, but we're going to be overcomers.
[00:01:55.275 --> 00:02:03.123]  We're not going to continue to be their victims, and that's what this transmission is all about.
[00:02:03.123 --> 00:02:04.825]  We have a very special
[00:02:06.087 --> 00:02:13.671]  Broadcast lined up for you today with some of the best interviews that we have recently done.
[00:02:13.671 --> 00:02:19.354]  I'll be surprising you with those when we come back in the next segment.
[00:02:19.354 --> 00:02:22.256]  And also there's going to be some other big surprises.
[00:02:23.464 --> 00:02:35.790]  Coming up next week on the live transmission as well, but this is a taped transmission right now, but I did want to do this before I took off some time with my family.
[00:02:35.790 --> 00:02:43.453]  I'll be also on Thanksgiving shooting some special Thanksgiving messages as well.
[00:02:43.453 --> 00:02:49.236]  On Thanksgiving Day, you'll be seeing at InfoWars.com, NewsWars.com, and Band.Video.
[00:02:49.949 --> 00:03:07.322]  I also want to say that I'm extremely thankful for the Great Awakening that's happening, not just Javier Milley getting elected in Argentina, but if I tried to list at the parliamentary level, at the provincial level, at the regional level, from Canada to Australia,
[00:03:08.274 --> 00:03:15.919]  The national level in New Zealand, the national level in Italy, the national level in areas of Europe like Sweden and Spain.
[00:03:15.919 --> 00:03:20.001]  I mean it just goes on and on and on.
[00:03:20.001 --> 00:03:33.389]  The vast majority of local, regional and national elections, and I've been trying to research it and get the numbers, it's hard to compile them all, but the vast majority, I'd have to say 80% is conservative,
[00:03:34.549 --> 00:03:45.892]  of important regional and national elections are going, not just traditional conservatives, but populist, anti-globalist, pro-humans that really get what's going on.
[00:03:45.892 --> 00:03:57.655]  And then as they have success, that spurs and encourages and really becomes an example to many others to model themselves after that.
[00:03:57.655 --> 00:04:00.915]  So the next huge wave of liberty is here.
[00:04:00.915 --> 00:04:03.556]  You go back 50, 60 years ago, it was
[00:04:05.413 --> 00:04:07.335]  One percent out of a hundred that know about this.
[00:04:07.335 --> 00:04:22.847]  And then when I was part of launching with you, the next big wave, it was 15 percent of people that were aware of what was happening by the end of the big wave that this broadcast was a harbinger of.
[00:04:23.812 --> 00:04:29.578]  And now the next massive wave is here and it's more like 50% being awake worldwide.
[00:04:29.578 --> 00:04:35.803]  And when you get to 50% that know what's going on or even partially what's going on, it's game over for the tyrants.
[00:04:35.803 --> 00:04:41.148]  So I'm very, very thankful to all of you in the InfoWars audience, the men and women in the arena.
[00:04:41.849 --> 00:04:43.310]  That have truly changed the world.
[00:04:43.310 --> 00:04:51.153]  I salute you and I thank you and I'm giving thanks for you and raising a toast to you today and saluting you all.
[00:04:51.153 --> 00:04:52.313]  We'll be right back.
[00:04:52.313 --> 00:04:56.155]  I'm Alex Jones coming to you from deep in the heart of Texas, Austin.
[00:04:56.155 --> 00:04:57.095]  More straight ahead.
[00:05:01.556 --> 00:05:04.698]  Thanksgiving 2023 is here.
[00:05:04.698 --> 00:05:10.142]  And I'm giving Thanksgiving for all we've done against tyranny and your incredible support together in this fight.
