[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[00:00:26.575 --> 00:00:31.139]  Don't bother, they're here.
[00:00:45.427 --> 00:00:49.509]  Isn't it queer?
[00:00:49.509 --> 00:00:58.812]  Losing my timing this late in my career.
[00:00:58.812 --> 00:01:03.774]  Where are the clowns?
[00:01:03.774 --> 00:01:05.794]  It's Friday!
[00:01:05.794 --> 00:01:08.595]  There ought to be clowns.
[00:01:08.595 --> 00:01:08.976]  March 31st, 2023.
[00:01:08.976 --> 00:01:09.096]  Well...
[00:01:21.235 --> 00:01:24.758]  We are in a major crisis.
[00:01:24.758 --> 00:01:27.660]  Our republic is collapsing.
[00:01:27.660 --> 00:01:31.104]  The dollar is losing its world reserve currency.
[00:01:31.104 --> 00:01:33.386]  Our borders have been purposely lowered.
[00:01:35.287 --> 00:01:40.911]  We are occupied by a corporate global force that seeks to destroy all nation states and the family.
[00:01:40.911 --> 00:01:42.732]  They're going to bring down the world.
[00:01:42.732 --> 00:01:47.195]  They've got to bring down the United States of America first.
[00:01:47.195 --> 00:01:54.100]  No matter what you think of President Trump, this is the greatest legal crisis in U.S.
[00:01:54.100 --> 00:01:56.081]  history.
[00:01:56.081 --> 00:02:04.547]  Every major analyst agrees that this is beyond unprecedented and is truly a bellwether or a harbinger of the end of the republic.
[00:02:06.212 --> 00:02:13.454]  Now you know why Soros has put in over 2,000 district attorneys and county attorneys and controls 22 attorney generals.
[00:02:13.454 --> 00:02:15.855]  He's overthrown countless countries.
[00:02:15.855 --> 00:02:18.716]  And he will overthrow America if we let him.
[00:02:18.716 --> 00:02:22.417]  When I say Soros, I mean the people he represents.
[00:02:22.417 --> 00:02:29.260]  This is a very vicious organized crime syndicate.
[00:02:29.260 --> 00:02:33.121]  But it's being forced out in the open, and it's doing all this,
[00:02:35.387 --> 00:02:44.996]  Because the world, not just America, is waking up to these captors saying, we refuse to be your slaves.
[00:02:44.996 --> 00:02:52.543]  Now, Roger Stone was on yesterday, and the last thing he said is, Trump is still going to be indicted any time now.
[00:02:52.543 --> 00:03:00.391]  And of course, we now know Trump knew yesterday, before they even announced it, that that was the case, because his lawyer had talked Thursday
[00:03:01.784 --> 00:03:08.850]  Evening to the Puppet District Attorney in Manhattan.
[00:03:08.850 --> 00:03:10.531]  Roger Stone predicted it yesterday.
[00:03:10.531 --> 00:03:13.053]  He'll be joining us in 15 minutes.
[00:03:13.053 --> 00:03:14.674]  Robert Barnes is going to be riding shotgun.
[00:03:14.674 --> 00:03:17.797]  Owen's going to be coming in as well with his excellent analysis.
[00:03:17.797 --> 00:03:22.421]  And somebody wanted to get on for a long time.
[00:03:22.421 --> 00:03:27.345]  Alan Dershowitz is going to be on with us coming up in the second hour to give his historical
[00:03:29.016 --> 00:03:31.637]  Legal views on this as well.
[00:03:31.637 --> 00:03:36.240]  So a big broadcast lined up for you here today.
[00:03:36.240 --> 00:03:43.904]  Let's play a short clip of Roger Stone on the show yesterday saying Trump will still be indicted.
[00:03:45.249 --> 00:03:47.590]  There's nothing to prevent a U.S.
[00:03:47.590 --> 00:03:53.132]  citizen from being nominated and running for president while under indictment.
[00:03:53.132 --> 00:04:06.417]  In fact, not all of the alleged crimes against Trump would prevent him from running or being president, although being convicted of violation of the 14th Amendment would preclude you from running for federal office.
[00:04:06.417 --> 00:04:10.518]  So I think it is entirely possible, in fact likely at this
[00:04:10.538 --> 00:04:15.020]  I actually think that is the backdrop that virtually ensures his election.
[00:04:15.020 --> 00:04:18.042]  People can see through this, and I think they do see through this.
[00:04:37.458 --> 00:04:39.479]  And he went on to predict he will be indicted soon.
[00:04:39.479 --> 00:04:40.499]  We'll have more of that coming up.
[00:04:40.499 --> 00:04:44.681]  Roger Stone joins us in about 10 minutes from now.
[00:04:44.681 --> 00:04:49.542]  And we will also be talking to Alan Dershowitz, Robert Barnes, Owen Schroyer.
[00:04:49.542 --> 00:04:52.123]  We're looking to get Ted Nugent on him and talking to him.
[00:04:52.123 --> 00:04:53.364]  He's pretty pissed.
[00:04:53.364 --> 00:04:55.424]  Big broadcast lined up for you on this Friday show.
[00:04:55.424 --> 00:04:57.865]  Don't forget, we'll be back Sunday, 4 to 6 p.m.
[00:04:57.865 --> 00:05:00.646]  Central as well.
[00:05:00.646 --> 00:05:03.987]  Most banned man in America, Alex Jones.
[00:05:08.803 --> 00:05:10.144]  I want you all to know something.
[00:05:10.144 --> 00:05:12.106]  Alex Jones was right.
[00:05:12.106 --> 00:05:15.648]  Alex is right about far more than is wrong.
[00:05:15.648 --> 00:05:18.590]  Alex has been right on for over a decade.
[00:05:18.590 --> 00:05:23.014]  I don't care how you slice it, dice it, flip it up or rub it down.
[00:05:23.014 --> 00:05:25.236]  Alex Jones was right.
[00:05:25.236 --> 00:05:28.758]  Think about how frustrated we are if you've been awake for a year or two.
[00:05:28.758 --> 00:05:32.201]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[00:05:32.481 --> 00:05:35.342]  Alex Jones called this years ago.
[00:05:35.342 --> 00:05:36.383]  Years ago.
[00:05:36.383 --> 00:05:38.464]  Alex Jones never bought the Russia hoax.
[00:05:38.464 --> 00:05:40.444]  Not for a second.
[00:05:40.444 --> 00:05:42.966]  You are one of the great thinkers of this.
[00:05:42.966 --> 00:05:45.447]  You are a martyr to the First Amendment.
[00:05:45.447 --> 00:05:48.548]  The government fears Alex Jones.
[00:05:48.548 --> 00:05:53.210]  That's why the globalists hate me, is because I'm exposing their corporate worldwide tyranny.
[00:06:03.286 --> 00:06:05.949]  Waging war on corruption.
[00:06:05.949 --> 00:06:16.199]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:16.199 --> 00:06:18.301]  It's Friday, March 31st, 2023.
[00:06:18.301 --> 00:06:22.305]  We are a republic.
[00:06:22.305 --> 00:06:26.489]  We're a world sliding into classical tyranny.
[00:06:29.093 --> 00:06:29.934]  Wow.
[00:06:29.934 --> 00:06:34.618]  President Trump, 34 count indictment.
[00:06:34.618 --> 00:06:39.502]  We now learn they called up Trump's lawyer on Thursday and said, we want him to turn himself in tomorrow.
[00:06:39.502 --> 00:06:45.387]  So Trump knew Thursday evening.
[00:06:45.387 --> 00:06:51.752]  But a week and a half ago, Alvin Bragg had done that once saying, we're going to indict him in a couple of days.
[00:06:51.752 --> 00:06:52.913]  We want you to turn yourself in.
[00:06:52.913 --> 00:06:54.654]  And then when Trump said it, they went, Oh, you're crazy.
[00:06:54.654 --> 00:06:55.255]  You're making it up.
[00:06:56.618 --> 00:06:58.279]  The late night comics made jokes about it.
[00:06:58.279 --> 00:06:59.160]  Trump made it up.
[00:06:59.160 --> 00:07:01.341]  He's not being indicted.
[00:07:01.341 --> 00:07:03.803]  Boy, he lies a lot.
[00:07:03.803 --> 00:07:12.689]  Well, Trump, the last time they tried to trick him to come out and announce he was being indicted, he didn't announce it because he didn't know if it was true.
[00:07:12.689 --> 00:07:14.210]  They lie so much.
[00:07:14.210 --> 00:07:21.795]  But now they've officially announced that it's still sealed, but it's 34 counts.
[00:07:21.795 --> 00:07:26.238]  To describe how this pretty much completes our journey into being a banana republic,
[00:07:27.213 --> 00:07:36.160]  Let's play a clip from Senator Josh Hawley, who's a former prosecutor himself, talking about this situation.
[00:07:36.160 --> 00:07:38.062]  I think he sums it up best on Tucker last night.
[00:07:39.594 --> 00:07:43.036]  Well, I think what this is about is nothing to do with the rule of law, Jesse.
[00:07:43.036 --> 00:07:44.517]  Obviously, this is about power.
[00:07:44.517 --> 00:07:46.818]  It is a demonstration of raw power.
[00:07:46.818 --> 00:07:49.139]  I think the Democrats know this has nothing to do with the law.
[00:07:49.139 --> 00:07:50.340]  They're sending a message.
[00:07:50.340 --> 00:07:56.343]  And the message is, they will use any power that they have to interfere in the next presidential election.
[00:07:56.343 --> 00:07:59.984]  They will not willingly allow Donald Trump to run for president.
[00:07:59.984 --> 00:08:02.366]  They will not willingly lose the next election.
[00:08:02.366 --> 00:08:04.507]  They're going to use every means at their disposal.
[00:08:04.507 --> 00:08:06.808]  And Jesse, these are the same people who have sent
[00:08:07.048 --> 00:08:07.949]  We're good to go.
[00:08:26.505 --> 00:08:27.948]  And that's him on another Fox show.
[00:08:27.948 --> 00:08:30.313]  I also have him on Tucker as well.
[00:08:30.313 --> 00:08:31.535]  Let's play a clip from Tucker.
[00:08:31.535 --> 00:08:32.537]  Here's Tucker.
[00:08:32.537 --> 00:08:34.581]  The whole monologue is on Infowars.com.
[00:08:34.581 --> 00:08:37.086]  Let's play a few minutes of it, but he does a good summation.
[00:08:37.086 --> 00:08:37.386]  Here it is.
[00:08:38.643 --> 00:08:40.364]  Good evening and welcome to Tucker Carlson.
[00:08:40.364 --> 00:08:41.745]  Tonight, a Fox News alert.
[00:08:41.745 --> 00:09:04.599]  American politics was thrown into complete chaos, perhaps permanently, about three hours ago, when a grand jury in Manhattan, one of the most liberal cities in America, a place where 80% voted for Joe Biden in the last election, decided to indict Biden's political opponent in the upcoming election, the Republican frontrunner, a man who leads by 30 points in polls, Donald Trump.
[00:09:05.546 --> 00:09:08.632]  And the jury did this at the urging of a man called Alvin Bragg.
[00:09:08.632 --> 00:09:15.306]  He's the Manhattan District Attorney who has been famous so far by making the city much more dangerous by refusing to enforce laws against crimes.
