[00:00:09.386 --> 00:00:13.140]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:00:13.140 --> 00:00:14.224]  Same exact drug!
[00:00:15.795 --> 00:00:22.558]  The system is breaking down under Joe Biden's powder keg of corruption.
[00:00:22.558 --> 00:00:30.200]  What we learned by bringing in Hunter Biden's business partner is that the President Biden had lied to the American public.
[00:00:30.200 --> 00:00:34.962]  He got on conference calls when his son was selling the brand with his clients.
[00:00:34.962 --> 00:00:39.664]  He literally went to dinners, which we never knew, and after the dinners, his son
[00:00:40.444 --> 00:00:40.825]  We're good to go.
[00:00:55.942 --> 00:01:01.683]  The alleged accusation that put us into impeachment inquiry is true.
[00:01:01.683 --> 00:01:20.927]  Across the United States Soros puppets and power whores are opting to violate their constitutional oaths to suspend the Bill of Rights in favor of feverishly clawing for the power and funds stirred up by emergency declarations rather than finding real solutions for their constituents.
[00:01:21.187 --> 00:01:24.570]  This public health order has also sparked three lawsuits.
[00:01:24.570 --> 00:01:36.962]  Whether it's the governor, whether it's somebody in our legislature, does not have the authority to impinge on your rights given under the United States Constitution.
[00:01:37.182 --> 00:01:44.385]  In Oakland, California, Mayor Shang Tao is threatening to use an emergency declaration to install a new police chief.
[00:01:44.385 --> 00:01:51.648]  And in Vista, California, Mayor Joe Franklin is considering declaring an emergency over the homeless situation.
[00:01:51.648 --> 00:02:06.054]  While the Soros Foundation retreats from Europe, and more than a dozen prosecutors linked to Soros-funded campaign committees or organizations in the United States have left office after resigning, either losing re-election or being removed.
[00:02:06.474 --> 00:02:14.379]  Hunter Biden is indicted by a special counsel on felony gun charges, and the COVID rollout stumbles to roll down the tracks.
[00:02:14.379 --> 00:02:18.582]  Tell everybody, don't rely on the fact that you had a vaccine in the past.
[00:02:18.582 --> 00:02:20.523]  It will not help you this time around.
[00:02:20.523 --> 00:02:29.089]  Joe Biden and his unscrupulous, failing regime gaslight the country into a propagandized hellscape out of sheer panic.
[00:02:29.389 --> 00:02:35.634]  How confident are you that there will be no evidence that incriminates President Biden in Hunter's guilty stealings as this goes forward?
[00:02:35.634 --> 00:02:38.616]  So you see Republicans in Congress, right?
[00:02:38.616 --> 00:02:41.858]  They have spent all year investigating the President.
[00:02:41.858 --> 00:02:44.100]  That's what they've spent all year doing.
[00:02:44.100 --> 00:02:46.582]  And have turned up with no evidence.
[00:02:47.122 --> 00:02:47.582]  None.
[00:02:47.582 --> 00:02:58.907]  There is a new CNN poll that shows, if we could put that up, 61% of the American people think that Biden had at least some involvement in Hunter Biden's business dealings while he served as vice president.
[00:02:58.907 --> 00:02:59.627]  Right.
