[00:00:01.605 --> 00:00:01.726]  Yeah.
[00:00:15.703 --> 00:00:18.605]  This is Uncle Sam with music and the truth until dawn.
[00:00:18.605 --> 00:00:22.688]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:00:22.688 --> 00:00:24.910]  The chair is against the wall.
[00:00:24.910 --> 00:00:26.591]  John has a long mustache.
[00:00:26.591 --> 00:00:29.974]  This is the heart of 1776.
[00:00:29.974 --> 00:00:31.295]  It's 12 o'clock, Americans.
[00:00:31.295 --> 00:00:32.876]  Another day closer to victory.
[00:00:32.876 --> 00:00:36.959]  And for all of you out there on or behind the lines, this is your song.
[00:00:47.944 --> 00:00:54.526]  You are listening to an InfoWars.com Frontline Report.
[00:00:54.526 --> 00:01:06.049]  If you are receiving this transmission, you are the resistance.
[00:01:06.049 --> 00:01:14.551]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:01:18.556 --> 00:01:20.216]  It's Thursday, March 30th, 2023.
[00:01:20.216 --> 00:01:24.077]  I'm your host, Alex Jones.
[00:01:24.077 --> 00:01:28.898]  We have another incredibly important transmission lined up for you today.
[00:01:28.898 --> 00:01:33.760]  We have Roger Stone with big breaking news joining us in the second hour.
[00:01:33.760 --> 00:01:35.960]  Drew Hernandez joining us in the third hour.
[00:01:35.960 --> 00:01:39.561]  And Paul Joseph Watson in the fourth hour.
[00:01:42.239 --> 00:02:00.369]  And boy, do we have a full plate on the war front, on the economy front, on the total AI takeover censorship front, on the transgender nation front, on black reparations in California to cost 800 billion government estimates.
[00:02:00.369 --> 00:02:05.132]  It is all the design takedown of our civilization.
[00:02:05.132 --> 00:02:11.776]  Thank you for joining us again on this live, uncensored, teleprompter-free edition of the Alex Jones Show.
[00:02:14.278 --> 00:02:39.034]  I was the first, really, 25 years ago or so, to track where the transgender movement came from, and it was created by the transhumanist movement of Aldous Huxley, who really founded the United Nations and really ran it for the 30 years that he was alive, after setting it up in 1946 at Presidio Naval Base in San Francisco.
[00:02:40.473 --> 00:02:50.018]  And they said that once we break up the family and once we confuse the genders, we can then separate children basically at birth and raise them as functionaries of the state.
[00:02:50.018 --> 00:02:56.782]  Similar to the book his brother wrote in 31, or published in 32, Brave New World.
[00:02:56.782 --> 00:02:57.443]  Aldous Huxley.
[00:02:59.025 --> 00:03:03.227]  Huxley again wrote, I talk about this all the time, and thank God now even Duncan Carlson is talking about it.
[00:03:03.227 --> 00:03:04.788]  You go read it, it's incredible.
[00:03:04.788 --> 00:03:11.833]  Brave New World revisited in 1961 or 62 when he was dying of cancer.
[00:03:11.833 --> 00:03:20.858]  And he gave speeches also, it's not the book that was non-fiction, saying this is the actual plan of my family and my brother and it's our world and
[00:03:21.940 --> 00:03:23.161]  George Orwell was wrong.
[00:03:23.161 --> 00:03:26.882]  We won't rule you with jackboots and trudgeons.
[00:03:26.882 --> 00:03:28.643]  That's for the few that resist.
[00:03:28.643 --> 00:03:30.964]  We're going to chemicalize you and brainwash you from birth.
[00:03:30.964 --> 00:03:33.385]  You'll never know what hit you.
[00:03:33.385 --> 00:03:37.147]  And Bertrand Russell and others wrote books saying the same thing.
[00:03:37.147 --> 00:03:39.168]  So that's what this is.
[00:03:39.168 --> 00:03:42.630]  And that's why it has pure total corporate backing.
[00:03:44.246 --> 00:04:00.689]  And the good news is the public's really starting to figure out that the minions of this are mainly just autistic children who were put into the system and told they were transgender and celebrated and other mentally damaged folks.
[00:04:00.689 --> 00:04:08.511]  Because they always had to have a way to celebrate those they'd already brain damaged and then shunt them off into a sterilization program.
[00:04:08.511 --> 00:04:11.111]  But transgenderism is just the leading edge of this.
[00:04:11.111 --> 00:04:12.992]  And if you go to any of these transgender events,
[00:04:13.982 --> 00:04:16.362]  In Kentucky or in Texas or in New York.
[00:04:16.362 --> 00:04:18.803]  We have countless videos.
[00:04:18.803 --> 00:04:22.204]  They are men dressed like clowns saying that's what a woman is.
[00:04:22.204 --> 00:04:23.724]  Get the clown.
[00:04:23.724 --> 00:04:26.725]  Normally wearing bathamette outfits.
[00:04:26.725 --> 00:04:28.125]  And we have long compilations.
[00:04:28.125 --> 00:04:29.065]  We've played many times.
[00:04:29.065 --> 00:04:30.105]  We should probably play some of those.
[00:04:30.105 --> 00:04:32.086]  I haven't played them in a while.
[00:04:32.086 --> 00:04:36.947]  Of these individuals showing up at city councils everywhere in bathamette outfits.
[00:04:36.947 --> 00:04:39.307]  It happened a lot yesterday across the country.
[00:04:39.307 --> 00:04:40.567]  Saying we're here to groom your children.
[00:04:40.567 --> 00:04:41.187]  They belong to us.
[00:04:41.187 --> 00:04:41.808]  We're going to get them.
[00:04:44.611 --> 00:04:51.958]  So, Satan's army comes as pot-bellied, grotesque men in clown outfits demanding access to your children.
[00:04:51.958 --> 00:04:58.163]  Or, as the media is now defending, this woman's a hero for going and killing the kids because people were mean to her.
[00:04:58.163 --> 00:05:01.646]  They'll kill you.
[00:05:01.646 --> 00:05:07.892]  If Alex Jones runs for president in the Republican Party, he has a chance of winning.
[00:05:11.297 --> 00:05:17.219]  If you just tuned in, you may be noticing I'm wearing an Alex Jones for President 2024 shirt.
[00:05:17.219 --> 00:05:19.640]  I am not seriously planning to run for president.
[00:05:19.640 --> 00:05:20.960]  This is an idea the crew had.
[00:05:20.960 --> 00:05:23.621]  To have a triggering shirt, kind of next level.
[00:05:23.621 --> 00:05:24.861]  Alex Jones was right.
[00:05:24.861 --> 00:05:29.223]  There's Infowars.com on the back, Alex Jones for President 2024 on the front.
[00:05:29.223 --> 00:05:30.263]  It's a fundraiser shirt.
[00:05:30.263 --> 00:05:31.523]  It's made out of really nice fabric.
[00:05:31.523 --> 00:05:32.864]  It's high quality.
[00:05:32.864 --> 00:05:36.265]  And it is a exclusive shirt to Infowarsstore.com.
[00:05:36.265 --> 00:05:38.125]  And when the shirts are gone, they're gone.
[00:05:38.125 --> 00:05:39.226]  We're doing one run.
[00:05:40.206 --> 00:05:43.790]  ...of Alex Jones for President 2024 shirts.
[00:05:43.790 --> 00:05:50.937]  And we'll have a historic memento, be able to spread the word, meet a lot of like-minded people, and you'll be able to keep us on the air.
[00:05:50.937 --> 00:05:52.058]  No way.
[00:05:52.058 --> 00:05:52.318]  No way.
[00:05:52.318 --> 00:05:53.619]  That's a bridge too far.
[00:05:53.619 --> 00:05:55.381]  That's no, it can't be.
[00:05:55.381 --> 00:05:57.403]  And I said on national television that he was gonna win.
[00:06:02.011 --> 00:06:03.132]  Big Brother.
[00:06:03.132 --> 00:06:04.953]  Mainstream media.
[00:06:04.953 --> 00:06:06.854]  Government coverage.
[00:06:06.854 --> 00:06:08.535]  You want to stop tyranny?
[00:06:08.535 --> 00:06:10.196]  Well, so does he.
[00:06:10.196 --> 00:06:15.098]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:15.098 --> 00:06:16.699]  Get your motor running.
[00:06:16.699 --> 00:06:18.120]  Head out on the highway.
[00:06:18.120 --> 00:06:20.061]  Head out on the highway.
[00:06:20.061 --> 00:06:21.362]  Looking for adventure.
[00:06:21.362 --> 00:06:22.943]  Looking for adventure.
[00:06:22.943 --> 00:06:24.624]  And whatever comes our way.
[00:06:24.624 --> 00:06:26.305]  Whatever comes our way.
[00:06:28.482 --> 00:06:33.045]  Ladies and gentlemen, we are live Thursday, March 30th, 2023.
[00:06:33.045 --> 00:06:39.848]  And there is a lot of powerful news and information to cover today.
[00:06:59.983 --> 00:07:15.492]  Alright, the world's waking up to S-686, but the media is conflating it with Josh Hawley's bill that would just ban TikTok, which I don't fully agree with, but I get his point, but I also get Rand Paul's point.
[00:07:15.492 --> 00:07:19.354]  But people are getting mad at Josh Hawley out there thinking he is pushing S-686.
[00:07:19.354 --> 00:07:22.936]  No, that's set to pass right now.
[00:07:22.936 --> 00:07:27.659]  The people that actually sponsored S-686, they are blocking, along with Rand Paul,
[00:07:28.544 --> 00:07:30.265]  For different reasons.
[00:07:30.265 --> 00:07:34.286]  Holly's bill to just outright ban TikTok.
[00:07:34.286 --> 00:07:40.027]  He says, we don't need this police state bill to take over the Internet and have total surveillance and control.
[00:07:40.027 --> 00:07:41.268]  We just ban TikTok.
[00:07:41.268 --> 00:07:43.228]  It's run by the shycoms.
[00:07:43.228 --> 00:07:44.969]  And it does keylog what you do.
[00:07:44.969 --> 00:07:46.890]  It is a weapon system.
[00:07:46.890 --> 00:07:52.591]  But Rand Paul goes, OK, well, we're going to ban all the other big tech here because they're all just the same.
[00:07:52.591 --> 00:07:56.432]  So I get his point as well, but it's a distraction from S686.
[00:07:59.963 --> 00:08:03.584]  Because that bill does nothing to TikTok.
[00:08:03.584 --> 00:08:09.125]  It just takes over the entire web in the name of protecting you from TikTok and everything else.
[00:08:09.125 --> 00:08:11.686]  So we have that news.
[00:08:11.686 --> 00:08:25.229]  We have a big stack of the transgender cult going completely crazy all over the country as local governments and state governments move to protect children from the cult, which is extremely pedophilic.
[00:08:27.185 --> 00:08:32.187]  At its heart, a lot of big developments on that front we're going to be going through.
[00:08:32.187 --> 00:08:34.908]  Also, I didn't see it in the stack.
[00:08:34.908 --> 00:08:38.370]  I meant to tell the crew, but we're going to be playing this coming up.
[00:08:38.370 --> 00:08:39.450]  Bottom of the hour.
[00:08:39.450 --> 00:08:44.872]  Cruz dims perfectly willing to turn a blind eye to child rape and murder at the border.
[00:08:44.872 --> 00:08:51.375]  He destroyed the head of the ICE program, Mayorkas.
[00:08:52.512 --> 00:08:56.615]  So we're going to be playing that clip coming up.
[00:08:56.615 --> 00:09:00.797]  Absolutely destroys him.
[00:09:00.797 --> 00:09:14.585]  We're going to be looking at the incredibly dangerous and quickly escalating situation in Ukraine and what that's doing, not just militarily, but economically around the world.
[00:09:14.585 --> 00:09:18.168]  And Rand Paul has helped return war powers to Congress.
[00:09:18.168 --> 00:09:19.989]  He's got bipartisan legislation.
[00:09:21.432 --> 00:09:32.674]  That is on the verge of passing to suspend the legislation that enabled presidents to circumvent Congress and launch all these giant wars.
[00:09:32.674 --> 00:09:36.575]  So we're going to be looking at that.
[00:09:36.575 --> 00:09:45.537]  Also, major backlash against fake meat and insect-based food around the world with legislation being passed in many countries are on the verge of passing some good news there.
[00:09:47.680 --> 00:09:56.023]  A town evacuated in Minnesota after another train carrying ethanol, that's like two in the last day, derails and bursts into flames.
[00:09:56.023 --> 00:09:59.105]  I mean, a lot of this is deliberate sabotage.
[00:09:59.105 --> 00:10:02.646]  The amount of infrastructure collapse is just off the charts, ladies and gentlemen.
[00:10:02.646 --> 00:10:15.211]  So we're going to be looking at all of that and major rebellions against globalist agendas all over the world, from Australia to New Zealand to Germany to the Netherlands.
[00:10:16.502 --> 00:10:19.243]  To the UK, to Israel, to France.
[00:10:19.243 --> 00:10:26.486]  People are fighting back against the globalists and directly challenging the actual controllers, not just fighting amongst themselves.
[00:10:26.486 --> 00:10:31.989]  Very good news on that front as well.
[00:10:31.989 --> 00:10:34.870]  And that's just some of the news.
[00:10:34.870 --> 00:10:39.572]  I want to get into reparations for black Californians could top $800 billion.
[00:10:39.572 --> 00:10:41.413]  That, of course, will be doled out by the Democrats.
[00:10:42.818 --> 00:10:45.019]  And of course they will keep 90% of it.
[00:10:45.019 --> 00:10:48.841]  And that ties into some of the other legislation going on.
[00:10:48.841 --> 00:10:55.463]  So we'll be looking at all of that coming up here today.
[00:10:55.463 --> 00:10:57.164]  And you know, I want to talk to Roger Stone.
[00:10:57.164 --> 00:10:58.344]  I want to talk to Drew Hernandez.
[00:10:58.344 --> 00:11:01.085]  We look forward to them coming on with us.
[00:11:01.085 --> 00:11:05.747]  But I really want to take your calls on all this too.
[00:11:05.747 --> 00:11:08.368]  And that's why I've been doing a lot of the Saturday shows where we just take calls.
[00:11:08.368 --> 00:11:10.209]  I've been trying to take calls more during the weekday show.
[00:11:11.510 --> 00:11:12.991]  But I tell you what I'll do.
[00:11:12.991 --> 00:11:22.596]  We have a bunch of guests tomorrow, and I want to interview those guests, but I think I may just move those guests so that we can take four hours of calls tomorrow.
[00:11:22.596 --> 00:11:27.359]  Because I really like taking your calls, so that's in the hopper as well.
[00:11:27.359 --> 00:11:31.641]  Okay, so that's some of what we're going to be hitting.
[00:11:31.641 --> 00:11:35.724]  We'll be hitting a lot of other news, obviously, as it breaks and unfolds.
[00:11:37.779 --> 00:11:41.600]  The first thing I want to hit is the trans cult and what they're up to.
[00:11:41.600 --> 00:11:48.842]  And when we come back, I'm going to get into some of their demonstrations all over the country in devil outfits.
[00:11:48.842 --> 00:11:56.144]  And the guy they stopped in Florida last week trying to go into a topless bar and kill a bunch of people, he was wearing a devil outfit as well.
[00:11:56.144 --> 00:12:01.745]  So these folks really kind of let you know who they are and what they're doing.
[00:12:01.745 --> 00:12:05.826]  They see themselves as priests carrying out the recruiting
[00:12:07.381 --> 00:12:09.643]  Of your children.
[00:12:09.643 --> 00:12:13.227]  So that is all coming up.
[00:12:13.227 --> 00:12:26.460]  But the first thing again I want to drill into is the trans-cult nation that is a cult created by the CIA and corporate media and the Tavistock Institute and the entire system.
[00:12:28.683 --> 00:12:31.285]  So let's go ahead and start drilling into that right now.
[00:12:31.285 --> 00:12:36.430]  Ann Coulter's written a really informative article that I will not read here on air, but you should read it.
[00:12:36.430 --> 00:12:38.251]  It's Transgender Nation.
[00:12:38.251 --> 00:12:41.514]  It's at townhall.com.
[00:12:41.514 --> 00:12:54.965]  And she lays out the fact that it is a leftist sacrament of almost 90% white people who go get pregnant or adopt children so they can then
[00:12:56.195 --> 00:13:05.242]  Tell them that they're in other sex and force them, as it's now coming out, to transition and force them to cut their genitals off.
[00:13:05.242 --> 00:13:14.989]  And what it does to little boys, how for up to five years they have to wear a giant cone inside their bleeding, bloody body.
[00:13:14.989 --> 00:13:21.534]  Because they don't have a vagina, they don't have a cervix, they don't have a uterus, and let's just face it,
[00:13:23.325 --> 00:13:30.766]  Women are amazing, but they go through a lot having a vagina, having a cervix, having a uterus, having ovaries.
[00:13:30.766 --> 00:13:39.528]  And anybody that's been around and has a wife or mothers or sisters or children, I mean, you know, what girls go through is tough.
[00:13:39.528 --> 00:13:47.869]  And they're designed with a vagina, with a cervix, with a uterus to do this.
[00:13:47.869 --> 00:13:51.710]  And I was sent a clip yesterday that I forgot to send the crew that I hadn't seen.
[00:13:54.164 --> 00:13:57.247]  Tim Pool is playing a clip of this famous transgender individual.
[00:13:57.247 --> 00:14:01.390]  It's had a TV show, I guess, for over a decade as the little boy transitioned to a girl.
[00:14:01.390 --> 00:14:05.313]  And it's his mother making him do it.
[00:14:05.313 --> 00:14:08.216]  And then him crying and complaining, but everybody loves the mother.
[00:14:08.216 --> 00:14:09.517]  She's a hero.
[00:14:09.517 --> 00:14:12.620]  When they chop the penis off, it goes over the years.
[00:14:12.620 --> 00:14:13.761]  I hadn't seen this till yesterday.
[00:14:14.938 --> 00:14:21.601]  I popped by my parents' house, talked to one of their friends, one of my childhood friends, and I've known the woman since I was a kid, three years old.
[00:14:21.601 --> 00:14:22.862]  She was there, she said, have you seen this?
[00:14:22.862 --> 00:14:23.482]  And I said, no.
[00:14:23.482 --> 00:14:35.148]  And then it was the mother making him wear in his body for five years a giant bloody cone inside of his body into an imaginary uterus.
[00:14:36.064 --> 00:14:44.307]  So, not only did they chop his testicles and his penis off, but then they jammed a huge bloody cone up in him.
[00:14:44.307 --> 00:14:47.008]  It's infected and pus is dripping out.
[00:14:47.008 --> 00:14:48.628]  The person is in hell.
[00:14:48.628 --> 00:14:49.389]  Mommy, why?
[00:14:49.389 --> 00:14:51.569]  And she says, I'm going to kick your ass.
[00:14:51.569 --> 00:14:53.970]  I'm going to come destroy you.
[00:14:53.970 --> 00:14:54.650]  You're a girl.
[00:14:54.650 --> 00:14:55.771]  You've known you're always a girl.
[00:14:55.771 --> 00:14:57.591]  She made him say he was a girl.
[00:14:57.591 --> 00:14:58.672]  She cut off his penis.
[00:14:58.672 --> 00:15:00.572]  She cut off his genitals.
[00:15:00.572 --> 00:15:01.373]  The state did it.
[00:15:01.373 --> 00:15:05.534]  And now he wears a pussing bloody cone in him.
[00:15:07.540 --> 00:15:14.181]  I mean this is just so macabre like it's a nightmare novel.
[00:15:14.181 --> 00:15:33.845]  I mean imagine 30 years ago if Clive Barker wrote novels where children are made to cut their penises and breasts off and testicles and then boys are made to wear basically something worse than a chastity belt from medieval times strapped around their body with a giant bloody cone up in their raw flesh
[00:15:34.721 --> 00:15:45.206]  That just continues to fester and bleed and open up in a huge torture device and it's all a giant satanic sacrament and a sick joke that they do this.
[00:15:45.206 --> 00:15:49.748]  And then all these mainly white liberal parents are just lining up to do it.
[00:15:49.748 --> 00:15:52.489]  And it's just a giant satanic ritual in everybody's face.
[00:15:52.489 --> 00:15:54.350]  It's just show over the top.
[00:15:54.350 --> 00:15:55.550]  So hellish.
[00:15:55.550 --> 00:16:00.072]  We'll talk about it all when we come back.
[00:16:00.072 --> 00:16:00.833]  Ladies and gentlemen,
[00:16:01.826 --> 00:16:06.987]  We have a new toothpaste that my dad, a retired dentist and oral surgeon developed.
[00:16:06.987 --> 00:16:11.008]  Dr. Jones Natural's Turmeric Toothpaste that just came into stock.
[00:16:11.008 --> 00:16:14.269]  And I gotta tell you, I got samples of this months ago and it is amazing.
[00:16:14.269 --> 00:16:18.229]  The way it makes your gums feel, what it does to your mouth is insane.
[00:16:18.229 --> 00:16:22.990]  We know turmeric is an antioxidant, an anti-inflammatory, and does such great things for the body.
[00:16:22.990 --> 00:16:25.851]  Then you add that with tea tree oil and a bunch of other essential oils.
[00:16:26.431 --> 00:16:27.632]  It is just dynamite.
[00:16:27.632 --> 00:16:32.237]  It is so good to detox and attack inflammation in your mouth.
[00:16:32.237 --> 00:16:36.480]  I want to challenge everybody to try the new toothpaste at InfoWars4.com.
[00:16:36.480 --> 00:16:39.203]  Dr. Jones Naturals Turmeric Toothpaste.
[00:16:39.203 --> 00:16:42.206]  And while you're at it, check out the new Ashwagandha line of products.
[00:16:42.466 --> 00:16:53.298]  We have ashwagandha with black pepper extract for your libido, your testosterone, in pill form, and we have the pure ashwagandha root gummies as well, now available at InfoWareStore.com.
[00:16:53.298 --> 00:16:55.801]  They're amazing products, and they fund the InfoWare.
[00:16:55.801 --> 00:16:57.803]  Take action now at InfoWareStore.com.
[00:16:59.551 --> 00:17:09.066]  We now have three new game-changing products that are in stock at InfoWarsTore.com, and one of our best-selling products sold out for over a year that's now back in stock.
[00:17:09.066 --> 00:17:14.314]  Our prebiotic, does the any introduction, does such amazing things for your gut flora, your overall health.
