[00:00:05.350 --> 00:00:05.592]  I don't know.
[00:00:15.847 --> 00:00:22.693]  From the front lines of the Information War, it's Alex Jones.
[00:00:43.058 --> 00:00:44.679]  Well, thank you very much.
[00:00:44.679 --> 00:00:45.200]  Thank you.
[00:00:45.200 --> 00:00:47.281]  It's a great honor to have you here.
[00:00:47.281 --> 00:00:53.726]  And today we witness the most evil and heinous abuse of power in the history of our country.
[00:00:53.726 --> 00:00:55.047]  Very sad thing to watch.
[00:00:55.047 --> 00:01:07.275]  A corrupt sitting president had his top political opponent arrested on fake and fabricated charges of which he and numerous other presidents would be guilty.
[00:01:07.275 --> 00:01:12.299]  Right in the middle of a presidential election in which he is losing very badly.
[00:01:16.184 --> 00:01:22.933]  This is called election interference in yet another attempt to rig and steal a presidential election.
[00:01:22.933 --> 00:01:30.062]  More importantly, it's a political persecution like something straight out of a fascist or communist nation.
[00:01:31.365 --> 00:01:52.692]  This day will go down in infamy and Joe Biden will forever be remembered as not only the most corrupt president in the history of our country, but perhaps even more importantly, the president who, together with a band of his closest thugs, misfits, and Marxists, tried to destroy American democracy.
[00:01:52.692 --> 00:01:56.553]  But they will fail and we will win bigger and better than ever before.
[00:02:03.217 --> 00:02:13.239]  Charging a former president of the United States under the Espionage Act of 1917 wasn't meant for this.
[00:02:13.239 --> 00:02:27.583]  An act for a crime so heinous that only the death penalty would do, and threatening me with 400 years in prison for possessing my own presidential papers, which just about every other president has done.
[00:02:28.343 --> 00:02:35.309]  Is one of the most outrageous and vicious legal theories ever put forward in an American court of law.
[00:02:35.309 --> 00:02:40.392]  The Espionage Act has been used to go after traitors and spies.
[00:02:40.392 --> 00:02:45.877]  It has nothing to do with a former president legally keeping his own documents.
[00:02:45.877 --> 00:02:54.904]  As president, the law that applies to this case is not the Espionage Act, but very simply the Presidential Records Act.
[00:02:55.731 --> 00:03:01.556]  Which is not even mentioned in this ridiculous 44-page indictment.
[00:03:01.556 --> 00:03:09.502]  Under the Presidential Records Act, which is civil, not criminal, I had every right to have these documents.
[00:03:09.502 --> 00:03:20.671]  The crucial legal precedent is laid out in the most important case ever on this subject, known as the Clinton Socks Case.
[00:03:20.671 --> 00:03:21.472]  You know what that means?
[00:03:22.907 --> 00:03:30.550]  After leaving the White House, Bill Clinton kept 79 audiotapes in his sock drawer.
[00:03:30.550 --> 00:03:32.550]  They included discussions of U.S.
[00:03:32.550 --> 00:03:36.672]  military involvement in Haiti, discussions of U.S.
[00:03:36.672 --> 00:03:48.336]  foreign policy, both defense and offense, against Cuba, recordings of President Clinton's conversations with all of the many foreign leaders at the time.
[00:03:48.336 --> 00:03:48.636]  Think of that.
[00:03:50.060 --> 00:03:55.125]  Sensitive facts about trade negotiations taken from presidential briefings.
[00:03:55.125 --> 00:04:01.050]  Discussions with the Secretary of State about conflict in Bosnia and much, much more.
[00:04:01.050 --> 00:04:02.612]  Very big stuff.
[00:04:02.612 --> 00:04:12.862]  Not only was Bill Clinton never even considered for criminal prosecution based on the tapes he took, but when he was sued for them, he won the case.
[00:04:14.161 --> 00:04:34.136]  Judge Amy Berman Jackson's decision states under the statutory scheme established by the Presidential Records Act, the decision to segregate personal materials from presidential records is made by the president during the president's term.
[00:04:36.391 --> 00:04:40.936]  And in the president's sole discretion.
[00:04:40.936 --> 00:04:43.539]  You're surprised to hear that, aren't you?
[00:04:43.539 --> 00:04:48.184]  Any normal administration, even an opposing one, would consider that.
[00:04:48.184 --> 00:04:51.447]  Are there tapes that you accepted bribes, President Biden?
[00:04:51.447 --> 00:04:53.970]  Is that true?
[00:04:53.970 --> 00:04:56.273]  Would you comment on the arrest of the former president, sir?
[00:05:02.486 --> 00:05:08.950]  Two of our best-selling nootropics, or Brain Boosters, are now back in stock at InfoWarsTore.com.
[00:05:08.950 --> 00:05:13.853]  For a limited time, they're 50% off when you get them together, or 40% off when you get them individually.
[00:05:13.853 --> 00:05:16.515]  Brain Force Plus and Brain Force Ultra.
[00:05:16.515 --> 00:05:18.236]  Two separate formulas.
[00:05:18.236 --> 00:05:20.558]  They both give you good, clean energy without the crash.
[00:05:21.178 --> 00:05:26.779]  One is a four to six hour good base of clean energy, again with no hangover or letdown.
[00:05:26.779 --> 00:05:32.361]  And the other is a very special proprietary formula, that's RainForce Ultra, that hits really, really quick.
[00:05:32.361 --> 00:05:32.821]  And I love it.
[00:05:32.821 --> 00:05:34.301]  It wears off in two to three hours.
[00:05:34.301 --> 00:05:38.542]  So if I've got to work at night, but don't want to stay up all night, I can take it and stay nine o'clock at night.
[00:05:38.542 --> 00:05:41.703]  Got to stay up till midnight working, doing a radio interview or something, and boom!
[00:05:42.783 --> 00:05:43.043]  Thank you.
[00:06:07.745 --> 00:06:12.734]  If you are receiving this transmission, you are the resistance.
[00:06:12.734 --> 00:06:17.943]  Live from Freedom Command Central, it's the Alex Jones Show!
[00:06:37.902 --> 00:06:50.806]  All right, here's what's going on on this live Wednesday, June 14th, 2023 transmission.
[00:06:50.806 --> 00:07:04.151]  We're going to break down all the latest developments inside the New World Order and the public rollout of a anti-human tyrannical system that is designed to cut off the resources and collapse
[00:07:06.826 --> 00:07:09.427]  Civilization.
[00:07:09.427 --> 00:07:22.352]  Then, we're going to have a special guest on that I'll surprise you with in the second hour.
[00:07:22.352 --> 00:07:27.874]  And we'll also take a lot of your phone calls.
[00:07:27.874 --> 00:07:31.135]  A lot of folks said they liked yesterday's show.
[00:07:31.135 --> 00:07:35.717]  They said it was really informative and passionate and nasty.
[00:07:37.145 --> 00:07:38.805]  And I was in a very bad mood yesterday.
[00:07:38.805 --> 00:07:46.467]  And I'm in a very bad mood right now.
[00:07:46.467 --> 00:07:50.228]  And I don't intend on quitting this show.
[00:07:50.228 --> 00:08:01.510]  But at the same time, it is not a normal response to all this tyranny to just be a talk show host and to sit up here and talk about it.
[00:08:06.363 --> 00:08:17.551]  Just this week, at least five major studies have come out, two of them CDC studies, that they knew that the poison shots were poison shots.
