[00:00:15.165 --> 00:00:19.466]  InfoWars, tomorrow's news today.
[00:00:19.466 --> 00:00:26.768]  Ladies and gentlemen,
[00:00:28.194 --> 00:00:39.724]  There are a lot of people out there saying this Chinese weapons platform, that's what it is, is no big deal and that it's being hyped up for no reason.
[00:00:39.724 --> 00:00:40.825]  No.
[00:00:40.825 --> 00:00:51.795]  The fact that there was little or no concern about it, the fact that this has been going on for a long time, especially since Biden got in two plus years ago, is a really serious issue.
[00:00:51.795 --> 00:00:53.076]  So I decided today
[00:00:54.417 --> 00:00:54.797]  China is
[00:01:10.888 --> 00:01:34.325]  Testing China is Manipulating China is seeing how far they can go with these probes and when you put it together With their Confucian societies and six billion dollars a year in the US universities to control academia and biopoliticians I'll explain how coming up and you look at their acquisition of the media and the fact that they own four of the six big production houses in Hollywood and
[00:01:35.029 --> 00:01:48.473]  And they're heavily allied with Hollywood and the big central banks to carry out the destruction of America, but then they outlaw all that propaganda that they finance against us in their own country.
[00:01:48.473 --> 00:01:50.173]  Now, none of this stuff should be outlawed.
[00:01:50.173 --> 00:01:55.934]  It's just we shouldn't let our children watch it, and we shouldn't give support to it, and we should recognize what it is.
[00:01:55.934 --> 00:01:57.655]  Weaponized brainwashing.
[00:01:59.076 --> 00:02:16.549]  And there's a report here out of the Brookings Institute that makes that point of all places, that this entire system we see is being foisted by a handful of corporations and the Chinese communists.
[00:02:16.549 --> 00:02:17.690]  And Russia is rejecting it.
[00:02:19.358 --> 00:02:28.146]  And I don't think that means that Russia is the perfect good guy and is wearing a white hat more like a gray hat, but the people that run our country are out to get us.
[00:02:28.146 --> 00:02:33.852]  They're at war with us on every front and you already know that, but as soon as we can get the bureaucrats
[00:02:35.658 --> 00:02:59.384]  And the woke leftists to just pull back and understand that they've been Stockholm syndromed, and that they're helping their own abusers and destroyers, and they're pretending like they're part of some liberal revolution to create a utopia, as soon as they realize that this liberal utopia is meant to bring in total autocratic tyranny, and then they're going to have a backlash and ban the entire leftist system
[00:03:00.779 --> 00:03:03.860]  That they've injected into us to only paralyze us.
[00:03:03.860 --> 00:03:10.002]  In the next phase of the New World Order program, ladies and gentlemen, it's going to be eugenics all the way.
[00:03:10.002 --> 00:03:24.268]  But they intend on making the world so hellish, in the build-up to 2030, that everybody will just wink-wink when they release the race-specific bioweapons, starting with Africa, that are going to wipe that continent absolutely out.
[00:03:26.880 --> 00:03:39.648]  And you'll be under such invasion from the refugees of the economic warfare in Africa that you will quietly, while you're playing cards with your buddies, say, well, it had to be done.
[00:03:39.648 --> 00:03:45.372]  And when you go along with that metaphysically, spiritually, culturally, the devil's got your soul.
[00:03:45.372 --> 00:03:51.676]  So I don't like the big giant African hordes being brainwashed against us and the left programming brown people to hate white people.
[00:03:51.676 --> 00:03:53.357]  It's all part of a plan, folks.
[00:03:54.684 --> 00:04:02.366]  It's all part of a very sophisticated plan, and I don't just study history, I don't just study the New World Order, I have the Holy Spirit.
