[00:00:00.000 --> 00:00:27.719]  [MUSIC PLAYING]
[00:00:27.719 --> 00:00:29.559]  InfoWars.
[00:00:28.911 --> 00:00:29.812]  Tomorrow's news.
[00:00:30.112 --> 00:00:30.452]  Today.
[00:00:31.880 --> 00:00:39.706]  When castles towered over vast landscapes and knights championed honor and valor, there came an unforeseen darkness.
[00:00:40.047 --> 00:00:47.073]  Amidst this impending doom stood a knight called Alex Jones, a brave and outspoken herald known as the Truth Sayer.
[00:00:47.253 --> 00:00:49.134]  Sir Alex Jones was not alone.
[00:00:49.374 --> 00:00:54.958]   In his most desperate hour in the battle against evil, A radiant light descended from the heavens.
[00:00:55.378 --> 00:00:59.820]  God, in all his glory and his legion of angels, stood by Alex's side.
[00:01:00.100 --> 00:01:04.942]  The battle raged on, but with every blow, Alex Jones' conviction grew stronger.
[00:01:05.222 --> 00:01:08.863]  With every truth he proclaimed, the demonic forces faltered.
[00:01:09.423 --> 00:01:16.846]  When the enemy was vanquished, Alex Jones swore a solemn oath that should the realm need him again, he would return.
[00:01:17.526 --> 00:01:19.127]  And now it's Alex Jones.
[00:01:20.007 --> 00:01:21.508]  That's down to people like you.
[00:01:21.387 --> 00:01:23.867]  on the satanic New World Order.
[00:01:23.867 --> 00:01:28.027]  Tune in at infowars.com/show and share the link today.
[00:01:28.027 --> 00:01:33.707]  That's down to people like you.
[00:01:33.707 --> 00:01:38.426]   Do you think, since you spend a lot of your life thinking about communications, the media,
[00:01:38.426 --> 00:01:42.827]  social media, where are we in five years?
[00:01:42.830 --> 00:01:46.731]  Is speech restored to the average person, or is there less speech?
[00:01:47.371 --> 00:01:55.174]  I would say, without trying to kiss your ass, because I'm not an ass kisser, that's down to people like you, fighting the good fight.
[00:01:55.854 --> 00:02:02.937]  Depends on the American political climate, which obviously you have a lot of sway over, and America is the king of the world, whether anyone likes it or not.
[00:02:04.017 --> 00:02:08.599]  I believe it's the negative ideas from England and America that have certainly made this happen to me.
[00:02:09.139 --> 00:02:09.319]  Yeah.
[00:02:09.859 --> 00:02:12.460]  Also, my case is important for countries in Eastern Europe.
[00:02:12.900 --> 00:02:16.581]  Obviously, Romania is a big ally of the United States, has been for a very long time.
[00:02:16.921 --> 00:02:18.702]  They have a very good relationship with the United States.
[00:02:19.242 --> 00:02:31.727]   If Romania are happy to, if important people in Romania, who I know, speak highly of me, stand up and say, we're not going to publicly crucify this guy because America doesn't like it, or because England doesn't like it.
[00:02:32.047 --> 00:02:38.092]  I believe this is a very good moment for Eastern European countries as well, NATO allies, to say, look, we don't have to do everything you say.
[00:02:38.452 --> 00:02:43.676]  We don't have to follow this insane agenda of accusing people you don't like with imaginary crimes and throwing them in jail.
[00:02:44.056 --> 00:02:45.538]  This could be a victory for Romania.
[00:02:45.678 --> 00:02:47.679]  The work you're doing could be a victory for the United States.
[00:02:48.380 --> 00:02:50.361]  England's lost, so forget England.
[00:02:50.602 --> 00:02:51.342]  There's no free speech.
[00:02:51.462 --> 00:02:51.843]  That's over.
[00:02:52.483 --> 00:02:56.365]  Yeah, so it all depends on what shifts happen.
[00:02:56.925 --> 00:02:58.166]  Who wins the next elections?
[00:02:58.866 --> 00:03:01.268]  How effective cancellations are?
[00:03:01.288 --> 00:03:11.493]  You have people like, you know, Rumble, Elon fighting against this silencing of every idea that's counter-intuitive to the agenda of the Deep State, or the Matrix as my brother calls them.
[00:03:12.113 --> 00:03:15.755]  So I don't know, but it's a very interesting time to be alive.
[00:03:15.855 --> 00:03:21.018]  I would like the optimist in me would like to think there's finally enough pushback.
[00:03:21.818 --> 00:03:22.739]  So let's take Alex Jones.
[00:03:23.740 --> 00:03:25.361]  You don't have to agree with everything Alex Jones says.
[00:03:25.781 --> 00:03:26.482]  I like Alex Jones.
[00:03:26.862 --> 00:03:28.884]  But I don't agree with everything Alex Jones says.
[00:03:29.164 --> 00:03:29.884]  And you don't have to.
[00:03:30.665 --> 00:03:35.929]  But Bill Maher, famously, in credit to him, said when Alex Jones got banned, he said, you shouldn't be banning me.
[00:03:36.550 --> 00:03:38.871]  He said, I hate Alex Jones, but Alex Jones should be allowed to talk.
[00:03:38.992 --> 00:03:40.573]  Everyone should be allowed to talk in the town square.
[00:03:41.173 --> 00:03:44.796]  I don't like Alex Jones, but Alex Jones gets to speak.
[00:03:45.136 --> 00:03:46.177]  Everybody gets to speak.
[00:03:46.417 --> 00:03:46.578]  Sure.
[00:03:46.878 --> 00:03:49.600]  I feel like when they got Alex Jones, there was no safety net.
[00:03:50.161 --> 00:03:53.403]  He is a warrior, and he continued fighting, and now he's back in the mainstream.
[00:03:53.423 --> 00:03:53.884]  Good for him.
[00:03:54.284 --> 00:04:02.430]  But he was renegaded to his own site with his own servers, streaming every day to small audiences after they asked him off YouTube.
[00:04:02.450 --> 00:04:03.571]  No one defended him.
[00:04:03.611 --> 00:04:03.892]  No one.
[00:04:04.352 --> 00:04:05.673]  I was on vacation that day.
[00:04:05.953 --> 00:04:07.254]  I was fishing out of the country.
[00:04:08.275 --> 00:04:13.419]  The company that I worked for, which is supposedly in favor of free speech, said not one word in his defense.
[00:04:14.100 --> 00:04:16.822]  And it's like, first they came for Alex Jones, right?
[00:04:16.922 --> 00:04:18.803]  It's the old adage.
[00:04:19.364 --> 00:04:27.370]  So now there is a, I don't want to call it counterculture, but if you cancel people, look, they canceled Andrew.
[00:04:27.410 --> 00:04:28.211]  How successful was that?
[00:04:28.911 --> 00:04:29.852]  He's sitting here with you today.
[00:04:30.532 --> 00:04:31.513]  He's bigger than ever.
[00:04:31.733 --> 00:04:33.174]  His voice is louder than ever.
[00:04:33.895 --> 00:04:43.382]  Now, thanks to people like Alex Jones, who took the initial brunt of the weapon, the cancellation weapon, now there are lots of different platforms, lots of different apps, lots of different applications.
[00:04:43.442 --> 00:04:47.666]  Mulan's taken over Twitter, which was a mainstream app, which censored people very heavily.
[00:04:48.446 --> 00:04:49.566]  Um, the pushback has started.
[00:04:49.866 --> 00:04:58.028]  So the optimist in me would like to look at the trend line and say things are getting better as compared to when they cancelled Alex six, seven years ago.
[00:04:58.088 --> 00:04:59.109]  It does feel that way.
[00:04:59.149 --> 00:05:00.189]  Yeah, it does feel that way.
[00:05:00.069 --> 00:05:13.269]  So I'm going to be hopeful for the future.
[00:05:13.561 --> 00:05:15.483]  Candidate for president who was leading in the polls.
[00:05:15.983 --> 00:05:17.164]  Ecuadorian candidate for president.
[00:05:17.545 --> 00:05:23.150]  I am so angry right now over a lot of different issues and developments that I am unable to do the show.
[00:05:23.550 --> 00:05:28.855]  So I'm going to have to air some special reports for a while and get myself together here.
[00:05:30.016 --> 00:05:33.098]  Because if I blow up like I used to, you see that less and less on air.
[00:05:33.118 --> 00:05:34.980]  It used to be a commonplace thing.
[00:05:35.000 --> 00:05:36.902]  It was very entertaining for folks, but it was very real.
[00:05:38.186 --> 00:05:40.789]  I would then be exhausted later today and I have too much work to do.
[00:05:40.829 --> 00:05:44.372]  I'll be working until at least six or seven tonight on very important projects.
[00:05:45.013 --> 00:05:49.076]  So I cannot afford to start screaming and yelling right now on air like I want to.
[00:05:50.117 --> 00:05:51.178]  And my voice can't handle it.
[00:05:52.239 --> 00:05:54.502]  So I am in a controlled rage right now.
[00:05:59.206 --> 00:06:05.892]   Because just we are under total attack and these people are Psychotic psychotics.
[00:06:05.992 --> 00:06:08.293]  They are absolute wicked devils.
[00:06:11.854 --> 00:06:18.336]  And it is just unspeakable what they are doing to us.
[00:06:21.198 --> 00:06:25.479]  Now I want to play you a clip of this doctor.
[00:06:27.800 --> 00:06:28.420]  Medical doctor.
[00:06:29.901 --> 00:06:50.678]   And all he's doing is reading from mouse studies The University of Texas did, we covered three years ago, where all the mice died at accelerated death, and the average was two months.
[00:06:51.938 --> 00:07:07.773]   Some lived six months, but they all had their life expectancies cut in about half when they gave them an mRNA cold virus So-called vaccine.
[00:07:10.254 --> 00:07:11.935]  So I get up about 6 a.m.
[00:07:11.955 --> 00:07:29.346]  this morning and I'm doing some research and I see this doctor talking about it and it reminded me of that and it made me mad because I remember covering it at nauseam but there's so much evil that even when you're on the front lines of the fight you compartmentalize it so you don't go crazy.
[00:07:32.548 --> 00:07:41.560]   And then I saw all these headlines Out of ABC News, CBS News, all of them, making the big announcement we told you was about to happen.
[00:07:42.960 --> 00:07:54.504]  Oh, suddenly, millions of people around the world, including 450 plus thousand in the US, suddenly have been bitten by a tick, even though they didn't find a tick, even though a tick didn't bite them.
[00:07:55.545 --> 00:08:02.647]  And they have the alpha-gal syndrome, where they can't eat beef and other meats anymore, particularly red meat.
[00:08:04.892 --> 00:08:10.036]  Now, I have the CDC and FDA documents where they admit it's in the shot, so they're doing it to us.
[00:08:12.117 --> 00:08:27.288]  Just like in October of 2020, the CDC and the FDA put out a prediction sheet of what they believe the shot would do and the adverse reactions.
[00:08:28.088 --> 00:08:28.588]  And what did it say?
[00:08:31.770 --> 00:08:50.807]  It said Guillain-Barre heart attacks, myocarditis, blood clots, strokes, and dozens and dozens of other horrible things that happened because they knew exactly what they were doing because they tested on mice and monkeys and pigs and dogs.
[00:08:52.856 --> 00:08:54.697]  So at that point I get a little bit more angry.
[00:08:56.737 --> 00:09:10.481]  And then I just look at article after article where they're rolling out how they're slowly killing us and their social engineering and their conditioning mutating our bodies and sitting back and laughing and they think it's funny.
[00:09:11.742 --> 00:09:26.883]   The globalists and the mad scientists that run it and their moronic minions Aren't just cutting off our pipelines, or dissolving our borders, or human trafficking, or promoting pedophilia, or starting psychotic insane war with Russia.
[00:09:27.363 --> 00:09:38.994]  They are bombarding us with radiation, bombarding us with electromagnetic radiation, bombarding us with chemtrails and geoengineering, aluminum dioxide, barium salts, and also radioactive isotopes.
[00:09:40.498 --> 00:09:48.483]  They are bombarding us with biological and chemical weapons through the shots and the shedding, and they are just murdering people.
[00:09:48.603 --> 00:10:01.601]   And the insurance actuaries show the death rate, not in the fear of COVID-2020, but as soon as those shots roll in in England, In October, boom!
[00:10:01.641 --> 00:10:02.061]  Straight up.
[00:10:02.602 --> 00:10:04.583]  And in January in the U.S., boom!
[00:10:04.643 --> 00:10:05.083]  Straight up.
[00:10:05.544 --> 00:10:07.365]  And in January in Canada, boom!
[00:10:07.405 --> 00:10:07.845]  Straight up.
[00:10:08.125 --> 00:10:11.307]  In Australia, in January of 2021, boom!
[00:10:11.347 --> 00:10:11.748]  Straight up.
[00:10:12.088 --> 00:10:16.090]  I mean, they start those shots, baby, and the deaths go boom!
[00:10:17.751 --> 00:10:20.013]  And they're just still going right up.
[00:10:20.973 --> 00:10:24.315]  And it's all confirmed, and it's all there, and it's all peer-reviewed.
[00:10:25.576 --> 00:10:30.559]  And the spontaneous abortions, and the miscarriages, and the blood clots, and the murder!
[00:10:30.720 --> 00:10:35.283]  And then I sit there and watch leftists and minions of the system dropping dead left and right, too.
[00:10:36.724 --> 00:10:46.070]  But they all got that demonic, dim glow to their eyes, and those weird soyboy smiles on their faces.
[00:10:47.657 --> 00:10:51.500]  They're cultural, spiritual suicide bombers.
[00:10:54.782 --> 00:11:03.007]  And it's not normal to get up here and just laugh about all this and, oh, look, Hunter Biden's in trouble.
[00:11:03.387 --> 00:11:05.849]  Oh, look, people are on Biden's tail now.
[00:11:07.730 --> 00:11:16.476]  Biden is a chew toy for conservatives and populists to think we're battling something when all he is is a storm wall.
[00:11:20.416 --> 00:11:24.898]  All he is is a seawall to block us off from the New World Order on the other side.
[00:11:25.338 --> 00:11:32.181]  So we scrabble and scrape and claw and every other show, including our website, I can't even control it.
[00:11:32.421 --> 00:11:37.163]  It's just everywhere, nothing but Hunter Biden, nothing but Joe Biden, nothing but, and it's a total distraction.
[00:11:39.484 --> 00:11:42.365]  Because he's meant to be there until they're ready to get rid of him, which is very soon.
[00:11:44.201 --> 00:11:57.469]  It needs to be about the UN and the World Health Treaty taking over your body, and the 5G, and the fentanyl, and the human trafficking, and the GMO, and the nanotech they are battering ramming our bodies with.
[00:11:58.949 --> 00:12:02.629]   Yeah, I can sit here and show you Biden in a speech he gave yesterday.
[00:12:02.629 --> 00:12:06.828]   I watched it this morning and it was all unintelligible, hammered shit.
[00:12:06.828 --> 00:12:15.788]  But he was put there to humiliate us.
[00:12:16.331 --> 00:12:17.972]  He was put there to lower our expectations.
[00:12:17.992 --> 00:12:19.353]  He was put there to drag us to the mud.
[00:12:20.774 --> 00:12:23.155]  Look at that pathetic, mindless pedophile.
[00:12:25.076 --> 00:12:26.277]  So that's just some of the news.
[00:12:26.297 --> 00:12:27.298]  We're going to get to all of it.
[00:12:28.639 --> 00:12:36.023]  Got the official UN plan for world law to screw six-year-olds and take them away from you and rape the living daylights out of them.
[00:12:36.043 --> 00:12:37.744]  Says we're going to take your kids and have sex with them.
[00:12:38.385 --> 00:12:39.245]  Can't make this up.
[00:12:39.766 --> 00:12:49.064]   A declaration of pedophilic offensive against humanity.
[00:12:49.064 --> 00:12:53.503]   And I got the inflation spikes and the housing costs exploding and
[00:12:53.503 --> 00:12:55.864]  the average American can't even survive.
[00:12:55.864 --> 00:13:05.864]  [BLANK_AUDIO]
[00:12:57.711 --> 00:12:59.572]  We're under total attack!
[00:13:00.552 --> 00:13:04.414]  And then I'm the weirdo because I've studied it and I'm aware of it and I don't like it.
[00:13:04.794 --> 00:13:05.694]  And I'm trying to warn you.
[00:13:08.095 --> 00:13:09.396]  But I'll tell you who's really crazy.
[00:13:10.618 --> 00:13:11.379]  It's the globalists.
[00:13:11.899 --> 00:13:13.740]  They're never going to get out of this.
[00:13:15.081 --> 00:13:18.183]  So, I guess that's the consolation prize here.
[00:13:19.864 --> 00:13:37.315]  They may be killing a whole lot of us and hurting a whole lot of us, but in the end, they lit a fire under humanity's ass that when a focused, diligent, intelligent, committed minority continues to spread the word and resist, we will take back over our systems and we will defeat these scumbags because God is with us.
[00:13:37.535 --> 00:13:38.436]  Who can stand against us?
[00:13:39.392 --> 00:13:57.637]  So, if your neighbor, hypothetically, one afternoon, when your child was playing in your front yard, say, jumping through your sprinkler, walked over to your child and punched him in the nose and broke their nose, I think most men would come out of their front door and beat the living hell out of that person.
[00:13:58.538 --> 00:14:02.499]  And when the police arrived, you wouldn't go to jail, they'd pat you on the back and say you did the right thing.
[00:14:05.410 --> 00:14:17.444]  But when the globalists assault you with a non-experimental shot, they told you it was experimental, they'd already experimented with it and knew exactly what it would do, causing a whole list of debilitating and lethal diseases.
[00:14:18.645 --> 00:14:25.874]  Neurological, cardiovascular, attacking the fertility systems.
[00:14:27.392 --> 00:14:28.553]  Reproductive systems.
[00:14:29.493 --> 00:14:32.794]  We just sit here and we take it because it's such a big attack.
[00:14:33.274 --> 00:14:36.316]  It's just hard to believe even though it's all around you.
[00:14:37.856 --> 00:14:44.299]  So I saw a clip of Dr. Abdul Ali Mohammed explains the sudden death two-year mark.
[00:14:45.259 --> 00:14:48.481]  And he gets it almost right from the studies we've covered probably 30 times here on air.
[00:14:49.421 --> 00:14:51.402]  On average the mice died in two months.
[00:14:51.922 --> 00:14:53.663]  They were all dead within six.
[00:14:54.775 --> 00:14:57.257]  and a half months, I don't remember the exact date, but six plus months.
[00:14:58.077 --> 00:14:59.558]  And mice normally live a lot longer than that.
[00:14:59.598 --> 00:15:05.401]  And they die of blood clots, they die of strokes, their ovaries, their testicles got fried.
[00:15:05.882 --> 00:15:06.582]  That's what it did.
[00:15:06.682 --> 00:15:12.586]  So he's on a live discussion with people and they say, sir, how do we detoxify doctor from the experimental shot?
[00:15:12.606 --> 00:15:15.007]  And he says, it's not experimental.
[00:15:16.388 --> 00:15:17.709]  And that's a really good point he makes.
[00:15:17.729 --> 00:15:18.870]  We call it experimental.
[00:15:19.390 --> 00:15:20.431]  We were told it was experimental.
[00:15:20.711 --> 00:15:22.572]  Then we're also told, oh, it was all tested and safe.
[00:15:24.363 --> 00:15:48.249]  Remember when you first saw it rolled out three years ago, the pieces of paper that came with it, normally with any drug, whether it would be Ritalin, or whether it would be Valium, or whether it would be Doxycycline, or whether it would be heart medication for blood pressure, whatever the prescription drug is, it's got that sheet in it, where it was made, where it was studied, what the side effects were, it's like Bible paper, big old giant sheet, tiny words you got to read with a magnifying glass.
[00:15:50.510 --> 00:15:51.710]  That was clear, that was open.
[00:15:52.708 --> 00:15:54.489]  But they told you it's safe and effective, and it was tested.
[00:15:54.570 --> 00:15:56.491]  The truth is, it was tested to be deadly.
[00:15:58.973 --> 00:16:05.719]  But depending on your genetic makeup, and depending on how old you were, depending on how good a shape you were in, it had different effects on different people.
[00:16:05.799 --> 00:16:20.111]  And remember, around half the people got saline all over the world, a unified program, and then 40% on average got a watered-down version that had some of the really bad stuff in it, the nanotech, the spike protein, all of it.
[00:16:20.874 --> 00:16:24.318]  And then depending on the country, around 10%, some countries 4%, 6%.
[00:16:24.838 --> 00:16:27.381]  There's government studies in Sweden.
[00:16:28.282 --> 00:16:28.542]  Others.
[00:16:28.762 --> 00:16:31.545]  Dr. Peter McCullough has talked about it here on air.
[00:16:31.585 --> 00:16:32.366]  It's in the studies now.
[00:16:33.867 --> 00:16:36.189]  To give them a really strong shot.
[00:16:38.892 --> 00:16:41.295]  To give you a big old juicy dose of death.
[00:16:41.955 --> 00:16:43.317]  And that's what Ernest Ramirez Jr.
[00:16:43.337 --> 00:16:43.517]  got.
[00:16:46.101 --> 00:16:47.042]  It's called range finding.
[00:16:47.743 --> 00:16:50.185]  So they can study and look at the different groups and also confuse people.
[00:16:50.626 --> 00:16:52.608]  Well why didn't you die but I had a heart attack?
[00:16:52.648 --> 00:16:55.550]  Or why didn't I die but my wife did?
[00:16:56.271 --> 00:16:56.972]  That's happening.
[00:16:57.052 --> 00:17:04.339]  So let it sink in and understand it's a normal thing to get upset about this.
