[00:00:00.000 --> 00:00:14.000]  [Outro]
[00:00:13.984 --> 00:00:16.848]  I'm your host, Alex Jones.
[00:00:16.868 --> 00:00:20.254]  We have a lot of very serious news to break down today.
[00:00:20.274 --> 00:00:24.300]  We also have a lot of positive developments to lay out as well.
[00:00:26.144 --> 00:00:35.869]  Coming up next segment, I'm going to break down the fact that they have had massive protests in Canada, big protests in the United States, and of course protests in the UK and Europe.
[00:00:35.889 --> 00:00:39.270]  But the biggest ones have been in Canada all across the country.
[00:00:40.291 --> 00:00:45.273]  Some estimates are up to 30 plus thousand people at just one event in Canada.
[00:00:45.734 --> 00:00:57.200]   These are huge demonstrations for Canada, only rivaled by the trucking Protest against the lockdowns that we saw a year and a half ago that the government tried to crack down on and it is massive.
[00:00:57.220 --> 00:01:00.803]  These are huge anti-Grooming protests.
[00:01:01.203 --> 00:01:16.653]  We'll talk more about that coming up next segment But it really shows people are waking up and standing up and realizing that our most basic biological imperative protect our children Is under attack and it really is waking people up and folks are rising to the challenge.
[00:01:16.693 --> 00:01:32.064]   But the first thing I wanted to hit was another attack on the Crimean main Black Sea Russian fleet, Russian headquarters there by these British made high tech cruise missiles.
[00:01:32.664 --> 00:01:34.705]  Reportedly six were fired at the base.
[00:01:35.386 --> 00:01:36.307]  Five were shot down.
[00:01:36.907 --> 00:01:41.971]  One went right into the front of the base right to the front door and damaged much of the building.
[00:01:42.831 --> 00:01:56.887]  This is only meant to provocateur the Russians into hitting major government targets in Ukraine, so that Zelensky and others who are faltering can point at that and say, look, Russia's hitting our main targets.
[00:01:56.927 --> 00:01:58.028]  We need NATO to enter the war.
[00:01:59.049 --> 00:02:05.222]   In fact, Poland, who came out two days ago, said we're no longer supplying you any new weapons or money
[00:02:05.222 --> 00:02:10.350]   after the commitments we promised are over, has now presented a 20 plus billion
[00:02:10.350 --> 00:02:12.252]  dollar bill to Ukraine.
[00:02:12.252 --> 00:02:20.771]   And the leaders in Poland have said this is being done because Ukraine has called Poland
[00:02:20.771 --> 00:02:25.610]   an ally of Russia, has said you better let us dump all of our grain on you, you better
[00:02:25.610 --> 00:02:29.731]   let us basically send all our crime to you, you better take care of all of our refugees
[00:02:29.731 --> 00:02:33.932]  and put them on welfare, you better do whatever we say.
[00:02:33.932 --> 00:02:36.691]   And of course the Poles and the Ukrainians have a long history just like they have a
[00:02:36.691 --> 00:02:39.971]  long history, all three groups with each other.
[00:02:39.971 --> 00:02:42.412]  And so it's the Crips and the Bloods.
[00:02:42.412 --> 00:02:46.731]  And it's a big deal because Ukraine has been so arrogant.
[00:02:46.725 --> 00:02:48.228]  Zelensky has been so arrogant.
[00:02:48.629 --> 00:02:52.516]  The Poles were some of the biggest supporters of the Ukrainians in the last year and a half plus.
[00:02:53.894 --> 00:03:19.875]   And now because of Zelensky literally calling them last week Russian agents and the Ukrainian news calling them Russian agents because it wasn't enough that they've given them a large percentage of their GDP and a large percentage of their weapons and of course the criminal mafias that are in control of Ukraine took that as a green light to just completely suck Poland dry. And so the Polish leaders have made
[00:03:19.875 --> 00:03:25.036]   national statements, the leader of their parliament, their president, I mean you name it,
[00:03:25.036 --> 00:03:30.676]   the stories are all up on Infowars.com that Ukraine is a drowning man.
[00:03:30.721 --> 00:03:32.082]  Germany is a sick man.
[00:03:32.102 --> 00:03:35.724]  You know, the drowning man will pull down those and try to help them and kill them.
[00:03:36.544 --> 00:03:38.425]  The sick man will infect those around them.
[00:03:39.086 --> 00:03:42.187]  The population of Europe is turning completely against this war.
[00:03:42.768 --> 00:03:45.189]  And they understand that NATO started it nine years ago.
[00:03:45.229 --> 00:03:46.289]  Doesn't mean Putin's perfect.
[00:03:46.810 --> 00:03:48.050]  Doesn't mean we lionize Putin.
[00:03:48.090 --> 00:03:49.891]  But we're on Russia's doorstep.
[00:03:50.592 --> 00:03:51.952]  The West is attacking Russia.
[00:03:53.033 --> 00:03:55.074]  The Pentagon admits they're trying to start a wider war.
[00:03:55.895 --> 00:03:57.435]  The RAND Corporation's bragging about it.
[00:03:58.800 --> 00:04:01.582]  And it's total and complete madness and insanity.
[00:04:02.443 --> 00:04:03.664]  So that development's huge.
[00:04:03.724 --> 00:04:09.509]  The Chinese have another flotilla around Taiwan right now doing attack drills with aircraft, the biggest drills ever.
[00:04:10.870 --> 00:04:19.017]  This is just a very, very serious moment in time, and there are very powerful globalist forces that need a giant worldwide crisis this year.
[00:04:20.706 --> 00:04:24.108]  I would say by December, but definitely by next February.
[00:04:24.689 --> 00:04:35.476]  They need a major escalation in this war to smokescreen the economy collapsing, the bubble popping, and then bringing in their new central bank digital currency, cashless society, market-to-be system.
[00:04:35.496 --> 00:04:38.398]  So we're in a very, very serious inflection point.
[00:04:38.818 --> 00:04:44.803]   Also, major governments around the world, including Canada, are calling for price controls So, inflation is completely out of control.
[00:04:44.823 --> 00:04:46.284]  We'll lay it all out when we come back.
[00:04:46.745 --> 00:04:47.385]  It's Friday.
[00:04:47.405 --> 00:04:48.466]  Thank you so much for joining us.
[00:04:48.506 --> 00:04:53.210]  Remember, you're the Paul Reveres, so share the live links to this show if you want to defeat the globalists.
[00:04:53.691 --> 00:04:54.492]  The ball is in your court.
[00:04:58.191 --> 00:05:00.633]  We don't need no education.
[00:05:00.933 --> 00:05:02.955]  We don't need no thought control.
[00:05:03.616 --> 00:05:06.098]  No dark sarcasm in the classroom.
[00:05:06.858 --> 00:05:09.040]  Teacher, leave them kids alone.
[00:05:09.981 --> 00:05:11.783]  Hey teacher, leave them kids alone.
[00:05:12.463 --> 00:05:14.905]  All in all, it's just another brick in the wall.
[00:05:15.506 --> 00:05:17.347]  All in all, you're just another brick in the wall.
[00:05:18.128 --> 00:05:19.529]  We don't need no education.
[00:05:19.589 --> 00:05:20.910]  We don't need no thought control.
[00:05:21.391 --> 00:05:23.032]  No dark sarcasm in the classroom.
[00:05:23.473 --> 00:05:24.754]  Teachers, leave them kids alone.
[00:05:28.416 --> 00:05:31.997]  What is that song pertaining to?
[00:05:32.177 --> 00:05:39.900]  Well, we know because the writers and the performers of it, the great artist Pink Floyd, have explained it to us, what it means.
[00:05:40.780 --> 00:05:48.943]  That the educational system is there to intimidate and to brainwash and to fracture and to divide the children.
[00:05:49.903 --> 00:05:57.983]   And that was certainly true in the early 1970s when that song came out.
[00:05:57.983 --> 00:06:02.422]   But it's even more true today because there's been good educators and some good schools
[00:06:02.422 --> 00:06:05.463]  and some educational systems that actually were positive.
[00:06:05.463 --> 00:06:07.023]  There was more diversity then.
[00:06:07.023 --> 00:06:15.942]   But there was still a major vein of corporate globalist funding that was taking over education
[00:06:15.942 --> 00:06:20.102]   and really turning it into something very, very dark and very, very evil.
[00:06:20.113 --> 00:06:34.181]  And of course, the first modern educational system set up in England and Germany in the last 300 years were mainly set up as military academies to literally brainwash and control and turn people into non-thinking robotic soldiers like the Prussian schools.
[00:06:35.102 --> 00:06:38.974]   So the roots of this Go very, very deep.
[00:06:39.034 --> 00:06:55.704]  I mean, you had the ninja of Japan, not just a Hollywood fiction, something very real, who would be taken as a young person and trained for up to a decade and literally brainwashed to be a mindless killing assassin who would then commit seppuku or suicide.
[00:06:57.902 --> 00:07:04.027]  After they had carried out their one assassination, that's why they were so highly prized and very, very expensive.
[00:07:04.068 --> 00:07:18.620]  And the secret schools that trained the ninja were funded by some of the most powerful families in Japan, who again needed assassins that could carry out the killing, then kill themselves so no one could be blamed for who carried out the operation.
[00:07:19.361 --> 00:07:25.366]   But I digress into the history of mind control via quote, What we know of is education.
[00:07:25.386 --> 00:07:30.510]  The reason I raise this is, look at the Western schools funded by Google and Apple and Disney.
[00:07:30.550 --> 00:07:32.972]  They're all funding drag queen pedophile time.
[00:07:32.992 --> 00:07:35.153]  They're all funding the grooming of children.
[00:07:35.173 --> 00:07:47.523]  They're all funding the exact same curriculum, the exact same operation to form a governmental corporate sexualization relationship with your child, where there is no age of consent.
[00:07:48.163 --> 00:07:55.269]   And then once children don't have an age of consent for sex, and once parents' parental rights are cut out, Well then now they own their bodies for abortion.
[00:07:55.630 --> 00:07:59.394]  Now they own their bodies for being mutilated or being sterilized with chemicals.
[00:07:59.674 --> 00:08:04.340]  Now they own their bodies to put in the children what they want to put in them.
[00:08:04.400 --> 00:08:05.902]  So it's very, very simple.
[00:08:05.942 --> 00:08:13.250]   They've moved the Overton window light years into tyranny so that The sky's the limit.
[00:08:13.951 --> 00:08:20.338]  And if they can sexualize our children, pedophilically, right in front of us, then they can get away with anything.
[00:08:20.959 --> 00:08:22.501]  So that's why it's so bold.
[00:08:22.561 --> 00:08:24.883]  It's why the gaslighting is so intense.
[00:08:24.923 --> 00:08:31.551]  But there's major cracks in this edifice and huge demonstrations, huge protests in Europe.
[00:08:32.652 --> 00:08:36.353]  In the UK, but particularly in Canada, we're also seeing some protests here.
[00:08:36.393 --> 00:08:46.075]  But across Canada, tens of thousands have spontaneously, all over the nation, from small towns to big cities, marched and said, leave our children alone.
[00:08:46.535 --> 00:08:47.516]  Let them be innocent.
[00:08:47.576 --> 00:08:50.636]  And people are figuring out what this larger agenda is.
[00:08:50.676 --> 00:09:00.399]  It was the Tavistock Institute and British Intelligence in the 1970s that developed the plan for transgenderism and then, quote, rolled it out to the universities and hospitals.
[00:09:00.839 --> 00:09:05.247]   This is a large Long-term strategic operation.
[00:09:05.267 --> 00:09:08.830]  That's why it's force-fed everywhere you look on television or in the news.
[00:09:09.670 --> 00:09:11.772]  Because that is the agenda.
[00:09:11.792 --> 00:09:31.926]   But again, the good news is major cracks are forming everywhere and a lot of former mainline liberals In academia and best-selling authors and top musicians, I mean, you see it everywhere, are coming out against it and being demonized and being attacked because they've got to gaslight you and make you feel bad for standing up for the children.
[00:09:31.966 --> 00:09:40.612]  But the instinct to defend our youth, the instinct to defend our young, the instinct to defend our future is so strong people are bucking it.
[00:09:40.652 --> 00:09:49.078]  And when you buck the propaganda and when you get organized and when you get focused and when you don't care what the enemy corporate media says, that makes you very, very strong.
[00:09:49.598 --> 00:09:51.440]  That makes you very, very powerful.
[00:09:55.002 --> 00:09:58.465]  Here's another big example of how we're beginning to break their will.
[00:09:58.545 --> 00:09:59.625]  They're not breaking ours.
[00:09:59.786 --> 00:10:01.687]  We're breaking the social engineer's will.
