[00:00:00.470 --> 00:00:03.014]  Alex Jones here with a very important news bulletin.
[00:00:03.575 --> 00:00:04.196]  Bombshell!
[00:00:04.557 --> 00:00:11.930]  Senator Ron Johnson says COVID intentionally released by elite group of people who want to take control of our lives.
[00:00:12.331 --> 00:00:12.832]  Here's the clip.
[00:00:13.528 --> 00:00:23.777]  I mean, it's just extraordinary to me that, you know, the government was working with social media to amplify lies and suppress truth and has been doing so repeatedly.
[00:00:24.118 --> 00:00:30.003]  Why couldn't the American people know that, you know, there were other alternatives to treat COVID?
[00:00:30.743 --> 00:00:34.307]  Why can't the American people know that there were side effects with the vaccine?
[00:00:35.831 --> 00:00:39.415]  This is all pre-planned by an elite group of people.
[00:00:39.455 --> 00:00:40.276]  That's what I'm talking about.
[00:00:40.336 --> 00:00:46.543]  Event 201 that occurred in late 2019, prior to the rest of us knowing about this pandemic.
[00:00:47.164 --> 00:00:57.295]  Again, this is very concerning in terms of what has happened, what is happening, and what continues to be planned for our loss of freedom.
[00:00:57.959 --> 00:01:03.882]  Again, it needs to be exposed, but unfortunately there are very few people, even in Congress, that are willing to take a look at this.
[00:01:04.942 --> 00:01:06.383]  They all push the vaccine.
[00:01:06.863 --> 00:01:12.566]  They don't want to be made aware of the fact that the vaccines might have caused injuries, might have caused death.
[00:01:12.606 --> 00:01:19.089]  So many people just simply don't want to admit they were wrong, and they're going to do everything they can to make sure that they're not proven wrong.
[00:01:19.693 --> 00:01:22.575]  We're up against a very powerful group of people here, Maria.
[00:01:22.915 --> 00:01:24.496]  But unfortunately, you say, what can we do?
[00:01:24.536 --> 00:01:33.601]  Well, we do have reporters like yourself, like John Solomon, other people that have the courage to report the truth against the mainstream media and against the narrative.
[00:01:33.962 --> 00:01:38.044]  But that's the only way this is going to be solved, is we need the truth to be exposed.
[00:01:38.444 --> 00:01:47.610]  We need more Americans to listen to the truth, to be exposed to the truth, to pull their heads out of the sand, quite honestly, open up their eyes and understand what is happening in this country.
[00:01:48.030 --> 00:01:54.863]  We are going down a very dangerous path, but it's a path that is being laid out and planned by an elite group of people.
[00:01:55.965 --> 00:01:58.826]  That want to take total control over our lives.
[00:01:59.027 --> 00:02:00.647]  And that's what they're doing bit by bit.
[00:02:00.908 --> 00:02:07.531]  They do it by increasing massive government spending, increasing the size of government, take over of the who.
[00:02:07.971 --> 00:02:16.315]  These amendments that are coming up that are going to be voted on in 2024, the who, are frightening and they really risk taking away all of our sovereignty.
[00:02:16.795 --> 00:02:19.977]  People have to awaken to the dangers of the moment.
[00:02:20.117 --> 00:02:32.521]  This is only one story of five today of major leaders coming out and stating the fact that this is an inside job, a premeditated corporate takeover of the planet and of our bodies.
[00:02:32.981 --> 00:02:41.863]  And I want to thank the viewers and listeners that have supported InfoWars because we've been one of the main, if not the main focal point, getting this information out to the public and amplifying it.
[00:02:42.324 --> 00:02:46.425]  So I want to thank you all for your support and I want to encourage every viewer out there.
[00:02:47.245 --> 00:02:57.532]  To understand, the globalists are coming for control of every facet of our lives, our children, our finances, they're cutting off our energy, and they're even coming after our bodily autonomy.
[00:02:57.992 --> 00:03:00.272]   And that's why it's important to spread the word about the broadcast.
[00:03:00.272 --> 00:03:05.912]   It's important to share the articles and videos to override and basically defeat the censorship.
[00:03:05.912 --> 00:03:09.752]   And it's critical to get amazing products that will enrich you and your family's lives
[00:03:09.752 --> 00:03:14.312]  and your immune systems and your well-being at InfoWarsStore.com.
[00:03:14.312 --> 00:03:18.793]   I recommend something that I know you'll have a major effect with and that you'll love.
[00:03:18.793 --> 00:03:24.432]   And that is our 3000 milligram CBD that you take under the tongue that does powerful things
[00:03:24.432 --> 00:03:29.352]   for your neurological system, for your joints, for your bones, for your immune system and
[00:03:30.211 --> 00:03:35.734]  We also have a very strong topical salve that's 1000mg that gives people great results.
[00:03:35.894 --> 00:03:38.295]  Check out the reviews at InfoWarsTore.com.
[00:03:38.735 --> 00:03:45.058]  This product is 33% off what the company we get it from sells it to everybody else for.
[00:03:45.458 --> 00:03:46.799]  They're one of the top companies in the U.S.
[00:03:47.079 --> 00:03:50.461]  We private label it under the name Rebels In, 33% off.
[00:03:50.601 --> 00:03:56.124]  And while getting this great product, you finance this operation against the globalists to tell the truth to continue on.
[00:03:56.344 --> 00:03:58.665]  So please take action now at InfoWareStore.com.
