[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[00:00:02.630 --> 00:00:03.631]  What will be enough?
[00:00:04.732 --> 00:00:05.092]  Nothing!
[00:00:05.132 --> 00:00:13.016]  Zelensky wants more money and he wants the American blood and treasure to be spilled and lost in Ukraine.
[00:00:14.457 --> 00:00:15.357]  Truly disgusting.
[00:00:16.778 --> 00:00:19.700]  And I just feel bad for the people of Ukraine that are really going to suffer the most from this.
[00:00:22.236 --> 00:00:25.457]  And that's perhaps the biggest lie of this whole thing.
[00:00:26.558 --> 00:00:30.939]  That somehow supporting Zelensky and fighting a war against Russia is going to help the people of Ukraine.
[00:00:31.399 --> 00:00:37.142]  No, ladies and gentlemen, the country is going to be completely devastated and destroyed in many places.
[00:00:37.262 --> 00:00:43.021]   and probably half a million will die when this thing is said and done years from now.
[00:00:43.021 --> 00:00:53.021]  Rallying patriots worldwide in defense of human liberty.
[00:00:52.893 --> 00:00:54.893]  It's Alex Jones.
[00:00:54.893 --> 00:01:14.894]  [Music]
[00:01:15.144 --> 00:01:16.085]  Tomorrow's news.
[00:01:16.325 --> 00:01:16.645]  Today.
[00:01:17.990 --> 00:01:21.473]  Alright ladies and gentlemen, the air raid sirens are going off.
[00:01:22.954 --> 00:01:40.308]  Not the fake air raid sirens like they did as war propaganda when Joe Biden was in Ukraine, but actual raid sirens because Russia is now under attack, under drone attack, at an oil plant.
[00:01:41.689 --> 00:01:43.771]  And so, who's the leading candidate?
[00:01:46.233 --> 00:02:00.194]   Well, we know It was the West that blew up the Nord Stream 2 pipeline, and so if there's any circumstantial evidence there, it points to the West amplifying the war.
[00:02:00.274 --> 00:02:03.997]  But I want to just play two clips to kind of set the tone.
[00:02:05.165 --> 00:02:09.887]  For what is going to be an epic and busy news transmission today.
[00:02:10.648 --> 00:02:13.169]  And we'll start with this Zelensky clip that's going viral.
[00:02:13.429 --> 00:02:19.012]  And while claims are being made that it's taken out of context, I'll tell you the full context.
[00:02:19.692 --> 00:02:23.955]  But, but... No, this is what Zelensky said.
[00:02:25.191 --> 00:02:34.849]  Either fund Ukraine and give Ukraine weapons and go to war with Russia, or Americans are going to have to fight and die, is what Zelensky is saying here in Clip 5.
[00:02:36.969 --> 00:02:46.020]  The US will have to send their sons and daughters exactly the same way as we are sending their sons and daughters to war.
[00:02:46.220 --> 00:02:51.767]  And they will have to fight, because it's NATO that we're talking about, and they will be dying.
[00:02:52.167 --> 00:02:54.510]  God forbid, because it's a horrible thing.
[00:02:57.276 --> 00:03:06.959]  I'll admit, I'm probably on the far end of being a contrarian, where you tell me to do something, I'm most likely not going to do it.
[00:03:07.319 --> 00:03:09.660]  Or you tell me not to do something, you know, I'm going to do it.
[00:03:11.881 --> 00:03:15.682]  With as much knowledge as you have regarding the situation, to not make a dumb decision.
[00:03:15.742 --> 00:03:23.765]  So, how do we respond to Zelensky saying American blood, American treasure needs to be spilled in defense of Ukraine?
[00:03:25.097 --> 00:03:49.368]  I'll tell you, at this point, honestly, my politics aside, whatever politics or worldviews I have, if I'm looking at this neutrally, and I've got this little punk in a sweatshirt, made by a Balenciaga creative designer, telling me that American blood and treasure needs to be spilled in defense of Ukraine, how about no, buddy?
[00:03:49.388 --> 00:03:51.049]  How about no?
[00:03:51.289 --> 00:03:51.829]  How about now?
[00:03:51.929 --> 00:03:52.990]  I kind of want you to fail.
[00:03:54.349 --> 00:03:56.129]  Now, the people of Ukraine don't deserve that.
[00:03:56.189 --> 00:03:59.510]  The good people of Ukraine want nothing to do with this war.
[00:04:00.430 --> 00:04:02.491]  And the ones that do will go and fight Russians.
[00:04:02.651 --> 00:04:04.951]  And they will fight, and many have died.
[00:04:06.251 --> 00:04:08.672]  And many innocent Ukrainians have died because of this war.
[00:04:09.012 --> 00:04:12.153]  Many because of Zelensky's attacks.
[00:04:14.473 --> 00:04:17.494]  And the different proxy groups that are just out of control in the region.
[00:04:19.754 --> 00:04:39.694]   But, after we've done so much for Ukraine, That little punk in a Balenciaga sweatshirt that they use to raise money is going to tell me American blood and treasure is going to be needed for Ukraine?
[00:04:41.115 --> 00:04:42.316]  I'd say get stepping, buddy.
[00:04:42.536 --> 00:04:42.917]  Good luck.
[00:04:44.198 --> 00:04:44.498]  Good luck.
[00:04:45.868 --> 00:04:50.550]  Oh, because I'm sure that Ukraine will defend us if we got attacked by China.
[00:04:51.131 --> 00:04:55.933]  I'm sure that Ukraine will give us all the money back that we've given them, too, right?
[00:04:56.853 --> 00:04:57.514]  Of course not!
[00:04:58.514 --> 00:04:59.855]  It's a one-way street, isn't it?
[00:05:00.095 --> 00:05:01.896]  And I'm sick and tired of being on it!
[00:05:04.057 --> 00:05:21.644]   But then you have, and I've gone long here in this opening segment, and this is going to be the main thrust today, I'm assuming, with a guest coming on covering this, Now they're saying, okay, it came out of a Chinese lab, it came out of the Wuhan lab.
[00:05:22.144 --> 00:05:24.986]  Why are they telling us this now?
[00:05:26.707 --> 00:05:33.450]  Why are they telling this to us three years after InfoWars broke the story?
[00:05:33.550 --> 00:05:38.733]  And it's not even, I mean, we've already done the, we don't need to sit here and do victory laps.
[00:05:39.434 --> 00:05:41.835]  We know we're next year's news today, next decade's news today.
[00:05:42.175 --> 00:05:51.892]   So now the question is, Why are they admitting it came out of a Wuhan lab, or why do they want us now to think it came out of a Wuhan lab?
[00:05:52.772 --> 00:05:53.472]  Well, I can't tell.
[00:05:53.532 --> 00:05:54.012]  Am I in 1984?
[00:05:54.172 --> 00:05:54.452]  Am I in 2023?
[00:05:54.492 --> 00:05:55.072]  Am I in 2020?
[00:05:55.332 --> 00:05:55.792]  Am I in 3023?
[00:05:55.832 --> 00:05:58.413]  What level of this dystopian future am I in right now?
[00:05:58.233 --> 00:06:09.911]   20? Am I in 30, 23? What level of this dystopian future am I in right now? Ladies and gentlemen,
[00:06:09.911 --> 00:06:15.271]   Owen Schroer here, filling in on the Alex Jones Show in honor and a privilege always to be with
[00:06:15.271 --> 00:06:19.673]  you, the crew, the audience here on this Wednesday, March 1st.
[00:06:19.740 --> 00:06:24.744]  And now we're into the new phase, year two of the war in Ukraine.
[00:06:26.225 --> 00:06:33.911]  And most expert opinions and analysts are kind of seeing the same thing.
[00:06:34.051 --> 00:06:42.917]   Not the war propagandists, not your lying media, your lying politicians, but True analysis of this, looking at it for what it is.
[00:06:44.537 --> 00:06:46.538]  The war is going to go on, it looks like, for years now.
[00:06:47.778 --> 00:06:49.679]  And that's kind of how it's all being prepped.
[00:06:50.799 --> 00:06:54.100]  And for Russia, they actually have a serious fight.
[00:06:54.700 --> 00:06:58.361]  And they actually have the backing of the Russian people.
[00:06:58.902 --> 00:07:06.164]  I mean, imagine after 9-11, all the support George Bush got, all the support the military got, the patriotism, all of it.
[00:07:06.904 --> 00:07:09.825]  That's basically what's going on in Russia right now.
[00:07:12.213 --> 00:07:22.321]  The parameter is obviously different, but maybe not anymore as Russia is now getting attacked, drone attacks, inside Russian territory.
[00:07:23.662 --> 00:07:26.804]  So, you don't really have support for this war anywhere else.
[00:07:27.164 --> 00:07:32.348]  I mean, you've seen the Polish people hopping up and down for war, very oddly, but okay.
[00:07:33.729 --> 00:07:35.390]  But where else are you getting that support?
[00:07:36.511 --> 00:07:37.012]  Ukraine?
[00:07:37.552 --> 00:07:38.433]  Not so much.
[00:07:39.033 --> 00:07:39.574]  Not really.
[00:07:40.686 --> 00:07:52.851]  And sadly, the people of Kiev and some of these other major Ukrainian cities that have mostly been able to live their lives normally in the last year, I think in this next phase of the war, that's going to change.
