[00:00:00.000 --> 00:00:18.379]  [Outro]
[00:00:18.512 --> 00:00:20.715]  It's Monday, December 25th, 2023.
[00:00:20.816 --> 00:00:21.136]  Christmas!
[00:00:25.026 --> 00:00:32.731]  And in this sickening, evil, politically correct run world, we're not even supposed to say those words, or mother, or father, or America.
[00:00:32.751 --> 00:00:34.913]  We're supposed to hate ourselves.
[00:00:35.773 --> 00:00:36.414]  But we don't.
[00:00:37.435 --> 00:00:39.716]  We love ourselves, because God made us.
[00:00:40.617 --> 00:00:41.938]  Thank you so much for joining us.
[00:00:43.719 --> 00:00:52.365]  You know, I'm sitting here, and I'm thinking about Christmas, and, you know, I talk so much, that I mean everything I say.
[00:00:53.868 --> 00:01:07.135]  But still when I thank you, and still when I say I'm thankful to the crew and my family and all of our supporters, it seems hollow because it can't express my emotion or my commitment to you.
[00:01:07.895 --> 00:01:09.336]  Because I'm committed to myself.
[00:01:10.316 --> 00:01:15.399]  And if I'm going to live in a free, open country and a free, open world, you've got to live in a free one as well.
[00:01:15.459 --> 00:01:16.760]  That's what empathy is.
[00:01:19.101 --> 00:01:30.783]   It's why when you're driving down a residential street Cat runs out in front of you and you can't help it and you run it over and you feel so bad and you pick it up and it's bloody and dying or dead and it's got a little name tag around its neck.
[00:01:31.323 --> 00:01:32.904]  You don't throw it on the side of the road.
[00:01:33.725 --> 00:01:35.847]  You find the address or you call the number on it.
[00:01:35.867 --> 00:01:38.749]  This has happened to me once with a cat.
[00:01:39.390 --> 00:01:41.131]  And you bring it to their door and you apologize.
[00:01:42.752 --> 00:01:44.474]  Because you're valuing its life.
[00:01:44.514 --> 00:01:46.255]  You're valuing their love of the cat.
[00:01:46.275 --> 00:01:51.202]   I remember 20 years ago we had this tiny chihuahua named Conan.
[00:01:51.222 --> 00:01:52.843]  He was a really sweet little dog.
[00:01:52.863 --> 00:01:54.224]  He was a rescue dog.
[00:01:55.525 --> 00:01:56.826]  And I remember the man came to the door.
[00:01:56.846 --> 00:01:58.747]  He was one of that old 25 year old fella.
[00:01:59.892 --> 00:02:01.533]  He said, I'm sorry I ran over your dog.
[00:02:01.973 --> 00:02:03.753]  He ran right out in the middle of the main road.
[00:02:03.773 --> 00:02:04.574]  We live by a major road.
[00:02:04.594 --> 00:02:06.574]  But he said, I'm sorry, your dog's dead.
[00:02:06.975 --> 00:02:08.915]  He had him in a little box he had in the back of his car.
[00:02:09.315 --> 00:02:10.276]  He put him in the little box.
[00:02:10.296 --> 00:02:10.916]  We went and buried him.
[00:02:10.936 --> 00:02:15.438]  And that was a symbol of respect for the love we had of that dog.
[00:02:15.478 --> 00:02:18.839]  Because that person respected himself.
[00:02:19.979 --> 00:02:23.961]  And if his dog would have been run over, even though it was the dog's fault.
[00:02:24.821 --> 00:02:25.541]  He's not smart.
[00:02:25.882 --> 00:02:26.782]  He doesn't understand the danger.
