[00:00:00.000 --> 00:00:27.359]  [MUSIC PLAYING]
[00:00:27.359 --> 00:00:29.199]  InfoWars.
[00:00:28.522 --> 00:00:29.442]  Tomorrow's news.
[00:00:29.522 --> 00:00:38.722]  today.
[00:00:38.786 --> 00:00:39.086]  I think.
[00:00:39.106 --> 00:00:39.967]  Just let me think.
[00:00:40.047 --> 00:00:45.249]  Even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:00:45.269 --> 00:00:46.129]  It's Chancellor Suttler.
[00:00:46.609 --> 00:00:47.170]  Damn it!
[00:00:47.270 --> 00:00:47.490]  Why?
[00:00:48.348 --> 00:00:54.414]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:00:54.935 --> 00:00:57.858]  Words are for the means to meaning and for those who will listen.
[00:01:02.264 --> 00:01:05.705]  There is something terribly wrong with this country, isn't there?
[00:01:05.725 --> 00:01:06.705]  You designed it, sir.
[00:01:06.765 --> 00:01:07.686]  You wanted it foolproof.
[00:01:07.706 --> 00:01:09.146]  You taught me every television in London!
[00:01:09.346 --> 00:01:11.447]  Cruelty and injustice.
[00:01:11.467 --> 00:01:12.807]  Intolerance and oppression.
[00:01:13.247 --> 00:01:22.650]  And where once you had the freedom to object and to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and selecting your submission.
[00:01:22.750 --> 00:01:23.050]  Cameras.
[00:01:23.090 --> 00:01:23.790]  We need cameras.
[00:01:24.090 --> 00:01:24.810]  How did this happen?
[00:01:25.551 --> 00:01:26.311]  Who's to blame?
[00:01:27.311 --> 00:01:29.933]  Well, certainly there are those who are more responsible than others.
[00:01:29.953 --> 00:01:31.854]  They will be held accountable.
[00:01:31.874 --> 00:01:37.738]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[00:01:38.954 --> 00:01:40.755]  I know why you did it.
[00:01:40.935 --> 00:01:42.016]  I know you were afraid.
[00:01:42.436 --> 00:01:43.176]  Who wouldn't be?
[00:01:43.677 --> 00:01:44.097]  War?
[00:01:44.437 --> 00:01:44.817]  Terror?
[00:01:45.057 --> 00:01:45.718]  Disease?
[00:01:46.378 --> 00:01:52.741]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:01:52.821 --> 00:01:58.564]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:01:58.984 --> 00:02:05.984]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:02:05.984 --> 00:02:13.985]  There is a war.
[00:02:13.764 --> 00:02:14.745]  It's happening now.
[00:02:15.645 --> 00:02:17.446]  It will decide the fate of humanity.
[00:02:18.006 --> 00:02:19.787]  The time to choose sides has come.
[00:02:20.568 --> 00:02:22.029]  We are the Resistance.
[00:02:22.289 --> 00:02:24.289]  We are the InfoWar.
[00:02:24.289 --> 00:02:37.289]  [Music]
[00:02:37.289 --> 00:02:43.289]   Ladies and gentlemen, a historic announcement today, taking the deep state on head on.
[00:02:43.965 --> 00:02:44.306]  Wow!
[00:02:44.466 --> 00:02:45.847]  It is Tuesday, August 8th, 2023.
[00:02:46.027 --> 00:02:54.072]  I'm Alex Jones, your host, coming to you from deep in the heart of Texas at Stephen Crowder's incredible studios.
[00:02:54.132 --> 00:02:58.415]  They have just launched a new network system partnered with Rumble.
[00:02:58.975 --> 00:03:03.838]  His show is routinely hitting 5 million viewers a day on one channel alone.
[00:03:03.898 --> 00:03:04.919]  This is explosive.
[00:03:05.659 --> 00:03:14.841]  And I'm going to start a weekly show with them, and then I'm going to expand into Infowars and so much more with investigative crews on the streets, our reporters going all over the world.
[00:03:15.021 --> 00:03:17.642]  This is a match made in heaven.
[00:03:18.342 --> 00:03:22.563]  So I'm going to have Steven Crowder and others coming up in studio.
[00:03:23.163 --> 00:03:27.564]  Amazing comedian Nick DiPaolo and so many others.
[00:03:27.604 --> 00:03:33.750]   We're also going to have the CEO, who's a really smart guy, of Steven Crowder's operation in Mug Club.
[00:03:33.770 --> 00:03:37.631]  We're going to be having Gerald Morgan in here with us in the first hour.
[00:03:37.752 --> 00:03:39.332]  It is going to be absolutely huge.
[00:03:39.412 --> 00:03:47.076]  And coming up next segment, they had an amazing hour 15-minute press conference this morning that just ended about 35 minutes ago.
[00:03:47.136 --> 00:03:51.958]  We're going to air about 15 minutes of that with Steven Crowder and myself making some big announcements.
[00:03:53.018 --> 00:03:59.110]   And then we're going to have Steven and some of the crew Brian Kellen, who I've known for many years and one of the top comedians out there.
[00:03:59.130 --> 00:04:03.412]  Just hung out with him and Joe Rogan and had dinner on Saturday and went and saw a show on Friday in Austin.
[00:04:04.012 --> 00:04:05.113]  He has signed up here.
[00:04:05.153 --> 00:04:08.074]  So have the Hodge twins and so much more.
[00:04:08.114 --> 00:04:13.957]  And it was Steven Crowder back when everybody turned their back on me pretty much during the platforming other than Tucker Carlson that stood up for me.
[00:04:14.537 --> 00:04:18.199]  And he didn't shut down during the first lockdown, the first days of that.
[00:04:18.259 --> 00:04:20.020]  So he's the type of guy I want to work with.
[00:04:20.400 --> 00:04:23.502]  I love the energy, the intelligence of these folks.
[00:04:24.082 --> 00:04:28.825]  And this is a teaming up of InfoWars and Alex Jones and my crew with their crew.
[00:04:29.165 --> 00:04:30.366]  So it is definitely exciting.
[00:04:30.526 --> 00:04:32.307]  But remember, it's you though the main crew.
[00:04:32.567 --> 00:04:33.828]  When you get excited, nothing stops.
[00:04:33.848 --> 00:04:34.568]  You tell everybody you know.
[00:04:34.888 --> 00:04:43.293]  Tune in now to InfoWars.com forward slash show and those local AM and FM stations that are amazing picking us up and the cable and TV stations to tell folks history is happening now.
[00:04:43.313 --> 00:04:46.435]  We have a patriot pro-America communication system.
[00:04:47.179 --> 00:04:48.300]  We are unstoppable.
[00:04:48.740 --> 00:04:52.744]  If we don't have that, they're going to continue to rule over this country, the deep state.
[00:04:53.124 --> 00:04:59.069]  You saw that, the intelligence agencies, the censorship, the surveillance that I told you about years ago, now all admitted in Congress the last few months.
[00:05:00.250 --> 00:05:05.654]  Humanity is striking back in the info war, and this is such a historic moment to be alive.
