[00:00:00.000 --> 00:00:17.000]  [Music]
[00:00:17.000 --> 00:00:22.000]  Just a few months after being sworn in as president, John F.
[00:00:22.000 --> 00:00:30.680]   Kennedy, RFK Jr.'s 's uncle, said the following in a speech given before the American Newspaper Publishers Association.
[00:00:31.000 --> 00:00:35.343]  The very word secrecy is repugnant in a free and open society.
[00:00:36.304 --> 00:00:45.531]  And we are as a people, inherently and historically, opposed to secret societies, to secret oaths, and to secret proceedings.
[00:00:46.596 --> 00:00:58.059]  We decided long ago that the dangers of excessive and unwarranted concealment of pertinent facts far outweigh the dangers which are cited to justify it.
[00:00:59.779 --> 00:01:05.461]  On November 22nd, 1963, President Kennedy was assassinated in Dallas.
[00:01:06.061 --> 00:01:14.103]  There are hours of damning evidence clearly showing that the CIA, organized crime, and the highest levels of the U.S.
[00:01:14.143 --> 00:01:26.711]   federal government We're all involved in the assassination of John F. Kennedy, including the magic bullet, the grassy knoll, and the presence of young CIA asset George H.W.
[00:01:26.751 --> 00:01:31.174]  Bush in Dallas that day, a day that he claims he could not remember.
[00:01:31.832 --> 00:01:36.173]  But the entire operation was blamed on a single lone gunman.
[00:01:37.193 --> 00:01:44.715]  An hour after hearing that his brother was assassinated, Robert Kennedy told his close aide that he was surprised it wasn't him.
[00:01:45.215 --> 00:01:47.416]  He thought that he would be the one they would get.
[00:01:48.356 --> 00:01:58.379]  Over the next few days, he wrote letters to his children, charging them with the responsibility to love and serve their country and to remember what their Uncle John had started.
[00:01:59.517 --> 00:02:13.795]  A few years later, the New York Times published an article claiming that President Kennedy told one of the highest officials in his administration that he wanted to splinter the CIA in a thousand pieces and scatter it to the winds.
[00:02:14.833 --> 00:02:20.899]  On March 16th, 1968, Robert Kennedy officially announced he was running for president.
[00:02:21.519 --> 00:02:30.728]  On June 5th, following major victories in the primaries, he was gunned down after giving a speech at the Ambassador Hotel in Los Angeles, California.
[00:02:31.508 --> 00:02:36.213]  Nina Rhodes-Hughes was one of a small few who witnessed the assassination.
[00:02:36.733 --> 00:02:38.794]  And she claims there was another shooter.
[00:02:39.415 --> 00:02:43.077]  She later expressed outrage that the police ignored her statement.
[00:02:43.477 --> 00:02:47.959]  The shot that killed Robert Kennedy was fired up close in the back of his head.
[00:02:48.420 --> 00:02:53.102]  And the whole operation was blamed on a single lone gunman who was standing in front of him.
[00:02:53.342 --> 00:02:58.385]  But it appears that they concluded within about an hour's time that Saran acted alone.
[00:02:58.405 --> 00:03:00.266]  Or that was going to be their conclusion.
[00:03:00.306 --> 00:03:03.608]  And they thereafter tailored all of the evidence to fit that conclusion.
[00:03:04.272 --> 00:03:10.357]  Regicide is the ritual killing of a king to memorialize a subversion of power.
