[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[00:00:01.270 --> 00:00:02.310]  NATO looks bad.
[00:00:02.430 --> 00:00:03.651]  Russia hasn't escalated.
[00:00:04.151 --> 00:00:04.651]  What do they do?
[00:00:04.691 --> 00:00:05.711]  They stage a false flag.
[00:00:05.751 --> 00:00:09.733]  And I don't know if it's going to be blowing up a bridge or blowing up a pipeline and blaming the Russians.
[00:00:09.773 --> 00:00:10.473]  We've already seen that.
[00:00:10.874 --> 00:00:15.296]  I don't know if it's going to be blowing up the nuclear power plant.
[00:00:15.536 --> 00:00:23.039]  But I'm telling you, the globalists or some of the factions of the globalists are crazy enough to do it.
[00:00:24.565 --> 00:00:30.688]  But it looks like they're testing the waters to flush him down the toilet and end this war.
[00:00:30.868 --> 00:00:34.309]  And that would be a very good thing.
[00:00:39.151 --> 00:00:43.733]  Rallying patriots worldwide in defense of human liberty.
[00:00:43.632 --> 00:00:45.632]  It's Alex Jones.
[00:00:45.632 --> 00:00:48.632]  [MUSIC PLAYING]
[00:00:49.632 --> 00:00:52.632]  [MUSIC PLAYING]
[00:00:52.632 --> 00:01:06.191]  InfoWars.
[00:01:06.232 --> 00:01:07.834]  Tomorrow's news, today.
[00:01:10.377 --> 00:01:13.000]  It's Thursday, July 13th, 2023.
[00:01:13.140 --> 00:01:16.324]  And I am your host, Alex Jones.
[00:01:17.525 --> 00:01:18.306]  Wow.
[00:01:19.367 --> 00:01:19.648]  Huh.
[00:01:20.248 --> 00:01:21.590]  Crazy developments.
[00:01:22.791 --> 00:01:24.714]  The gloves are off with the pedo-Satanist.
[00:01:26.127 --> 00:01:31.288]  California tried to pass a bill to make it a felony to be caught sex-trafficking children.
[00:01:32.288 --> 00:01:37.429]  The Democrats unanimously voted it down and then laughed at the victims as they cried.
[00:01:38.569 --> 00:01:43.150]  Actual video of the evil uncloaking itself.
[00:01:43.170 --> 00:02:05.070]   Speaking of evil, the poor little victim, Ray Epps, has filed a lawsuit against Fox For saying that he instigated by saying go into the Capitol and then saying that he quote, orchestrated the attack with his text messages.
[00:02:05.110 --> 00:02:07.571]  He said, family, I just orchestrated it.
[00:02:08.552 --> 00:02:10.513]  Well, you're not allowed to say that.
