[00:00:00.000 --> 00:00:07.599]  [outro music]
[00:00:07.625 --> 00:00:10.687]  We've got a very special podcast today.
[00:00:11.248 --> 00:00:13.349]  Very special guest in the studio.
[00:00:13.469 --> 00:00:14.189]  InfoWars.
[00:00:14.370 --> 00:00:16.370]  Tomorrow's News Today.
[00:00:16.370 --> 00:00:19.370]  [MUSIC PLAYING]
[00:00:19.370 --> 00:00:28.178]   Well, I've been talking to her on the phone for years But she's a fellow Texan, lives outside Austin.
[00:00:29.198 --> 00:00:29.999]  Rosie and Barb.
[00:00:31.547 --> 00:00:36.270]  Lenny has a lot of courage, she's really interesting, and she's going to be with us in studio in the second hour today.
[00:00:37.191 --> 00:00:40.613]  It's high noon in 45 seconds, ladies and gentlemen.
[00:00:41.353 --> 00:00:47.377]  We've got a big first hour of masses of breaking news and big developments in the Great Awakening that's here.
[00:00:48.258 --> 00:00:58.165]  But before we go any further, I want to air a very special Gregg Reese report that documents where we're going and how to stop the New World Order's neo-feudalistic technocracy.
[00:00:59.582 --> 00:01:02.366]  Safety Committees of the Revolution.
[00:01:02.426 --> 00:01:09.056]  Here's that report and a little bit of Roseanne Barr's latest comedy, and then we will kick off the main transmission.
[00:01:09.076 --> 00:01:09.877]  We are live.
[00:01:14.298 --> 00:01:18.061]  We Americans are under attack by our own government.
[00:01:18.601 --> 00:01:23.284]  We, the people, have no choice but to once again defend our freedom.
[00:01:23.945 --> 00:01:28.388]  This has all happened before, and we can learn much from the American Revolution.
[00:01:29.068 --> 00:01:38.534]  Starting in 1763, to pay for debts incurred from a war with France, the British began enforcing new taxes on the American colonies.
[00:01:39.395 --> 00:01:49.457]  In response to this, the colonies set up their own parallel government based on a simple structure of three committees delegated to voice the will of the people.
[00:01:50.057 --> 00:01:53.218]  A committee of correspondence to disseminate information.
[00:01:53.718 --> 00:01:57.918]  A committee of inspection to enforce Continental Congress decisions.
[00:01:58.579 --> 00:02:06.140]  And the most important of the three, a committee of safety to act as general executive in the absence of legal authority.
[00:02:06.960 --> 00:02:19.752]  These committees stemmed from each community of all the colonies and each and every local committee of safety had two missions to provide military support and monitor political affairs.
[00:02:20.513 --> 00:02:28.781]  Each community delegated its own representatives to speak on their behalf at the county level and then at the state level.
[00:02:29.361 --> 00:02:38.348]  Where state legislatures are thereby formed and senators are elected to represent the overall interests of the people in that state.
[00:02:38.969 --> 00:02:47.195]  With these committees, the 13 colonies honorably created a parallel government that lawfully nullified British rule.
[00:02:47.655 --> 00:02:57.063]  This compelled the Crown to take it back by force, which was met by an honorable and lawful defense of the colonies, known as the American Revolution.
