[00:00:00.000 --> 00:00:02.960]  [BEEPING]
[00:00:02.960 --> 00:00:06.400]  [MUSIC PLAYING]
[00:00:06.400 --> 00:00:07.360]  Man, that video!
[00:00:07.360 --> 00:00:10.720]  [SCREAMING]
[00:00:10.720 --> 00:00:15.679]   The left-wing lunatics are trying very hard to bring back COVID lockdowns and mandates
[00:00:15.679 --> 00:00:21.920]   with all of their sudden fear-mongering about the new variants that are coming.
[00:00:21.060 --> 00:00:28.268]  But to every COVID tyrant who wants to take away our freedom, hear these words, we will not comply.
[00:00:30.248 --> 00:00:43.838]  In New York, two captured states on each end of the country have officially rolled out new COVID protocols and mandates on their websites and said that indeed they're bringing back the controls.
[00:00:44.178 --> 00:00:48.702]  But we really caught them with their pants down almost two weeks ago with the whistleblower info.
[00:00:49.362 --> 00:00:51.424]  Ladies and gentlemen, I got a call yesterday.
[00:00:51.484 --> 00:01:02.147]   An individual was in town and they are a high-level manager in the TSA. Tuesday we got called in, the managers, and
[00:01:02.147 --> 00:01:09.007]   told that by the middle of September you all have to wear masks again and so will airport
[00:01:09.007 --> 00:01:16.067]   employees. Then by the middle of October they are going to say that everyone flying has to wear a
[00:01:16.067 --> 00:01:22.277]   mask. Well, I mean, why is this happening? They said, well, because of the new variant in
[00:01:22.277 --> 00:01:22.748]  Canada.
[00:01:22.748 --> 00:01:31.307]   But people who have had the vaccine are more susceptible to BA.2.A6.
[00:01:31.247 --> 00:01:32.727]  What the actual shit?
[00:01:33.448 --> 00:01:40.471]  But I was sent by the whistleblower a link to the California website and it says the controls are back and here they are.
[00:01:41.111 --> 00:01:42.011]  Right there in black and white.
[00:01:42.632 --> 00:01:43.312]  They're gonna roll them out.
[00:01:43.792 --> 00:01:55.439]   And through the institutions, the corporations, the hospitals, the hotels, through the colleges, the public schools, All over the country, they are shutting down public schools if there's one COVID case.
[00:01:56.040 --> 00:01:59.383]  That's creating the lockdown by sending the children back home.
[00:01:59.763 --> 00:02:00.724]  That's the beginning of it.
[00:02:01.264 --> 00:02:08.631]  My sources, because I called around and confirmed what the first source said, said middle of September, Biden is set to start the rollout.
[00:02:08.992 --> 00:02:11.992]  Now, five, six days later...
[00:02:11.992 --> 00:02:15.992]  ...request for additional funding for a new vaccine.
[00:02:15.992 --> 00:02:18.992]  That is not necessary. That works.
