[00:00:00.089 --> 00:00:00.789]  We need your prayers.
[00:00:01.289 --> 00:00:04.550]  But to the people trying to silence us, you need to understand that Tucker Carlson is bigger than ever.
[00:00:04.570 --> 00:00:07.170]  You need to understand that James O'Keefe is bigger than ever.
[00:00:07.191 --> 00:00:09.651]  You need to understand that they're so scared of Andrew Tate.
[00:00:09.671 --> 00:00:10.631]  They're trying to put him in prison.
[00:00:10.651 --> 00:00:11.291]  He's bigger than ever.
[00:00:12.252 --> 00:00:16.432]  And as long as we don't give up, this deep state's not going to win.
[00:00:16.472 --> 00:00:18.493]  I mean, look at how Biden's getting ready to go down.
[00:00:18.713 --> 00:00:20.213]  Look at how the globalists are so unpopular.
[00:00:20.233 --> 00:00:22.634]  Look how nationalists and populists are getting elected all over the world.
[00:00:23.514 --> 00:00:25.274]  Look at how Joe Rogan's so hardcore now.
[00:00:25.994 --> 00:00:28.515]  Look at all these other big Hollywood people now are coming out against Hollywood.
[00:00:29.845 --> 00:00:34.148]  So InfoWars and this audience together has already really given the globalists a run for their money.
[00:00:34.188 --> 00:00:38.731]  We already laid the groundwork, the foundation for everybody else that's here today.
[00:00:39.131 --> 00:00:41.313]  We've got more important over the horizon work to do.
[00:00:41.333 --> 00:00:47.256]  Rallying patriots worldwide in defense of human liberty.
[00:00:47.116 --> 00:00:54.116]  worldwide in defense of human liberty. It's Alex Jones.
[00:00:54.116 --> 00:01:12.116]  [Music]
[00:01:12.116 --> 00:01:15.116]  InfoWars. Tomorrow's news today.
[00:01:16.116 --> 00:01:17.116]  [Music]
[00:01:17.116 --> 00:01:27.116]  [BLANK_AUDIO]
[00:01:20.458 --> 00:01:22.619]  Ladies and gentlemen, we are live.
[00:01:22.699 --> 00:01:30.061]  Thank you so much for joining us here on this first day of August 2023.
[00:01:30.101 --> 00:01:31.782]  Again, I'm your host Alex Jones.
[00:01:32.322 --> 00:01:35.103]  We've got an incredible broadcast lined up for you today.
[00:01:35.963 --> 00:01:39.424]  I'm here on the road, but I'll be back in Austin in the next few days.
[00:01:40.892 --> 00:01:44.636]  So much is coming into focus right now.
[00:01:45.296 --> 00:01:51.142]  So much is unfolding, completely proving everything we warned about with the New World Order.
[00:01:51.983 --> 00:01:57.968]  And John Bowne put together an excellent report yesterday with the title that says it all.
[00:01:58.168 --> 00:02:01.731]  New World Order stooge bans modern civilization.
[00:02:02.132 --> 00:02:03.873]  And that's what Biden's doing.
[00:02:03.893 --> 00:02:05.355]  I mean, they're just banning everything.
[00:02:06.367 --> 00:02:08.027]  They're banning the combustion engine.
[00:02:08.047 --> 00:02:19.249]  They're banning all these gas-powered systems from home heating to stoves to water heaters to generators.
[00:02:19.670 --> 00:02:26.051]  They're announcing that, oh, the beef will suddenly be infected by prions, just like they infected the Cobanchats.
[00:02:26.071 --> 00:02:27.351]  You can't have beef anymore.
[00:02:27.371 --> 00:02:32.772]  I mean, this is a real post-industrial depopulationist cult.
[00:02:33.960 --> 00:02:40.788]  Making their move on us in ways that have just never, never, ever been seen before.
[00:02:41.929 --> 00:02:44.692]  And it's quite the moment to be alive.
[00:02:44.932 --> 00:02:48.256]  It's quite the moment as a country and as a world.
[00:02:48.844 --> 00:02:51.243]  to be faced with this.
[00:02:51.243 --> 00:02:54.245]  But it's very, very real.
[00:02:54.245 --> 00:02:56.985]   And when I say the world, if they can take down America
[00:02:56.985 --> 00:03:00.384]   and that idea of aspiring to all this freedom and quite frankly,
[00:03:00.384 --> 00:03:04.824]   large that we have, then the rest of the world won't settle for being slaves.
[00:03:04.824 --> 00:03:07.683]  And so that's what this really comes down to.
[00:03:07.683 --> 00:03:10.183]  We've got such a broadcast lined up for you today.
[00:03:09.878 --> 00:03:11.399]  Some big guests as well.
