[00:00:03.253 --> 00:00:05.115]  We're live!
[00:00:05.115 --> 00:00:15.967]  Monday, June 19th.
[00:00:15.967 --> 00:00:17.088]  InfoWars.
[00:00:17.088 --> 00:00:18.289]  Tomorrow's news.
[00:00:18.289 --> 00:00:18.630]  Today.
[00:00:20.925 --> 00:00:28.191]  One of the things that we're not hearing a lot about is the unique potential safety problem of coronavirus vaccines.
[00:00:28.191 --> 00:00:30.673]  And then, something changed.
[00:00:30.673 --> 00:00:36.818]  Any vaccine released by emergency use authorization by the FDA is an outstanding vaccine.
[00:00:36.818 --> 00:00:40.361]  J&J's vaccine has a risk of life-threatening blood clots.
[00:00:41.221 --> 00:00:44.103]  When you hear the beep, that's the sound of safety.
[00:00:44.103 --> 00:00:45.844]  So don't overthink it.
[00:00:45.844 --> 00:00:48.406]  They're both really good.
[00:00:48.406 --> 00:00:50.267]  They're all really good vaccines.
[00:00:50.267 --> 00:00:51.268]  Get vaccinated now.
[00:00:51.268 --> 00:00:52.368]  You gotta call now.
[00:00:52.368 --> 00:00:55.330]  If you wait, it's gonna be really too late to protect your child.
[00:00:55.330 --> 00:00:59.353]  If this was your child, what happens next could make it the worst day of your life.
[00:00:59.753 --> 00:01:02.775]  So even though COVID poses zero threat to healthy children.
[00:01:02.775 --> 00:01:03.836]  Vaccinate your children.
[00:01:03.836 --> 00:01:05.157]  Do the right thing.
[00:01:05.157 --> 00:01:06.919]  Be safe and not sorry.
[00:01:06.919 --> 00:01:12.943]  I'm strongly recommending for adolescents to get their two doses of vaccine fully immunized after those two doses.
[00:01:12.943 --> 00:01:15.785]  Advanced technology that can help save lives.
[00:01:15.785 --> 00:01:19.508]  This is going to be a long-lasting vaccine.
[00:01:19.508 --> 00:01:21.230]  A few moments later.
[00:01:21.230 --> 00:01:26.514]  We're seeing that two doses is not holding up well for emergency room visits.
[00:01:26.514 --> 00:01:28.735]  It's not holding up well for hospitalizations.
[00:01:29.616 --> 00:01:30.303]  We gotta go!
[00:01:31.577 --> 00:01:33.339]  Everyone's going to need a booster.
[00:01:33.339 --> 00:01:35.060]  You need that third immunization.
[00:01:35.060 --> 00:01:35.921]  Triple the amount!
[00:01:35.921 --> 00:01:37.362]  Get that third immunization.
[00:01:37.362 --> 00:01:40.384]  The two mRNA vaccines were always a three-dose vaccine.
[00:01:40.384 --> 00:01:43.467]  The two mRNA vaccines were always a three-dose vaccine.
[00:01:43.467 --> 00:01:45.828]  I've always said this is a three-dose vaccine.
[00:01:45.828 --> 00:01:47.990]  I've always said this is a three-dose vaccine.
[00:01:47.990 --> 00:01:49.631]  This is a three-dose vaccine.
[00:01:49.631 --> 00:01:50.852]  But I'm not done yet!
[00:01:50.852 --> 00:01:52.374]  That third immunization.
[00:01:52.374 --> 00:01:55.436]  The problem is, it's not holding up.
[00:01:55.436 --> 00:01:59.379]  So, we may have to look at sort of innovative solutions.
[00:01:59.379 --> 00:02:00.440]  Oh God, not this again.
[00:02:00.880 --> 00:02:02.121]  A fourth immunization.
[00:02:02.121 --> 00:02:02.461]  Oh boy.
[00:02:02.461 --> 00:02:04.322]  Just, just to keep them, to keep them going.
[00:02:04.322 --> 00:02:05.602]  To keep the country, uh, going.
[00:02:05.602 --> 00:02:07.363]  We have to consider some out of the box things.
[00:02:07.363 --> 00:02:08.864]  A fourth immunization.
[00:02:08.864 --> 00:02:09.464]  FOURTH!
[00:02:09.464 --> 00:02:10.585]  A fourth immunization.
[00:02:10.585 --> 00:02:11.585]  Get that second boost.
[00:02:11.585 --> 00:02:12.386]  A second boost.
[00:02:12.386 --> 00:02:14.046]  To keep the country, uh, going.
[00:02:14.046 --> 00:02:15.527]  I've made that recommendation.
[00:02:15.527 --> 00:02:16.968]  A fourth immunization.
[00:02:16.968 --> 00:02:20.009]  But I'm still not done!
[00:02:20.009 --> 00:02:22.690]  Unfortunately, the numbers are starting to trend up again.
[00:02:22.690 --> 00:02:24.351]  So the hospitalizations are up.
[00:02:24.351 --> 00:02:29.414]  And so the most important message that I have this morning is get your new bivalent booster.
[00:02:30.335 --> 00:02:31.137]  We're good to go.
[00:02:38.266 --> 00:02:42.728]  And is that the bivalent, or is it the fourth booster, or does it matter?
[00:02:42.728 --> 00:02:45.830]  Don't worry so much about the number of... There's no wrong way to use it!
[00:02:45.830 --> 00:02:46.770]  You have to get it.
[00:02:46.770 --> 00:02:50.012]  This new bivalent booster... You can double or triple stack them!
[00:02:50.012 --> 00:02:52.733]  The new bivalent one is doing a much better job.
[00:02:52.733 --> 00:02:53.494]  You have to get a booster.
[00:02:53.494 --> 00:02:55.575]  You need to get this new bivalent booster.
[00:02:55.575 --> 00:02:57.096]  That bivalent booster for COVID.
[00:02:57.096 --> 00:03:00.317]  But does everyone ages 12 and older need a booster?
[00:03:00.317 --> 00:03:01.278]  The answer is yes.
[00:03:02.298 --> 00:03:12.345]  And by the way, if you're over 15 and have gotten two boosters and more than two to four months out, you're going to need a third booster as well, a fifth immunization.
[00:03:12.345 --> 00:03:13.726]  Five!
[00:03:13.726 --> 00:03:17.349]  I don't think we're going to need an annual booster like flu.
[00:03:17.349 --> 00:03:18.550]  Eventually.
[00:03:18.550 --> 00:03:22.052]  Dr. Hotez supports yearly boosters just like flu.
[00:03:22.052 --> 00:03:23.313]  But I'm still not done!
[00:03:23.393 --> 00:03:28.336]  It looks as though the boosters are not holding up quite as well as we'd like.
[00:03:28.336 --> 00:03:31.517]  And I think our thinking is going to change.
[00:03:31.517 --> 00:03:38.301]  And that what's going to happen is every, you know, few months, we may need another booster.
[00:03:38.301 --> 00:03:40.422]  Perfect results each and every time!
[00:03:40.422 --> 00:03:44.364]  You know, we just could not overcome that massive disinformation campaign.
[00:03:44.364 --> 00:03:47.406]  These fake concepts of herd immunity and discrediting masks.
[00:03:47.586 --> 00:03:49.427]  Dr. Hotez, you are a national treasure.
[00:03:49.427 --> 00:03:52.127]  It is picking off young people like we've never seen.
[00:03:52.127 --> 00:03:54.928]  Dr. Peter Hotez, that was extremely informative.
[00:03:54.928 --> 00:03:58.569]  Disinformation that you're hearing that kids are fine, it's nonsense.
[00:03:58.569 --> 00:04:00.670]  Kids need to get that vaccination.
[00:04:00.670 --> 00:04:02.610]  You healthcare workers have been our saviors.
[00:04:02.610 --> 00:04:04.351]  Watch out for that misinformation.
[00:04:04.351 --> 00:04:07.852]  Dr. Peter Hotez is probably one of the smartest people on this topic.
[00:04:07.992 --> 00:04:12.394]  If you haven't gotten your five and ups vaccinated yet, now's the time to do that.
[00:04:12.394 --> 00:04:14.514]  Dr. Peter Hotez, thank you for saving the world.
[00:04:14.514 --> 00:04:18.176]  We also support giving the third immunization for the 12 to 17 year olds.
[00:04:18.176 --> 00:04:19.596]  People have to feel safe.
[00:04:19.596 --> 00:04:21.597]  Dr. Hotez, you are a voice of reason.
[00:04:21.597 --> 00:04:23.277]  Take down the fake information.
[00:04:23.277 --> 00:04:24.978]  These fake concepts of herd immunity.
[00:04:25.418 --> 00:04:27.419]  Let's hope is to vaccinate our way through this.
[00:04:27.419 --> 00:04:30.619]  Make sure that everybody's vaccinated, including their kids.
[00:04:30.619 --> 00:04:34.240]  That's the single most important thing right now the American people have to do.
[00:04:34.240 --> 00:04:39.182]  Dr. Peter Hotez was a person that we like to go to for this sort of expertise.
[00:04:39.182 --> 00:04:45.623]  The single most impactful thing you can do is make certain that you're fully boosted and preferably to boosted.
[00:04:45.623 --> 00:04:48.104]  Lucky Pox is a global emergency.
[00:04:48.724 --> 00:04:56.453]  And it's accelerating among a specific social network of men who have sex with men, not because it's sexually transmitted.
[00:04:56.453 --> 00:04:59.476]  Monkeypox is sexually transmitted.
[00:04:59.476 --> 00:05:01.118]  Almost.
[00:05:01.118 --> 00:05:06.965]  A lot of people have asked me, why is M4 stored at M4's life, not at a probiotic for more than three years?
[00:05:07.403 --> 00:05:08.623]  The answer is simple.
[00:05:08.623 --> 00:05:11.544]  We only bring you the highest quality at the lowest prices.
[00:05:11.544 --> 00:05:16.045]  We had a top maker, top certified of probiotics for over seven years.
[00:05:16.045 --> 00:05:21.846]  They got bought by a lip card company and said, we're not doing business with you Mr. Jones anymore.
[00:05:21.846 --> 00:05:27.367]  Finally, we got a probiotic just as good or better with a top lab that loves our show.
[00:05:27.367 --> 00:05:31.867]  We're able to private label it under InfoWars MD as our probiotic formula.
[00:05:31.867 --> 00:05:35.448]  So you can get a super high quality probiotic for amazing gut health and more.
[00:05:35.808 --> 00:05:36.128]  I think so.
[00:06:03.507 --> 00:06:05.187]  Big Brother.
[00:06:05.187 --> 00:06:07.508]  Mainstream media.
[00:06:07.508 --> 00:06:09.288]  Government cover-ups.
[00:06:09.288 --> 00:06:11.369]  You want to stop tyranny?
[00:06:11.369 --> 00:06:13.529]  Well, so does he.
[00:06:13.529 --> 00:06:24.931]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:24.931 --> 00:06:26.112]  It's Monday, June 19th.
[00:06:28.127 --> 00:06:54.704]  2023 and it was about a year and a half ago I said on air in January 2022 that the entire house of cards concerning the poison shots had come down on top the globalists and that they would double down and try to intimidate and threaten Joe Rogan, Tucker Carlson, Alex Jones
[00:06:55.902 --> 00:07:12.148]  Robert F. Kennedy Jr., and that that would make people like Joe Rogan dig deeper into the science and find out not only does the shots not work, but they knew they didn't work, and they created the virus, and it erases your immune system, and it's a plan to depopulate.
[00:07:12.148 --> 00:07:20.371]  And I said on air, the globalists are so arrogant that they're going to do this and push it, and that will bring them down.
[00:07:20.371 --> 00:07:22.772]  It's happening quicker than I thought, though.
[00:07:23.920 --> 00:07:26.942]  Number one story in the world.
[00:07:26.942 --> 00:07:34.067]  Hundreds of millions of views a day on Twitter alone that I've just been monitoring.
[00:07:34.067 --> 00:07:36.629]  I went and checked YouTube, same thing.
[00:07:36.629 --> 00:07:37.609]  I'm sure it's everywhere else.
[00:07:37.609 --> 00:07:40.211]  Facebook, Instagram.
[00:07:40.211 --> 00:07:44.013]  In fact, I know it is.
[00:07:44.013 --> 00:07:45.194]  Hundreds and hundreds of millions.
[00:07:45.194 --> 00:07:48.957]  When I say hundreds of millions, Joe Rogan's getting hundreds of millions today himself.
[00:07:51.317 --> 00:07:57.500]  Just regular response videos are getting like 10 million, 5 million, and there's thousands of people posting them.
[00:07:57.500 --> 00:08:15.229]  And there's all these folks going out, just the general public, and finding all the clips of Peter Hotez, who helped spearhead these poisoned shots against the American people, and who spearheads calling for the arrest of anyone that doesn't take shots, and the arrest of anyone that questions the scientist.
[00:08:15.229 --> 00:08:18.411]  And he says, questioning is the opposite of science,
[00:08:19.895 --> 00:08:22.296]  Debating is the opposite of science.
[00:08:22.296 --> 00:08:23.637]  These are quotes.
[00:08:23.637 --> 00:08:30.880]  He just went on MSNBC and said it today.
[00:08:30.880 --> 00:08:34.321]  He said, he's got a new one here.
[00:08:34.321 --> 00:08:38.643]  In science, you do not debate.
[00:08:38.643 --> 00:08:39.964]  In fact, if you had one word
[00:08:42.864 --> 00:08:52.546]  That would describe science, it would have to be research, debate, questioning, and that is what science is, questioning how the universe operates.
[00:08:52.546 --> 00:08:57.707]  He's literally attacking one of the three or four pillars of what science is, debate.
[00:08:57.707 --> 00:09:04.169]  You could debate which one's the central pillar, but, I mean, three or four pillars here?
[00:09:04.169 --> 00:09:10.630]  Reason, research, questioning,
[00:09:14.264 --> 00:09:15.985]  Debating?
[00:09:15.985 --> 00:09:20.169]  But no, he says, you don't debate in science.
[00:09:20.169 --> 00:09:20.329]  Okay?
[00:09:20.329 --> 00:09:22.511]  It's alright.
[00:09:22.511 --> 00:09:27.575]  So he's saying he's not going to debate Joe Rogan, or he's not going to debate Robert F. Kennedy Jr.
[00:09:27.575 --> 00:09:29.137]  on Joe Rogan.
[00:09:29.137 --> 00:09:31.318]  And then so I thought, you know, why don't we do a deep dive on him?
[00:09:31.318 --> 00:09:36.423]  I've already covered him a ton the last three and a half years of this mass murdering operation.
[00:09:36.423 --> 00:09:41.347]  But now, we went and dug up some of the official stuff he put out.
[00:09:43.337 --> 00:09:48.159]  Saying it's time to silence and arrest those that question our science.
[00:09:48.159 --> 00:10:10.368]  And when somebody, who we have joining us in about 25 minutes, just a reporter, like the mainstream reporters do all the time, went to his house, politely talked to him, he said this is harassment, and now his minions have been calling for criminal charges against the well-known reporter Alex Rosen, who's busted pedophiles all over the United States,
[00:10:12.142 --> 00:10:15.805]  He's very famous for it, one of the top private people doing it.
[00:10:15.805 --> 00:10:30.096]  And he has an interest in the head of the Children's Hospital, and the individual that is pushing all these shots on the children who particularly get hurt by them.
[00:10:30.096 --> 00:10:35.480]  And so the left loves it when you go to the Supreme Court person's house, Justice's house, and say, we're going to kill you.
[00:10:35.480 --> 00:10:36.140]  That's good.
[00:10:36.140 --> 00:10:38.803]  When you burn down some buildings, that's mostly peaceful.
[00:10:38.803 --> 00:10:41.545]  But when you politely go and talk to Peter Hotez,
[00:10:42.993 --> 00:10:43.994]  You are the devil.
[00:10:43.994 --> 00:11:04.755]  So here's Peter Hotez running to CNBC with its 200-300,000 viewers at one time to counter, he thinks, in his little white lab coat, his little superhero outfit, the hundreds of millions of views a day, conservatively, on Twitter alone, 95% hating his ass.
[00:11:07.284 --> 00:11:14.686]  So it's billion views plus guaranteed in this debate, this discussion, when Joe Rogan got attacked by him.
[00:11:14.686 --> 00:11:21.088]  Peter Hotez put out tweets saying Joe Rogan is part of a fascist coalition that threatens the very republic.
