[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[00:00:03.000 --> 00:00:06.000]  [Silence]
[00:00:06.000 --> 00:00:23.000]  [Outro Music]
[00:00:23.382 --> 00:00:25.143]  I'm going to ask my layperson questions.
[00:00:25.164 --> 00:00:25.924]  We've got five minutes left.
[00:00:25.944 --> 00:00:26.945]  You've got the floor.
[00:00:26.965 --> 00:00:27.165]  Hit them.
[00:00:27.004 --> 00:00:31.125]   The great Mark Dyson is coming up with his view on what's happening in the world today
[00:00:31.125 --> 00:00:32.125]  and more.
[00:00:32.125 --> 00:00:33.125]  Doc, I'm going to shut up.
[00:00:33.125 --> 00:00:34.524]  I'm going to ask you my layperson questions.
[00:00:34.524 --> 00:00:36.004]  We've got five minutes left.
[00:00:36.004 --> 00:00:37.004]  You've got the floor.
[00:00:37.004 --> 00:00:38.004]  Hit them.
[00:00:38.004 --> 00:00:44.524]   Well, I love your layperson questions because you show me that you understand the truth.
[00:00:44.995 --> 00:00:50.499]  By everything that I hear in every commercial in my ear and everything we've been watching, you understand the truth.
[00:00:50.559 --> 00:00:53.040]  But how is a scientist good?
[00:00:53.200 --> 00:00:58.784]  I mean, the best scientists, they integrate all the information, like your innate immune system.
[00:00:59.204 --> 00:01:03.527]  Your innate immune system sees patterns, pattern recognition receptors.
[00:01:03.967 --> 00:01:06.889]  And so the old, their immune systems don't diminish.
[00:01:07.329 --> 00:01:08.730]  No, they make all the antibodies.
[00:01:09.070 --> 00:01:10.231]  Antibody is immunity.
[00:01:10.891 --> 00:01:12.392]  What was the test in the beginning?
[00:01:13.012 --> 00:01:14.293]  The test was an antibody.
[00:01:14.793 --> 00:01:18.095]  So with Magic Johnson, I defended my Ph.D.
[00:01:18.155 --> 00:01:21.677]  thesis a week in November 14, 1991.
[00:01:23.078 --> 00:01:27.760]  A week after he was on the cover of Time Magazine that he was antibody positive.
[00:01:28.160 --> 00:01:30.382]  And at that time, everybody was dying.
[00:01:30.722 --> 00:01:33.163]  And we didn't know what they were doing with the AZT.
[00:01:33.203 --> 00:01:34.464]  We were just in the lab.
[00:01:35.004 --> 00:01:36.685]  And my Ph.D.
