[00:00:00.000 --> 00:00:02.759]  (dramatic music)
[00:00:02.759 --> 00:00:06.360]  Big Brother.
[00:00:06.613 --> 00:00:07.853]  Mainstream media.
[00:00:08.414 --> 00:00:09.554]  Government cover-ups.
[00:00:10.295 --> 00:00:11.755]  You want to stop tyranny?
[00:00:12.016 --> 00:00:13.156]  Well, so does he.
[00:00:13.657 --> 00:00:18.399]  Live from the Infowars.com studios, it's Alex Jones.
[00:00:18.779 --> 00:00:21.881]  And now, your host, Owen Troyer.
[00:00:23.922 --> 00:00:29.923]   Well, you may have noticed, it's not Not so subtle anymore.
[00:00:31.524 --> 00:00:52.766]   The American left has taken off its mask and exposed itself for what it really is, whether it's the continued weaponization of government against their opposition, including their biggest opposition, Donald Trump, but of course you, me, Everybody else that stands in their way.
[00:00:53.507 --> 00:00:55.088]  Everybody else that's willing to tell the truth.
[00:00:55.809 --> 00:01:02.776]  But it's also their violence with incidents like the Black Lives Matter Summer of Rage.
[00:01:04.718 --> 00:01:13.978]   They have also expressed now their blatant anti-white bigotry when it comes to the situation With a black judge now.
[00:01:14.318 --> 00:01:17.039]  They're hoping we'll put Donald Trump in jail the rest of his life.
[00:01:17.059 --> 00:01:17.639]  And they just say it.
[00:01:17.679 --> 00:01:18.980]  They say, what poetic justice.
[00:01:19.040 --> 00:01:21.860]  It's a black woman that will destroy the white man, Donald Trump.
[00:01:24.981 --> 00:01:31.343]  Maybe it's the celebration of murder, abortion, that was the moment you realized what the American left.
[00:01:32.389 --> 00:01:32.849]  Really is.
[00:01:32.909 --> 00:01:35.271]  But now, folks, it's their own representative.
[00:01:35.331 --> 00:01:36.632]  It's Democrats in Congress.
[00:01:37.353 --> 00:01:38.194]  It's their media.
[00:01:38.354 --> 00:01:40.115]  This is the evil.
[00:01:40.355 --> 00:01:46.901]  They are now deciding, we are just choosing the role of being the bad guy, consciously.
[00:01:48.004 --> 00:01:53.747]  We will fully corrupt ourselves to evil because the ends justify the means.
[00:01:53.827 --> 00:02:01.011]  Because they believe you really are a racist bigot, homophobe, and you really are a cancer and a parasite on this planet.
[00:02:01.311 --> 00:02:06.014]  And your existence is torturous to them, so they have to destroy you.
[00:02:06.554 --> 00:02:10.236]  And so now here is Democrat Representative Jasmine Crockett.
[00:02:11.177 --> 00:02:14.739]  They're one step away, folks, from just routing us all up or chopping off our heads.
[00:02:15.219 --> 00:02:17.260]  Listen to this Democrat in clip seven.
[00:02:18.237 --> 00:02:25.579]  What do you have to say to your colleagues across the aisle who are clamoring to defend the indefensible charges against Defendant Trump?
[00:02:27.179 --> 00:02:28.519]  First of all, good morning.
[00:02:30.280 --> 00:02:34.961]  Your commentary about the Speaker finding his spine is hilarious to me.
[00:02:34.981 --> 00:02:37.962]  Because, yeah, he is definitely spineless.
[00:02:38.542 --> 00:02:46.704]  Listen, the idea that the biggest scandal that I remember when Obama was in office was his tan suit.
[00:02:47.404 --> 00:02:47.764]  Right?
[00:02:47.824 --> 00:02:59.454]  They were all up in arms about the tan suit and now there's nothing to see with three separate indictments in multiple states on multiple levels.
[00:02:59.995 --> 00:03:04.098]  It's absolutely ridiculous and no one is being prosecuted for their thoughts.
[00:03:04.138 --> 00:03:12.185]  They're being prosecuted or he is being prosecuted for his actions along with his co-conspirators in the various indictments that he has.
[00:03:12.705 --> 00:03:22.988]  We have seen Jack lay out in multiple pages of indictments as what has been described on y'all's network as a shouting indictment in this last indictment.
[00:03:23.388 --> 00:03:29.489]  He has clearly laid out the actions of not only Trump, but his co-conspirators.
[00:03:29.790 --> 00:03:35.831]  And honestly, anyone who was paying attention on January 6th, we saw what his actions led to.
[00:03:36.231 --> 00:03:38.212]  And so no, it's not his thoughts, it's his actions.
[00:03:38.232 --> 00:03:39.012]  Speech is now actions.
[00:03:39.312 --> 00:03:47.156]  Absolutely ridiculous that we have these actions that are playing out by my colleagues on the other side of the aisle.
[00:03:47.536 --> 00:03:54.960]  You know, they are really getting dangerously close, in my opinion, to criminal culpability in and of themselves as well.
[00:03:55.160 --> 00:04:01.723]  And so, if I were them, I wouldn't be taking so many actions and continue to express my thoughts.
[00:04:02.143 --> 00:04:03.104]  So there you have it.
[00:04:02.924 --> 00:04:06.563]   that are weaponizing government when they are taking our committees and they
[00:04:06.563 --> 00:04:11.504]  are running these sham seemingly trials on behalf of Trump.
[00:04:11.504 --> 00:04:15.853]   We have said over and over and over that in a minute they are going to have to
[00:04:15.853 --> 00:04:21.163]   turn in FEC filings because of all of the contributions that they are giving to
[00:04:21.163 --> 00:04:23.483]  the Trump campaign.
[00:04:23.483 --> 00:04:27.084]   So there you have it. You're now criminally culpable if you defend Trump's innocence.
[00:04:27.084 --> 00:04:31.963]  No such thing as innocent till proven guilty now.
[00:04:31.045 --> 00:04:32.746]  And speech is now action.
[00:04:33.006 --> 00:04:41.809]  But folks, forget about the Trump derangement syndrome and the just genuine low IQ individual that you just heard on the screen there.
[00:04:42.489 --> 00:04:46.451]  This is what they're really thinking, this is what they've been thinking, and they're ready to move.
[00:04:46.851 --> 00:04:49.572]  They really want all of you arrested and or dead.
[00:04:49.892 --> 00:04:54.194]  If you stand up for Donald Trump, these Democrats want you dead or in jail.
[00:04:55.384 --> 00:05:15.045]   I beg you to think about how important your word of mouth is and you sharing the articles and sharing the videos and telling people get the forbidden truths you're not supposed to find at Infowars.com forward slash show and getting products at InfowarsStore.com We've got three amazing products in stock, ready to ship.
[00:05:15.345 --> 00:05:16.646]  Sold out for almost six months.
[00:05:16.726 --> 00:05:17.767]  Vitamin Mineral Fusion.
[00:05:17.887 --> 00:05:18.548]  So incredible.
[00:05:18.608 --> 00:05:19.609]  So good for your whole body.
[00:05:19.889 --> 00:05:24.534]  A one-stop shop for everything you need for vitamins, minerals, and key amino acids for your immune system and more.
[00:05:24.874 --> 00:05:25.575]  Back in stock.
[00:05:26.155 --> 00:05:26.656]  Discounted.
[00:05:27.336 --> 00:05:27.936]  Silver Bullet.
[00:05:28.197 --> 00:05:29.958]  30 parts per million from the top lab in the country.
[00:05:29.998 --> 00:05:30.738]  Private label by us.
[00:05:31.138 --> 00:05:31.698]  Discounted.
[00:05:31.799 --> 00:05:32.879]  InfowarStore.com.
[00:05:33.219 --> 00:05:35.661]  Nitric boost to clean out your blood and make you healthier.
[00:05:36.081 --> 00:05:36.741]  It's in stock.
[00:05:37.061 --> 00:05:37.822]  Rave reviews.
[00:05:38.202 --> 00:05:39.543]  Top doctors say it's amazing.
[00:05:39.723 --> 00:05:41.704]  InfowarStore.com.
[00:05:41.944 --> 00:05:42.865]  And that keeps us on air.
[00:05:43.225 --> 00:05:44.726]  Thank you so much for your support.
[00:05:45.086 --> 00:05:45.706]  Spread the word.
[00:05:45.766 --> 00:05:46.487]  Pray for the broadcast.
[00:05:46.547 --> 00:05:52.530]  And go now to InfowarStore.com and get great products that keep the tip of the spear in the fight.
[00:05:57.443 --> 00:06:03.565]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:06:03.826 --> 00:06:06.826]  And now your host, Owen Troyer.
[00:06:06.826 --> 00:06:21.626]  What an opportunity we have.
[00:06:21.626 --> 00:06:24.725]  As freedom loving.
[00:06:24.725 --> 00:06:26.885]  (upbeat music)
[00:06:27.037 --> 00:06:28.158]  American Patriots.
[00:06:30.319 --> 00:06:33.220]  What an opportunity we have as God-fearing Christians.
[00:06:33.340 --> 00:06:34.621]  What an opportunity you have.
[00:06:36.222 --> 00:06:38.383]  You're just a human that likes life.
[00:06:38.403 --> 00:06:40.484]  You just like life.
[00:06:40.644 --> 00:06:45.026]  What an opportunity you have because we are facing total evil.
[00:06:45.106 --> 00:06:48.868]  We are facing total tyranny, totalitarian criminal government.
[00:06:50.068 --> 00:06:54.931]  And we have a chance to stand up against it, rise up against it with righteous indignation.
[00:06:56.010 --> 00:07:09.860]  Fully justified, vindicated in our ideologies, and we have an opportunity to truly defeat and dispel even evil, at least for a moment, in this country and in this planet.
[00:07:10.040 --> 00:07:20.728]  And so, when I hear Donald Trump talking like this at a campaign event in Alabama, it just feels good.
[00:07:22.109 --> 00:07:23.650]  This is long overdue.
[00:07:25.111 --> 00:07:35.199]  Here's Donald Trump addressing the wickedness, the criminality we face in the halls of our government in clip one in Alabama this weekend.
[00:07:36.060 --> 00:07:41.565]  Election day 2024, we're going to evict crooked Joe Biden from the White House.
[00:07:44.898 --> 00:07:55.044]  We're going to expel the criminals and thugs from the halls of power in Washington, D.C., and we are going to make America great again.
[00:07:59.627 --> 00:08:14.317]   So here we are, and anybody that still is sound of mind Even from the American left, liberals, democrats, progressives, you're seeing it now like Alan Dershowitz, Tulsi Gabbard, even Joe Rogan, others.
[00:08:14.357 --> 00:08:15.979]  They see what's going on here.
[00:08:15.999 --> 00:08:18.501]  Whether they like Donald Trump, voted for Donald Trump, doesn't matter.
[00:08:19.282 --> 00:08:28.832]  The people trying to destroy Donald Trump, the people lying about Donald Trump, the media obsessed with Donald Trump, the deep state persecution of Donald Trump, that's the sign for what you really need to be focused on.
[00:08:29.827 --> 00:08:33.349]  The criminal totalitarians that run Washington D.C.
[00:08:33.850 --> 00:08:37.732]  and will not accept any opposition or any dissidence.
[00:08:41.515 --> 00:09:02.791]   And if you really want to know politically what the Democrats have planned, and they'll end up losing as well, but the globalists, the World Economic Forum, the World Health Organization, behind the Democrats, the Chinese Communist Party that runs the Democrats, They will love it when the Democrats reach their goal of one-party control over this country.
[00:09:02.851 --> 00:09:04.053]  They'll cancel elections.
[00:09:05.614 --> 00:09:09.117]  They'll make being a conservative, Republican, whatever, they'll just make it illegal.
[00:09:09.838 --> 00:09:11.900]  If you're in Congress as a Republican, they'll boot you.
[00:09:12.200 --> 00:09:16.904]  If you're on the Supreme Court as a Republican, or you were appointed by a Republican, they'll boot you.
[00:09:17.985 --> 00:09:20.227]  This is politically what the Democrats want.
[00:09:20.267 --> 00:09:21.748]  This is politically their vision.
[00:09:22.705 --> 00:09:31.550]  And the Chinese Communists love that, because then if you have a one-party totalitarian system here, then it's a lot easier for them to control that party, like Joe Biden.
[00:09:32.490 --> 00:09:43.797]  And then for the World Health Organization, the World Economic Forum, they just have to lobby and convince their Democrat penetrators, their Democrat operatives, that, hey, this is what we're all doing now, get behind it, we're all in.
[00:09:44.597 --> 00:09:45.958]  And so that's where all this is going.
[00:09:48.641 --> 00:09:52.723]  Alan Dershowitz, Trump indictment makes America look like a banana republic.
[00:09:52.863 --> 00:09:53.684]  Everybody sees it.
[00:09:55.044 --> 00:09:58.026]  Except, except still these American liberals.
[00:09:58.066 --> 00:09:59.447]  But it's not even fair to say that anymore.
[00:09:59.467 --> 00:10:02.748]  Because a lot of liberals have come around, a lot of liberals see what's going on here.
[00:10:03.309 --> 00:10:05.830]  So it's really just deranged leftists.
[00:10:06.970 --> 00:10:17.356]  It's really just fully deranged leftists, communists, socialists, Marxists, that have just completely lost their humanity, completely lost their minds.
[00:10:19.235 --> 00:10:20.396]  Everybody else sees through this.
[00:10:20.656 --> 00:10:30.003]  But it's funny because you could ask anybody, somehow pull Trump out of the equation, pull Trump out of the consciousness, and you ask anybody, is Washington DC corrupt?
[00:10:30.263 --> 00:10:30.924]  Absolutely.
[00:10:30.984 --> 00:10:31.864]  Is politics corrupt?
[00:10:32.064 --> 00:10:32.745]  Absolutely.
[00:10:33.626 --> 00:10:44.814]  And then here's the top populist politician, Donald Trump, who's saying how corrupt it is, who's saying he wants to fight the corruption, and the very people that would say how corrupt it is and want to fight it, hate him for it.
[00:10:46.328 --> 00:10:53.412]  Now that's just psychological mind control warfare, the likes of which has never been seen probably ever before.
[00:10:54.393 --> 00:11:00.397]  Maybe Nazi Germany 1942, but I mean you're living through a lot of that now with the American left.
[00:11:01.977 --> 00:11:06.621]  And it's even worse when you look at the team that is handling Donald Trump's persecution.
[00:11:07.242 --> 00:11:07.843]  Surprise!
[00:11:07.883 --> 00:11:11.746]  DOJ prosecutor working on Jack Smith's team is a Biden donor.
[00:11:12.327 --> 00:11:17.552]  All the judges, their husbands, their wives, Biden donors, worked for the Biden campaign.
[00:11:18.709 --> 00:11:20.270]  Worked for the Democrat campaign.
[00:11:20.671 --> 00:11:21.992]  Worked for Barack Obama.
[00:11:22.072 --> 00:11:23.373]  Donated to Barack Obama.
[00:11:23.413 --> 00:11:25.014]  Got jobs with Barack Obama.
[00:11:25.354 --> 00:11:26.575]  And it's all the same people.
[00:11:26.756 --> 00:11:29.498]  And then they scrape the bottom of the barrel to find Jack Smith.
[00:11:29.538 --> 00:11:31.539]  I mean, that is the bottom of the barrel, folks.
[00:11:31.880 --> 00:11:39.326]  This is a loser prosecutor, and... I mean, look, obviously the guy's just... something's off, okay?
[00:11:39.346 --> 00:11:41.007]  Something's off about the guy.
[00:11:41.507 --> 00:11:46.952]  I don't know if it's something that's been done to him in the past, or something he's done in the past, but there's something off about that man.
[00:11:48.052 --> 00:11:54.656]  Maybe he was bullied his entire life and now finally he's got power to destroy people and that makes him feel big.
