[00:00:00.000 --> 00:00:03.359]  [BEEPING]
[00:00:03.359 --> 00:00:10.960]  There are, of course, those who do not want us to speak.
[00:00:10.937 --> 00:00:11.578]  We think, just let me think.
[00:00:11.598 --> 00:00:17.568]  As a matter of fact, even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:00:17.629 --> 00:00:18.430]  It's Chancellor Sutler.
[00:00:18.971 --> 00:00:19.552]  Damn it!
[00:00:19.652 --> 00:00:19.872]  Why?
[00:00:20.720 --> 00:00:26.783]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:00:27.303 --> 00:00:33.026]  Words are for the means to meaning, and for those who will listen, the enunciation of truth.
[00:00:33.046 --> 00:00:38.068]  The truth is, there is something terribly wrong with this country, isn't there?
[00:00:38.088 --> 00:00:39.068]  You designed it, sir.
[00:00:39.128 --> 00:00:40.049]  You wanted it foolproof.
[00:00:40.069 --> 00:00:41.469]  You taught me every television in London!
[00:00:41.729 --> 00:00:45.191]  Cruelty and injustice, intolerance and depression.
[00:00:45.611 --> 00:00:54.994]   And where once you had the freedom to object, to think and speak as you saw fit, You now have sensors and systems of surveillance coercing your conformity and... Cameras.
[00:00:55.314 --> 00:00:56.175]  We need cameras.
[00:00:56.455 --> 00:00:57.215]  How did this happen?
[00:00:57.915 --> 00:00:58.715]  Who's to blame?
[00:00:58.735 --> 00:01:02.296]  Well, certainly there are those who are more responsible than others.
[00:01:02.316 --> 00:01:04.217]  They will be held accountable.
[00:01:04.237 --> 00:01:10.098]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[00:01:11.306 --> 00:01:12.747]  I know why you did it.
[00:01:12.947 --> 00:01:14.347]  I know you were afraid.
[00:01:14.367 --> 00:01:15.528]  Who wouldn't be?
[00:01:16.028 --> 00:01:16.468]  War?
[00:01:16.788 --> 00:01:17.169]  Terror?
[00:01:17.429 --> 00:01:18.069]  Disease?
[00:01:18.729 --> 00:01:24.532]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:01:25.172 --> 00:01:30.934]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:01:31.355 --> 00:01:38.355]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:01:38.355 --> 00:01:46.355]  There is a war.
[00:01:46.127 --> 00:01:47.127]  It's happening now.
[00:01:47.867 --> 00:01:49.828]  It will decide the fate of humanity.
[00:01:50.369 --> 00:01:52.189]  The time to choose sides has come.
[00:01:52.950 --> 00:01:54.430]  We are the resistance.
[00:01:54.870 --> 00:01:56.631]  We are the info war.
[00:01:59.612 --> 00:02:04.895]  Doctors believe vaccine hesitancy brought on by the pandemic is a contributing factor.
[00:02:05.454 --> 00:02:12.454]  on transgender day of remembrance.
[00:02:12.454 --> 00:02:19.973]   He is destructive to our democracy and he has to be eliminated.
[00:02:20.915 --> 00:02:27.198]  Let's free the patriots and defeat the globalist techniques.
[00:02:27.558 --> 00:02:29.899]  You will join the Matrix?
[00:02:32.759 --> 00:02:39.802]  We interrupt this regularly scheduled program to let you know, stupid Americans, that we just caught you.
[00:02:39.822 --> 00:02:41.143]  We just caught you.
[00:02:41.183 --> 00:02:42.003]  We just caught you.
