[00:00:15.556 --> 00:00:18.958]  InfoWars, tomorrow's news, today.
[00:00:18.958 --> 00:00:22.279]  It's Friday, and we are live, broadcasting worldwide.
[00:00:22.279 --> 00:00:28.222]  We now take you to Owen Schroyer, last night, confronting the Border Patrol, when they were secretly sneaking in illegal aliens, with the U.S.
[00:00:28.222 --> 00:00:29.763]  military overseeing it all.
[00:00:30.891 --> 00:00:40.518]  So ladies and gentlemen, this bus, they have dozens if not hundreds of these buses all throughout El Paso, all throughout Texas, taking illegal immigrants everywhere.
[00:00:40.518 --> 00:00:50.705]  And it's more important to protect the illegal immigrants and drive this bus through a ravine across the border so they can get them on without the American media seeing them.
[00:00:50.705 --> 00:00:54.427]  And this bus is going to take them somewhere deep in the heart of Texas, drop them off.
[00:00:54.427 --> 00:00:59.311]  But Border Patrol tells us the border's secure, nobody's crossing, nobody's coming in illegally,
[00:00:59.671 --> 00:01:12.965]  As it happens, right in front of our face.
[00:01:12.965 --> 00:01:16.168]  Get out of the way Americans, there's illegals coming in.
[00:01:16.168 --> 00:01:19.412]  Get out of the way dirty Americans, we got non-citizens we gotta help.
[00:01:21.058 --> 00:01:23.159]  Dirty, stinking Americans!
[00:01:23.159 --> 00:01:24.980]  This isn't your country!
[00:01:24.980 --> 00:01:34.544]  Get out of the way!
[00:01:34.544 --> 00:01:40.767]  I'm so glad that we're making sure that the media can't see Biden's border invasion.
[00:01:40.767 --> 00:01:50.052]  They drive 30-foot buses through ravines so the media can't see Biden's border invasion, and they send border agents out here telling us it's not happening.
[00:01:51.480 --> 00:01:52.341]  I want you to go over there.
[00:01:52.341 --> 00:01:52.501]  Okay.
[00:01:52.501 --> 00:01:57.444]  So are they going to block our cameras too?
[00:01:57.444 --> 00:01:59.465]  Yeah, make sure we can't see it.
[00:01:59.465 --> 00:02:01.006]  Very nice.
[00:02:01.006 --> 00:02:04.468]  Make sure nobody can see Biden's border invasion.
[00:02:04.468 --> 00:02:07.490]  Make sure nobody can see the illegal immigrants.
