[00:00:00.000 --> 00:00:03.000]  [MUSIC PLAYING]
[00:00:03.000 --> 00:00:16.018]  InfoWars.
[00:00:15.666 --> 00:00:17.666]  Tomorrow's news today.
[00:00:17.666 --> 00:00:27.666]  [MUSIC]
[00:00:27.666 --> 00:00:37.665]  [MUSIC]
[00:00:37.665 --> 00:00:47.665]  [MUSIC]
[00:01:02.665 --> 00:01:12.665]  [MUSIC]
[00:01:12.665 --> 00:01:25.665]  It's Sunday, February 19th, 2023.
[00:01:25.891 --> 00:01:26.972]  I'm your host, Alex Jones.
[00:01:27.032 --> 00:01:28.192]  I'll be here for the next two hours.
[00:01:28.993 --> 00:01:47.162]  Nolan Troyer has a very special broadcast with three guests, joining him on a host of topics, including the big anti-war bipartisan demonstrations in D.C., the ongoing disaster unfolding in Ohio, and the train derailment.
[00:01:49.203 --> 00:01:53.025]  I'm going to be covering World War III that has already begun.
[00:01:54.872 --> 00:01:56.313]  I want to thank you all for joining us.
[00:01:57.853 --> 00:02:15.020]  Everything we witness by the ruling globalist is an attempt to demoralize us and break our will and condition us to accept successive increases in horror and to give up hope.
[00:02:15.060 --> 00:02:16.140]  But we cannot do that.
[00:02:17.421 --> 00:02:20.482]  I saw this clip this morning and I thought, surely it's out of context.
[00:02:20.582 --> 00:02:21.182]  And it's not.
[00:02:21.963 --> 00:02:23.003]  I have the transcript here.
[00:02:25.233 --> 00:02:28.296]  Where he says, why don't we just start eating babies?
[00:02:28.316 --> 00:02:33.160]  We've got all this extra baby parts, millions we kill every year, why don't we just eat them?
[00:02:34.381 --> 00:02:40.086]  So that's the next evolution, and you will eat the bugs as you will eat the dead babies.
[00:02:41.527 --> 00:02:50.035]  The example I often use is, if we want to get to ethical bedrock, we should be able to say things like, why can't we eat babies?
[00:02:51.391 --> 00:02:53.152]  There are sometimes extra babies in the world.
[00:02:53.632 --> 00:02:54.513]  They're full of protein.
[00:02:54.533 --> 00:02:55.254]  Can't we eat them?
[00:02:55.934 --> 00:02:57.535]  It's not a conversation about eating babies.
[00:02:57.615 --> 00:03:08.202]  It's a conversation about how you can close the door to this idea that we both recognize as repellent and, well, we recognize that it's the way.
[00:03:09.022 --> 00:03:14.886]  But there are people out there who will say, hey, Sam Harris is a guy who wonders, can we eat babies?
[00:03:16.787 --> 00:03:18.449]  But isn't that what this whole system is?
[00:03:21.209 --> 00:03:34.636]  It's a system where we don't value others around us, we don't value ourselves, and we don't stand up for others, nobody stands up for us, and then we're isolated, atomized, alone individuals that this predatory system can't have its way with.
[00:03:35.937 --> 00:03:37.597]  And that's what the New World Order is setting up.
[00:03:37.998 --> 00:03:42.560]  Here's a short clip of Hassan Harris on the Young Turds talking about eating the babies.
[00:03:42.580 --> 00:03:44.941]  You know, why can't we eat babies?
[00:03:45.001 --> 00:03:46.022]  What's wrong with eating babies?
[00:03:46.062 --> 00:03:48.583]  If we've got extra babies around that nobody wants, why can't we eat them?
[00:03:50.282 --> 00:03:55.105]  And then he goes on, as I read you the full quote, extra babies.
[00:03:55.125 --> 00:03:56.906]  Remember when I sat on Joe Rogan like four years ago?
[00:03:57.387 --> 00:04:03.550]  The governor of Virginia at the time said, we're gonna get rid of the baby after they're born.
[00:04:05.031 --> 00:04:11.996]  And I made the satirical line that, why are we wasting seven pounds of meat?
[00:04:14.738 --> 00:04:27.025]   But they are using every part of the baby for medical experiments and The medical industry and when we allow ourselves to be defiled and degraded like that, we're made in the image of God.
[00:04:28.125 --> 00:04:35.288]  We allow these sick abortionists to do horrible things to the dead and dying babies even after they're out of the womb.
[00:04:36.108 --> 00:04:37.768]  We all die inside.
[00:04:37.788 --> 00:04:41.430]  Alright, we got a hell of a broadcast lined up.
[00:04:41.750 --> 00:04:44.651]  I have prepared a lot yesterday and a lot today.
[00:04:46.007 --> 00:04:55.616]  And so this is going to be a broadcast you're not going to want to miss because we have to face the full horror and then not make a friend of that horror, but make an enemy of that horror to defeat it.
[00:04:55.636 --> 00:05:02.021]  Stay with us.
[00:05:02.502 --> 00:05:04.724]  It's Sunday, February 19th, 2023.
[00:05:04.784 --> 00:05:05.184]  We're live.
[00:05:09.451 --> 00:05:12.293]  Defiance of the enemy's attempts to silence us.
[00:05:13.074 --> 00:05:17.117]  We're here because of you, the viewers and listeners, your great support and your will.
[00:05:17.617 --> 00:05:19.699]  And I salute you and I thank you.
[00:05:21.340 --> 00:05:25.343]  I have to cover all this tonight, and we have an amazing guest, Chris Scott, joining us the second hour.
[00:05:25.503 --> 00:05:33.409]  So I'm going to try to be as calm as possible and at least get through the headlines on this and dig into quite a few of these stories in depth.
[00:05:34.750 --> 00:05:38.553]  We have a large World War three escalation of stacks, four stacks.
[00:05:39.926 --> 00:05:40.526]  Dealing with that.
[00:05:41.087 --> 00:05:41.867]  I'll hit that first.
[00:05:42.767 --> 00:05:50.551]  We have a massive stack on the main lining of woke culture and the main pillars of it being pedophilia and race war.
[00:05:51.672 --> 00:05:55.694]  So we're going to be looking at that in great detail.
[00:05:56.514 --> 00:06:00.276]  Also, I came across a compilation of the government blowing up Building 7.
[00:06:00.316 --> 00:06:04.238]  I haven't talked about this very much in recent years.
[00:06:05.138 --> 00:06:09.554]   I thought we'd Go back to the smoking gun of 9-11 being an inside job.
[00:06:10.435 --> 00:06:11.715]  That is coming up.
[00:06:13.036 --> 00:06:22.883]  Also, the Gateway Pundit has the same sources I have, and they've done a better job than anybody when it comes to exposing January 6th and how that was a false flag setup.
[00:06:24.544 --> 00:06:30.829]  I have sources inside the trial, but obviously they'll be disbarred or arrested if they are known the information they've given me.
[00:06:31.491 --> 00:06:36.774]  We've mentioned a lot of it, we've talked about it, but the Gateway Pundits did a great job really covering it ad nauseam, every detail.
[00:06:37.554 --> 00:06:43.017]  15 facts on the dozens of federal operatives who infiltrated the Trump crowds on January 6th at the U.S.
[00:06:43.057 --> 00:06:44.597]  Capitol and led the attack.
[00:06:45.498 --> 00:06:54.142]  I'm gonna ask Jim Hoff to come on sometime this week and cover this, but I know he has the same sources because I've talked to him, and I'm giving this to other national talk show hosts.
[00:06:54.182 --> 00:06:56.703]  I'm told they're working on it, but it's incredible.
[00:06:56.963 --> 00:07:00.445]  It's come out in the trial, but they kicked the jury and the media out during this.
[00:07:01.468 --> 00:07:04.571]  That the judge knows the feds ran the attack and they know all the specifics.
[00:07:05.271 --> 00:07:11.116]  And the federal informants inside the Proud Boys and inside the Oath Keepers told them there was no plan to attack the Capitol.
[00:07:11.857 --> 00:07:13.358]  But that's not allowed in front of the jury.
[00:07:13.438 --> 00:07:17.121]  So next level injustice, weaponized courts.
[00:07:17.702 --> 00:07:19.083]  That's just one stack.
[00:07:20.064 --> 00:07:21.605]  Huge vaccine news.
[00:07:22.286 --> 00:07:26.569]  Mainstream top German newspapers, top British newspapers and major U.S.
[00:07:26.609 --> 00:07:31.214]   publications are reporting what Robert F. Kennedy Jr.
[00:07:31.234 --> 00:07:36.617]  and Robert Barnes told you here a year and a half ago that they faked the first little initial trials.
[00:07:36.637 --> 00:07:38.458]  They didn't do pre-trials, they told the public about.
[00:07:38.659 --> 00:07:39.779]  They actually did on rats.
[00:07:40.160 --> 00:07:40.980]  They killed a bunch of them.
[00:07:42.181 --> 00:07:53.448]  But they then did some fake trials, field trials during the rollout, now two years ago, and now mainstream media is reporting that they covered that up.
[00:07:54.369 --> 00:07:57.231]  So that's an incredible stack of news on that front.
[00:07:58.249 --> 00:08:08.455]  Also, thousands protesting its World Economic Forum-backed 15-minute cities that turn quadrants of every town and city into prisons and break them up into subsections.
[00:08:09.075 --> 00:08:12.938]  I told you all about that in my film, Endgame, because it was in the blueprint then, but now...
[00:08:13.933 --> 00:08:14.914]  They're going operational.
[00:08:14.934 --> 00:08:17.795]  They just announced 15-minute cities a month ago in England.
[00:08:17.916 --> 00:08:23.939]  Since then, Germany, France, liberal leftist areas, the U.S., Canada, Australia, New Zealand, they've all announced it.
[00:08:24.079 --> 00:08:33.465]  And somebody found a clip of Nancy Pelosi, I've never seen this clip, in 92, admitting to the whole Agenda 21 takeover plan.
[00:08:34.686 --> 00:08:37.248]  So we'll be playing that as well.
[00:08:38.510 --> 00:08:48.113]  We are also going to get to the Catholic Bishop in Los Angeles who lived in a modest home, murdered, shot in the chest today, and killed.
[00:08:48.133 --> 00:08:51.174]  And that just adds into all the crime statistics off the charts.
[00:08:51.194 --> 00:08:56.296]  But if you live in Chicago or L.A.
[00:08:56.976 --> 00:09:02.538]  or San Francisco or hell, even Houston now, you are crazy.
[00:09:03.298 --> 00:09:05.078]  And Austin used to be a very safe town.
[00:09:05.138 --> 00:09:06.459]  It is dangerous as hell.
[00:09:07.461 --> 00:09:08.682]  I don't tell my wife what to do.
[00:09:08.722 --> 00:09:09.643]  I don't boss her around.
[00:09:10.364 --> 00:09:13.087]  But I told her, you don't go get your nails done downtown anymore.
[00:09:13.988 --> 00:09:15.990]  You don't go meet your friends for lunch down there anymore.
[00:09:16.010 --> 00:09:18.513]  And if I find out about it, there's gonna be big problems.
[00:09:19.734 --> 00:09:24.099]  Because so many of her friends and people have been mugged, shaken down, you name it.
[00:09:24.600 --> 00:09:29.325]  I mean, just where I live, they literally, just last night, Savannah Hernandez shot footage of it in Austin.
[00:09:30.888 --> 00:09:32.169]  There was a big brawl broke out.
[00:09:32.190 --> 00:09:33.911]  The police tried to pull up and do something about it.
[00:09:34.372 --> 00:09:37.475]  And so a giant crowd of over a thousand people chased the police down.
[00:09:37.495 --> 00:09:40.679]  And the police turned and fled.
[00:09:40.919 --> 00:09:43.502]  So, I mean, it's just, it's all totally over the top.
[00:09:43.562 --> 00:09:45.384]  The designed breakdown of society.
[00:09:46.886 --> 00:10:00.634]   Also, I've been giving Elon Musk Not a pass, but I've had my judgment on hold while I collate and cogitate and try to see what he's really doing over there at Twitter, because I like a lot of the things he's doing.
[00:10:00.674 --> 00:10:01.774]  I dislike some of the things he's doing.
