[00:00:00.000 --> 00:00:09.599]  [MUSIC PLAYING]
[00:00:09.599 --> 00:00:14.439]   You are about to see a message from Dr. John Campbell, one of the most respected doctors in the world who
[00:00:14.439 --> 00:00:19.320]   has a following of more than 50 million people online at YouTube.
[00:00:18.925 --> 00:00:34.849]  Dr. Campbell goes over the European Union's own statistics, which are watered down, just like our VAERS system, so he estimates it's much worse, showing massive increases in death in every age group, not from COVID, but from the vaccines.
[00:00:35.329 --> 00:00:38.010]  We've got insurance company numbers, we've got other governments' numbers.
[00:00:38.710 --> 00:00:40.410]  This is a holocaust, ladies and gentlemen.
[00:00:40.450 --> 00:00:42.131]  This was done on purpose.
[00:00:42.531 --> 00:00:43.591]  Here he is talking about it.
[00:00:44.295 --> 00:00:46.337]  This is from Eurostat.
[00:00:47.297 --> 00:00:51.540]  This is the official European Union statistics.
[00:00:51.941 --> 00:00:55.583]  EU excess mortality from Eurostat.
[00:00:55.623 --> 00:01:05.771]  Now, looking down here, it conveniently breaks this up into different countries, so we can hover over and get the information.
[00:01:05.831 --> 00:01:08.473]  So, Finland we see 12.4% excess mortality.
[00:01:11.571 --> 00:01:49.522]   Ireland currently 12.16% Portugal 2% just over 2% Spain 2.1% France 3.85% more than we would expect Austria 13.175% higher than we would expect but and this is really interesting when we look at some of the Eastern European countries some of the poor European countries Again, coincidentally, some of the countries that didn't vaccinate as much for COVID, we see Bulgaria 8.74% less than we would expect.
[00:01:51.442 --> 00:01:54.244]  Romania, 12% less than we would expect.
[00:01:57.225 --> 00:01:59.326]  Hungary, less than we would expect.
[00:02:00.126 --> 00:02:04.188]  We're seeing in these countries death rates less than we would expect.
[00:02:06.196 --> 00:02:08.998]  Now, this is what we would expect everywhere, really.
[00:02:09.018 --> 00:02:10.879]  This is what we would expect everywhere.
[00:02:11.600 --> 00:02:16.063]  Because, during the pandemic, the people that died were the people that were most vulnerable.
[00:02:17.044 --> 00:02:20.166]  And therefore they died a few years earlier than they would have done, and they're not dying now.
[00:02:20.486 --> 00:02:24.849]  So we would expect lower death rates, globally, everywhere, at the moment.
[00:02:24.909 --> 00:02:28.372]  But we're seeing the exact opposite of that.
[00:02:29.042 --> 00:02:30.283]  Think about these increases.
[00:02:30.323 --> 00:02:35.986]  These are bigger death rate increases than World War II or World War I. Finland, 12.4.
[00:02:36.026 --> 00:02:36.926]  Ireland, 12.16.
[00:02:37.967 --> 00:02:38.387]  Austria, 13.175.
[00:02:39.527 --> 00:02:42.189]  And it goes on and on and on.
[00:02:42.589 --> 00:02:45.590]  And we've got similar numbers here in the United States, similar numbers in Australia.
[00:02:46.031 --> 00:02:46.991]  This is horrifying.
[00:02:47.231 --> 00:02:54.435]  That's up to one in every 246 people died within 60 days of having the shot.
[00:02:55.095 --> 00:02:58.878]   Ladies and gentlemen, They're testing depopulation right in front of us.
[00:02:58.898 --> 00:03:02.361]  They're seeing if we're so stupid that we won't realize what's happening.
[00:03:02.821 --> 00:03:08.065]  That's why InfoWars, that first broke this news three and a half years ago, is so important.
[00:03:08.085 --> 00:03:09.626]  That's why you're so important.
[00:03:09.866 --> 00:03:11.328]  They're getting ready to release new viruses.
[00:03:11.348 --> 00:03:13.069]  They're getting ready to have new lockdowns.
[00:03:13.549 --> 00:03:19.214]  But we've got a fighting chance to expose these monsters before they launch their next power grab.
[00:03:19.714 --> 00:03:31.843]  Please spread the word about InfoWars.com, please share the articles and videos, and please go now so you can back and underwrite this operation to InfoWars.com and get incredible, game-changing products at the same time.
[00:03:32.183 --> 00:03:36.106]  Like Vitamin Mineral Fusion, so good for your whole body, back in stock.
[00:03:36.447 --> 00:03:38.468]  Super Female Vitality, back in stock.
[00:03:38.708 --> 00:03:45.994]  And so many other great products, like 3,000 part per million, made in Texas, CBD oil, that's the best you're going to find anywhere at the lowest price.
[00:03:46.414 --> 00:03:51.875]  Please continue to back us so we can fight for you and fight for all of our families at InfoWarsTore.com.
