[00:00:00.209 --> 00:00:02.813]  What I do is I wait and I watch.
[00:00:03.133 --> 00:00:11.503]  I think that part of the reason why we're in the mess that we're in is because we keep reacting to the talking points that are being handed to us by the Mockingbird Media.
[00:00:11.844 --> 00:00:14.888]  Instead of creating our own talking points based on reality.
[00:00:16.425 --> 00:00:17.446]  Yes, exactly.
[00:00:17.526 --> 00:00:23.874]  So that's what we have to do, is we have to reinforce the objective reality that does in fact exist and everybody can perceive.
[00:00:24.294 --> 00:00:28.860]  So in psychological warfare, you have three different universes that the individual can live in.
[00:00:29.180 --> 00:00:36.509]  You have the collective objective universe, that's the universe that's real, that is actual the universe, okay, the divine matrix.
[00:00:37.159 --> 00:00:40.401]  Then you have what's called a personal subjective universe.
[00:00:40.482 --> 00:00:51.209]  That is where a person's subconscious mind is programmed in a way that affects their conscious mind and they perceive reality not as it is but as they are, as they think it is, right?
[00:00:51.249 --> 00:00:54.412]  Based on things like neuro-linguistic programming, dogma, indoctrination, etc.
[00:00:55.192 --> 00:00:59.256]  Then the last one is what is called the Collective Subjective Universe.
[00:00:59.576 --> 00:01:19.590]   Now the Collective Subjective Universe is where you have a group of these people that all believe in the same personal subjective universe and then they all are living in this echo chamber where they all agree with each other on this personal subjective universe and in the process they create a personal, I mean a collective subjective universe that is
[00:01:19.590 --> 00:01:24.930]   then reinforced within their social systems, within their subconscious brain.
[00:01:24.930 --> 00:01:28.250]   And this is how all these people can come together and agree that it's okay to take
[00:01:28.250 --> 00:01:33.489]   children from parents and cut off their genitals and put them on birth control and stuff like
[00:01:33.489 --> 00:01:34.730]  that.
[00:01:34.730 --> 00:01:39.649]   So this is also how it is that people like this, like this CNN producer, sent us some
[00:01:39.649 --> 00:01:41.810]  more 19 years luring a 9 year old into sex acts.
[00:01:42.071 --> 00:01:48.996]  This is also how it is that these people that live in this personal subjective universe, or this collective subjective universe, cannot see these things.
[00:01:49.056 --> 00:01:50.137]  They don't want to see it.
[00:01:50.177 --> 00:01:53.619]  It causes too much of a cognitive dissonance, and it's painful.
[00:01:53.459 --> 00:01:57.058]  It is emotionally and mentally painful for these people.
[00:01:57.058 --> 00:02:12.058]  [Music]
[00:02:12.058 --> 00:02:17.058]  InfoWars, the most banned network in the world.
[00:02:17.058 --> 00:02:32.058]  [Music]
[00:02:32.058 --> 00:02:56.058]  [Music]
[00:02:56.058 --> 00:03:02.058]  [Music]
