[00:00:00.000 --> 00:00:15.519]  [Music]
[00:00:15.519 --> 00:00:17.518]  It's Monday, March 6th.
[00:00:17.641 --> 00:00:21.844]  We have got a transmission for you today.
[00:00:21.684 --> 00:00:38.403]  We have got a transmission for you today.
[00:00:38.403 --> 00:00:42.844]   I've done a lot of research and a lot of work and I'm loaded for bear.
[00:00:42.844 --> 00:00:46.084]  We have massive escalation in war with Russia and China.
[00:00:46.084 --> 00:00:56.082]  [BLANK_AUDIO]
[00:00:47.119 --> 00:00:53.124]  We have new documents coming out that Fauci directly blocked the fact that the virus came out of the Wuhan lab.
[00:00:54.505 --> 00:01:04.692]  We have the UK government documents confirmed public, they're not denying it, that they said we're going to release a new variant to terrorize the public into submission to collapse the economy.
[00:01:06.313 --> 00:01:09.455]  We have got the left's attempt at race war going into high gear.
[00:01:10.796 --> 00:01:16.541]  We've got a bunch of studies old and new on 5G causing cancer and some video demonstrations of it.
[00:01:19.023 --> 00:01:36.157]  We have the Biden administration make stunning admission on climate change in leaked memo that they do not want quote greater energy security and want to cut off the American people's energy and that their policy is to cut off our energy.
[00:01:36.918 --> 00:01:46.903]   Now we can look at the policy in form And in function, we don't need to have a leaked memo to know that, but it's also nice to know that it's premeditated and it's confirmed and they know exactly what they're doing.
[00:01:49.505 --> 00:02:00.356]  But as Alexander Shultz and Eason said, they know that we know, we know that they know, we all know, but they still deny it.
[00:02:00.376 --> 00:02:01.677]  I kind of butchered that.
[00:02:01.697 --> 00:02:12.540]   Will you guys pull up the actual Alexander Shultz and Eason quote about We know, they know that we know, and it just goes on perfectly to describe how it works to live inside an authoritarian, totalitarian system.
[00:02:13.241 --> 00:02:15.042]  It's just over-the-top wild.
[00:02:16.323 --> 00:02:24.711]  Also, not just Walmart, but other major chains are closing stores in major cities around the country because the crime is so horrible they're losing money in them.
[00:02:26.055 --> 00:02:30.077]  But big corporations are willing to do that because they want to break the average person as well.
[00:02:30.097 --> 00:02:35.759]  So even when big box stores can't make it, you know, the general public really can't as well.
[00:02:36.200 --> 00:02:43.523]  Got a big stack of news on replacement migration, where the left, out of one side of their mouth, here and in Europe, say, white people are bad, we want to get rid of them.
[00:02:43.963 --> 00:02:47.925]  But then if you say, hey, you've got these memos and statements at UN plans that white people are bad.
[00:02:48.325 --> 00:02:48.905]  Oh, no, we don't.
[00:02:48.925 --> 00:02:49.566]  You're insane.
[00:02:49.586 --> 00:02:52.287]  We're gonna try to pass laws to arrest you.
[00:02:52.887 --> 00:02:56.170]  Well, they have passed them in Europe and the UK and Canada, if you say that.
[00:02:56.910 --> 00:03:12.262]  But it's not just the Democrats that are doing that, like in Washington State, their Attorney General's introduced a bill for the Ministry of Truth, which targets conservatives opposing election fraud and vaccine mandates would make them a crime.
[00:03:12.723 --> 00:03:15.064]  He actually says it in the video, but it gets worse.
[00:03:15.945 --> 00:03:26.471]  We have Florida GOP, a senior member of DeSantis' support group, declares war on First Amendment to combat anti-Semitism.
[00:03:27.772 --> 00:03:30.413]  He says you will spend jail time for your free speech.
[00:03:30.493 --> 00:03:38.858]  So the silver lining of DeSantis, the shine, is really wearing off of him in many ways.
[00:03:38.878 --> 00:03:41.079]  And that's not because I think Trump's perfecter either.
[00:03:41.099 --> 00:03:47.440]   I'm just going to cover the facts of We can see tyranny from the right wing, not just the left wing as well.
