[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[00:00:13.420 --> 00:00:16.001]  This is the Alex Jones Show.
[00:00:16.001 --> 00:00:22.763]  I am on a very, very important information mission, and I will be filing reports from the road over the next three days.
[00:00:22.763 --> 00:00:24.444]  I will be back Thursday.
[00:00:24.444 --> 00:00:29.125]  We're going to have Harrison Smith and Chase Geiser both co-hosting today.
[00:00:29.865 --> 00:00:37.911]  Also taped an interview with a very informative journalist and researcher on Saturday that we'll be hearing in part of the third and the full fourth hour today.
[00:00:37.911 --> 00:00:40.713]  Again, thank you so much for joining us.
[00:00:40.713 --> 00:00:44.135]  The big takeaway, if you happen to tune into the Sunday night show, you heard it all.
[00:00:44.135 --> 00:00:45.676]  The big takeaway is this.
[00:00:45.676 --> 00:00:47.857]  No way Israel didn't know that attack was coming.
[00:00:47.857 --> 00:00:48.818]  So it is like 9-11.
[00:00:48.818 --> 00:00:50.379]  They knew full well it was coming.
[00:00:50.379 --> 00:00:53.041]  It was a clear stand down and that is now hitting the news.
[00:00:53.041 --> 00:00:59.045]  Also what I told you on Saturday, he's now admitted that Hezbollah took much of the $6 billion that O'Biden gave them last month.
[00:00:59.925 --> 00:01:00.286]  We're good.
[00:01:16.181 --> 00:01:20.382]  They get up to $100,000, some cases more, for going out and fighting.
[00:01:20.382 --> 00:01:24.284]  And especially if they die, their family is sent even more money.
[00:01:24.284 --> 00:01:30.126]  If you divide out, say, $600,000 between 10,000 of these suicide troops, that comes up to the $6 billion.
[00:01:30.126 --> 00:01:37.328]  But large portions of the $6 billion were obviously spent for the suicide payments, but the rest was spent on weapons.
[00:01:37.788 --> 00:01:42.389]  Then you have the tens of billions of dollars of weapons coming out of Afghanistan that's not confirmed to be there.
[00:01:42.389 --> 00:01:42.790]  U.S.
[00:01:42.790 --> 00:01:45.910]  hardware as well as a lot of hardware sent to Ukraine that's there.
[00:01:45.910 --> 00:01:54.353]  So this has been brought to you by the globalist Deep State that will now use this as crackdowns on freedoms in Israel, crackdowns here, crackdowns in Europe.
[00:01:54.353 --> 00:01:56.894]  It's also a good smoke screen for what has unfolded.
[00:01:57.754 --> 00:02:03.555]  With the Russians clearly decisively now winning the war in Ukraine against NATO.
[00:02:03.555 --> 00:02:06.416]  So if you pull back from this, what's the other big issue?
[00:02:06.416 --> 00:02:13.918]  It's the tens of thousands of other than Mexican or other than Latin American pouring across even just the Texas sector every month.
[00:02:13.918 --> 00:02:16.278]  Sometimes it's thousands a week.
[00:02:16.278 --> 00:02:19.879]  They're almost all military age men and many of them are Hezbollah and Hamas.
[00:02:20.339 --> 00:02:24.545]  But again, Hezbollah out of Iran is the main group that did the training, the preparation, and made the payments.
[00:02:24.545 --> 00:02:28.912]  As I told you on Saturday, people were like, oh, Jones, as you know, they're between Hezbollah and Hamas.
[00:02:28.912 --> 00:02:29.933]  No, I've actually done the research.
[00:02:29.933 --> 00:02:31.275]  You know what I'm talking about.
[00:02:31.275 --> 00:02:35.341]  And so there are tens of thousands, conservatively, of Hezbollah sleeper cells
[00:02:35.922 --> 00:02:45.048]  Inside the United States right now, and if you think what you saw in Israel is a big deal, imagine what is going to happen inside the United States even when we go to war with Iran.
[00:02:45.048 --> 00:02:48.129]  So we've been pre-positioned for this, and the globalists will love it.
[00:02:48.129 --> 00:02:54.493]  It'll make 9-11 look tame in comparison with the 3,000 dead, when and if they strike the United States.
[00:02:54.493 --> 00:02:56.575]  The many members of Congress are now pointing this out.
[00:02:56.575 --> 00:02:58.416]  There's big articles up on InfoWars.com.
[00:02:59.156 --> 00:03:16.038]  So it's something we have to get ahead of here and let the CIA and Mossad and MI6 and NATO intelligence and all the rest of them know that even when there's massive attacks in the West, you with the UN set up these centers, brought in these people, you know exactly what you're doing, and many of them admit that they're jihadist.
[00:03:16.599 --> 00:03:24.623]  And so I would expect the probability of the next year, maybe even sooner, of a massive 9-11 style attack, but all over the country.
[00:03:24.623 --> 00:03:25.844]  They're going to hijack planes.
[00:03:25.844 --> 00:03:28.165]  They're going to use the same thing you saw with hang gliders.
[00:03:28.165 --> 00:03:29.526]  A lot of them know how to fly an aircraft.
[00:03:29.526 --> 00:03:37.229]  They're going to steal aircraft all over the United States, fly them into buildings, fly them into government buildings, attack sports stadiums full of people, attack colleges.
[00:03:38.730 --> 00:03:40.392]  You name it, big gatherings.
[00:03:40.392 --> 00:03:50.220]  And then the government will get more funding and those that do the stand down and brought the illegal aliens in and the jihadis in will actually get more money and more funding and more power because logic has been murdered.
[00:03:50.220 --> 00:03:54.384]  Just like Netanyahu clearly in a stand down is not going to get more power and more control.
[00:03:54.384 --> 00:03:56.305]  He's about to be ousted from power.
[00:03:56.305 --> 00:03:58.167]  So war is out of the state.
[00:03:58.167 --> 00:03:59.408]  That's what's going on.
[00:03:59.408 --> 00:04:00.129]  And that's the reality.
[00:04:00.129 --> 00:04:05.874]  I would direct everybody to Band on Video and the first hour of my show last night where I lay this all out.
[00:04:06.454 --> 00:04:06.774]  I think?
[00:04:33.897 --> 00:04:37.380]  Perhaps tens of thousands wounded, but that will be unfolding in the days to come.
[00:04:37.380 --> 00:04:45.068]  This is a big deal and part of the global escalation so the big banks can bring in their new global central system and new currency.
[00:04:45.068 --> 00:04:47.710]  Again, we have several big guest hosts coming up.
[00:04:47.710 --> 00:04:50.032]  Infowars.com, tomorrow's news today.
[00:04:50.032 --> 00:04:50.673]  I'm Alex Jones.
[00:04:50.673 --> 00:04:52.274]  Please stay with us and please spread the word.
[00:04:52.274 --> 00:04:54.216]  That's how we bypass big tech and the censors.
[00:04:54.216 --> 00:04:54.717]  Stay with us.
[00:05:02.878 --> 00:05:05.139]  Last year we put this book out.
[00:05:05.139 --> 00:05:06.560]  The Great Reset and the War for the World.
[00:05:06.560 --> 00:05:08.940]  It became a number one national bestseller.
[00:05:08.940 --> 00:05:12.702]  Now we've put part two out and it's even thicker and more powerful.
[00:05:12.702 --> 00:05:13.702]  The Great Awakening.
[00:05:13.702 --> 00:05:17.964]  The plan to defeat the globalists and launch the second great renaissance.
[00:05:17.964 --> 00:05:20.005]  This is such a powerful book.
[00:05:20.005 --> 00:05:21.686]  It covers all the globalist plans.
[00:05:22.346 --> 00:05:22.826]  We're good to go.
[00:05:41.505 --> 00:05:49.249]  This is next level information and it's a great way to not just support the broadcast, but inform yourself to the next level and share the book with friends and family.
[00:05:49.249 --> 00:05:55.833]  So whether you want one copy or multiple copies, go now to InfoWarsTore.com and get The Great Awakening.
[00:05:55.833 --> 00:05:57.334]  This is going to go to number one.
[00:05:57.334 --> 00:05:58.554]  I want to thank you for your support.
[00:05:58.554 --> 00:05:59.595]  It's a powerful book.
[00:05:59.595 --> 00:06:00.135]  Get yours now.
[00:06:14.455 --> 00:06:15.937]  Good morning, ladies and gentlemen.
[00:06:15.937 --> 00:06:18.139]  It is Monday, the 9th of October, 2023.
[00:06:18.139 --> 00:06:23.785]  You're watching the Alex Jones Show, and folks, we are on the cusp of World War III.
[00:06:23.785 --> 00:06:25.467]  I do not think that's an exaggeration.
[00:06:25.467 --> 00:06:28.750]  I'm Harrison Smith, sitting in for Alex Jones with Chase Geiser.
[00:06:28.750 --> 00:06:30.752]  We'll be co-hosting the show today.
[00:06:30.752 --> 00:06:34.857]  We'll also be going to an interview for about the second half of the show.
[00:06:34.857 --> 00:06:36.218]  We'll be joined by Michael Yawn.
[00:06:37.179 --> 00:06:52.883]  Who's a celebrated combat journalist getting his take on, of course, the biggest story, probably the only story we'll cover today, Chase, the unprecedented attack on Israel by Hamas and the Palestinians out of Gaza.
[00:06:52.883 --> 00:06:56.584]  Unprecedented is the word they keep using and it really is an attack.
[00:06:57.504 --> 00:06:57.885]  Absolutely.
[00:06:57.885 --> 00:07:05.391]  When we were scheduled for this I had no idea that Israel was going to be attacked and there's conflicting reports as to whether or not Mossad may have known that they were going to be attacked.
[00:07:05.391 --> 00:07:05.571]  Right.
