[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[00:00:35.508 --> 00:00:37.670]  Father's Day.
[00:00:37.670 --> 00:00:39.331]  And I am your host, Alex Jones.
[00:00:39.331 --> 00:00:41.433]  Very honored and blessed to be here with you tonight.
[00:00:43.863 --> 00:00:48.026]  And I'm not a big fan of Hallmark holidays.
[00:00:48.026 --> 00:00:57.614]  They invented Father's Day, they invented Mother's Day, but... At the same time, it's a good thing they invented it.
[00:00:57.614 --> 00:01:00.296]  They were looking for new holidays to sell products on.
[00:01:00.296 --> 00:01:03.798]  Cards and things like that, but we should celebrate mothers and fathers.
[00:01:03.798 --> 00:01:08.522]  Especially when they are under such incredible attack.
[00:01:08.522 --> 00:01:09.623]  When I was thinking, I don't like
[00:01:11.129 --> 00:01:14.371]  Kind of Hollywood corporate holidays is what I meant to say.
[00:01:14.371 --> 00:01:36.267]  I guess that would be something like Halloween, which was not celebrated until the 50s in this country, and overshadows Christian and Catholic holidays of all Saints' Eve, and remembering those that have passed in your family lineage, similar to the Day of the Dead.
[00:01:37.395 --> 00:01:43.738]  Celebrated in Mexico is about remembering your ancestors and not celebrating ghouls and goblins.
[00:01:43.738 --> 00:01:45.819]  But people can do whatever they want.
[00:01:45.819 --> 00:01:53.742]  The point is that that's how they turn Christmas from Jesus into Santa Claus and then Easter into an Easter Bunny with candy eggs.
[00:01:53.742 --> 00:02:02.606]  They know exactly what they're doing, but in the case of Mother's Day and Father's Day, it's a good, healthy holiday, just like my favorite holiday is Thanksgiving.
[00:02:02.606 --> 00:02:05.407]  It's about family and getting together and being thankful to God.
[00:02:06.391 --> 00:02:09.512]  Not that I'm perfect, I just don't like these fake corporate holidays.
[00:02:09.512 --> 00:02:10.473]  But I kind of digress.
[00:02:10.473 --> 00:02:19.997]  What I really don't like is the puppet president that clearly stole the election, Joe Biden, who couldn't get 50 people to a rally and hid in the basement during the campaign.
[00:02:19.997 --> 00:02:26.820]  And now he's come out in the last few days and spoken against the Second Amendment.
[00:02:26.820 --> 00:02:33.343]  And for those that are not gun owners or don't know basic stuff, a gun brace does not make a higher caliber go out the barrel.
[00:02:34.360 --> 00:02:39.383]  You can only shoot the caliber in a gun that the barrel's made for, or it'll blow up on you.
[00:02:39.383 --> 00:02:47.329]  So it's just made up there, and everything else he says is a lie too, but here he is in his normal bumbling fashion.
[00:02:47.329 --> 00:02:53.093]  Because a federally licensed gun dealer is required by law to run background checks on those he's selling a weapon to.
[00:02:55.051 --> 00:03:06.297]  And in most cities down in Philadelphia and New York, there is, I know well, like up here, you'd see a truck pull up, pull to the curb, and selling weapons.
[00:03:06.297 --> 00:03:07.877]  Selling guns.
[00:03:07.877 --> 00:03:09.398]  Selling AR-15s.
[00:03:09.398 --> 00:03:11.739]  Selling weapons.
[00:03:11.739 --> 00:03:13.460]  Well, guess what?
[00:03:13.460 --> 00:03:16.222]  You do that now, you go to jail.
[00:03:16.222 --> 00:03:20.504]  Made it harder for people to buy stabilized braces.
[00:03:20.504 --> 00:03:22.805]  Put a pistol on a brace, it turns into a gun.
[00:03:23.740 --> 00:03:26.332]  Make some more, you can have a higher caliber bullet coming out of that gun.
[00:03:31.519 --> 00:03:34.201]  Completely out of his mind.
[00:03:34.201 --> 00:03:40.626]  Of course, the only time we've seen trucks pull up and hand guns out is Fast and Furious, and Eric Holder in the Obama Justice Department, that got confirmed.
[00:03:40.626 --> 00:03:47.051]  So, I guess there are trucks pulling up and handing out guns in Mexico from the ATF so they can get traced back to the U.S.
[00:03:47.051 --> 00:03:48.452]  so they can blame the Second Amendment.
[00:03:48.452 --> 00:03:51.074]  But not to be outdone, here he is with Fetterman.
[00:03:51.074 --> 00:03:54.597]  Fetterman, introducing him, and then Fetterman, well again, just hear it for yourself.
[00:03:55.902 --> 00:04:01.226]  And now I'm standing next to the president again, next to a collapsed bridge here.
[00:04:01.226 --> 00:04:12.753]  And he is here to commit to work with the governor and the delegation to make sure that we get this fixed quick, fast, as well, too.
[00:04:12.753 --> 00:04:16.316]  This is a president that is committed to infrastructure.
[00:04:16.316 --> 00:04:24.261]  And then on top of that, the jewel, kind of a law of the infraction,
[00:04:26.101 --> 00:04:26.341]  I don't
[00:04:40.737 --> 00:04:42.359]  Uh, $9.95, and if you wanted...
[00:05:02.554 --> 00:05:09.017]  Two of our best-selling nootropics, or brain boosters, are now back in stock at InfoWarsTore.com.
[00:05:09.017 --> 00:05:13.940]  For a limited time, they're 50% off when you get them together, or 40% off when you get them individually.
[00:05:13.940 --> 00:05:16.582]  Brain Force Plus and Brain Force Ultra.
[00:05:16.582 --> 00:05:18.042]  Two separate formulas.
[00:05:18.042 --> 00:05:20.624]  They both give you good, clean energy without the crash.
[00:05:21.264 --> 00:05:26.867]  One is a four to six hour good base of clean energy, again with no hangover or letdown.
[00:05:26.867 --> 00:05:32.450]  And the other is a very special proprietary formula, that's Brain Force Ultra, that hits really, really quick.
[00:05:32.450 --> 00:05:32.910]  And I love it.
[00:05:32.910 --> 00:05:34.371]  It wears off in two to three hours.
[00:05:34.371 --> 00:05:38.353]  So if I've got to work at night, but don't want to stay up all night, I can take it and stay nine o'clock at night.
[00:05:38.353 --> 00:05:41.755]  Got to stay up till midnight working, doing a radio interview or something, and boom!
[00:05:42.795 --> 00:05:43.095]  I think so.
[00:06:10.663 --> 00:06:14.904]  It's Sunday, June 18th, 2023.
