[00:00:05.592 --> 00:00:09.054]  InfoWars, tomorrow's news, today.
[00:00:09.054 --> 00:00:13.236]  On March 20th, 2003, the United States invaded Iraq.
[00:00:13.236 --> 00:00:17.358]  Exactly one year before the invasion,
[00:00:30.274 --> 00:00:32.335]  Alex Jones predicted it.
[00:00:32.335 --> 00:00:35.236]  So now everybody's going, wow, it really was the Iraqis.
[00:00:35.236 --> 00:00:37.917]  That's just because they're getting ready to invade Iraq.
[00:00:37.917 --> 00:00:39.378]  What a beautiful setup.
[00:00:39.378 --> 00:00:46.000]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:00:46.000 --> 00:00:50.442]  Visit InfoWars.com forward slash show and share the link today.
[00:01:05.656 --> 00:01:05.777]  Yeah.
[00:01:28.149 --> 00:01:30.970]  It's Thursday, October 26, 2023.
[00:01:30.970 --> 00:01:35.152]  We have a jam-packed, very important transmission as always.
[00:01:35.152 --> 00:01:44.296]  But particularly today, Vivek Ramaswamy will be joining us in the second hour to cover the waterfront.
[00:01:44.296 --> 00:01:50.519]  And then Patrick Byrne has the inside scoop on the escalating war in the Middle East.
[00:01:50.519 --> 00:01:54.881]  You do not want to miss any of this transmission.
[00:01:54.881 --> 00:01:56.462]  Again, thank you so much for joining us.
[00:01:57.791 --> 00:02:01.352]  Our answer to the Great Reset Tyranny of the New World Order is The Great Awakening.
[00:02:01.352 --> 00:02:05.093]  I'm your host, Alex Jones.
[00:02:05.093 --> 00:02:27.000]  I want to air a 13 and a half minute clip coming up at the bottom of the hour of Tucker Carlson where he really knocked it out of the park in a recent speech he gave yesterday where he breaks down the fact that everyone knows something bad is happening and things are about to get worse and then he lays out how the social contract with the people of the West has been deliberately broken
[00:02:28.103 --> 00:02:30.705]  By the establishment.
[00:02:30.705 --> 00:02:32.007]  But he doesn't go far enough.
[00:02:32.007 --> 00:02:37.311]  So I want to introduce the clip and then add the rest of the story.
[00:02:37.311 --> 00:02:39.854]  And I'm not putting Tucker down.
[00:02:39.854 --> 00:02:42.156]  And, you know, I talked to Tucker quite a bit privately.
[00:02:42.156 --> 00:02:45.058]  I mean, he understands the big picture, but I don't think he wants people to lose hope.
[00:02:45.058 --> 00:02:50.383]  But at the same time, you just got to be completely honest with people.
[00:02:50.383 --> 00:02:53.346]  And that is the globalists don't just not care about us.
[00:02:54.656 --> 00:02:56.197]  They want to hurt us.
[00:02:56.197 --> 00:02:57.598]  They want to depopulate us.
[00:02:57.598 --> 00:03:03.883]  That means they want to kill us.
[00:03:03.883 --> 00:03:09.528]  We don't just have a disconnected, out-of-control, globalist elite that doesn't care.
[00:03:09.528 --> 00:03:17.094]  They know exactly what they're doing, though Tucker's absolutely right.
[00:03:17.094 --> 00:03:23.439]  What they've set up is going to blow up in their face and there's a good chance they'll destroy all life on the surface of the planet.
[00:03:24.389 --> 00:03:26.609]  In the process of that.
[00:03:26.609 --> 00:03:28.210]  Okay.
[00:03:28.210 --> 00:03:29.610]  So.
[00:03:29.610 --> 00:03:31.370]  Let's get right down to brass tacks.
[00:03:31.370 --> 00:03:37.312]  We've got this serious, tragic situation in Maine.
[00:03:37.312 --> 00:03:42.033]  Another, we believe the official story, lunatic.
[00:03:42.033 --> 00:03:45.393]  Because they advertise everywhere that mass shooting is a thing.
[00:03:45.393 --> 00:03:49.454]  It's entered into the consciousness like a suit you can go buy at the store.
[00:03:49.454 --> 00:03:52.475]  It's an option, like, oh, get a red car, a blue car, a black car.
[00:03:52.475 --> 00:03:53.775]  Maybe a white car, maybe a gray car.
[00:03:55.117 --> 00:04:03.262]  Why just have suicide by cop where you can just go kill a bunch of people?
[00:04:03.262 --> 00:04:17.370]  Army Reserve, completely mentally ill, been in a mental institution last year for saying he was going to blow up and shoot up the military base.
[00:04:17.370 --> 00:04:20.852]  In almost every case, these guys say they're going to go do this.
[00:04:24.654 --> 00:04:26.597]  And nothing is done.
[00:04:26.597 --> 00:04:40.334]  If you're running around saying you're going to blow up a military base and you are a military firearms instructor, your ass needs to go to the mental institution for 10 years and get the Thorazine treatment.
[00:04:40.334 --> 00:04:41.956]  But of course, they didn't do that.
[00:04:43.766 --> 00:04:47.990]  And now 22 people are dead, 60 plus wounded, and they're going to blame gun owners for this?
[00:04:47.990 --> 00:04:59.040]  No, that's why we need guns to protect ourselves from this reported... They say he did it, he may be innocent, but if the story's true... And I got a lot of angles to talk about.
[00:05:02.506 --> 00:05:04.749]  Last year we put this book out.
[00:05:04.749 --> 00:05:06.171]  The Great Reset and the War for the World.
[00:05:06.171 --> 00:05:08.534]  It became a number one national bestseller.
[00:05:08.534 --> 00:05:12.319]  Now we've put part two out and it's even thicker and more powerful.
[00:05:12.319 --> 00:05:17.126]  The Great Awakening, a plan to defeat the globalists and launch the second great renaissance.
[00:05:17.566 --> 00:05:19.607]  This is such a powerful book.
[00:05:19.607 --> 00:05:28.529]  It covers all the globalist plans, the latest developments, how to stop them, and then gives an alternate plan of a society we could build together.
[00:05:28.529 --> 00:05:30.069]  That's why it's The Great Awakening.
[00:05:30.069 --> 00:05:32.450]  The Great Awakening is happening right now.
[00:05:32.450 --> 00:05:37.551]  You can get signed or unsigned copies of the book at InfoWarsTore.com.
[00:05:37.551 --> 00:05:38.911]  This is a historic book.
[00:05:38.911 --> 00:05:40.552]  I want to thank you all for your support.
[00:05:41.112 --> 00:05:48.855]  This is next level information and it's a great way to not just support the broadcast, but inform yourself to the next level and share the book with friends and family.
[00:05:48.855 --> 00:05:55.438]  So whether you want one copy or multiple copies, go now to InfoWarstore.com and get The Great Awakening.
[00:05:55.438 --> 00:05:56.939]  This is going to go to number one.
[00:05:56.939 --> 00:05:58.159]  I want to thank you for your support.
[00:05:58.159 --> 00:05:59.200]  It's a powerful book.
[00:05:59.200 --> 00:05:59.740]  Get yours now.
[00:06:01.715 --> 00:06:08.202]  From the front lines of the Information War, it's Alex Jones!
[00:06:21.975 --> 00:06:23.416]  Alright, that was just on his show.
[00:06:23.416 --> 00:06:24.276]  It's gone viral.
[00:06:24.276 --> 00:06:26.717]  Vivek Ramaswamy.
[00:06:26.717 --> 00:06:30.119]  And he's going to be live with us coming up next hour.
[00:06:30.119 --> 00:06:31.920]  Patrick Burns got the inside scoop.
[00:06:31.920 --> 00:06:33.080]  I really respect him.
[00:06:33.080 --> 00:06:37.602]  Makes a lot of sense what he's saying on what's happening in Israel and the Middle East.
[00:06:37.602 --> 00:06:42.244]  What happened with the stand down.
[00:06:42.244 --> 00:06:46.326]  On October 7th, he'll be joining us coming up.
[00:06:47.284 --> 00:06:50.567]  We got the anti-Israeli view yesterday with Nick Fuentes.
[00:06:50.567 --> 00:06:54.450]  We'll get the pro-Israeli view with Patrick Byrne.
[00:06:54.450 --> 00:07:00.855]  We're trying to give you all the different angles here, unlike the corporate media and unlike some of the independent media.
[00:07:00.855 --> 00:07:03.818]  I'm not attacking independent media that wants to take a side.
[00:07:03.818 --> 00:07:07.020]  I'm trying to have a 35,000 foot view here.
[00:07:07.020 --> 00:07:09.503]  And boy, there have been a lot of big developments on that front.
[00:07:10.475 --> 00:07:31.243]  Huge developments on the war front, also in Ukraine, big developments in the Democratic Party eating its own, and more and more statements by the Attorney Generals of different states, like Letitia James, saying white people are inherently evil, and so is the ADL.
[00:07:31.243 --> 00:07:34.824]  They teach that, but then they wonder why then the brown people are attacking the Jews.
[00:07:34.824 --> 00:07:36.105]  Well, you look white to them.
[00:07:36.105 --> 00:07:39.586]  So we've got some chilling clips of that.
[00:07:41.010 --> 00:07:47.693]  Also, remember the disgusting Las Vegas teens that ran over the retired police chief because he was white and killed him?
[00:07:47.693 --> 00:07:52.575]  Well, now they flipped off the family of the police chief they killed and are basically celebrating.
[00:07:52.575 --> 00:07:54.536]  We have video of that.
[00:07:54.536 --> 00:07:56.657]  What nice people!
[00:07:56.657 --> 00:07:59.198]  But, I mean, he's white, though, so he deserves to die.
[00:07:59.198 --> 00:08:01.679]  That's what Leticia James basically says.
[00:08:01.679 --> 00:08:07.081]  White people are inherently bad because they have light skin.
[00:08:07.081 --> 00:08:07.722]  That's a quote.
[00:08:10.888 --> 00:08:14.510]  And of course, George Soros financed her and put her into power.
[00:08:14.510 --> 00:08:22.114]  So, yeah, let's flip off the family of the guy you ran over and killed for fun.
[00:08:22.114 --> 00:08:27.557]  I got a feeling that those guys are going to have a lot of fun in prison.
[00:08:27.557 --> 00:08:32.240]  Because even quote, run-of-the-mill criminals are sick of this type of indiscriminate murder.
[00:08:34.042 --> 00:08:45.090]  You know, there's so many videos we never even get to because I just have so much other news, but I'm going to really start delving into all the footage of black on white attacks in this country that the media basically covers up.
[00:08:45.090 --> 00:08:48.052]  And imagine if the shoe was on the other foot, how people would feel.
[00:08:48.052 --> 00:08:54.816]  I don't want to randomly run over some black person jogging or riding a bicycle down the side of the road.
[00:08:54.816 --> 00:08:56.077]  Oh, look, there's a black person here.
[00:08:56.077 --> 00:08:56.998]  Let me just run them over.
[00:08:59.298 --> 00:09:01.920]  But it's acceptable now in America with many people.
[00:09:01.920 --> 00:09:07.483]  So we're going to be looking at that and tying it into Israel and all the things that are unfolding there.
[00:09:07.483 --> 00:09:16.488]  Also, there's a big report going around everywhere that Israel, working with the Delta Force, and then the articles say with the Navy.
[00:09:16.488 --> 00:09:20.050]  No, Delta Force is not with the Navy, it's the Army.
[00:09:20.050 --> 00:09:22.291]  Though you can try out from any branch of the military.
[00:09:22.291 --> 00:09:25.353]  They're planning to, quote, nerve gas the tunnels.
[00:09:25.353 --> 00:09:27.014]  Well, that is international war crime.
[00:09:27.947 --> 00:09:42.698]  But then I did a little more research and remembered that Delta Force has done training, it's not classified, in hostage situations to spray opiate gas into tunnels or houses where hostages are to knock everybody out and then you can go in and save the hostages.
[00:09:42.698 --> 00:09:57.089]  So I made some phone calls, I'll leave it at that, and was told indeed that basically that's what Eric Prince was talking about Saturday when we were hypothetically saying how could the Israelis go in and not cause massive casualties, both civilian and their own,
[00:09:57.870 --> 00:09:58.110]  I think?
[00:10:15.180 --> 00:10:15.480]  I don't
[00:10:35.435 --> 00:10:40.158]  We'll just get tomorrow's news today, and I'm not defending Israel, just to defend Israel.
[00:10:40.158 --> 00:10:42.159]  And it's okay if you want to defend Israel.
[00:10:42.159 --> 00:10:48.943]  What I'm saying is when I report these things, it's because it's the information we have, we want to be as accurate as possible.
[00:10:48.943 --> 00:10:50.324]  I find it hard to believe that Israel
[00:10:51.274 --> 00:10:57.899]  He's going to pump nerve gas in and then, quote, save the hostages by pumping nerve gas in.
[00:10:57.899 --> 00:11:07.987]  Because if you kill the hostage takers with nerve gas and they're right next to the people who are the hostages, what does the nerve gas do to them?
[00:11:07.987 --> 00:11:13.111]  And real nerve gas, VX, you name it, it doesn't matter if you're wearing protective gear, you're dead.
[00:11:13.111 --> 00:11:14.772]  It'll get through anything.
[00:11:14.772 --> 00:11:17.154]  One micron of it gets through a crack.
[00:11:17.154 --> 00:11:20.217]  It'll go through your skin and you're going to be seizing up.
[00:11:21.742 --> 00:11:22.843]  Convulsing to death.
[00:11:22.843 --> 00:11:29.826]  So the story that's even in the mainstream news, in my view, is absolute crap.
[00:11:29.826 --> 00:11:30.907]  Again, use your heads.
[00:11:30.907 --> 00:11:31.967]  Totally illegal.
[00:11:31.967 --> 00:11:34.308]  War crime.
[00:11:34.308 --> 00:11:35.309]  But it's worse.
[00:11:35.309 --> 00:11:35.569]  U.S.
[00:11:35.569 --> 00:11:42.152]  military, that's a signatory to that, is going to help the Israelis use nerve gas that's going to kill the hostages.
[00:11:42.152 --> 00:11:45.054]  Again, it's war propaganda.
[00:11:45.054 --> 00:11:46.094]  It's preposterous.
[00:11:46.094 --> 00:11:47.395]  And it's even in the Israeli news.
[00:11:48.516 --> 00:12:00.484]  Now, if Netanyahu's crazy enough to shave his hostages, shave the Israeli hostages and other hostages, with lethal nerve gas, well, then, man, the IQs have dropped about 100 points in Israel.
[00:12:00.484 --> 00:12:02.366]  So, I don't think that's happened.
[00:12:02.366 --> 00:12:06.629]  So, in fact, there's no way the story's true.
[00:12:06.629 --> 00:12:09.591]  So, we do know that Hamas and Hezbollah
[00:12:10.427 --> 00:12:18.252]  have been caught making nerve gas and they got caught using it and the US and Israel, by the way, were backing the jihadis against Assad.
[00:12:18.252 --> 00:12:32.581]  And so the only use of nerve gas, chlorine gas, was by ISIS when the West was backing them against the Syrian regime of Assad.
[00:12:34.198 --> 00:12:37.802]  So I've kind of already covered that, but there's a big stack on that area.
[00:12:37.802 --> 00:12:41.766]  Netanyahu, we are the people of the light, they are the people of the darkness.
[00:12:41.766 --> 00:12:45.309]  Trump issues warning to Americans about the fight in Gaza, says it is coming here.
[00:12:45.309 --> 00:12:47.171]  I agree, it already has.
[00:12:47.171 --> 00:12:48.212]  Israel-Palestine war.
[00:12:48.212 --> 00:12:53.378]  Israel plans to flood Hamas tunnels with nerve gas.
[00:12:53.378 --> 00:12:56.461]  Report Israel planning to flood Hamas tunnels with nerve gas under U.S.
[00:12:56.461 --> 00:12:57.422]  Navy supervision.
[00:12:59.608 --> 00:13:02.550]  The article says the Navy Delta Force.
[00:13:02.550 --> 00:13:04.692]  This is just not true.
[00:13:04.692 --> 00:13:05.332]  It's not true.
[00:13:05.332 --> 00:13:08.695]  It's like saying the Washington Cowboys.
[00:13:10.346 --> 00:13:15.690]  If you want to understand foreign policy, there's a clip that Cernovich has put out, breaking down what's happening.
[00:13:15.690 --> 00:13:16.710]  I'm going to play that.
[00:13:16.710 --> 00:13:20.253]  I'm US fighters, trained in Iran before October 7th attacks.
[00:13:20.253 --> 00:13:21.073]  I've seen the training.
[00:13:21.073 --> 00:13:22.894]  I've seen what the Iranians do.
[00:13:22.894 --> 00:13:25.676]  And I agree that Iran, admittedly, have been funding it.
[00:13:25.676 --> 00:13:28.518]  And I said that day one, that I believe Iran was behind it.
[00:13:28.518 --> 00:13:30.119]  That doesn't mean I want to go to war with Iran.
[00:13:30.119 --> 00:13:31.820]  I'm just telling you what I think.
[00:13:31.820 --> 00:13:32.841]  And I'm not always right.
[00:13:32.841 --> 00:13:34.202]  So, just telling you what I think.
[00:13:35.697 --> 00:13:42.319]  Then I said on October 7th, Israel will end up blaming Iran and I predict will bomb Iran.
[00:13:42.319 --> 00:13:46.501]  Probably just military targets and kill some of their leadership like we saw Trump do.
[00:13:46.501 --> 00:13:49.201]  And we'll see if I'm right again.
[00:13:49.201 --> 00:13:53.983]  Before and after satellite images show Gaza's destruction, we'll be getting to that.
[00:13:53.983 --> 00:13:57.484]  We've got the open border news here as well.
[00:13:57.484 --> 00:13:59.725]  Biden has let in that they admit it's much higher.
[00:14:00.999 --> 00:14:01.920]  More people.
