[00:00:00.169 --> 00:00:01.209]  They want ugliness.
[00:00:01.269 --> 00:00:02.550]  They want ugly architecture.
[00:00:02.610 --> 00:00:03.470]  They want you to give up.
[00:00:03.490 --> 00:00:04.270]  They want you to roll over.
[00:00:04.310 --> 00:00:04.990]  That's the plan.
[00:00:05.030 --> 00:00:05.790]  You see these movies.
[00:00:05.811 --> 00:00:06.411]  You read these books.
[00:00:06.431 --> 00:00:07.191]  You say, this is ridiculous.
[00:00:07.211 --> 00:00:07.791]  This has never happened.
[00:00:08.191 --> 00:00:10.252]  This is what happens in authoritarian regimes.
[00:00:10.832 --> 00:00:13.713]  And now with AI and computers, they can do it so much easier.
[00:00:14.213 --> 00:00:26.656]  And they call themselves the liberals, the guardians of culture, the guardians of art, when they are outrageous criminals involved in crimes against humanity.
[00:00:27.830 --> 00:00:34.494]  British taxpayer-funded anti-extremist study finds Shakespeare, Orwell, Tolkien key texts for white supremacists.
[00:00:35.254 --> 00:00:36.355]  British governments involved.
[00:00:36.835 --> 00:00:41.618]  UK's counter-terrorism program says interest in great literature a sign of far-right extremism.
[00:00:42.158 --> 00:00:49.941]   Lord of the Rings, George Orwell, Shakespeare, The list goes on and on.
[00:00:50.381 --> 00:00:51.401]  It's not satire.
[00:00:51.942 --> 00:00:53.202]  This is not the Babylon Bee.
[00:00:53.823 --> 00:00:55.123]  This is worse than burning books.
[00:00:55.844 --> 00:00:59.585]  This is rewriting them and stealing people's art and stealing their identities.
[00:01:00.546 --> 00:01:09.710]  And the left is a evil worldwide corporate dictatorship of transhumanists with a bunch of useful idiots following along with it, believing they're part of the winning team.
[00:01:10.751 --> 00:01:16.554]  No one on the face of this should go along with any of this garbage.
[00:01:21.505 --> 00:01:26.387]  Rallying patriots worldwide in defense of human liberty.
[00:01:26.286 --> 00:01:28.286]  It's Alex Jones.
[00:01:28.286 --> 00:01:48.286]  [Music]
[00:01:48.373 --> 00:01:50.373]  Tomorrow's news today.
[00:01:50.373 --> 00:01:56.373]  [Sirens]
[00:01:56.373 --> 00:01:59.373]  [Inaudible]
[00:01:59.373 --> 00:02:02.373]  Well, I told you air raid sirens were coming.
[00:02:03.130 --> 00:02:14.298]  There's Biden marching through Kiev with Zelensky today with air raid sirens, real ones, going off in the background.
[00:02:15.899 --> 00:02:31.700]   And their new minister of defense has called for an invasion of Russia and occupying Moscow that would 100% lead to nuclear war. And Biden has said that the U.S. is with
[00:02:31.700 --> 00:02:34.580]  Ukraine and NATO all the way.
[00:02:34.580 --> 00:02:35.539]  Here's what he had to say.
[00:02:35.539 --> 00:02:45.539]   Remind us that freedom is priceless. It's worth fighting for for as long as it takes.
[00:02:45.539 --> 00:02:48.819]  And that's how long we're going to be with you, Mr.
[00:02:48.819 --> 00:02:50.899]  President, for as long as it takes.
[00:02:50.899 --> 00:02:56.259]  We will do it.
[00:02:56.259 --> 00:03:03.379]   But he won't go visit the collapsed southern border that's a war zone.
[00:03:03.585 --> 00:03:06.405]  He won't go to Ohio in the train wreck or send federal aid.
[00:03:07.846 --> 00:03:13.107]  Doesn't care about the 25 veterans committing suicide a day or the hundreds a day dying from opiates and fentanyl.
[00:03:14.467 --> 00:03:20.808]  Or another Chinese balloon, it's the exact same model, floating over Hawaii right now.
[00:03:22.808 --> 00:03:25.709]  Or all the millions sick and dying from the poison shots.
[00:03:27.346 --> 00:03:28.447]  Because he's a puppet in chief.
[00:03:28.467 --> 00:03:31.868]  We're going to be covering all that today.
[00:03:32.049 --> 00:03:40.593]  You know, I knew from sources that Tucker Carlson was working very hard behind the scenes on exposing that January 6 was an inside job.
[00:03:41.834 --> 00:03:45.016]  And he had some of his production crew here last week.
[00:03:45.076 --> 00:03:47.277]  I'll just leave it at that here in studio with us.
[00:03:50.652 --> 00:03:55.716]  And I was getting critical of McCarthy saying, where is the January 6 footage?
[00:03:55.776 --> 00:04:01.359]  Well, it turns out he's given all 42,000 hours of it to Tucker Carlson.
[00:04:01.379 --> 00:04:10.005]  And he's directed the Capitol Police to sit there with Carlson's crew, who's working around the clock to go through the 42,000 hours.
[00:04:13.134 --> 00:04:14.435]  Pretty amazing stuff.
[00:04:15.395 --> 00:04:23.020]  Exclusive from Axios, McCarthy gives Tucker Carlson access to Trove of January 6th riot footage.
[00:04:25.382 --> 00:04:36.769]  And just so happens we already have Jim Hoffman, Gateway Pundit, who's been on this more than anybody, other than Tucker Carlson, to talk about the 15 smoking guns of it being an inside job.
[00:04:37.895 --> 00:04:43.039]  Fifteen facts on the dozens of federal operatives who infiltrated the Trump crowds on January 6th at the U.S.
[00:04:43.079 --> 00:04:48.724]  Capitol, or the hundreds of armed snipers that were there and helped execute the whole operation.
[00:04:50.025 --> 00:04:53.729]  The head of the Gateway Pundit will be joining us at the bottom of the next hour and an hour and a half from now.
[00:04:53.749 --> 00:04:55.870]  We're going to be looking at all of this.
[00:04:55.910 --> 00:04:59.433]  It's a big deal because this could really bring down the deep state.
[00:05:00.450 --> 00:05:02.111]  Also, careful what you ask for.
[00:05:02.171 --> 00:05:06.214]  Fox is in that big multi-billion dollar Dominion voting machine lawsuit.
[00:05:06.955 --> 00:05:09.717]  Turns out in Discovery, they've gotten some interesting documents.
[00:05:11.178 --> 00:05:18.303]  Fox vs. Dominion Discovery docs show employees admitting their products were, quote, riddled with critical bugs leading to incorrect tallies.
[00:05:19.644 --> 00:05:21.386]  Incorrect results.
[00:05:23.763 --> 00:05:24.983]  We've got that news.
[00:05:25.203 --> 00:05:32.165]  Also, ATF leaked documents reveal the Biden regime's plan outside of law to close down gun stores across the nation.
[00:05:34.726 --> 00:05:36.446]  A really incredible group of stories.
[00:05:36.686 --> 00:05:46.367]   British taxpayer-funded anti-extremist study run by British intelligence finds Shakespeare, Orwell, Tolkien, Key text for white supremacists.
[00:05:47.048 --> 00:05:48.709]  Call for them to be restricted or rewritten.
[00:05:49.370 --> 00:05:49.951]  And guess what?
[00:05:49.991 --> 00:05:56.556]  The great author that wrote Charlie and the Chocolate Factory and many books that I loved as a child, many books that my children love.
[00:05:57.878 --> 00:06:01.701]  I was just reading Charlie and the Chocolate Factory last week to my five-year-old daughter.
[00:06:01.741 --> 00:06:04.063]  We've almost finished the book with nightly chapters.
[00:06:05.184 --> 00:06:07.306]  Instead of burning books, they just rewrite them.
[00:06:07.346 --> 00:06:11.210]  Now the Oompa Loompas are trans and they're not allowed to call somebody fat.
[00:06:12.227 --> 00:06:13.347]  This is beyond book-burning.
[00:06:14.388 --> 00:06:16.348]  It's all coming up today.
[00:06:16.448 --> 00:06:18.609]  And so much more.
[00:06:19.329 --> 00:06:24.051]  Infowars.com, band.video, and newswars.com are the coordinates of freedom.
[00:06:24.071 --> 00:06:27.532]  If you want to beat the New World Order and override their censorship, share those links now.
[00:06:28.572 --> 00:06:49.077]   If you had an analogy or an allegory or a parable where tyranny was symbolized by horses, not picking on horses, he's using that as an allegory, Then the current New World Order system we've got out of the whole history of horses is the Kentucky Derby winner or the Triple Crown winner.
[00:06:49.497 --> 00:06:51.099]  It is the racehorse of racehorses.
[00:06:53.072 --> 00:06:54.473]  It is the tyranny of tyranny.
[00:06:54.993 --> 00:06:59.495]  They are going to rewrite and destroy all literature, all art, all culture.
[00:06:59.595 --> 00:07:01.176]  It's all being run out of the UK.
[00:07:01.716 --> 00:07:03.117]  That's the center of the New World Order.
[00:07:03.717 --> 00:07:10.261]  And a British intelligence-funded report is calling for restricting Tolkien, Orwell, and of course the evil Shakespeare.
[00:07:11.360 --> 00:07:12.401]  as white supremacy.
[00:07:13.281 --> 00:07:18.405]  They are rewriting all of the author who wrote Charlie and the Chocolate Factory's books.
[00:07:18.985 --> 00:07:23.047]  The Oompa Loompas will be trans and so much more.
