[00:00:01.229 --> 00:00:02.990]  Just-on-time deliveries.
[00:00:02.990 --> 00:00:07.292]  High-tech, AI-run societies.
[00:00:07.292 --> 00:00:17.416]  They're not just perfect for surveillance and control and giant Enron-style scams where they can manipulate your bills and triple and quadruple charge you.
[00:00:17.416 --> 00:00:22.719]  They're not just designed to shut down all the small competitors in every industry and consolidate control.
[00:00:23.888 --> 00:00:38.982]  They are designed to remove humans from the decision-making process so that humans are obsolete and humans can be depopulated without it shutting down the sectors that the globalists still want for themselves.
[00:00:38.982 --> 00:00:43.226]  All US domestic flights grounded after software glitch.
[00:00:43.226 --> 00:00:47.390]  So how does one software have a glitch
[00:00:48.735 --> 00:00:57.980]  The system that's used for the air traffic systems to warn the pilots about dangerous conditions and other events.
[00:00:57.980 --> 00:01:10.988]  How could one piece of software go out and the entire aircraft system of commercial flights, and also screwed up private flights I've been reading, how could that be used to then ground everything?
[00:01:12.219 --> 00:01:23.724]  And it's similar to how they now have introduced legislation sponsored by the big airlines to get rid of two pilots even on 777s and larger aircraft.
[00:01:23.724 --> 00:01:32.928]  Because most of the flights are taking off and going to their destinations and landing without human control.
[00:01:32.928 --> 00:01:35.789]  It's all on autopilot.
[00:01:35.789 --> 00:01:39.191]  And statistics and research has been coming out for a decade that autopilot
[00:01:39.910 --> 00:01:47.826]  It's causing pilots to get worse and worse and worse, and then glitches in autopilot have grounded large fleets of aircraft.
[00:01:48.834 --> 00:01:52.397]  Because they'll do things like flip an airplane upside down and nosedive it.
[00:01:52.397 --> 00:01:58.022]  This is all in the WEF Post-Industrial World Playbook.
[00:01:58.022 --> 00:02:15.918]  Pay insufficient attention to the frightening scenario of a comprehensive cyber attack which would bring to a complete halt the power supply, transportation, hospital services, our society as a whole.
[00:02:17.984 --> 00:02:30.567]  The COVID-19 crisis would be seen, in this respect, as a small disturbance in comparison to a major cyberattack.
[00:02:30.567 --> 00:02:35.848]  Pete Bootyjudge called out after FAA system failure grounds all flights.
[00:02:35.848 --> 00:02:37.689]  He has no idea what happened.
[00:02:38.885 --> 00:02:40.826]  But he's gay, so that's all that matters.
[00:02:40.826 --> 00:02:48.968]  I think this gives us a really important data point and a really important moment to understand what we're going to need moving forward.
[00:02:48.968 --> 00:02:54.169]  But obviously our more immediate focus is technical, understanding exactly how this happened.
[00:02:54.169 --> 00:03:01.592]  The system we live under that's becoming more and more centralized every single day.
[00:03:01.592 --> 00:03:06.373]  And it's being done in farming, it's being done in energy, it's being done in transportation, it's being done in education.
[00:03:07.174 --> 00:03:19.944]  All of it is to centralize so that only mega massive corporations can scale up to the regulations and the software and the cost that is in the billions for these systems per industry.
[00:03:19.944 --> 00:03:24.087]  And then by regulatory fiat, all competition is destroyed.
[00:03:24.087 --> 00:03:26.029]  You vertically integrate the economy.
[00:03:26.029 --> 00:03:30.212]  You consolidate control for the post-industrial world.
[00:03:30.552 --> 00:03:45.798]  Today, I'm proud to say that under the UK's presidency, the group of the world's seven most advanced economies, the G7, is launching a set of public policy principles for retail central bank digital currencies, CBDCs.
[00:03:45.798 --> 00:03:55.882]  Digital cash could be programmed to ensure it is only spent on essentials or goods which an employer or government deems to be sensible.
[00:03:55.882 --> 00:03:56.342]  Holy shit.
[00:03:57.363 --> 00:04:03.829]  For many, many years, we've seen digital technology move to build a corral.
[00:04:03.829 --> 00:04:06.111]  Fences around each of us.
[00:04:06.111 --> 00:04:08.633]  Digital fences of control.
[00:04:08.633 --> 00:04:09.934]  Surveillance systems.
[00:04:09.934 --> 00:04:12.797]  Systems that influence propaganda.
