[00:00:13.291 --> 00:00:14.011]  Hi and welcome.
[00:00:14.511 --> 00:00:16.472]  I'm Christy Hightower from Planet InfoWars.
[00:00:16.612 --> 00:00:21.574]  I'm here with Alex Jones to answer your questions from the Ask Alex group on Planet InfoWars.
[00:00:22.134 --> 00:00:23.634]  So let's get started, Alex.
[00:00:23.674 --> 00:00:25.455]  The first question is, hi Alex.
[00:00:25.755 --> 00:00:31.437]  I have just listened to your interview with David Rothschild, which apparently was a long time ago.
[00:00:31.817 --> 00:00:39.500]  But it was an excellent interview and it makes me think, are you going to grill any other elites like Rockefeller or Romney or Al Gore?
[00:00:40.683 --> 00:00:41.726]  Any plans for that?
[00:00:41.887 --> 00:00:43.712]  That is a fantastic question.
[00:00:43.732 --> 00:00:48.024]  We were able to get the heir of the Rothschild fortune.
[00:00:49.269 --> 00:01:02.579]  One of the top heirs, David de Rothschild, on because he had a book coming out that showed polar bears that couldn't swim dying and, you know, give Al Gore all your money, give the Rothschild carbon exchange that they own money, that's who runs it.
[00:01:03.020 --> 00:01:07.783]  Like Australians, it's the only country to fully implement it, pay money to them to even live.
[00:01:09.184 --> 00:01:10.786]  Rothschilds, you know, we pay you money.
[00:01:11.066 --> 00:01:13.588]  How can we pay the banks money now through health care?
[00:01:13.988 --> 00:01:15.529]  It's a tax directly to them.
[00:01:15.549 --> 00:01:18.692]  I mean, just incredible, 35 million Americans being forced on.
[00:01:19.833 --> 00:01:22.595]  And people ask, how did you get Rothschild?
[00:01:22.735 --> 00:01:28.560]  Well, I'm telling all the radio producers out there, people who, well, I mean, radio producers, no, but people who don't understand the Internet.
[00:01:29.561 --> 00:01:31.723]  Some said, you must be working with him, you got him on.
[00:01:32.203 --> 00:01:38.789]  No, he was doing a book tour, and that's how you can get famous people on, is when they've got a book out.
[00:01:39.542 --> 00:01:42.605]  You can call their publicist or send it, and they just put you in the queue.
[00:01:42.625 --> 00:01:45.368]  So it was supposed to be a 10-minute interview.
[00:01:45.788 --> 00:01:51.194]  But once I baited him and said, oh, you're going to hang up, oh, you're scared, he stayed like 35, 40 minutes.
[00:01:51.874 --> 00:02:02.325]  And he said insane things like, oh my gosh, you know, the reason that the ice caps of Mars are melting is because it's closer to the sun than Earth.
[00:02:03.120 --> 00:02:11.042]  Because I said, hey, we pay Al Gore carbon taxes, will he stop the ice caps of Mars from melting?
[00:02:11.683 --> 00:02:12.963]  And he said, no, that's preposterous.
[00:02:13.023 --> 00:02:14.003]  It's closer to the sun.
[00:02:14.043 --> 00:02:16.484]  That's why its ice caps are melting.
[00:02:16.704 --> 00:02:20.125]  And of course, everybody knows it's Mercury, Venus, Earth, Mars.
[00:02:20.585 --> 00:02:21.126]  Exactly.
[00:02:21.666 --> 00:02:25.347]  Not, not, not Mercury, Venus, Mars, Earth.
[00:02:25.367 --> 00:02:25.587]  Right.
[00:02:26.307 --> 00:02:35.075]  Uh, so it just shows the incredible hubris of these people, and here we are five years after I interviewed him, and of course that's famously also a clip of that semi-film Endgame.
[00:02:35.475 --> 00:02:37.176]  It's been totally exposed and blown away.
[00:02:37.697 --> 00:02:39.618]  By the way, this is totally unscripted.
[00:02:39.999 --> 00:02:42.941]  Usually she comes in and I kind of have ten seconds to look at the list.
[00:02:43.061 --> 00:02:47.145]  I didn't even look at it, didn't even know about that first question, so I can't wait to hear what the next one is.
[00:02:47.305 --> 00:02:48.586]  Whacking them out here.
[00:02:48.726 --> 00:02:49.627]  Oh, I'm sorry, I'm sorry.
[00:02:49.967 --> 00:02:51.849]  These are almost good brainstorming sessions.
[00:02:52.789 --> 00:02:57.335]  Uh, that is a major thing I want all the producers to go after.
[00:02:57.355 --> 00:03:02.781]  And that's why when we hire all these new reporters, and the great work you're doing, is you guys can just go after whoever you want.
[00:03:03.101 --> 00:03:07.466]  And we're gonna, you've seen them setting up all these mini studios with lights and cameras and Skype.
[00:03:07.787 --> 00:03:10.510]  You're gonna be able to just get somebody on, interview them.
[00:03:10.530 --> 00:03:10.971]  Awesome.
[00:03:11.591 --> 00:03:13.072]  And people are going to get bonuses.
[00:03:13.092 --> 00:03:14.794]  We're free market when they get big people on.
[00:03:15.454 --> 00:03:19.777]  So you're welcome to, we're going to set up subsidiary names.
[00:03:20.358 --> 00:03:26.562]  We're not lying, but it's a subsidiary of InfoWars that isn't as known so that you can call the publicists up.
[00:03:26.863 --> 00:03:28.104]  The problem is we're now known.
[00:03:28.444 --> 00:03:30.045]  So if they're not a fan, they're not coming on.
[00:03:30.085 --> 00:03:33.948]  It's like today, Chris thought to call William Shatner and everyone tried to get him on.
[00:03:34.428 --> 00:03:36.610]  He calls, gets his, you know,
[00:03:36.690 --> 00:03:36.890]  I don't
[00:03:53.257 --> 00:04:00.063]  You know, the famous journalist Pulitzer Prize winner, Chris Hedges, who is shooing over NDAA and actually got partially overturned.
[00:04:00.604 --> 00:04:03.387]  We called him, turned out he knew who we were, liked the work we're doing.
[00:04:03.727 --> 00:04:05.609]  He's like a liberal, but he's a real liberal.
[00:04:05.629 --> 00:04:06.870]  You know, he's against tyranny.
[00:04:07.430 --> 00:04:11.634]  Not, oh, well, I like Obama's tyranny because I'm a Democrat.
[00:04:11.794 --> 00:04:12.035]  Right.
[00:04:12.055 --> 00:04:14.297]  But I don't like Bush's tyranny because he's a Republican.
[00:04:15.158 --> 00:04:20.003]  So for our producers, because all we've got right now is Chris, who's great, but he's overworked.
[00:04:20.083 --> 00:04:25.149]  He's even running the board some, dealing with my media things, and he's doing a great job on the radio.
[00:04:25.489 --> 00:04:31.957]  We've got John Bowne getting into producing, you can start getting into producing, and basically whoever wants to can.
[00:04:32.617 --> 00:04:35.741]  And it isn't just going to be Alex Jones who interviews the cool person.
[00:04:36.342 --> 00:04:37.163]  It can be Christy.
[00:04:37.423 --> 00:04:38.445]  Awesome.
[00:04:38.746 --> 00:04:39.767]  It can be Aaron Dykes.
[00:04:40.168 --> 00:04:41.971]  I mean, that's what InfoWars is about.
[00:04:42.031 --> 00:04:47.841]  It's not just empowering our reporters and people, but you by our example and others examples leading.
[00:04:48.121 --> 00:04:49.864]  Look at Luke Radowski for my example.
[00:04:50.754 --> 00:04:53.255]  Speaking of confronting people, that was the last part of the questions.
[00:04:53.276 --> 00:04:54.696]  They had a whole brainstorm when you asked that.
[00:04:54.896 --> 00:05:02.501]  That's why it's so good for me to get, that's why I love getting questions originally when I've never seen them, because then it's that original, excited, neuron-firing thought.
[00:05:02.801 --> 00:05:08.985]  I've noticed when I've seen a story two or three times before I get on air, by the time I get on air, it's old and I don't want to read it.
[00:05:09.205 --> 00:05:09.545]  Right.
[00:05:09.625 --> 00:05:12.527]  It's a very strange phenomenon, so that's what I love this.
[00:05:13.107 --> 00:05:19.711]  I'm thinking about having them come in every day, like Chris or somebody else, and sit there while I'm on the radio and say, alright, here's the questions from Twitter.
[00:05:20.071 --> 00:05:20.751]  That'd be awesome.
[00:05:21.091 --> 00:05:23.472]  Or, here's the question from PlanetInfoWars.com.
[00:05:23.672 --> 00:05:24.392]  Yeah.
[00:05:24.992 --> 00:05:28.713]  And so that it makes me get out of my pattern of just ranting, mad at news.
[00:05:28.793 --> 00:05:31.473]  I mean, I read almost all these articles the day before I even got here.
[00:05:31.873 --> 00:05:33.753]  Then I IM'd the guys that printed them off.
[00:05:34.033 --> 00:05:35.994]  I got here and never even opened most of these files.
[00:05:36.774 --> 00:05:44.115]  Economy, world news, stuff I was all angry about and ready to talk about with understanding of, and I got here and never covered it.
[00:05:44.715 --> 00:05:47.896]  So I've got to figure out some way where maybe I should start doing my radio show at 9 a.m.
[00:05:49.096 --> 00:05:50.096]  Just keep going.
[00:05:50.677 --> 00:05:52.137]  Instead of getting up at 6 a.m.
[00:05:52.157 --> 00:05:59.719]  and reading it all and then getting mad and coming up here, I can get here and actually maybe have a show where it's up on a big screen and I'm just analyzing it fresh right there.
[00:05:59.739 --> 00:06:00.219]  There you go.
[00:06:00.359 --> 00:06:01.740]  I'm having an epiphany here right now.
[00:06:01.780 --> 00:06:01.980]  Yeah.
[00:06:02.000 --> 00:06:02.960]  What was the other point?
[00:06:03.220 --> 00:06:03.640]  One-on-one.
[00:06:03.981 --> 00:06:06.681]  All of you can get out with a camera and confront globalists.
[00:06:06.781 --> 00:06:07.882]  We live in Austin, Texas.
[00:06:09.122 --> 00:06:11.084]  Globalist bigwigs, but also good people.
[00:06:11.104 --> 00:06:13.687]  A lot of famous people, interesting people come through Austin.
[00:06:14.047 --> 00:06:21.435]  We've just got to check the newspapers about when they're at book people, when they're at Barnes & Nobles, when they're at even at a, you know, theater or something because we can get in because we're press.
[00:06:21.756 --> 00:06:23.337]  We should be sending our reporters out to that.
[00:06:23.758 --> 00:06:29.904]  Austin is now a world-class city, but it's nothing like DC, LA, New York, Chicago, where
[00:06:30.905 --> 00:06:39.997]  Activists that are there, and we probably want to get some reporters and all those, I mean we already have them, but reporters that actually work for us can go out and do that as well and really just give us unlimited coverage.
[00:06:40.397 --> 00:06:42.220]  So big things are coming to the InfoWar.
[00:06:42.420 --> 00:06:43.682]  You've only got about 20 questions.
[00:06:43.722 --> 00:06:44.463]  That's one of them.
[00:06:44.903 --> 00:06:46.185]  Let's go to the next one right now.
[00:06:46.305 --> 00:06:48.286]  We're moving right along.
[00:06:48.607 --> 00:06:54.011]  Alex, have you ever looked into the KGB files that were released in regards to the infiltration of the Vatican?
[00:06:54.131 --> 00:07:03.758]  It seems funny that the three of the last of the four popes have had to ride behind bulletproof glass, and yet the present pope does not.
[00:07:04.658 --> 00:07:05.439]  Any ideas?
[00:07:07.378 --> 00:07:08.838]  Yes, I actually did.
[00:07:08.858 --> 00:07:10.979]  I even read a book on that years ago.
[00:07:10.999 --> 00:07:12.059]  I even had a guest on.
[00:07:12.099 --> 00:07:12.919]  I did look into it.
[00:07:14.300 --> 00:07:19.561]  Regardless of whether the Vatican was good or bad in the past, it is infiltrated with all sorts of globalists.
[00:07:20.441 --> 00:07:25.482]  And you can really see the power of what was the Vatican being deconstructed right now.
