[00:00:10.706 --> 00:00:13.347]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:00:14.107 --> 00:00:21.269]  Zero Dark Thirty, the film supposedly based on the true story official accounts of the killing of Osama Bin Laden, is set to release in U.S.
[00:00:21.309 --> 00:00:22.690]  theaters December 19th.
[00:00:24.590 --> 00:00:27.151]  We are still no closer to defeating our enemy.
[00:00:29.071 --> 00:00:30.712]  Twenty detainees recognize that photo.
[00:00:35.000 --> 00:00:45.403]  In analyzing the clip you just saw, Jessica Chastain stars as CIA operative Maya, a woman obsessed with capturing the man supposedly behind the September 11th terrorist attacks.
[00:00:45.803 --> 00:00:50.985]  The New York Film Critics Guide was apparently so moved, they named Zero Dark Thirty Film of the Year.
[00:00:51.897 --> 00:00:55.239]  Now let's analyze a clip of actual Osama Bin Laden raid footage.
[00:01:27.432 --> 00:01:29.614]  We can't be sure if that's legitimate footage or not.
[00:01:29.654 --> 00:01:36.539]  You see, so much misinfo and disinfo came out in the wake of the raid that it's really hard to understand what's real or what's not anymore.
[00:01:37.200 --> 00:01:41.123]  And really, shouldn't the makers of Zero Dark Thirty be concerned about the same thing?
[00:01:41.603 --> 00:01:47.248]  If you'll recall, Osama Bin Laden was supposedly taken down in a raid at a compound in Abbottabad in 2011.
[00:01:47.308 --> 00:01:54.173]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:01:54.453 --> 00:01:56.255]  President Obama addressed the nation.
[00:01:57.150 --> 00:02:05.566]  late Sunday evening to say that just hours before Osama Bin Laden had been killed in the middle of a major populated city in a palace compound.
[00:02:06.465 --> 00:02:17.275]  My friends, this is a complete and total hoax, and we predicted with total precision, with inside sources, going back more than 8 years ago, exactly what would happen.
[00:02:17.715 --> 00:02:22.299]  Then Bin Laden's body was buried at sea, all within 24 hours after the raid.
[00:02:22.539 --> 00:02:31.907]  Our government claimed his burial was per Islamic tradition, but many Muslim scholars have come forward to point out that this, like so much else in the official story, is false.
[00:02:32.788 --> 00:02:48.794]  Over the years, many people, from intelligence analysts to heads of state, including former Secretary of State Madeleine Albright, former Pakistani Prime Minister Benazir Bhutto, and former FBI head of counterterrorism Dale Watson, have gone on record to say that Bin Laden died in 2001.
[00:02:50.775 --> 00:02:53.956]  Dr. Steve Pichinik, who has worked with five different U.S.
[00:02:54.036 --> 00:03:04.020]  presidents and the Department of Defense, has even come out to say that Osama bin Laden died in 2001 of Marfan syndrome, a degenerative genetic disease with no permanent cure.
[00:03:04.878 --> 00:03:23.206]  With the intel, with the CIA reports you were reading, with as much proof as you can give us without giving up your sources, of knowing that Bin Laden was dead, and when he reportedly died, so that we can look at the big news story now in context of why they've launched this hoax today.
[00:03:24.295 --> 00:03:31.020]  Well, let me just say, the issue of why he was dead, it was exactly what I said before.
[00:03:31.060 --> 00:03:32.642]  He died of Marfan Syndrome.
[00:03:33.282 --> 00:03:33.943]  Bush Jr.
[00:03:33.963 --> 00:03:34.603]  knew about it.
[00:03:34.683 --> 00:03:36.545]  The intelligence community knew about it.
[00:03:36.645 --> 00:03:41.209]  He had Al-Zawahiri, who was a physician with him, who is still a physician.
[00:03:41.349 --> 00:03:42.389]  I don't know where he is.
[00:03:42.750 --> 00:03:44.591]  But we knew he was already dead by 9-11.
[00:03:45.805 --> 00:03:57.655]  In fact, two separate high-level sources have told Alex Jones directly that not only was Bin Laden dead since 2001, but his death would not be announced until the most politically opportune moment.
[00:03:58.176 --> 00:04:01.959]  This all came out right at the time.
[00:04:03.345 --> 00:04:08.886]  That Obama's approval rating was dropping like a rock, an all-time low, this far into a president's administration.
[00:04:09.266 --> 00:04:17.809]  As the dollars dropping, as support for Iraq, Afghanistan, Libya, and the drone attacks in Pakistan was imploding.
[00:04:18.049 --> 00:04:21.269]  Right as the Pakistanis were threatening to kick the U.S.
