[00:00:10.034 --> 00:00:10.634]  And welcome back.
[00:00:11.174 --> 00:00:15.356]  Our guest tonight is David Threatt, superintendent for Harold ISD in northern Texas.
[00:00:15.736 --> 00:00:19.198]  We'll be talking to him about teachers carrying firearms in the classroom.
[00:00:19.478 --> 00:00:20.658]  He joins us now via Skype.
[00:00:20.738 --> 00:00:21.659]  Thanks for joining us, David.
[00:00:22.301 --> 00:00:22.822]  Thanks a lot.
[00:00:22.862 --> 00:00:24.123]  Thanks for having me.
[00:00:24.223 --> 00:00:24.683]  My pleasure.
[00:00:25.064 --> 00:00:36.094]  Now, before we get into the teachers at your district carrying firearms in the classroom, at least being able to have that option, this recent shooting, the Sandy Hook, what was your first thoughts when you heard about that last week?
[00:00:36.594 --> 00:00:37.515]  Yeah, it was sick.
[00:00:37.595 --> 00:00:46.223]  I mean, you know, nobody with any amount of humanity can hear that kind of thing and just not be saddened that somebody would have the
[00:00:47.745 --> 00:00:51.431]  The evil intent to be able to hurt little kids like that.
[00:00:51.531 --> 00:00:52.893]  I just couldn't believe it.
[00:00:54.716 --> 00:00:55.638]  It was very heartbreaking.
[00:00:57.000 --> 00:01:04.142]  Now, speaking of teachers carrying firearms in the classroom, how long has that been allowed in your district and what actually prompted your decision to do that?
[00:01:05.042 --> 00:01:07.682]  Well, we passed the policy in October of 2007.
[00:01:08.182 --> 00:01:17.184]  And we have passive security, we have the cameras, we have the electronic magnetic doors, exterior doors, and restricted access.
[00:01:17.524 --> 00:01:18.565]  But two things caused it.
[00:01:18.605 --> 00:01:22.565]  The first one was October 2006 with the Pennsylvania Amish shootings.
[00:01:22.926 --> 00:01:24.606]  That was a milk delivery man.
[00:01:25.346 --> 00:01:25.427]  Yes.
[00:01:42.065 --> 00:01:45.347]  You know, their plan was to lock the doors and, you know, and hide.
[00:01:45.828 --> 00:01:47.089]  And that didn't stop him.
[00:01:47.429 --> 00:01:49.811]  He was able to shoot those doors open.
[00:01:50.331 --> 00:01:55.115]  And then, what, 60 casualties and 30 some odd dead?
[00:01:55.515 --> 00:01:55.735]  Right.
[00:01:56.095 --> 00:01:56.996]  That was very disturbing.
[00:01:57.256 --> 00:02:04.101]  Every one of the plans in the United States in schools, emergency plans, are to lock the doors and hide the kids.
[00:02:04.642 --> 00:02:08.264]  Well, that was disturbing to us because we're 30 minutes from law enforcement.
[00:02:09.125 --> 00:02:14.269]  We had no way to protect ourselves, and there wasn't anybody around to take care of us.
[00:02:14.329 --> 00:02:15.729]  We were our first responders.
[00:02:15.910 --> 00:02:16.110]  Right.
[00:02:16.410 --> 00:02:20.172]  I came up with a plan, and the plan, you know, has been on the news a lot.
[00:02:20.212 --> 00:02:22.094]  It's pretty self-explanatory.
[00:02:22.454 --> 00:02:23.655]  They have to have a CHL.
[00:02:24.215 --> 00:02:25.296]  We approve them.
[00:02:26.317 --> 00:02:27.657]  The board approves them individually.
[00:02:28.098 --> 00:02:36.363]  We undergo some extra training, and then we use frangible ammunition, which, you know, breaks apart when it hits hard objects, to avoid ricochet.
[00:02:36.643 --> 00:02:38.605]  But the advantage of our plan is
[00:02:39.345 --> 00:02:45.267]  Is that we have multiple people within the school, within the building, that can respond.
[00:02:45.527 --> 00:02:46.387]  We don't just have one.
[00:02:46.767 --> 00:02:49.948]  You know, every plant out there is a security guard.
[00:02:50.168 --> 00:02:51.749]  Well, what happens when he goes to the dentist?
[00:02:51.769 --> 00:02:53.009]  What happens when he has the flu?
[00:02:53.169 --> 00:02:56.330]  What happens when he goes to lunch, for crying out loud?
[00:02:56.830 --> 00:03:01.511]  You see, every one of these things is predictable and targetable.
[00:03:02.052 --> 00:03:03.392]  And if you can take that target out,
[00:03:03.632 --> 00:03:05.273]  You know, these shootings will continue.
[00:03:05.413 --> 00:03:10.697]  You've got to have, first of all, like our plan, personnel anonymity.
[00:03:10.978 --> 00:03:12.519]  Nobody knows who has them.
[00:03:12.919 --> 00:03:13.900]  You're going to come to our school?
[00:03:14.020 --> 00:03:14.820]  You want to do damage?
[00:03:15.541 --> 00:03:18.703]  You are going to get some surprises.
[00:03:19.464 --> 00:03:19.964]  Exactly.
[00:03:20.385 --> 00:03:21.045]  Exactly right.
[00:03:21.365 --> 00:03:23.507]  Now, I guess you have anonymity.
[00:03:24.127 --> 00:03:28.571]  Do you just have an estimate about how many teachers carry or personnel carry in your schools?
[00:03:29.091 --> 00:03:30.652]  Yeah, we don't release that information.
[00:03:30.712 --> 00:03:34.375]  I would just say that it's sufficient, you know.
[00:03:35.516 --> 00:03:45.844]  We need redundancy, you know, and so if any individual happens to be, you know, taken out in an attack, they'll be back up.
[00:03:46.483 --> 00:03:49.747]  Right, and I definitely respect they're not trying to give away your trade secrets.
[00:03:50.067 --> 00:03:53.571]  Now I remember back when I was in school, it seems so long ago, but it probably wasn't.
[00:03:54.131 --> 00:03:59.577]  I remember our plan, as you spoke about, was to duck and hide and pretend like nobody was there in the middle of the school day.
[00:03:59.597 --> 00:04:00.137]  Yeah.
[00:04:00.157 --> 00:04:02.920]  You know, and it never made sense to me.
[00:04:02.980 --> 00:04:06.324]  Even one of my teachers, I remember, I'm not going to say her name because I think she still works there.
[00:04:06.764 --> 00:04:15.247]  She said, if anybody ever does attack the school, of course it's after Columbine and all that, she said, I'm going to bust out one of those windows, anybody wants to come with me can come with me.
[00:04:15.667 --> 00:04:22.169]  Because the plan was to lock the door and hide, turn out the lights, and you know, line up against the wall and hope that you didn't get shot.
[00:04:22.729 --> 00:04:28.711]  And you know, you're at midday school time, somebody knows that you're there, you can't hide and act like nobody's in the building.
[00:04:29.171 --> 00:04:31.372]  Yeah, I mean, you need some type of plan.
[00:04:31.753 --> 00:04:34.114]  So, now this plan, I guess, is working for your district.
[00:04:34.134 --> 00:04:37.816]  Do you think it's the teachers carrying something that could work nationwide?
[00:04:38.437 --> 00:04:38.957]  Yeah, I do.
[00:04:39.037 --> 00:04:43.380]  I mean, right off the bat, what we know about active shooters, they're not going where there's resistance.
[00:04:43.860 --> 00:04:44.761]  That's what we know about them.
[00:04:45.041 --> 00:04:45.521]  You know what?
[00:04:45.561 --> 00:04:48.623]  So if every school has resistance, they're not going there.
[00:04:49.123 --> 00:04:49.584]  But you know what?
[00:04:49.824 --> 00:04:50.864]  This wasn't necessary.
[00:04:51.245 --> 00:04:52.345]  We caused this trouble.
[00:04:52.846 --> 00:04:57.909]  This idea of making schools gun-free zones was somebody's brainstorm.
[00:04:58.869 --> 00:05:00.610]  And it was a stupid one.
[00:05:01.270 --> 00:05:10.712]  The idea of disarming and making some people basically unprotected across the nation was asinine at best.
