[00:00:01.111 --> 00:00:01.591]  So,
[00:00:38.336 --> 00:00:40.239]  Welcome to the InfoWars Nightly News.
[00:00:40.379 --> 00:00:41.320]  I'm Melissa Melton.
[00:00:41.681 --> 00:00:44.024]  Here's what we have in store for you on this December 13, 2012 edition.
[00:00:48.442 --> 00:00:53.286]  Tonight, Harry Belafonte wants Obama's critics in gulags.
[00:00:53.926 --> 00:01:01.032]  The only thing left for Barack Obama to do is to work like a third world dictator and put all these guys in jail.
[00:01:02.012 --> 00:01:05.815]  Then, a student documents every known U.S.
[00:01:05.895 --> 00:01:08.638]  drone strike within the last 10 years.
[00:01:09.278 --> 00:01:13.081]  Plus, breaking news from a JFK insider.
[00:01:13.521 --> 00:01:17.765]  All that and more, up next on the InfoWars Nightly News.
[00:01:27.455 --> 00:01:33.098]  Tonight I want to start with a special report that should scare any free-thinking Americans that are still left.
[00:01:33.798 --> 00:01:46.585]  Today, Harry Belafonte, a social activist who's gone on record to say that he sympathizes with communist leader Fidel Castro, came out to say that anyone who opposes the agenda of Barack Obama should be rounded up and imprisoned.
[00:01:47.145 --> 00:01:48.266]  Let's take a look at this clip.
[00:01:49.019 --> 00:01:50.781]  And I don't know what more they want.
[00:01:51.362 --> 00:01:58.449]  The only thing left for Barack Obama to do is to work like a third world dictator and just put all these guys in jail.
[00:01:59.571 --> 00:02:07.179]  So there you have it, Belafonte going on record to say that anybody who disagrees with Barack Obama should be quote, put in jail.
[00:02:07.459 --> 00:02:07.820]  They should
[00:02:08.453 --> 00:02:11.314]  Work like a third world dictator and put all these guys in jail.
[00:02:11.814 --> 00:02:13.995]  Now where did Belafonte get that idea from?
[00:02:14.035 --> 00:02:16.236]  It's not new, we've actually heard that before.
[00:02:16.636 --> 00:02:23.318]  If you recall, Bill Ayers, former Obama mentor and Weather Underground terrorist, actually went on record saying the same thing.
[00:02:23.358 --> 00:02:24.578]  Let's take a look at that clip.
[00:02:24.978 --> 00:02:28.559]  I brought up the subject of what's going to happen after we take over the government.
[00:02:29.820 --> 00:02:35.202]  You know, we become responsible then for administrating, you know, 250 million people.
[00:02:37.546 --> 00:02:47.935]  The only thing that I could get was that they expected that the Cubans and the North Vietnamese and the Chinese and the Russians would all want to occupy different portions of the United States.
[00:02:49.096 --> 00:02:54.660]  They also believed that their immediate responsibility would be to protect against what they called the Counter-Revolution.
[00:02:56.181 --> 00:03:06.170]  And they felt that this Counter-Revolution could best be guarded against by creating and establishing re-education centers in the Southwest.
[00:03:08.659 --> 00:03:17.862]  Where we would take all the people who needed to be re-educated into the new way of thinking and teach them how things were going to be.
[00:03:18.782 --> 00:03:22.384]  I asked, well what is going to happen to those people that we can't re-educate?
[00:03:23.084 --> 00:03:25.125]  That are die-hard capitalists?
[00:03:26.225 --> 00:03:28.906]  And the reply was that they'd have to be eliminated.
[00:03:30.287 --> 00:03:35.349]  And when I pursued this further, they estimated that they would have to eliminate 25 million people.
[00:03:36.520 --> 00:03:38.061]  In these re-education centers.
[00:03:38.721 --> 00:03:41.803]  And when I say eliminate, I mean kill.
[00:03:42.043 --> 00:03:42.683]  25 million people.
[00:03:43.564 --> 00:03:58.952]  I want you to imagine sitting in a room with 25 people, most of which have graduate degrees from Columbia and other well-known educational centers and hear them
[00:04:00.367 --> 00:04:04.870]  Figuring out the logistics for the elimination of 25 million people.
[00:04:05.311 --> 00:04:06.992]  And they were dead serious.
[00:04:09.284 --> 00:04:23.530]  So there you have former FBI agent Larry Grathwald talking about how he infiltrated the weather underground, and that Bill Ayers and his associates were talking about how they would have to eliminate 25 million Americans who did not want to become communists.
[00:04:23.870 --> 00:04:31.654]  They were going to establish re-education centers in the Southwest, and if people refused to convert to communism, they would have to be eliminated.
[00:04:32.473 --> 00:04:39.561]  And the people who were not going to be eliminated that were in these camps would have to be re-educated into a new way of thinking.
[00:04:41.003 --> 00:04:42.505]  So, where are these camps?
[00:04:43.125 --> 00:04:44.927]  Where are these people going to be re-educated at?
[00:04:45.007 --> 00:04:47.010]  Well, it's FEMA camps, actually.
[00:04:47.350 --> 00:04:52.075]  And Alex breaks this down really well in his film, Police State 4, Rise of FEMA.
[00:04:52.095 --> 00:04:53.357]  We're going to go to a clip from that now.
[00:04:56.354 --> 00:05:06.698]  New legislation authorizes FEMA camps in the United States and it says six major camps across the country with hundreds of sub-region camps.
[00:05:06.818 --> 00:05:15.842]  Now if you watch my films and read the documents we put out, that's exactly what we said the camps are and how they operate because we reverse-engineered all this.
[00:05:16.963 --> 00:05:17.984]  The camps are already built.
[00:05:18.364 --> 00:05:22.688]  It's when they want to openly announce they're doing it that they then pass a law.
[00:05:23.069 --> 00:05:37.482]  And they say, oh, all these shut down military bases that they've been keeping refurbished and putting barbed wire facing in and putting in showers and bunks, we knew that those were to be the FEMA camps.
[00:05:37.882 --> 00:05:40.664]  Because in the FEMA documents and in congressional leaks,
[00:05:41.745 --> 00:05:44.006]  And from people that worked at the camps, we knew.
[00:05:44.346 --> 00:05:45.427]  And we would list the camps.
[00:05:45.947 --> 00:05:58.772]  Then we noticed, when it was declassified in 97, that the very camps that had been, quote, decommissioned under the base closure, because they'd said back in the 80s, under Rex 84, they were going to use the camps in Congress.
[00:05:59.333 --> 00:06:00.833]  So we said, you want to know where the camps are?
[00:06:00.873 --> 00:06:06.516]  They're old military bases, and they're old POW camps from Italians, Germans, and Japanese.
[00:06:08.357 --> 00:06:09.057]  Guess what's in here?
[00:06:10.459 --> 00:06:11.291]  Guess what's in the bill?
[00:06:14.306 --> 00:06:31.990]  So the National Emergency Centers Act, or HR 645, actually mandates the establishment of national emergency centers to be located on military installations for the purpose of providing temporary housing, medical and humanitarian assistance in the event of an emergency or major disaster.
[00:06:32.410 --> 00:06:39.251]  But the bill also mentions that these camps can be used to meet other appropriate needs as determined by the Secretary of Homeland Security.
[00:06:39.591 --> 00:06:42.072]  They don't talk about what those other appropriate needs are.
[00:06:42.832 --> 00:06:56.279]  But, these camps will double as command and control centers, and they will house a 24-7 operations watch center, and the bill contains language that authorizes these camps to be established within closed or already operating military bases throughout the country.
[00:06:56.940 --> 00:07:08.646]  And as we know, Halliburton subsidiary Kellogg, Brown & Root was awarded a $400 million contract back in 2006 to construct detention and processing facilities for the Department of Homeland Security.
[00:07:09.486 --> 00:07:15.850]  Now, if you move on just a little bit further, the Army National Guard began advertising for internment specialists.
[00:07:16.431 --> 00:07:24.956]  Internment and resettlement specialists that would ensure the smooth running of military confinement, correctional facilities, or detention and internment facilities.
[00:07:25.517 --> 00:07:31.040]  And some of the specific duties included counseling individual prisoners in rehabilitative programs.
