[00:00:00.349 --> 00:00:02.913]  I'm Melissa Melton reporting for InfoWars.com.
[00:00:03.694 --> 00:00:14.669]  As Agenda 21, the United Nations' plan to take control of the world from the local level up, grows across America under the guise of the Green Movement, our national sovereignty, our personal freedom, and our very way of life is under attack.
[00:00:15.293 --> 00:00:17.634]  What is Agenda 21 for new listeners?
[00:00:17.674 --> 00:00:18.434]  Why is it important?
[00:00:18.474 --> 00:00:20.455]  And what are the new big developments?
[00:00:20.495 --> 00:00:23.857]  I mean, is it safe to say the battle is joined right now, Rosa?
[00:00:24.037 --> 00:00:31.940]  For people who don't know what Agenda 21 is, it's basically, it's not what is Agenda 21, it's almost what isn't.
[00:00:32.300 --> 00:00:33.961]  It is the blueprint.
[00:00:34.161 --> 00:00:41.364]  It is the action plan to inventory and control all land, all water,
[00:00:42.458 --> 00:00:54.101]  All plants, all minerals, all construction, all animals, all means of production, all energy, all information, and all human beings in the world.
[00:00:54.721 --> 00:01:00.963]  It is a completely comprehensive plan, it's global, and it's implemented locally.
[00:01:01.483 --> 00:01:14.814]  Agenda 21 highlights include the destruction of the family unit in the name of sustainable development, with people being forced to live in tight, compact cities in high-rise stack-em-and-pack-em apartments no bigger than this 16 by 16 foot space.
[00:01:15.755 --> 00:01:19.638]  I decided to ask people what they thought about the UN's plan to get people on the grid.
[00:01:20.439 --> 00:01:24.062]  So, would you live in a house no bigger than the size of this square?
[00:01:30.802 --> 00:01:33.364]  It feels like a jail cell, no way.
[00:01:33.924 --> 00:01:35.125]  I mean, it's impossible.
[00:01:35.605 --> 00:01:38.528]  Well, you know, it depends on what my options would be.
[00:01:39.408 --> 00:01:45.012]  If this was the only option, I'm sure it would be living under a bridge.
[00:01:45.753 --> 00:01:47.254]  You need one of these twice this size.
[00:01:47.274 --> 00:01:48.855]  This would be your entire house?
[00:01:49.315 --> 00:01:50.836]  Yeah, three times as big, really.
[00:01:50.856 --> 00:01:56.641]  Yeah, I've lived in one about this size, and it was like being an animal in a box or something.
[00:01:57.201 --> 00:01:58.582]  Would you do it for the good of the earth?
[00:01:59.423 --> 00:01:59.663]  Maybe.
[00:02:00.618 --> 00:02:00.838]  Yes.
[00:02:01.038 --> 00:02:01.299]  Yes.
[00:02:01.599 --> 00:02:01.779]  Yes.
[00:02:04.541 --> 00:02:05.101]  Yes, I would.
[00:02:05.502 --> 00:02:05.902]  You would?
[00:02:05.982 --> 00:02:06.202]  Yeah.
[00:02:06.903 --> 00:02:07.743]  Have you ever heard of Agenda 21?
[00:02:07.783 --> 00:02:07.964]  I haven't.
[00:02:07.984 --> 00:02:08.024]  No.
[00:02:08.104 --> 00:02:08.184]  No.
[00:02:08.204 --> 00:02:08.284]  No.
[00:02:08.304 --> 00:02:08.344]  No.
[00:02:08.644 --> 00:02:08.724]  No.
[00:02:08.764 --> 00:02:08.804]  No.
[00:02:08.824 --> 00:02:08.864]  No.
[00:02:08.884 --> 00:02:08.924]  No.
[00:02:08.944 --> 00:02:09.004]  No.
[00:02:10.005 --> 00:02:10.165]  No.
[00:02:10.225 --> 00:02:10.265]  No.
[00:02:11.186 --> 00:02:11.326]  No.
[00:02:11.346 --> 00:02:11.386]  No.
[00:02:11.506 --> 00:02:11.586]  No.
[00:02:11.626 --> 00:02:11.666]  No.
[00:02:12.087 --> 00:02:12.167]  No.
[00:02:12.187 --> 00:02:12.247]  No.
[00:02:13.368 --> 00:02:13.408]  No.
[00:02:13.428 --> 00:02:13.548]  No.
[00:02:13.568 --> 00:02:13.608]  No.
[00:02:13.728 --> 00:02:13.808]  No.
[00:02:13.828 --> 00:02:13.868]  No.
[00:02:13.968 --> 00:02:14.028]  No.
[00:02:14.048 --> 00:02:14.088]  No.
[00:02:15.109 --> 00:02:15.169]  No.
[00:02:15.189 --> 00:02:15.229]  No.
[00:02:15.249 --> 00:02:15.329]  No.
[00:02:15.349 --> 00:02:15.409]  No.
[00:02:15.429 --> 00:02:15.469]  No.
[00:02:15.489 --> 00:02:15.529]  No.
[00:02:15.549 --> 00:02:15.589]  No.
[00:02:15.609 --> 00:02:15.649]  No.
[00:02:15.669 --> 00:02:15.709]  No.
[00:02:15.730 --> 00:02:15.770]  No.
[00:02:15.790 --> 00:02:15.890]  No.
[00:02:15.910 --> 00:02:15.950]  No.
[00:02:15.970 --> 00:02:16.010]  No.
[00:02:16.030 --> 00:02:16.090]  No.
[00:02:16.110 --> 00:02:16.170]  No.
[00:02:16.190 --> 00:02:16.250]  No.
[00:02:16.270 --> 00:02:16.310]  No.
[00:02:16.330 --> 00:02:16.430]  No.
[00:02:16.450 --> 00:02:16.490]  No.
[00:02:16.510 --> 00:02:16.550]  No.
[00:02:16.570 --> 00:02:16.610]  No.
[00:02:16.630 --> 00:02:16.690]  No.
[00:02:16.710 --> 00:02:16.750]  No.
[00:02:16.770 --> 00:02:16.810]  No.
[00:02:16.830 --> 00:02:16.870]  No.
[00:02:16.890 --> 00:02:16.930]  No.
[00:02:16.950 --> 00:02:16.990]  No.
[00:02:17.010 --> 00:02:17.050]  No.
[00:02:17.091 --> 00:02:17.151]  No.
[00:02:17.191 --> 00:02:17.271]  No.
[00:02:17.291 --> 00:02:17.331]  No.
[00:02:17.351 --> 00:02:17.391]  No.
[00:02:17.411 --> 00:02:17.571]  No.
[00:02:17.611 --> 00:02:17.671]  No.
[00:02:17.691 --> 00:02:17.751]  No.
[00:02:17.811 --> 00:02:17.851]  No.
[00:02:17.891 --> 00:02:17.931]  No.
[00:02:17.951 --> 00:02:18.011]  No.
[00:02:18.031 --> 00:02:18.071]  No.
[00:02:18.091 --> 00:02:18.151]  No.
[00:02:18.171 --> 00:02:18.211]  No.
[00:02:18.231 --> 00:02:18.271]  No.
[00:02:18.291 --> 00:02:18.331]  No.
[00:02:18.351 --> 00:02:18.392]  No.
[00:02:18.432 --> 00:02:18.472]  No.
