[00:00:06.614 --> 00:00:07.695]  Mainstream media.
[00:00:08.376 --> 00:00:09.517]  Government cover-ups.
[00:00:09.537 --> 00:00:10.998]  You want answers?
[00:00:11.718 --> 00:00:12.639]  Well, so does he.
[00:00:13.300 --> 00:00:16.943]  He's Alex Jones on the GCN Radio Network.
[00:00:17.463 --> 00:00:21.606]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.626 --> 00:00:28.272]  We have another ultra-massive show for you.
[00:00:29.597 --> 00:00:31.258]  Broadcast for you today.
[00:00:31.278 --> 00:00:36.642]  It is the 18th of February 2004 on this Wednesday.
[00:00:36.662 --> 00:00:40.665]  Huge broadcast lined up for you.
[00:00:41.146 --> 00:00:43.928]  Kerry wins Wisconsin as Dean Flounders.
[00:00:44.008 --> 00:00:52.174]  Dean is scheduled today to drop out of the race and give his support over to the Skull and Bones member John Forbes Kerry.
[00:00:53.054 --> 00:00:55.076]  Abortion claim hits the president
[00:00:56.460 --> 00:01:01.928]  One of the smut peddlers out there who's dug up a lot of accurate dirt in the past, Larry Flant.
[00:01:02.449 --> 00:01:08.978]  Larry Flant says he has proof, the witnesses, the doctors, everybody, for a Bush abortion.
[00:01:10.493 --> 00:01:13.954]  Also, Euro hits new high against the dollar.
[00:01:14.554 --> 00:01:20.875]  We've got a bunch of news about the NRA engaging in covert gun-grabbing activities.
[00:01:20.935 --> 00:01:23.196]  Well, this latest one is overt.
[00:01:23.876 --> 00:01:27.556]  Explosions heard near Japan's defense ministry from Reuters.
[00:01:27.616 --> 00:01:28.737]  I think it could be terrorist.
[00:01:29.397 --> 00:01:30.237]  We'll go over that.
[00:01:31.757 --> 00:01:38.659]  The big news, and we've got Jack Blood, talk show host on one of our great affiliates, Reality Radio 1320 up in Rhode Island.
[00:01:41.144 --> 00:01:42.904]  He'll be joining us in the second hour.
[00:01:45.165 --> 00:01:47.306]  I could hardly believe what I read this morning.
[00:01:47.366 --> 00:01:49.346]  News Channel 10, Mainstream News.
[00:01:49.926 --> 00:01:52.807]  Governor's proposed Homeland Security bill under fire.
[00:01:52.827 --> 00:01:55.008]  This is for Rhode Island.
[00:01:55.908 --> 00:02:01.249]  And it says, if you fly anything other than the American flag, if you criticize the government, it actually says this.
[00:02:02.390 --> 00:02:06.171]  You will be arrested under World War I style laws.
[00:02:06.291 --> 00:02:07.411]  It is martial law.
[00:02:09.082 --> 00:02:11.024]  And the Feds are supporting this legislation.
[00:02:12.025 --> 00:02:13.406]  And it's indescribable.
[00:02:13.426 --> 00:02:16.009]  We'll just have to read from the mainstream news for you to hear.
[00:02:17.571 --> 00:02:32.846]  And coming up later in the show as well, Bob Dacey, who's a regular contributor to this show and InfoWars.com, a few days ago I posted this article, Republican Link to Chinagate, Media Empire and Voting Machines Running for Congress.
[00:02:33.846 --> 00:02:35.608]  We have this new 10th District.
[00:02:35.688 --> 00:02:41.393]  They wrote the Democrats out of this area of Central Texas, which I didn't particularly cry over.
[00:02:42.854 --> 00:02:48.959]  Lloyd Doggett is one of the worst members of Congress we have in this country, and he's been the Congressman for Austin for about a decade.
[00:02:49.720 --> 00:02:50.781]  Well, guess what's happened?
[00:02:52.302 --> 00:02:53.463]  A new development here.
[00:02:54.601 --> 00:03:02.608]  Turns out the individual the Republicans are all pushing, because no Democrat is running against anyone in the slot, because it's such a shoo-in for Republicans.
[00:03:03.249 --> 00:03:06.091]  But there are some real conservatives running, but you can forget them.
[00:03:06.152 --> 00:03:12.577]  The media and everybody else is behind this particular Republican who worked for Bill Clinton, who's really a Democrat.
[00:03:14.058 --> 00:03:16.341]  And it's hooked in to Clear Channel.
[00:03:16.361 --> 00:03:21.185]  He's married into that family, and they've put the voting machines in here in Austin.
[00:03:22.426 --> 00:03:29.253]  So a nice microcosm example of the type of corruption we're dealing with via the neocons.
[00:03:30.594 --> 00:03:34.057]  Interesting article here out of South Dakota Gun Owners Association.
[00:03:34.618 --> 00:03:36.420]  Right to arms in vehicles.
[00:03:36.600 --> 00:03:37.961]  Bill Gutted in committee.
