[00:00:05.458 --> 00:00:09.619]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.279 --> 00:00:11.099]  You want answers?
[00:00:11.859 --> 00:00:12.760]  Well, so does he.
[00:00:12.780 --> 00:00:17.221]  He's Alex Jones on the GCN Radio Network.
[00:00:17.601 --> 00:00:21.742]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.802 --> 00:00:25.723]  And good day to all.
[00:00:25.803 --> 00:00:31.324]  Again, Michael Corbin sitting in for Alex, who's in New York City covering the Republican National Convention.
[00:00:32.063 --> 00:00:33.804]  And we've been covering that.
[00:00:34.064 --> 00:00:35.984]  He's been covering that for the last couple of days.
[00:00:36.024 --> 00:00:41.386]  He's going to be there for the next several days, covering the Republican National Convention.
[00:00:41.786 --> 00:00:49.949]  He will be joining me live, as he did the last two days, from New York to give us an update on things that are going on out there, things he's observing.
[00:00:50.449 --> 00:00:55.950]  He's got a film crew, a camera crew out there, and he's covering the thing as really, really good.
[00:00:56.030 --> 00:01:00.932]  And as we heard yesterday in his report, there's a lot of things going on out there.
[00:01:01.602 --> 00:01:12.265]  So we'll get to him today and also Paul Joseph Watson will be joining me at the bottom of this hour and he'll be bringing us up to date on PrisonPlanet.com and PrisonPlanet.tv.
[00:01:13.385 --> 00:01:26.568]  Paul is also the author of Order Out of Chaos and we've got a lot of ground to cover actually and I want to invite you first of all to go to Alex's website at www.infowars.com.
[00:01:27.088 --> 00:01:31.029]  He's got a picture up there of the Fuji blimp that he was reporting about yesterday.
[00:01:31.824 --> 00:01:40.851]  It's very interesting because this blimp is unloaned to the New York City Police Department, maybe even probably the state of New York, but who knows.
[00:01:41.411 --> 00:01:45.635]  But nevertheless, it's packed with state-of-the-art electronic surveillance gear.
[00:01:46.495 --> 00:01:56.783]  And it's kind of interesting because in the article that is there with that picture of that blimp, what's really interesting is that article talks about the fact that Fuji
[00:01:58.058 --> 00:02:25.244]  basically makes their blimp available to folks like the police departments as they're passing through and I'm kinda wondering in some ways when they say they're passing through where they passing through from and where they going now there's an innocuous part of that as well because you know we know blimps are used at sporting events, Goodyear blimp over football games and that type of thing but a couple of years ago I saw an article in one of the tech magazines I believe it was
[00:02:25.822 --> 00:02:28.584]  Aviation Week and Space Technology, I believe.
[00:02:28.885 --> 00:02:39.293]  They were talking about blimps, high-altitude blimps, that are capable of flying at about 80-90,000 feet for sustained amounts of time.
[00:02:40.514 --> 00:02:45.838]  And they are, as I possibly understand it, they are in use today.
[00:02:46.499 --> 00:02:50.762]  And of course, their job is to surveil.
[00:02:51.783 --> 00:02:54.825]  And I just really think that it's kind of interesting that
[00:02:55.748 --> 00:03:09.880]  This kind of technology is in place and probably is being used as we speak because again, you know, we know there's a lot of activity in New York but that place is really locked down and it's locked down tight.
[00:03:09.900 --> 00:03:15.904]  We've heard some very interesting stories about things that are going on with the crowds there.
[00:03:16.325 --> 00:03:20.188]  The Zogby poll indicates that a lot of people do not believe President Bush.
[00:03:20.708 --> 00:03:23.210]  They believe that there was some involvement at some level.
[00:03:24.668 --> 00:03:52.192]  uh... by the president and others in the in the government on nine eleven and of course uh... these are people also asked the people if uh... they thought that a new investigation was in order and of course uh... an overwhelming number of sixty five percent said yes they thought that uh... a reinvestment a new investigation was in order and that elliot spitzer the attorney general from the new york should panel
[00:03:53.188 --> 00:03:56.949]  A new investigative team to look at 9-11 and what happened.
[00:03:57.069 --> 00:04:07.712]  So again, I think that we actually are turning the corner here because all indications are that a lot of people are fed up.
[00:04:08.232 --> 00:04:19.035]  And another interesting thing that's on Alex's website is the story about the Cary Daughters being put out on MTV and being booed.
[00:04:19.898 --> 00:04:25.302]  You know, MTV, as we know, was always a big fan of people like Bill Clinton.
[00:04:25.823 --> 00:04:28.145]  And of course, John Kerry would have been their pick.
[00:04:28.825 --> 00:04:34.089]  But it's kind of interesting, because when they brought the Kerry daughters out on stage, they were booed and jeered.
[00:04:34.990 --> 00:04:38.933]  So, I think on both sides of the fence, the game is about up.
[00:04:39.373 --> 00:04:40.134]  Anyway, we'll come back.
[00:04:40.154 --> 00:04:40.594]  1-800-259-9231.
[00:04:40.614 --> 00:04:40.674]  1-800-259-9231.
[00:04:40.734 --> 00:04:42.756]  I'm Michael Corbin, sitting in for Alex Jones.
[00:04:42.776 --> 00:04:43.617]  We'll be right back.
[00:05:00.982 --> 00:05:05.324]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:05.524 --> 00:05:09.927]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:10.087 --> 00:05:14.470]  There is a chance to use this disaster for the New World Order.
[00:05:14.510 --> 00:05:15.831]  The New World Order.
[00:05:16.631 --> 00:05:17.613]  Panamers.
[00:05:17.633 --> 00:05:21.858]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:05:21.919 --> 00:05:28.868]  We rip the sinister Patriot Act legislation 1 and 2 apart piece by piece and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:05:28.988 --> 00:05:30.991]  You will lose your liberty.
[00:05:31.371 --> 00:05:41.700]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:05:41.981 --> 00:05:47.345]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:05:47.866 --> 00:05:51.789]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:05:51.809 --> 00:05:52.250]  That's 888.
[00:05:57.854 --> 00:05:59.876]  2-5-3-3-1-3-9 Order today and spread the word!
[00:06:25.913 --> 00:06:26.753]  We're good to go!
[00:06:59.508 --> 00:07:04.209]  We all have busy lives and sometimes that causes us to miss out on the things that are most important to us.
[00:07:04.709 --> 00:07:07.870]  Well, when it comes to Genesis programs, you'll never have to miss out again.
[00:07:08.510 --> 00:07:14.451]  For only $19.95 plus $3 shipping and handling, you can receive an entire month of recorded GCN programs.
[00:07:14.946 --> 00:07:18.568]  That's right, an entire month for only $19.95 plus shipping and handling.
[00:07:19.008 --> 00:07:21.689]  The recordings are in MP3 format and compact disc.
[00:07:22.109 --> 00:07:25.911]  They're playable on computers along with most newer CD and DVD players.
[00:07:26.351 --> 00:07:30.313]  All you need to know is the name of the program you would like a copy of and the month that it aired.
[00:07:30.853 --> 00:07:34.154]  Don't be left out of current news and information that affects our lives every day.
[00:07:34.515 --> 00:07:39.977]  We all want to stay informed, so visit our website at GCNLive.com and click on the GCN Mall.
[00:07:40.549 --> 00:07:44.651]  Or call 877-996-4327, extension 150.
[00:07:45.372 --> 00:07:46.412]  It's easy and convenient.
[00:07:46.472 --> 00:07:47.993]  Hurry and get your copies today.
[00:07:48.473 --> 00:07:56.377]  Again, visit the GCN Mall at GCNlive.com or simply call 877-996-4327, extension 150.
[00:07:56.618 --> 00:08:06.703]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:09.998 --> 00:08:10.978]  And we continue again.
[00:08:11.018 --> 00:08:17.541]  I'm Michael Corbin sitting in for Alex who is away in New York covering the Republican National Convention.
[00:08:17.581 --> 00:08:19.882]  Our number today is 1-800-259-9231.
[00:08:19.902 --> 00:08:20.202]  1-800-259-9231.
[00:08:20.482 --> 00:08:27.826]  Now I'm here with you today, tomorrow and Friday.
[00:08:27.946 --> 00:08:37.630]  Erskine is going to fill in for Alex and Alex will continue contacting, calling in live from New York each one of those days to update us on what is going on out there.
[00:08:39.163 --> 00:08:41.384]  I just want to say I've really enjoyed sitting in for Alex.
[00:08:41.444 --> 00:08:42.605]  It's been an honor to do that.
[00:08:43.625 --> 00:08:45.726]  And I've enjoyed all the callers.
[00:08:46.127 --> 00:08:47.207]  The whole thing has been just wonderful.
[00:08:47.227 --> 00:08:47.847]  I really enjoy it.
[00:08:48.868 --> 00:08:56.672]  And I am the host of A Closer Look, which is heard on the Genesis Communications Network Monday through Friday, 5 to 8 p.m.
[00:08:56.732 --> 00:08:58.453]  Mountain Time, 7 to 10 Eastern.
[00:08:59.433 --> 00:09:02.775]  And we do a similar kind of program.
[00:09:02.835 --> 00:09:07.557]  We cover the political topics and current events, and we take a closer look.
[00:09:08.773 --> 00:09:10.715]  So I invite you to join me on that program.
[00:09:10.755 --> 00:09:19.401]  My website address is www.4acloserlook.com.
[00:09:20.401 --> 00:09:35.852]  If you can't get the radio program, if you don't get the radio program and you want to listen to it live on a live internet stream, you can go to that website and there is a link to the stream or you can go to GCNlive.com and select a live audio stream that way as well.
[00:09:37.324 --> 00:09:53.032]  One other thing, too, I want to mention to program directors that are listening to the program, if you want to carry our program, A Closer Look, or any of the other GCN programming, just contact GCN and talk to their technical people and get the scoop on how that's done.
[00:09:53.972 --> 00:09:57.134]  GCN has got a really good lineup of hosts and programs.
[00:09:57.854 --> 00:10:00.796]  And if you want to get more of that, just give GCN a call.
[00:10:01.437 --> 00:10:04.740]  Okay, now, let's move on here.
[00:10:05.420 --> 00:10:14.908]  Going back to Alex's website at www.infowars.com, there are some really, really interesting stories there that are unfolding or breaking as we're talking now.
[00:10:14.968 --> 00:10:29.340]  For example, there is, again, I was talking about the Fuji blimp that is there in New York, high above the action, which is tied into the ground command center that has been established
[00:10:30.158 --> 00:10:31.859]  For the Republican National Convention.
[00:10:32.699 --> 00:10:34.799]  It's the command center that is commanding everything.
