[00:00:05.457 --> 00:00:06.098]  Big Brother.
[00:00:06.758 --> 00:00:07.838]  Mainstream media.
[00:00:08.538 --> 00:00:09.638]  Government cover-ups.
[00:00:10.279 --> 00:00:11.139]  You want answers?
[00:00:11.859 --> 00:00:12.739]  Well, so does he.
[00:00:13.439 --> 00:00:17.060]  He's Alex Jones on the GCN Radio Network.
[00:00:17.600 --> 00:00:21.701]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.410 --> 00:00:47.011]  Alright ladies and gentlemen, thank you for joining us.
[00:00:47.111 --> 00:00:48.892]  It is the 24th day of August 2004.
[00:00:50.312 --> 00:00:52.913]  I'm your host Alex Jones.
[00:00:52.933 --> 00:00:59.755]  The websites are PrisonPlanet.com and InfoWars.com and now the new one, PrisonPlanet.tv.
[00:01:04.725 --> 00:01:12.731]  Well, we have a particularly large stack of news and information to cover today, and a guest joining us that we'll announce a little bit later.
[00:01:12.791 --> 00:01:16.154]  But right now, let's go ahead and dive straight into it.
[00:01:16.894 --> 00:01:20.457]  Earthquake rattles Olympic venues.
[00:01:21.358 --> 00:01:25.761]  An earthquake rattled Olympic venues today in and around Athens.
[00:01:25.801 --> 00:01:30.285]  The Athens Geodynamic Institute said the
[00:01:31.237 --> 00:01:38.521]  A tremor had a preliminary magnitude of 4.5 and occurred at 3.38 p.m.
[00:01:38.581 --> 00:01:39.521]  Boy, that's a tremor.
[00:01:39.541 --> 00:01:39.521]  4.5?
[00:01:40.021 --> 00:01:41.962]  That's pretty substantial.
[00:01:42.502 --> 00:01:48.425]  It was centered about 42 miles northeast of Athens, or 12 miles beneath the Aegean Sea.
[00:01:50.046 --> 00:01:55.049]  Yeah, I mean, if they had a 4.5 in a major city, that would break some stuff.
[00:01:55.729 --> 00:01:57.310]  There is no reason to panic.
[00:01:57.370 --> 00:01:59.010]  It was a very small quake.
[00:01:59.091 --> 00:02:00.011]  Oh, now it's a quake.
[00:02:00.723 --> 00:02:02.404]  A minute ago it was a tremor.
[00:02:03.125 --> 00:02:13.313]  Again, I'm not an expert on this stuff, but I believe over 4.1, or over 4 point, it's an earthquake.
[00:02:13.333 --> 00:02:16.936]  But again, I should go, I guess pull out an encyclopedia and check on that.
[00:02:16.956 --> 00:02:19.157]  But first it's a tremor, now it's a quake.
[00:02:20.018 --> 00:02:28.845]  The head of the Greek Sybil Defense Agency said there was no reports of injuries or damage from the quake felt throughout the greater Athens area.
[00:02:30.812 --> 00:02:39.094]  In 1999, a 5.9 magnitude quake near Athens killed 143 people, injured about 2,000, and left thousands more homeless.
[00:02:40.054 --> 00:02:43.975]  The question is, is this the prelude to something larger?
[00:02:44.675 --> 00:02:49.516]  And they have big earthquakes in Greece, in Italy, in surrounding areas.
[00:02:51.476 --> 00:02:54.557]  Alright, that's just a little side issue, but it is interesting.
[00:02:54.737 --> 00:02:59.338]  Maybe God doesn't like the fact that they've got Adolf Hitler's symbols all over the city.
[00:03:01.169 --> 00:03:10.093]  Oh, you forgot that all of the Olympic symbolism, the rings, the torch, that's all was invented by Adolf Hitler himself.
[00:03:10.633 --> 00:03:14.395]  Just a side issue, and I was really being sarcastic.
[00:03:14.795 --> 00:03:20.538]  I don't think God is mad at the people at the Olympics for the symbols they have, because most of them are ignorant.
[00:03:21.258 --> 00:03:26.780]  But God probably is mad that the Olympics do have all of that pagan history.
[00:03:26.800 --> 00:03:29.922]  But just, again, just some background there.
[00:03:31.295 --> 00:03:36.940]  CNN hijacker visa found in flight 93 wreckage.
[00:03:38.381 --> 00:03:39.822]  It's getting really rich.
[00:03:40.162 --> 00:03:50.671]  Remember that one of the flights that hit the World Trade Center towers, they said that magically the passport jumped out of his jacket
