[00:00:00.209 --> 00:00:00.650]  I will.
[00:00:05.234 --> 00:00:08.037]  This is the GCN Radio Network.
[00:00:17.094 --> 00:00:17.755]  Big Brother.
[00:00:18.395 --> 00:00:19.476]  Mainstream media.
[00:00:20.176 --> 00:00:21.317]  Government cover-ups.
[00:00:21.337 --> 00:00:22.778]  You want answers?
[00:00:23.519 --> 00:00:24.400]  Well, so does he.
[00:00:24.420 --> 00:00:28.723]  He's Alex Jones on the GCN Radio Network.
[00:00:29.263 --> 00:00:33.406]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.409 --> 00:00:37.269]  All right, my friends.
[00:00:37.609 --> 00:00:39.131]  It's Monday, the 12th of January, 2003.
[00:00:41.815 --> 00:00:52.317]  They're claiming that over the weekend they found several dozen small chemical warhead mortars buried under a road in southern Iraq.
[00:00:53.758 --> 00:00:54.778]  Now, that could be true.
[00:00:54.818 --> 00:01:02.020]  We know Saddam was sold masses of chemical and biological weapons in the precursors as well by the Russians, by the U.S.
[00:01:02.120 --> 00:01:07.681]  We know that there are hundreds of confirmed sites, that is, declared sites
[00:01:08.388 --> 00:01:11.880]  The country was littered with chemical and biological weapon sites.
[00:01:11.920 --> 00:01:13.425]  More chemical than biological.
[00:01:14.685 --> 00:01:27.131]  And many times, during the war and after the war, the Globalists would go into one of these declared sites and say, look, we found sarin gas, or World War I-style mustard gas.
[00:01:27.291 --> 00:01:30.113]  We have proven there's weapons of mass destruction.
[00:01:30.133 --> 00:01:35.776]  And then the news would quietly, the next day, retract it and say, OK, it was a declared site.
[00:01:35.956 --> 00:01:39.938]  Understand, they don't just have to find weapons of mass destruction.
[00:01:41.058 --> 00:01:44.300]  They have to find weapons of mass destruction that was not declared.
[00:01:45.006 --> 00:01:58.450]  I mean, the UN ran around that country for 12 years after the war blowing up declared chemical weapons or any type of equipment that could make chemical weapons or even make precursors to chemical weapons.
[00:01:58.930 --> 00:02:03.452]  That's why Iraq wasn't even allowed to have a chemical industry to make fertilizer or anything.
[00:02:03.512 --> 00:02:04.152]  Did you know that?
[00:02:04.892 --> 00:02:09.834]  They had to buy everything from the West or from outside of their country.
[00:02:11.249 --> 00:02:19.033]  But now they're saying they found some weapons of mass destruction, but they're not really heralding it in the newspapers and on television that I've seen.
[00:02:19.333 --> 00:02:24.316]  Meanwhile, Blair is saying, Blair admits weapons of mass destruction may never be found.
[00:02:25.156 --> 00:02:29.159]  But he said a few months ago that he would resign if they were not found.
[00:02:29.219 --> 00:02:35.282]  He stated his position as the Prime Minister on it.
[00:02:36.242 --> 00:02:37.583]  So, trying to figure that out.
[00:02:37.603 --> 00:02:39.104]  And then again last week he said that
[00:02:39.999 --> 00:02:41.000]  I don't think so.
[00:03:12.256 --> 00:03:21.665]  From Nazareth he came with a ragtag band to bring a revolution.
[00:03:21.685 --> 00:03:30.033]  Some would make him king, others couldn't stand for that.
[00:03:31.434 --> 00:03:33.937]  The cross was a solution.
[00:03:35.788 --> 00:03:37.469]  But he rose again.
[00:03:39.231 --> 00:03:41.112]  Wise men follow him.
[00:03:41.933 --> 00:03:45.236]  But he rose again.
[00:03:45.316 --> 00:03:47.297]  Wise men follow him.
[00:03:47.838 --> 00:03:51.000]  Thank God for the renegade.
[00:03:51.921 --> 00:03:53.883]  And the lives they need.
[00:03:54.563 --> 00:03:56.725]  For the head of the war.
[00:04:00.641 --> 00:04:02.544]  Well, continuing here, my friends.
[00:04:02.624 --> 00:04:04.967]  Also, there's a story here.
[00:04:18.496 --> 00:04:24.017]  Where a woman in Massachusetts went to buy her 10-year-old son a flight simulator program.
[00:04:24.438 --> 00:04:27.838]  We've all played these on our personal computers, at least most of us have.
[00:04:27.858 --> 00:04:28.859]  They're sold everywhere.
[00:04:29.299 --> 00:04:35.600]  Went to just buy a normal little video game, and the store clerk said, well, I went ahead and called Homeland Security.
[00:04:35.640 --> 00:04:41.222]  She didn't say anything suspicious, but I did, and they're commending the store's staples.
[00:04:41.722 --> 00:04:44.463]  They offer supply, and I guess they sell video games, too.
[00:04:45.103 --> 00:04:45.963]  A supply store.
[00:04:46.796 --> 00:04:52.962]  Because this is very, very suspicious stuff to have a mother.
[00:04:53.243 --> 00:04:54.664]  Well, they said she was a homeschooler.
[00:04:54.704 --> 00:04:57.727]  That was the main suspicion, but she didn't say anything suspicious.
[00:04:57.747 --> 00:05:03.613]  But you know, we have the footage and the documents where the FBI says that homeschoolers are potential terrorists.
[00:05:04.634 --> 00:05:07.216]  Yeah, anybody who isn't part of this corrupt system.
[00:05:07.516 --> 00:05:08.557]  So we'll get to that as well.
[00:05:08.577 --> 00:05:09.718]  A lot of news coming up.
[00:05:09.738 --> 00:05:10.139]  Stay with us.
[00:05:12.771 --> 00:05:17.955]  Hey folks, Michael Trudeau... I now own my own home, free and clear, and I did it in less than five months.
[00:05:18.055 --> 00:05:19.377]  Did you receive an inheritance?
[00:05:19.597 --> 00:05:20.077]  Well, no.
[00:05:20.237 --> 00:05:24.941]  Actually, I found a way to eliminate my mortgage without bankruptcy and without the need of going to court.
[00:05:25.061 --> 00:05:28.324]  And you too can do this legally, lawfully, ethically, and morally.
[00:05:28.404 --> 00:05:30.826]  But Jim, I signed a note promising to pay back the loan.
[00:05:30.966 --> 00:05:32.968]  Isn't it wrong even if I could discharge the loan?
[00:05:33.208 --> 00:05:38.051]  Doris, I felt the same way until I took the time to learn the truth about money and banking.
[00:05:38.171 --> 00:05:42.054]  The most shocking thing I learned is the fact that no real money is ever loaned out.
[00:05:42.194 --> 00:05:44.896]  There's a dirty secret that the banks don't want you to know.
[00:05:45.056 --> 00:05:48.639]  And this is the basis of how I was able to discharge my own mortgage.
[00:05:48.839 --> 00:05:51.761]  I know this is hard to believe, but go to the website to learn more.
[00:05:51.901 --> 00:05:59.266]  Doris, get your pin and find out how many Americans are finding financial freedom by having their mortgages eliminated in less than five months.
[00:05:59.466 --> 00:06:04.093]  Go to www.eliminatemortgages.com slash liberty.
[00:06:04.233 --> 00:06:06.657]  Just the way it sounds and there's an S after mortgage.
[00:06:06.857 --> 00:06:11.524]  It's www.eliminatemortgages.com slash liberty.
[00:06:12.142 --> 00:06:22.865]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[00:06:23.045 --> 00:06:30.607]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[00:06:30.927 --> 00:06:34.028]  Harmful or unwanted chemicals are reduced to below detectable levels.
[00:06:34.288 --> 00:06:40.030]  And it reduces nitrates and unhealthy minerals like lead and mercury, while leaving the nutritional minerals your body needs.
[00:06:40.330 --> 00:06:46.472]  Made of durable Lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[00:06:46.832 --> 00:06:50.733]  The Berkey Light is transparent, so there is no guesswork when refilling the system.
[00:06:50.773 --> 00:06:52.674]  The water level is always visible.
[00:06:52.854 --> 00:06:58.795]  The rechargeable LED lighting system is beautiful as a night light, and as necessary in emergency situations.
[00:06:59.035 --> 00:07:02.737]  Get the Berkey Light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[00:07:08.778 --> 00:07:10.919]  That's toll free, 888-803-4438.
[00:07:11.039 --> 00:07:18.662]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[00:07:18.962 --> 00:07:20.342]  That's right folks, DVD.
[00:07:20.542 --> 00:07:22.743]  The original film was 144 minutes long.
[00:07:22.903 --> 00:07:24.984]  The DVD version is 170 minutes.
[00:07:25.244 --> 00:07:30.226]  If you want to wake up your friends and family to the truth of what happened on September 11, this is the film for you.
[00:07:30.526 --> 00:07:34.547]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[00:07:34.827 --> 00:07:36.588]  You absolutely must see this DVD.
[00:07:36.668 --> 00:07:47.312]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plentiful microchips, and much, much more.
[00:07:47.452 --> 00:07:49.352]  Bottom line, this film is waking people up.
[00:07:49.572 --> 00:07:53.414]  Order your copy on VHS or TV today, and man the guns of the Info War.
[00:07:53.534 --> 00:07:55.095]  Order right now by calling 1-888-253-3139.
[00:07:55.115 --> 00:07:55.655]  That's 888-253-3139.
[00:08:01.857 --> 00:08:02.377]  I love America.
[00:08:02.397 --> 00:08:03.518]  I love this country.
[00:08:03.538 --> 00:08:04.738]  I love my family.
[00:08:04.879 --> 00:08:06.019]  I don't like
[00:08:32.114 --> 00:08:41.018]  Sitting here with front row seats to the deconstruction of our Constitutional Republic, our borders, our families, our Second Amendment.
[00:08:42.899 --> 00:08:56.325]  I can't stand the fact that the IMF, the World Bank, the World Trade Organization, the UN have more control over our economy, our states, our counties, our cities than the American people do, than Congress does.
[00:08:57.706 --> 00:09:00.827]  Because Congress has been signing away their authority to the President
[00:09:01.454 --> 00:09:08.298]  Who then signs away his authority and treaties, whether it's Bill Clinton or George W. Bush, unto the United Nations.
[00:09:10.579 --> 00:09:13.421]  I'm sure you all heard about the 60 Minutes program last night.
[00:09:13.441 --> 00:09:15.161]  I actually tuned in to watch it.
[00:09:15.201 --> 00:09:16.302]  It was a whitewash.
[00:09:16.542 --> 00:09:30.750]  They announced the horror, the truth, that we already knew that day one in the White House, the Treasury Secretary, John Dickerson, is now reporting.
[00:09:32.739 --> 00:09:42.146]  That the Treasury Secretary, Paul O'Neill, said that, oh yeah, the plan was all along to invade Iraq, to attack Iraq.
[00:09:42.186 --> 00:09:51.033]  And they're all, oh, this is an incredible development, but then 60 Minutes makes a couple of excuses for it and says some nice things about Bush, and oh, well, it's really no big deal.
[00:09:51.053 --> 00:09:52.174]  That's what they do.
[00:09:52.214 --> 00:10:00.961]  They take incredibly damaging evidence of premeditated lying and warmongering and imperial fascism
[00:10:02.603 --> 00:10:12.505]  And they transmute it over into, oh, it's no big deal, by having 60 Minutes calmly report on it like it's a side issue.
[00:10:13.645 --> 00:10:16.346]  Well, forget what Paul O'Neill has to say.
[00:10:16.786 --> 00:10:18.106]  We have Dick Cheney.
[00:10:18.527 --> 00:10:20.087]  We have George Bush.
[00:10:20.487 --> 00:10:22.667]  We have his brother, Jeb Bush.
[00:10:23.027 --> 00:10:24.668]  We have Paul Wolfowitz.
[00:10:25.448 --> 00:10:28.729]  We have Secretary of Defense Rumsfeld.
[00:10:28.809 --> 00:10:29.689]  We have them all.
[00:10:30.840 --> 00:10:39.225]  In dozens and dozens and dozens, there's several hundred, PNAC reports, and I've probably read or scanned through about 60 or 70 of them.
[00:10:39.526 --> 00:10:41.707]  I've spent many hours reading PNAC documents.
[00:10:42.047 --> 00:10:57.397]  Every time I find some new indescribable horror, we'll post a link to the PNAC document from PNAC's own website, Project for a New American Century, and then we'll watch it in the next few days and weeks develop into major news stories.
[00:10:58.041 --> 00:11:07.407]  Because the mainstream media, the Associated Press, Reuters, Gannett News Service, Knight Ridder, are so lazy, I have to go out and write an analysis of Patriot Act.
[00:11:07.607 --> 00:11:10.569]  I have to go out and find subsections of bills.
[00:11:10.869 --> 00:11:12.270]  You as listeners do that.
[00:11:12.730 --> 00:11:21.896]  Time and time again you'll see it on the so-called alternative media, six months, two years, five years before you see it in the mainstream news.
[00:11:23.197 --> 00:11:24.217]  So what is PNAC?
[00:11:24.257 --> 00:11:26.719]  It was Bush's kind of exploratory
[00:11:27.717 --> 00:11:41.229]  presidential committee that was formed in 1997 that wrote some of its most chilling forecasts and wishes and plans in 2000.
[00:11:42.936 --> 00:12:01.386]  And in Rebuilding America's Defenses, written by Chaney and Rumsfeld, different documents on the PNAC website are collaborative efforts by different members of this administration and surrounding think tanks, phony neocon think tanks.
[00:12:02.646 --> 00:12:07.869]  And they say, word for word, Saddam is not a threat, but he is a convenient pretext
[00:12:08.524 --> 00:12:14.728]  To get the oil and to use Iraq as a new military base of operations to go into Syria and Iran.
[00:12:16.049 --> 00:12:31.518]  So when we get up on the air and say they were planning the war before 9-11, that they were planning the war before they even got into office, when we say that they wanted to use terrorism to scare us into accepting that, it's not our opinion!
[00:12:32.125 --> 00:12:35.369]  That's where my frustration comes from on this show.
[00:12:36.050 --> 00:12:43.819]  Everything I talk about, well, 98% of what I talk about is admitted, documented, public fact.
[00:12:43.919 --> 00:12:50.807]  I don't care how looney tunes it sounds, later, especially long time listeners, know it always comes out.
[00:12:52.125 --> 00:13:00.820]  That isn't the mainstream news, because all I'm going off of is legislation, government white papers, what globalists are communicating in amongst themselves.
[00:13:01.240 --> 00:13:05.087]  I spend four or five hours a day researching their activities.
[00:13:07.384 --> 00:13:22.555]  New York, discussing the case for the Iraq War in an interview with Times White House correspondent John Dickerson, former Treasury Secretary Paul O'Neill, who sat on the National Security Council, says the focus was on Saddam from the early days of the administration.
[00:13:23.496 --> 00:13:26.398]  He offers the most skeptical view of the case for war.
[00:13:27.565 --> 00:13:37.070]  Ever put forward by a top administration official in the 23 months I was there, I never saw anything that I could characterize as evidence of weapons of mass destruction.
[00:13:37.350 --> 00:13:51.478]  He told time, there were allegations and assertions by people, but I've been around a hell of a long time and I know the difference between evidence and assertions and illusions or allusions and
[00:13:52.481 --> 00:13:55.762]  Conclusions that one could draw from a set of assumptions.
[00:13:56.042 --> 00:14:02.023]  To me, there is a difference between real evidence and everything else.
[00:14:02.103 --> 00:14:09.445]  And I never saw anything in the intelligence that I could characterize as real evidence times new issue will be on newsstands Monday.
[00:14:10.245 --> 00:14:13.306]  So, instead of just going directly to the PNAC documents,
[00:14:15.777 --> 00:14:23.079]  Written by almost everyone in the White House, including the President and his brother and the Vice President and the head of the Defense Department.
[00:14:23.579 --> 00:14:29.501]  Instead of going right to their own confessions that they published, there's no questions about this.
[00:14:32.422 --> 00:14:37.083]  It'd be like if I committed some grisly murder and I shot video of it and, uh,
[00:14:38.132 --> 00:14:47.782]  wrote down my confession and put it in an envelope and mailed it to police and then police said we're not going to arrest Mr. Jones even though we have the videos of this and it's signed confession.
[00:14:48.423 --> 00:14:56.712]  We're going to go ask the mailman who does his route in another part of the city if he saw Mr. Jones commit this murder.
[00:14:59.659 --> 00:15:03.442]  Now that's an interesting analogy, but that's how ridiculous this is.
[00:15:03.902 --> 00:15:12.287]  See, by focusing in on O'Neal, they can say, this is the guy that made the markets in Brazil plunge.
[00:15:12.468 --> 00:15:16.270]  This is the guy that caused the stock market to go down when he made comments.
[00:15:16.310 --> 00:15:21.634]  This is the guy that went to Africa and was hanging out with Bono from U2.
[00:15:22.054 --> 00:15:23.575]  Man, this guy's a quack.
[00:15:24.153 --> 00:15:25.993]  Don't listen to John O'Neill.
[00:15:26.033 --> 00:15:30.854]  He's just got sour grapes because Dick Cheney called him up and said, I want you to resign.
[00:15:32.195 --> 00:15:35.995]  And that's what the neocons, I heard them this weekend on Talk Radio, were saying.
[00:15:36.275 --> 00:15:37.696]  Well, hey, neocons!
[00:15:38.496 --> 00:15:47.658]  Why don't you just go to the confessions of the president, of the vice president, of his cabinet?
[00:15:47.998 --> 00:15:49.098]  They don't just talk about
[00:15:49.804 --> 00:15:55.368]  Saddam isn't a threat, but he's a convenient pretext to get at the oil and attack the neighbors and use Iraq as a base.
[00:15:55.848 --> 00:15:57.269]  I mean, it says that, folks.
[00:15:57.789 --> 00:16:00.051]  That's a paraphrase, but I mean, it's almost identical.
[00:16:00.071 --> 00:16:00.991]  I'm going from memory here.
[00:16:01.552 --> 00:16:04.414]  You can just type that into a search engine and you'll find hundreds of articles about it.
[00:16:05.194 --> 00:16:06.815]  And that's just the 2000 document.
[00:16:07.015 --> 00:16:07.916]  Go read it for yourself.
[00:16:08.296 --> 00:16:09.637]  Rebuilding America's Defenses, 2000.
[00:16:11.298 --> 00:16:12.559]  What else is in that document?
