[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[00:00:03.210 --> 00:00:04.590]  And tell them Alex Jones sent you.
[00:00:04.830 --> 00:00:07.490]  That's 888-803-4438.
[00:00:08.070 --> 00:00:08.891]  Protect your family.
[00:00:14.732 --> 00:00:17.492]  This is the GCN Radio Network.
[00:00:25.234 --> 00:00:25.894]  Big Brother.
[00:00:26.534 --> 00:00:27.514]  Mainstream media.
[00:00:28.317 --> 00:00:29.399]  Government cover-ups.
[00:00:30.059 --> 00:00:30.880]  You want answers?
[00:00:31.661 --> 00:00:32.542]  Well, so does he.
[00:00:32.562 --> 00:00:36.848]  He's Alex Jones on the GCN Radio Network.
[00:00:37.408 --> 00:00:41.453]  And now, live from Austin, Texas, Alex Jones.
[00:00:52.942 --> 00:00:58.306]  Today of January 2004, my first live broadcast of the new year.
[00:01:00.007 --> 00:01:01.467]  Thanks for tuning in to the show.
[00:01:01.487 --> 00:01:05.530]  I want to give everybody a chance to get involved on air.
[00:01:05.550 --> 00:01:07.191]  We're going to have wide open phones.
[00:01:07.251 --> 00:01:11.033]  It's not just Friday, it's the first live show that I'm doing of this 2004 year.
[00:01:13.388 --> 00:01:24.510]  I want to hear your predictions for the new year and what solutions you have to expose the criminal crime syndicate known as the New World Order.
[00:01:25.030 --> 00:01:27.131]  How do we get our borders under control?
[00:01:27.191 --> 00:01:31.531]  How do we reaffirm the Second Amendment and get some gun laws repealed?
[00:01:31.891 --> 00:01:40.033]  How do we slow the privatization of the prisons and our economy shifting into a slave labor system?
[00:01:41.371 --> 00:01:49.635]  How do we wake up conservatives to the fact that government's exploding, we're losing our liberties, and that George Bush is out-clintoning Bill Clinton?
[00:01:50.696 --> 00:01:52.217]  Those are just some of the questions.
[00:01:52.237 --> 00:01:55.299]  Again, we're going to have wide open phones here on the show.
[00:01:55.319 --> 00:01:59.621]  We're going to go to your calls early in this broadcast and throughout the show.
[00:02:00.021 --> 00:02:03.063]  Toll-free number to join us, 1-800-259-9231.
[00:02:03.083 --> 00:02:05.444]  And there is so much news to go over.
[00:02:12.626 --> 00:02:18.572]  I would also ask you, what do you think the most important top three stories were of last year?
[00:02:18.692 --> 00:02:21.294]  Not just your predictions for this year, but for last year.
[00:02:21.354 --> 00:02:29.983]  What were the most important stories that were either reported or under-reported or that were ignored by the mainstream media?
[00:02:30.043 --> 00:02:34.307]  Basically, it's just a year in review and looking forward now into this new year.
[00:02:34.927 --> 00:02:38.751]  1-800-259-9231.
[00:02:38.791 --> 00:02:44.618]  The websites are InfoWars.com and PrisonPlanet.com.
[00:02:44.658 --> 00:02:49.162]  And I want to thank both my great webmasters for the work they do.
[00:02:50.504 --> 00:02:52.626]  Chicago Top Nation in 03 Homicides.
[00:02:55.287 --> 00:03:04.411]  We've got the numbers, and yet again, they are the number one city for murders, despite the fact that New York has three times Chicago's population.
[00:03:04.451 --> 00:03:05.291]  They had less murders.
[00:03:05.871 --> 00:03:10.133]  Chicago has even more gun control than New York, ladies and gentlemen.
[00:03:11.173 --> 00:03:19.797]  Then we look at other large cities, and per capita they have much lower crime rates, where you have some semblance of the Second Amendment
[00:03:20.347 --> 00:03:26.834]  That is an armed population left, and big news out of England, BBC listeners want right to kill burglars!
[00:03:27.355 --> 00:03:34.282]  They're trying to pass a new law, of course if you stab or shoot someone who's killing you, you will get more prison time than they get!
[00:03:35.169 --> 00:03:50.979]  And a big fight as the majority of the citizens there are against these laws that imprison you for defending yourself, the government, the Tories, that's the Republicans, and Labor, that's the so-called liberals, all agree, no, you can't defend yourself.
[00:03:52.580 --> 00:03:54.521]  Why am I leading with a story in the New Year?
[00:03:54.621 --> 00:04:02.106]  It's just such a key indicator of the government wanting us to be these emasculated wimps.
[00:04:03.320 --> 00:04:12.966]  I want to go over also the police state production we saw on New Year's Eve and New Year's Day and continuing.
[00:04:14.027 --> 00:04:19.270]  Troops marching around the streets, military helicopters from Las Vegas to New York.
[00:04:20.371 --> 00:04:24.234]  Meanwhile, 20 plus people died in the Philippines during partying.
[00:04:24.854 --> 00:04:27.456]  You don't see anti-partying troops out on the streets.
[00:04:27.756 --> 00:04:30.898]  My point is, terrorism is not a great danger.
[00:04:31.974 --> 00:04:43.339]  Even at the numbers, we've seen it statistically, but the government is fear-mongering, and that's the definition of terrorism, is creating fear to get your political wishes into place.
[00:04:43.399 --> 00:04:47.341]  I want to go over some of what happened and get your response to what you saw on the news.
[00:04:48.541 --> 00:04:49.962]  22 dead, hundreds injured in
[00:04:51.090 --> 00:04:52.810]  Parties in the Philippines.
[00:04:53.110 --> 00:04:54.031]  New Year's welcome.
[00:04:54.051 --> 00:04:54.691]  Isn't that interesting?
[00:04:55.111 --> 00:04:56.871]  Also, high security marks.
[00:04:56.931 --> 00:04:58.231]  New Year's Eve with the military.
[00:04:58.731 --> 00:04:59.872]  I didn't go over this article.
[00:04:59.932 --> 00:05:00.492]  I should have.
