[00:00:05.017 --> 00:00:09.861]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.861 --> 00:00:11.442]  You want answers?
[00:00:11.442 --> 00:00:12.983]  Well, so does he.
[00:00:12.983 --> 00:00:17.187]  He's Alex Jones on the GCN Radio Network.
[00:00:17.187 --> 00:00:21.230]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.402 --> 00:00:27.186]  And now from Austin, Texas, we are live.
[00:00:27.186 --> 00:00:30.288]  Thank you for joining us, my friends.
[00:00:30.288 --> 00:00:31.930]  It is Friday, the 22nd day of October, 2010.
[00:00:38.396 --> 00:00:59.210]  Joining us today will be Webster Tarpley for about 15 minutes later in the hour to talk about the revelations that one of the top Al Qaeda commanders supposedly ran 9-11, the underwear bombing, the Fort Hood shooting, the failed Times Square truck bomb, car bomb attack, dining at the
[00:01:01.084 --> 00:01:04.206]  Pentagon, two months after 9-11.
[00:01:04.206 --> 00:01:08.489]  I know we covered this for an hour yesterday, but it's such a big deal, so TARP was going to be popping in.
[00:01:08.489 --> 00:01:22.399]  And we're also going to talk to Lieutenant Colonel Anthony Schaeffer of Able Danger about his suppressed book and, well, his take on what's happening with the different intelligence agencies protecting Al-Cieda.
[00:01:22.399 --> 00:01:25.561]  So he'll be joining us for a full hour.
[00:01:25.561 --> 00:01:29.964]  Good job to our producers for getting that done, coming up at high noon and T-minus
[00:01:32.110 --> 00:01:36.792]  Fifty-eight minutes from now, and of course we have our weekly visit with Bob Chapman on the economy.
[00:01:36.792 --> 00:01:47.276]  So important to have him on with us once a week as we chronicle and track what's happening all over the planet, including the mortgage gate situation that is just expanding.
[00:01:47.276 --> 00:01:59.842]  But we'll be talking about Fox's supposed exclusive, Al Qaeda leader dined at the Pentagon just months after 9-1-1 Anwar al-Awlaki, and it goes on from that point.
[00:02:00.785 --> 00:02:06.991]  with Tarpley and Lieutenant Colonel Anthony Schaefer coming up today.
[00:02:06.991 --> 00:02:13.517]  We also have the Lindsey Williams interview that is just taking the internet by storm right now.
[00:02:13.517 --> 00:02:23.747]  Just huge amounts of traffic to Infowars.com and PrisonPlanet.com with that interview yesterday and a lot of different news outfits picking up on it.
[00:02:28.061 --> 00:02:34.548]  I know Lindsey Williams is for real and that his source is for real, but I also just want
[00:02:37.054 --> 00:02:58.309]  A lot of old men, especially, who are really old and are getting ready to die, they're very matter-of-fact, they're very, especially elitist, are very authoritative in the things they say, and just because this elitist says all of this is going to happen, it doesn't mean it's 100% going to happen or that he has all the information about what's going on in globalist circles.
[00:02:59.639 --> 00:03:02.000]  Kind of like his source.
[00:03:02.000 --> 00:03:08.123]  One area that his source has been wrong about was how, you know, it was going to be total, you know, mega disaster in the Gulf.
[00:03:08.123 --> 00:03:09.163]  And there has been a disaster.
[00:03:09.163 --> 00:03:13.505]  They've covered most of it up in the core exit and the fact that most of the oil hasn't been cleaned up.
[00:03:13.505 --> 00:03:14.406]  I mean, that's ongoing.
[00:03:14.966 --> 00:03:19.449]  And now really the dead fish and the illnesses and the rest of it's out of the news.
[00:03:19.449 --> 00:03:29.436]  But that's an example right there of his source saying this oil pressure is so incredible and so high that they're basically never going to be able to fix it.
[00:03:29.436 --> 00:03:33.619]  So that's some good news in that his source is not omnipresent and doesn't have all the answers.
[00:03:34.139 --> 00:03:34.279]  I think?
[00:03:55.307 --> 00:04:19.293]  uh... and uh... and and that williams has talked to her and that napolitano did tell her that but obviously the lady is scared and doesn't want her activist work uh... harmed uh... with what she's doing but uh... the government itself has been building up emergency supplies for decades so that's really nothing new and we know they could stage a cyber security attack which are clearly gearing up to do and the
[00:04:19.913 --> 00:04:29.326]  Stuxnet worm appears to be just that the trigger to pass in the lame-duck session of Congress the cyber security takeover Which is the Pentagon takeover of the Internet?
[00:04:29.326 --> 00:04:37.496]  So we'll talk some about that today also establishment dispatches Clinton the campaign against Rand Paul if you ever needed any
[00:04:39.056 --> 00:04:40.817]  Sign that Rand Paul's the guy for the job.
[00:04:40.817 --> 00:04:48.622]  It's that Bill Clinton, the discredited criminal, is being dispatched against him in Kentucky to now play the race card.
[00:04:48.622 --> 00:04:52.364]  We're going to be discussing that as well.
[00:04:52.364 --> 00:04:53.085]  We'll be right back.
[00:04:53.085 --> 00:04:53.545]  Stay with us.
