[00:00:00.069 --> 00:00:02.451]  Alex Jones on the GCN Radio Network.
[00:00:09.176 --> 00:00:09.837]  Big Brother.
[00:00:10.478 --> 00:00:11.538]  Mainstream media.
[00:00:12.259 --> 00:00:13.480]  Government cover-ups.
[00:00:14.000 --> 00:00:14.841]  You want answers?
[00:00:15.602 --> 00:00:16.583]  Well, so does he.
[00:00:17.143 --> 00:00:20.766]  He's Alex Jones on the GCN Radio Network.
[00:00:21.326 --> 00:00:25.410]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.153 --> 00:00:32.715]  It's Tuesday, June 15th, 2010.
[00:00:32.975 --> 00:00:34.517]  This is the Alex Jones Show.
[00:00:34.557 --> 00:00:39.460]  My name's Paul Joseph Watson, editor and writer for PrisonPlanet.com.
[00:00:39.901 --> 00:00:48.087]  I'll be sitting in for the first hour while Alex is away, and afterwards we'll have another rebroadcast of the best interviews of the past week or so.
[00:00:48.967 --> 00:00:54.652]  Um, as was yesterday, I want to get your calls, um, lined up fairly quickly.
[00:00:54.672 --> 00:00:56.814]  Uh, we'll go to them at the bottom of the hour.
[00:00:56.914 --> 00:00:59.316]  So, um, the studio number is 888-201-2244.
[00:00:59.436 --> 00:01:00.057]  That's 888-201-2244.
[00:01:07.242 --> 00:01:30.555]  2244 and we're going to get into the latest on the oil spill and how it's being used as we've documented previously to push this nightmare green economy that we've seen decimate countries like Spain already and how Obama is using it to move towards the nationalization of the oil industry and government takeover of business.
[00:01:30.955 --> 00:01:34.277]  Now we're also going to get into this quote new
[00:01:35.197 --> 00:01:35.878]  We're good.
[00:01:54.676 --> 00:02:06.509]  Bob Etheridge and these two college kids, and you've probably already seen the video, it's on prisonplanet.com for those of you who haven't, but you can barely avoid it over the past 24 hours.
[00:02:07.170 --> 00:02:13.437]  And basically it shows this Democratic Congressman Etheridge walking down the street after a Pelosi speech.
[00:02:13.877 --> 00:02:20.759]  And he's confronted by these two, um, college kids who merely ask him if he supports the Obama agenda.
[00:02:21.379 --> 00:02:38.305]  And now, um, what's interesting after that is that Etheridge goes completely nuts, grabs the kid's arm, starts throwing punches at the camera, and then grabs him round the neck in a kind of mini half-Nelson, um, while these kids are trying to say, what are you doing?
[00:02:38.345 --> 00:02:38.985]  What's going on?
[00:02:39.005 --> 00:02:40.165]  We're only asking a question.
[00:02:40.966 --> 00:02:41.026]  Um,
[00:02:42.126 --> 00:02:56.470]  Now in the 24 hours since this came out, we learned the fact that the government immediately got hold of it and start issuing talking points on how the corporate media should debunk this story.
[00:02:57.230 --> 00:03:01.131]  And just like the castrated little sheep that they are,
[00:03:01.531 --> 00:03:20.249]  You know, people like Chris Matthews, MSNBC, and those that work at the Washington Post and the rest of the establishment neolib blogosphere immediately clicked their heels and started following these orders in trying to dismiss this video confrontation with the congressman.
[00:03:20.889 --> 00:03:23.091]  Um, as some kind of partisan stunt.
[00:03:23.692 --> 00:03:41.487]  Um, and even going to the lens of not only absolving Etheridge of blame, but trying to tell us basically that down is up, and that it was Etheridge, not the college kids who asked him a question and were assaulted, but it was Etheridge that was attacked and assaulted by the college kids who merely asked him a question.
[00:03:43.221 --> 00:03:44.642]  I mean, let's get one thing clear.
