[00:00:02.057 --> 00:00:08.704]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:08.704 --> 00:00:14.210]  It's Alex Jones and the GCN Radio Network.
[00:00:14.210 --> 00:00:15.972]  Out of the gates, ladies and gentlemen!
[00:00:17.088 --> 00:00:24.753]  Judge Napolitano is our guest, Andrew Napolitano, who really doesn't need any introduction here, but I'll go ahead and give it.
[00:00:24.753 --> 00:00:33.658]  He's the honorable Andrew P. Napolitano, of course, Fox News contributor, Fox News host, and I believe the best person on that popular channel.
[00:00:33.658 --> 00:00:38.882]  I believe he's the only real, bonafide, libertarian, constitutionalist, conservative.
[00:00:39.542 --> 00:00:40.163]  We're working on it, Alex.
[00:00:55.379 --> 00:00:58.642]  And I mean people know your bio so I won't get into it.
[00:00:58.642 --> 00:01:01.044]  Freedom Watch on Fox as well.
[00:01:01.044 --> 00:01:02.085]  So much is going on.
[00:01:02.085 --> 00:01:04.967]  I want to move quick here with you today.
[00:01:04.967 --> 00:01:09.271]  Last week you openly said that he could be indicted for this.
[00:01:09.271 --> 00:01:10.352]  It surprised me even...
[00:01:11.973 --> 00:01:17.515]  Some of the MSNBC host, like Mr. Schultz, said that the White House is in deep trouble.
[00:01:17.515 --> 00:01:20.315]  Congress is subpoenaing AIG.
[00:01:20.315 --> 00:01:22.716]  Now we learned that they tucked into a bill.
[00:01:22.716 --> 00:01:30.438]  As you know, that much of this is secret till 2018, which again shows evidence of the attempted cover-up.
[00:01:30.438 --> 00:01:40.141]  You have Geithner and others trying to cover up the fact that they transferred money to themselves and of course to former Treasury Secretary Henry Paulson.
[00:01:40.141 --> 00:01:40.761]  This is huge.
[00:01:42.213 --> 00:01:58.438]  You know, we don't exactly know what Geithner himself personally knew, but there's a couple of things that we do know, and I have read the emails that were released by Congressman Darrell Issa, who obtained them in his capacity as an American under the Freedom of Information Act.
[00:01:58.438 --> 00:02:01.419]  He didn't use any particular government authority to get them.
[00:02:01.419 --> 00:02:07.881]  And the emails are between and among lawyers for the New York Fed, lawyers for the Treasury Department,
[00:02:08.413 --> 00:02:16.996]  Lawyers for AIG and lawyers for JPMorgan Chase, which was the intermediary bank that the Fed was using through which to funnel its money.
[00:02:16.996 --> 00:02:32.560]  And basically, it is an instruction from the government to AIG, which was about to receive $185 billion, some from the government and some from the Federal Reserve, the largest single bailout by a government in the history of the world.
[00:02:34.665 --> 00:02:51.389]  And it was an instruction to AIG that in its applications for this money, it not list truthfully the identity of all of its creditors, and it especially not list its intention to pay some of those creditors 100 cents of a dollar.
[00:02:51.389 --> 00:02:59.051]  We now know that the principal creditor that the Fed lawyers wanted to keep from public awareness was Goldman Sachs.
[00:02:59.051 --> 00:03:03.432]  And of course, at the time, the Treasury Secretary, Henry Paulson, was the recently retired
[00:03:03.931 --> 00:03:14.540]  Chair of Goldman Sachs, we know now that AIG owed Goldman Sachs $13 billion that it planned to pay 100 cents of the dollar and that in fact it did.
[00:03:14.540 --> 00:03:18.763]  So question, what did Tim Geithner know and when did he know it?
[00:03:18.763 --> 00:03:33.255]  Well, he was the President and CEO of the Federal Reserve Bank of New York at the time his in-house lawyers were telling AIG to hide from the SEC the existence of the debt
[00:03:33.795 --> 00:03:35.297]  ...to Goldman Sachs.
[00:03:35.297 --> 00:03:36.618]  Now, a little bit of basic law.
[00:03:36.618 --> 00:03:42.683]  You go to buy a $100 savings bond, and you give the wrong zip code, no problem.
[00:03:42.683 --> 00:03:49.669]  But if you intentionally give the wrong address, you falsify the federal document, and you can be prosecuted.
[00:03:49.669 --> 00:03:58.317]  Can you imagine what the law would say about falsifying a document, not for a $100 savings bond, but for a $185 billion bailout of taxpayer dollars?
[00:04:01.261 --> 00:04:05.603]  That is what is confronting Tim Geithner.
[00:04:05.603 --> 00:04:18.590]  Now, clearly he's the head of the New York Fed at the time, working with his former boss, the former head of Goldman Sachs, who was the Treasury Secretary in the fall and winter of 2008, Henry Paulson, and we have
[00:04:20.771 --> 00:04:42.486]  Paulson, we have Geithner, we have Bernanke, all in countless House and Senate Banking Committee meetings, repeating what's in the emails, saying, we won't tell you who got the money, we won't tell you, telling Congress, who under the Constitution, as you know, but for some of the audience, has full control over the issuance of currency and credit and the banks.
[00:04:42.486 --> 00:04:45.288]  And so, for him to now say, oh, as the head of the Fed,
[00:04:46.289 --> 00:04:56.243]  I had no idea what was going on with a $185 billion payout to my own former company and to the current Treasury Secretary of 2008.
[00:04:56.243 --> 00:04:57.946]  I mean, this is asinine.
[00:05:01.138 --> 00:05:04.160]  Hello, this is Alex Jones with some important questions.
[00:05:04.160 --> 00:05:09.485]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:05:09.485 --> 00:05:11.526]  My answer would be all I can get.
[00:05:11.526 --> 00:05:16.530]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:05:16.530 --> 00:05:17.451]  How much do you want?
[00:05:17.711 --> 00:05:18.832]  When do you want it?
[00:05:18.832 --> 00:05:20.713]  Now or after the battle starts?
[00:05:20.713 --> 00:05:21.794]  When will you need it?
[00:05:21.794 --> 00:05:23.995]  Can you buy it without proper identification?
[00:05:23.995 --> 00:05:25.336]  Will there be any food?
[00:05:25.336 --> 00:05:26.857]  Will it make your children sick?
[00:05:26.857 --> 00:05:32.140]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
