[00:00:06.171 --> 00:00:09.252]  I fear that we as a country are drowning in a sea of debt.
[00:00:10.392 --> 00:00:17.693]  The deficit is the issue that motivates me to run for office.
[00:00:17.733 --> 00:00:25.435]  We think we have a really good practical chance of bringing more liberty-minded people to Washington, and we really think it's going to happen.
[00:00:26.360 --> 00:00:38.912]  I think one of the things, and this is an undercurrent in the Tea Party movement and some of the other movements, is that people are really upset that their congressmen vote on bills that are 1,100 pages thick and don't read them.
[00:00:40.533 --> 00:00:48.100]  There is legislation, and I will support it and introduce it, that says you have to sign a document and say you've read the bill before you vote on it.
[00:00:52.842 --> 00:00:57.024]  I think these are reform-minded issues that bring new people to our movement.
[00:00:57.405 --> 00:00:59.466]  We sometimes think we're getting a change.
[00:00:59.966 --> 00:01:01.347]  You know, we elected a change in 1994.
[00:01:03.128 --> 00:01:09.031]  We elected Republicans to Congress for the first time in 40 years, and they were elected on the Contract with America.
[00:01:09.531 --> 00:01:14.254]  The Contract with America had many good things in it, but it didn't take long for them to forget about it.
[00:01:14.854 --> 00:01:21.598]  By 1996, they had a new strategy, and actually it was a Republican from Texas who coined the name for this strategy.
[00:01:22.073 --> 00:01:24.394]  It was called the K Street Strategy.
[00:01:25.095 --> 00:01:27.196]  And K Street is where all the lobbyists live.
[00:01:27.356 --> 00:01:29.137]  All their businesses are on K Street.
[00:01:29.757 --> 00:01:32.459]  And this particular Republican, from Texas,
[00:01:32.958 --> 00:01:38.702]  went around and said to the Republicans in-house, we will stay in power if we do like the Democrats did.
[00:01:39.103 --> 00:01:43.186]  We go down to K Street and we get the money in buckets from the lobbyists.
[00:01:43.706 --> 00:01:46.828]  We give them what they want and we will stay in power.
[00:01:47.269 --> 00:01:56.856]  Power became more important than the principle of what we wanted to do to bring limited government, to balance budgets, to bring responsible constitutional government.
[00:01:57.930 --> 00:02:01.915]  This is Rand Paul here visiting in Austin, Texas, running for the U.S.
[00:02:01.955 --> 00:02:03.176]  Senate from Kentucky.
[00:02:03.657 --> 00:02:04.738]  Glad to be with you today.
[00:02:06.100 --> 00:02:07.361]  I'm an ophthalmologist.
[00:02:07.441 --> 00:02:11.146]  I do eye surgery and have practiced for 16 years in Bowling Green.
[00:02:11.907 --> 00:02:16.993]  I came to Kentucky because my wife grew up in Kentucky and is from a small town near there called Russellville.
[00:02:17.642 --> 00:02:20.263]  For many years I've been involved with the taxpayer movement.
[00:02:20.524 --> 00:02:32.811]  I headed up a group in Kentucky called the Kentucky Taxpayers United and we rated the state legislature on their tax and spending votes and we produced a scorecard so people could see how their legislators were voting.
[00:02:33.351 --> 00:02:36.873]  We also promoted a pledge called the Taxpayer Pledge
[00:02:37.273 --> 00:02:41.336]  Where candidates would sign saying that they promise not to vote to raise taxes.
[00:02:41.736 --> 00:02:44.037]  I've already signed that pledge for my campaign.
[00:02:44.077 --> 00:02:45.778]  In fact, I've gone one step further.
[00:02:46.339 --> 00:02:53.183]  I've said that I pledge not to vote for any budget that's not balanced, whether it's a Republican budget or a Democrat budget.
[00:02:53.643 --> 00:02:58.486]  I think we should decide things not on whether they're Republican or Democrat, but whether they're good or bad.
[00:02:59.026 --> 00:03:08.609]  And I think our budget being so far out of whack is bad for the country and will lead to repercussions on all of us as we go to the grocery store and pay higher and higher prices.
[00:03:09.170 --> 00:03:12.171]  I believe that government is best that governs least.
[00:03:12.531 --> 00:03:16.892]  I think the government has grown so large that we're in danger of losing our freedoms.
[00:03:17.472 --> 00:03:21.394]  I think the debt has grown so large that we're drowning in a sea of debt.
[00:03:21.774 --> 00:03:24.955]  And if we don't do something, I think the problems will be imminent.
[00:03:25.575 --> 00:03:26.295]  And serious.
[00:03:26.955 --> 00:03:35.477]  I think the problems with the debt are not only that our kids and our grandkids will be paying for the debt, the problem is that we're going to be paying for it through serious inflation.
[00:03:36.237 --> 00:03:50.700]  We doubled the monetary base last year, and when that money leaks out through the banking system into the economy, my fear is that we're going to have significantly higher prices, and potentially chaos within the system if we're not careful.
[00:03:51.340 --> 00:03:56.907]  Thomas Paine said, you know, during the Revolutionary War, he said, these are the times that try men's soul.
[00:03:57.568 --> 00:04:01.574]  I think that we're in a similar period of time in the sense that there's an unease.
[00:04:02.014 --> 00:04:04.477]  I think there's a discontent across the land.
[00:04:04.578 --> 00:04:08.563]  People are coming more and more, not just people from the Liberty Movement,
[00:04:08.843 --> 00:04:14.627]  But everyday people within every aspect of my life, I see these people coming to the office and they're worried.
[00:04:14.707 --> 00:04:15.947]  They're worried about our country.
[00:04:15.987 --> 00:04:17.669]  They're worried about what's going to happen.
[00:04:18.049 --> 00:04:19.450]  They're worried about the currency.
[00:04:19.810 --> 00:04:20.971]  They're worried about the debt.
[00:04:21.191 --> 00:04:24.593]  They're worried about we're a country that doesn't manufacture anything anymore.
[00:04:25.113 --> 00:04:30.617]  We're worried that our leaders tell us, go to the mall and spend your money and everything will be okay.
[00:04:31.437 --> 00:04:35.361]  People are seeing through that, and people are worried, so I think there is an unease.
[00:04:35.801 --> 00:04:39.785]  I think the discontent is also seen in the Tea Party movement.
[00:04:40.125 --> 00:04:42.047]  People spontaneously showing up.
[00:04:42.127 --> 00:04:45.230]  In my little town of 50,000 people, we had 700 people show up for a tea party.
[00:04:47.412 --> 00:04:50.314]  And it wasn't Republican or Democrat organizers.
[00:04:50.654 --> 00:04:53.635]  These were regular folks that most of them were independents.
[00:04:54.016 --> 00:04:57.758]  Most of them were people who had not participated in the political process before.
[00:04:58.238 --> 00:05:00.339]  So there is a discontent out there.
[00:05:00.739 --> 00:05:07.963]  What we need to do is capture that, run candidates for office who will represent the people, and try to take back our government.
[00:05:08.363 --> 00:05:11.685]  My opponent in the Republican side is the Secretary of State.
[00:05:12.285 --> 00:05:13.766]  He's a career politician.
[00:05:13.866 --> 00:05:17.968]  He's a young man who's not done anything really other than run for political office.
[00:05:18.588 --> 00:05:25.972]  In fact, recently we've done pretty well in a poll against him, and we've only been doing this for three months, and he's been doing it for eight years.
[00:05:26.592 --> 00:05:28.873]  So we really see that there is a discontent.
[00:05:28.953 --> 00:05:36.377]  I tell people that as I meet the Republican primary voter in Kentucky, I've yet to meet one voter who would have voted for the bank bailout.
[00:05:36.937 --> 00:05:40.200]  But the Republican leadership, over half of them voted for the bank bailout.
[00:05:40.520 --> 00:05:41.922]  So I think there's a disconnect.
[00:05:41.982 --> 00:05:47.767]  I think the Republican primary voter is ready for a different type of candidate, not a career politician.
[00:05:47.807 --> 00:05:52.651]  I'm a physician, I'm a small businessman, and I don't want to go into this for a living.
[00:05:52.731 --> 00:05:58.256]  I go into this because I'm worried about our country, worried about the debt, and worried about the repercussions that are coming.
[00:05:58.905 --> 00:06:05.269]  Yesterday we had what's called a money bomb and we had over 5,000 people contribute money to our campaign.
[00:06:05.329 --> 00:06:06.189]  We raised $450,000 in 24 hours.
[00:06:06.209 --> 00:06:06.769]  This is phenomenal.
[00:06:06.809 --> 00:06:09.791]  It shows that the Liberty Movement is alive and well.
[00:06:13.942 --> 00:06:18.226]  We did this in 24 hours online and we think we set a record for Kentucky.
[00:06:18.727 --> 00:06:23.892]  No other candidate in Kentucky has ever raised this much money online in a 24-hour period.
[00:06:24.512 --> 00:06:32.140]  It also brings us up to parity with the establishment candidate and allows us to be considered to be a competitive force.
[00:06:33.040 --> 00:06:38.364]  I've come down here to Texas also and we're having fundraisers in Texas.
[00:06:39.525 --> 00:06:43.047]  We will raise money from across the country as well as from Kentucky.
[00:06:43.488 --> 00:06:47.831]  We're also scheduling fundraisers in Kentucky and we'll raise money within Kentucky as well.
[00:06:48.391 --> 00:06:50.613]  But the issues resonate throughout the country.
[00:06:51.500 --> 00:07:01.991]  And the issues of limited government and less taxation and less regulation, bringing the budget back into balance, looking at the Federal Reserve and saying, we've got to audit the Federal Reserve.
[00:07:02.011 --> 00:07:04.914]  We need to know where they're spending the money, what they're doing it with.
[00:07:05.353 --> 00:07:11.339]  The Federal Reserve increased their asset sheet by $2 trillion, meaning they bought up all these loans.
[00:07:11.739 --> 00:07:18.426]  The Federal Reserve actually bought, the Federal Reserve bought used car loans and bad home mortgages last year.
