[00:00:05.746 --> 00:00:08.747]  Everything is proceeding
[00:00:36.033 --> 00:00:43.782]  As the bankers stated years ago, how their plan would unfold.
[00:00:43.782 --> 00:00:46.626]  Everything is proceeding as they have engineered it.
[00:00:46.626 --> 00:00:54.074]  The total collapse of Western civilization and the real economy to the banking cartel.
[00:00:54.074 --> 00:00:55.877]  Last week it was a hundred and
[00:00:58.355 --> 00:01:01.478]  50 billion plus dollars for Greece.
[00:01:01.478 --> 00:01:08.323]  Then over the weekend it was 600 billion dollars for Greece and the banks.
[00:01:08.323 --> 00:01:10.665]  And now it's a trillion today.
[00:01:10.665 --> 00:01:13.547]  And will it be 2 trillion tomorrow?
[00:01:13.547 --> 00:01:14.108]  Probably.
[00:01:15.922 --> 00:01:35.016]  See, once they hold the economy hostage, they will implode it, in looting after looting, and they're now passing the laws in Greece, they're passing the laws in European nations, to take large portions of people's 401ks and pension funds.
[00:01:35.016 --> 00:01:36.957]  Austerity!
[00:01:36.957 --> 00:01:39.939]  Wrecking the real economy, destroying the middle class,
[00:01:41.089 --> 00:01:49.237]  Just as has been done by the same people in Eastern Europe, in Latin America, in Africa, in poorer areas of Asia.
[00:01:49.237 --> 00:01:53.221]  Always the same system.
[00:01:53.221 --> 00:01:55.363]  Always the same operation.
[00:01:58.237 --> 00:02:14.547]  We have two extremely informative guests, a former stock trader, inventor of the Hollywood Stock Exchange System, a person who has predicted what's happening years ago with total precision, Max Keiser will be joining us in the second hour from Paris.
[00:02:14.547 --> 00:02:24.253]  And then, former city council member, businessman, degreed economist, someone who predicted this all more than 10 years ago, that's who we have on.
[00:02:24.253 --> 00:02:25.494]  Understand, that's not bragging.
[00:02:27.042 --> 00:02:31.205]  It's like telling somebody, don't play with that gun, don't load it and put it to your head and pull the trigger.
[00:02:31.205 --> 00:02:34.708]  And you load it, put it to your head and pull the trigger and it blows your head off.
[00:02:34.708 --> 00:02:36.029]  You say, see, I told you so.
[00:02:36.029 --> 00:02:44.515]  When we point out that these guests that we have on have accurately gauged exactly what's happening, it's so people pay attention in the future.
[00:02:47.532 --> 00:02:48.832]  I wish we were wrong.
[00:02:48.832 --> 00:02:50.613]  I wish the globalists weren't doing this.
[00:02:50.613 --> 00:02:51.713]  Believe me, I'm freaked out.
[00:02:51.713 --> 00:02:54.274]  I mean, it's one thing to know they're planning it.
[00:02:54.274 --> 00:02:58.335]  It's another thing to see it unfold exactly as we knew it would.
[00:02:58.335 --> 00:03:00.836]  We can tell you what's coming in Phase 3 of this.
[00:03:00.836 --> 00:03:02.657]  This is Phase 2 right now.
[00:03:02.657 --> 00:03:12.400]  Phase 3, carbon taxes, VAT taxes, federal property taxes, on top of the new FEMA taxes that are a
[00:03:13.766 --> 00:03:15.127]  We're good to go.
[00:03:35.387 --> 00:03:42.309]  Who is hardcore anti-gun, fully funded by Goldman Sachs, JP Morgan, Larry Summers.
[00:03:42.309 --> 00:03:55.032]  She is a acolyte of Cash Sunstein who believes in a total end to the First Amendment and free speech and liberty and who wants the arrest of anyone that criticizes anthropogenic or man-made global warming.
[00:03:56.340 --> 00:03:57.982]  It is all happening.
[00:03:57.982 --> 00:04:16.118]  They are moving on every front with a blitzkrieg of oppression, a blitzkrieg of looting, a blitzkrieg of tyranny and despotism, a blitzkrieg of galactic level larceny and corruption.
[00:04:16.118 --> 00:04:19.902]  World government is openly being announced
[00:04:20.973 --> 00:04:26.398]  It is openly taking over the planet and rendering us down to abject poor slaves.
[00:04:26.398 --> 00:04:34.526]  You will see the effect of this and there will be more quote bailouts that is mass wealth transfers as they wreck the economy scientifically.
[00:04:34.526 --> 00:04:38.449]  Massive tax increases meant to further stall the economy.
[00:04:39.170 --> 00:04:53.802]  They've got us on our knees and they are coming in with daggers and knives and hatchets, stabbing the innards of liberty as the lifeblood of the economy globally pours out into the mouth of these dragons.
[00:04:53.802 --> 00:04:55.223]  I'm Alex Jones.
[00:04:55.223 --> 00:04:57.725]  We're going to cover it all on the other side.
[00:04:57.725 --> 00:04:58.886]  Stay with us.
[00:05:00.641 --> 00:05:02.962]  They helped to create a New World Order.
[00:05:02.962 --> 00:05:05.343]  We are part of a New World Order.
[00:05:05.343 --> 00:05:08.565]  A New World Order based upon collective action.
[00:05:08.565 --> 00:05:13.667]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:05:13.667 --> 00:05:17.869]  The New World Order really is a tool for addressing a new world of possibilities.
[00:05:18.169 --> 00:05:20.533]  It means all the world under their control.
[00:05:20.533 --> 00:05:23.417]  The United Nations would take over America.
[00:05:23.417 --> 00:05:26.321]  The Trilateral Commission would control the world.
[00:05:26.321 --> 00:05:33.933]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:05:34.249 --> 00:05:39.654]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:05:39.654 --> 00:05:42.496]  Global governance with the establishment of the G20.
[00:05:42.496 --> 00:05:46.180]  So it's going to be an inner ruling elite and then everyone else.
[00:05:46.180 --> 00:05:47.261]  And I got news for you.
[00:05:47.261 --> 00:05:48.622]  You're everyone else.
[00:05:48.622 --> 00:05:50.103]  Invisible Empire.
[00:05:50.103 --> 00:05:58.130]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:06:01.613 --> 00:06:04.014]  They helped to create a New World Order.
[00:06:04.014 --> 00:06:06.315]  We are part of a New World Order.
[00:06:06.315 --> 00:06:09.537]  A New World Order based upon collective action.
[00:06:09.537 --> 00:06:14.640]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:06:14.640 --> 00:06:18.842]  The New World Order really is a tool for addressing a new world of possibilities.
[00:06:19.142 --> 00:06:21.503]  It means all the world under their control.
[00:06:21.503 --> 00:06:24.385]  The United Nations would take over America.
[00:06:24.385 --> 00:06:27.287]  The Trilateral Commission would control the world.
[00:06:27.287 --> 00:06:34.891]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:06:35.231 --> 00:06:40.515]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:06:40.515 --> 00:06:43.478]  Global governance with the establishment of the G20.
[00:06:43.478 --> 00:06:47.160]  So it's going to be an inner ruling elite and then everyone else.
[00:06:47.160 --> 00:06:48.241]  And I got news for you.
[00:06:48.241 --> 00:06:49.582]  You're everyone else.
[00:06:49.582 --> 00:06:51.083]  Invisible Empire.
[00:06:51.083 --> 00:06:58.849]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:07:01.181 --> 00:07:07.027]  Did you know there is a growing number of researchers who agree that 90% of all disease begins in the colon?
[00:07:07.027 --> 00:07:12.232]  Did you know that 80% of all Americans suffer from internal parasites and parasitic infection?
[00:07:12.232 --> 00:07:15.095]  If allowed, our bodies are capable of healing themselves.
[00:07:15.095 --> 00:07:20.861]  The key to optimal health is not only what we eat, but also a healthy digestive system and a strong immune system.
[00:07:21.061 --> 00:07:30.230]  At Freshwater Organics, we offer FPP, a daily organic supplement that helps eliminate parasites, heavy metals, and high cholesterol naturally and safely.
[00:07:30.230 --> 00:07:37.718]  FPP, or fossilized phytoplankton powder, has been used worldwide for thousands of uses and is now available from Freshwater Organics.
[00:07:37.938 --> 00:07:45.364]  In addition, we offer an entire line of products to help cleanse waste and toxins, strengthen your immune system, and improve your overall well-being.
[00:07:45.364 --> 00:07:50.908]  Make FreshWaterOrganics.com your first stop for organic and natural supplements at the best prices.
[00:07:50.908 --> 00:07:53.029]  Visit FreshWaterOrganics.com.
[00:07:53.029 --> 00:07:55.351]  Again, that's FreshWaterOrganics.com.
[00:07:55.351 --> 00:07:57.933]  Or request your free catalog by mail by calling 888-949-3570.
[00:08:02.381 --> 00:08:05.163]  He's the T-Rex of political talk.
[00:08:05.163 --> 00:08:07.944]  Alex Jones on the GCN Radio Network.
[00:08:24.555 --> 00:08:27.218]  Monday through Friday, we're here live 11 a.m.
[00:08:27.218 --> 00:08:27.859]  to 3 p.m.
[00:08:27.859 --> 00:08:29.681]  Central, 12 noon to 4 p.m.
[00:08:29.681 --> 00:08:30.962]  Eastern.
[00:08:30.962 --> 00:08:37.088]  Desperately trying to wake up the American people and the people of the planet.
[00:08:37.088 --> 00:08:47.419]  Desperately posting government documents, IMF, World Bank documents, globalist statements, bragging and laughing about the world government they're setting up.
[00:08:48.652 --> 00:08:56.683]  Trying to get people to get as focused on finance and the banking cartels and the military-industrial complex.
[00:08:56.683 --> 00:09:04.794]  Just trying to get people as focused on that as they are on going to the topless bars or watching their favorite football or soccer game.
