[00:00:00.250 --> 00:00:04.406]  And now part two of our in-depth interview with New World Order researcher Alan Watt.
[00:00:06.758 --> 00:00:12.699]  I'm Alan Watts, and I'm an author and researcher into geopolitics, really, and history.
[00:00:12.979 --> 00:00:21.981]  I follow where the world has been, the techniques that were used to bring it to those stages, and I apply them to where we are today and how the future is planned.
[00:00:22.781 --> 00:00:25.262]  I've researched so many books.
[00:00:25.342 --> 00:00:26.362]  I've got a library of my own.
[00:00:26.382 --> 00:00:33.063]  I like paperback books, or at least hardback books, because they're permanent records of the past.
[00:00:33.483 --> 00:00:36.404]  If you can't understand the past, you understand the present or the future.
[00:00:37.403 --> 00:00:52.669]  I've also been in the music business, heavily involved for years, and I saw how culture creation worked from the top, and how generations were swayed into new fashions, new ideas.
[00:00:52.969 --> 00:01:00.352]  I've been following the histories of what's now called the New World Order for many, many years, and I try to
[00:01:01.630 --> 00:01:17.281]  I go into the books written by the big players, the technocrats themselves, those famous people like the Kissingers, the Brzezinskis and so on, the Huxleys, the Lord Bertrand Russells, who all worked for the same organizations.
[00:01:18.782 --> 00:01:23.685]  And I came to the conclusion, really, there was only one big organization with many subcategories.
[00:01:25.847 --> 00:01:30.010]  These boys tend to publish the world that they saw coming into view
[00:01:31.974 --> 00:01:33.696]  And they wrote it in their own hand, basically.
[00:01:33.716 --> 00:01:35.457]  They told us where they were taking the world.
[00:01:36.779 --> 00:01:48.690]  And when you start studying these things about the age of 14, 15, or even younger, and reading their books, and you live long enough, you will see that the world has turned out exactly as they planned.
[00:01:49.911 --> 00:01:51.172]  This can't be coincidence.
[00:01:53.014 --> 00:01:56.978]  And who can really write up a wish list and make it happen, globally?
[00:01:57.972 --> 00:02:04.719]  Unless there is an organization, very, very powerful, probably the only organization really on the planet.
[00:02:05.640 --> 00:02:18.492]  An organization that can fund all sides, all oppositions, and using the synthesis of conflicting parties, they can literally make the world come into view as they planned.
[00:02:19.554 --> 00:02:20.895]  The plan in centuries
[00:02:21.940 --> 00:02:28.327]  And the astonishing thing is, when you go into the United Nations, which was loosely based on the Soviet system...
