[00:00:00.723 --> 00:00:01.603]  Well, so does he.
[00:00:01.623 --> 00:00:05.885]  He's Alex Jones on the GCN Radio Network.
[00:00:06.465 --> 00:00:10.566]  And now, live from Austin, Texas, Alex Jones.
[00:00:13.827 --> 00:00:16.388]  Very important broadcast lined up for you today.
[00:00:16.448 --> 00:00:17.948]  Thank you so much for joining us.
[00:00:17.968 --> 00:00:20.589]  It is Tuesday, the ninth day of November, 2010.
[00:00:24.980 --> 00:00:38.872]  We have an amazing individual joining us in studio in the third hour, Dr. Paul Conant, Director of the Fluoride Action Network, and we're talking about his new book, The Case Against Fluoride, coming up in the third hour today.
[00:00:39.792 --> 00:00:51.602]  This is another issue that we can take action against and have fluoride, sodium fluoride, removed from our water systems that are in about 70% of the country's water supplies, municipal water systems.
[00:00:52.971 --> 00:00:58.676]  Europe is also trying to force these systems into place, but a lot of people are bucking against it.
[00:00:58.716 --> 00:01:17.010]  So it's one of the issues where we can have an effect, but even if we can't get it out of our local water supply, we can educate people about how deadly it is with medical doctors, so it's on record, so people can take their own steps when you drink fluoridated water, or when you brush your teeth with fluoridated water, or when you bathe in it, which is just as bad as drinking it.
[00:01:20.267 --> 00:01:26.771]  They've also reported that the Large Hadron Collider has created the mini Big Bang with lead ions.
[00:01:26.811 --> 00:01:28.592]  That's big scientific development.
[00:01:29.332 --> 00:01:31.793]  We'll be covering that as well.
[00:01:33.054 --> 00:01:40.898]  You know, if you go back and listen to my radio show 15 years ago, I was yelling and screaming about half the time.
[00:01:40.959 --> 00:01:42.419]  Now it's only maybe 5% of the time out of 100.
[00:01:45.128 --> 00:01:48.429]  95% of the time I'm somewhat calm, but I really want to be centered.
[00:01:49.190 --> 00:01:56.832]  Because when I am centered, when I'm not on air, when I'm just researching, I'm so much more articulate than when I just spin out of control with anger about what's happening.
[00:01:57.172 --> 00:01:57.993]  But this affects me.
[00:01:58.033 --> 00:01:58.613]  It affects you.
[00:01:58.653 --> 00:01:59.433]  It affects all of us.
[00:01:59.993 --> 00:02:02.914]  And some anger is good, but I'm here to impart information.
[00:02:03.354 --> 00:02:04.495]  Nobody complained yesterday.
[00:02:04.535 --> 00:02:07.736]  In fact, we had record listenership on the internet.
[00:02:08.856 --> 00:02:09.136]  Record.
[00:02:11.197 --> 00:02:13.978]  But even if some people like that and like seeing the train wreck,
[00:02:15.385 --> 00:02:21.208]  And in four hours of broadcast, I was calm most of the time, but I did rant and rave for probably 30 minutes overall.
[00:02:21.928 --> 00:02:23.589]  And I'm going to try to not do that today.
[00:02:23.609 --> 00:02:24.550]  I'm going to try to be centered.
[00:02:24.570 --> 00:02:39.717]  And when we come back from break, I am going to cover the unbelievable economic news, the huge developments with the naked body scanners and the TSA takeover of the homeland, not just the airports.
[00:02:41.272 --> 00:02:44.755]  We're going to get into a stack of bizarre news like this Reuters headline.
[00:02:44.796 --> 00:02:46.517]  Look out, your medicine is watching you.
[00:02:46.557 --> 00:02:47.798]  Microchips in the medicine.
[00:02:48.279 --> 00:02:49.580]  We talked about this years ago.
[00:02:49.600 --> 00:02:50.721]  That's where they were going with it.
[00:02:50.801 --> 00:02:51.362]  Now it's here.
[00:02:53.223 --> 00:02:54.505]  Gold has gone way past $1,400.
[00:02:54.545 --> 00:02:56.226]  Last time I checked, it was $1,418 plus.
[00:02:56.306 --> 00:02:58.709]  I'll check during the break exactly where it's at.
[00:03:04.367 --> 00:03:07.549]  On the naked body scanning front, though, this is now a big national story.
[00:03:08.150 --> 00:03:11.192]  You did it, I did it, we did it together with the help of the Drudge Report.
[00:03:11.552 --> 00:03:29.124]  There are now hundreds of news articles today, hundreds yesterday, many of them sourcing back to our articles at InfoWars.com and PrisonPlanet.com with people really facing
[00:03:30.418 --> 00:03:30.918]  I don't know.
[00:03:52.228 --> 00:03:55.370]  And we're having victories on the bisphenol A and the plastics front.
[00:03:55.390 --> 00:03:57.211]  We're having victories on the sodium fluoride front.
[00:03:57.591 --> 00:04:00.873]  We're having victories on the Gardasil and H1N1 shot front.
[00:04:01.974 --> 00:04:03.755]  Record low numbers of people are now taking it.
[00:04:05.736 --> 00:04:09.978]  The more the system hypes and pushes something, the more people turn against it.
[00:04:11.359 --> 00:04:16.022]  And so something very special is happening right now with the naked body scanners and
[00:04:17.426 --> 00:04:18.747]  It's good to be empowered.
[00:04:18.907 --> 00:04:22.429]  It's good to see that we can have an effect if we take action.
[00:04:23.090 --> 00:04:29.274]  It's very buoying, so I shouldn't get angry and feel powerless and yell and scream, because that's really why I do that.
[00:04:29.434 --> 00:04:32.016]  I just become enraged with frustration.
[00:04:32.916 --> 00:04:38.881]  And disgusted anger, knowing how criminal the system is and seeing that so many people refuse to wake up.
[00:04:39.302 --> 00:04:43.886]  But slowly but surely, as we persevere and continue, doggedly, people are waking up.
[00:04:44.486 --> 00:04:49.010]  So I'll continue along that line and blitz through news and wide open phones to Dr. Conant.
[00:04:49.130 --> 00:04:53.375]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:04:53.615 --> 00:04:59.642]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:05:00.022 --> 00:05:03.927]  My family, staff, friends, and radio listeners are constantly telling me
[00:05:04.087 --> 00:05:04.487]  We're good to go.
[00:05:25.188 --> 00:05:31.374]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:05:31.955 --> 00:05:35.378]  I'm happy to say our business is going down the drain.
[00:05:35.838 --> 00:05:43.826]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:05:43.926 --> 00:05:44.387]  Thank you.
[00:05:50.029 --> 00:06:04.500]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:06:05.501 --> 00:06:09.164]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:06:10.188 --> 00:06:22.181]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:06:22.942 --> 00:06:30.210]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:06:30.891 --> 00:06:40.503]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:06:41.284 --> 00:06:44.549]  As well, we are always ready to answer any questions you may have.
[00:06:45.209 --> 00:06:48.313]  That's www.SilverLungs.com
[00:06:48.894 --> 00:06:53.138]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:06:53.438 --> 00:06:54.059]  Number one.
[00:06:54.359 --> 00:06:57.522]  New climate legislation could easily double or triple your electric bill.
[00:06:57.782 --> 00:06:58.363]  Number two.
[00:06:58.643 --> 00:07:03.208]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:07:03.548 --> 00:07:03.988]  It's true.
[00:07:04.289 --> 00:07:08.833]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:09.153 --> 00:07:09.674]  Number 3.
[00:07:09.974 --> 00:07:13.258]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:13.558 --> 00:07:17.282]  And now, new socialist legislation is only compounding the problem.
[00:07:17.482 --> 00:07:18.023]  Number 4.
[00:07:18.263 --> 00:07:20.646]  Dangerous weather is always a threat to local grids.
[00:07:21.046 --> 00:07:24.390]  Every year, thousands of families lose their power from weather-related outages.
[00:07:24.690 --> 00:07:29.411]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:07:29.631 --> 00:07:34.412]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:34.693 --> 00:07:38.714]  You can get more information at www.mysolarbackup.com.
[00:07:38.854 --> 00:07:40.414]  That's mysolarbackup.com.
[00:07:40.654 --> 00:07:45.255]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[00:07:49.639 --> 00:07:54.551]  Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:07:54.912 --> 00:07:57.198]  Because there's a war on for your mind.
[00:08:06.604 --> 00:08:09.446]  Well, it's the kickoff of another live transmission.
[00:08:09.726 --> 00:08:13.568]  Radio, satellite, television at PrisonPlanet.tv.
[00:08:14.088 --> 00:08:14.988]  Thank you for joining us.
[00:08:15.048 --> 00:08:17.790]  We are 8 minutes, 25 seconds into this first hour.
[00:08:18.390 --> 00:08:20.451]  It is Tuesday, the 9th day of November, 2010.
[00:08:22.751 --> 00:08:26.213]  And we do have Dr. Paul Conant joining us in studio in the last hour.
[00:08:26.794 --> 00:08:33.398]  Dr. Paul Conant is the director of the Fluoride Action Network and the executive director of its parent body, the American Environmental Health Studies Project.
[00:08:34.278 --> 00:08:36.299]  He has testified before Congress.
[00:08:36.559 --> 00:08:44.584]  He holds a bachelor's degree from the University of Cambridge and a PhD from chemistry at Dartmouth College and is a retired professor of environmental chemistry and toxicology at St.
[00:08:44.624 --> 00:08:45.445]  Lawrence University.
[00:08:46.145 --> 00:08:48.287]  He will be joining us in studio today.
[00:08:48.887 --> 00:08:50.488]  And he's co-written this book,
[00:08:52.349 --> 00:08:58.940]  Paul Conant, Ph.D., with James Beck, M.D., medical doctor and Ph.D., and H.S., MacCalm,
[00:09:00.635 --> 00:09:09.759]  So that is a very interesting book, very informative, very important information, a new look at the scientific evidence, the case against fluoride.
[00:09:10.620 --> 00:09:14.201]  He will be joining us in studio here today.
[00:09:15.122 --> 00:09:17.243]  Gold has hit another all-time high of $1,420.20.
[00:09:17.723 --> 00:09:18.844]  That was just seconds ago, $1,420.20.
[00:09:28.428 --> 00:09:29.249]  Uh, right now.
[00:09:30.010 --> 00:09:33.593]  So, that is extremely, uh, important news there.
[00:09:33.653 --> 00:09:47.646]  We knew this was going to happen, because the laws of finance and economics show that when the government announces that the World Reserve currency, the dollar, will be massively devalued, gold isn't going up, the dollar is going down.
[00:09:49.232 --> 00:09:52.274]  So we're going to be going over all of that today.
[00:10:19.472 --> 00:10:21.213]  Defense move as pro-growth.
[00:10:21.893 --> 00:10:23.493]  We've got the German finance minister.
[00:10:23.533 --> 00:10:29.135]  We've got Ron Paul saying the dollar is going to die and it's going to be a major global depression.
