[00:00:03.622 --> 00:00:10.152]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:00:16.385 --> 00:00:20.768]  Thank you for joining us the 19th day of December 2010.
[00:00:20.768 --> 00:00:27.391]  We're going to have a jam-packed transmission for you on this Sunday.
[00:00:27.391 --> 00:00:32.995]  Coming up we have Senator-elect, soon to be the actual Senator here in just a few weeks.
[00:00:33.675 --> 00:00:49.217]  Rand Paul joining us then former congressman Bob Barr weighs in on the growing police state and the TSA groping expanding all over the country and of course you know the TSA is now started groping on the highways the bus terminals and
[00:00:49.657 --> 00:00:54.899]  They're making millions of union workers get a Homeland Security authorization to even have a job.
[00:00:54.899 --> 00:01:02.262]  You have to file an application, not to work for the government, but to have a job, period, in a union, as they seize control of the infrastructure.
[00:01:02.262 --> 00:01:10.725]  And then Dr. Mercola, on all the poisons in our environment and ways to protect yourself from it, he's coming up in the second hour today.
[00:01:10.725 --> 00:01:12.546]  Again, it is the 19th day of December, 2010.
[00:01:15.607 --> 00:01:19.673]  Our next to last Sunday broadcast of the year.
[00:01:19.673 --> 00:01:23.618]  I guess next week's, yeah, will be the last of the year.
[00:01:23.618 --> 00:01:26.843]  So again, I appreciate everybody joining us this evening.
[00:01:26.843 --> 00:01:30.447]  I know that there's other important things you could be doing like watching NFL
[00:01:30.968 --> 00:01:33.969]  Football or going to a topless bar and getting drunk.
[00:01:33.969 --> 00:01:38.571]  No, but being serious, folks that tune into this show understand that liberty is everything.
[00:01:38.571 --> 00:01:48.516]  Liberty and freedom and the freedom to not be a slave and to control your own life and destiny is the engine of everything wholesome and good in this world.
[00:01:49.196 --> 00:02:03.822]  And as the corruption of the New World Order comes out more and more, the system is doing everything it can to stage terror attacks, to fearmonger, and to try to force us back into submission as seeing the state as our big mommy, our big daddy.
[00:02:03.822 --> 00:02:06.743]  They want us to be basically forever like ignorant children.
[00:02:07.623 --> 00:02:11.065]  Being led around by Big Brother, Big Sis.
[00:02:11.065 --> 00:02:16.329]  But the issue is Big Brother and Big Sis do not have our best interest at heart.
[00:02:16.329 --> 00:02:24.274]  Big Brother and Big Sis literally are feeding on us like wolves feed on sheep or cattle.
[00:02:24.274 --> 00:02:30.299]  And that's why they've got all this new legislation we've been covering in weeks past dealing with WikiLeaks.
[00:02:31.403 --> 00:02:45.073]  That's why they're moving so hard to try to pass the different cyber security legislation and the different legislation to put you in prison for life or worse if you leak any type of secrets or if you're a member of the media and you report on it.
[00:02:45.073 --> 00:02:46.994]  But I agree with Ron Paul.
[00:02:46.994 --> 00:02:50.197]  He said it best that telling the truth is not treason.
[00:02:50.677 --> 00:02:58.579]  Plus Julian Assange, who's now been released from jail, is on bail, is not an American to begin with.
[00:02:58.579 --> 00:03:02.401]  You have to be an American to engage in treason against the United States.
[00:03:02.401 --> 00:03:15.625]  But the real people engaging in treason are the corrupt politicians who've gotten into power and who have sold us out to the crooked offshore banks, who are now literally not just sucking this country, but the entire world dry right now.
[00:03:16.607 --> 00:03:23.489]  Meanwhile, the United States is continuing, the New York Times reports, to build a case for conspiracy by WikiLeaks.
[00:03:23.489 --> 00:03:33.291]  And there's open talk of a federal grand jury and panel looking at some type of espionage indictments against Assange or others.
[00:03:33.291 --> 00:03:40.753]  Will they indict Cass Sunstein, the White House regulations czar, who first announced WikiLeaks three years ago in an op-ed piece in the Washington Post?
[00:03:40.753 --> 00:03:44.134]  Will they go after George Soros' right-hand man publicly funding WikiLeaks?
[00:03:44.774 --> 00:03:51.355]  Or the Chinese dissidents, admittedly on CIA payroll and connected, who are the heart of WikiLeaks.
[00:03:51.355 --> 00:03:53.776]  Again, Assange is clearly a puppet.
[00:03:53.776 --> 00:04:03.397]  I salute much of the work of WikiLeaks, but this is being done as a 9-11 style attack, a false flag attack on the Internet, and to create a chilling effect.
[00:04:03.397 --> 00:04:11.939]  There's open discussions of indicting the New York Times, going after their different reporters or editors for publishing WikiLeaks material, or going after Guardian reporters.
[00:04:12.739 --> 00:04:19.188]  But in England, the government already has D notices to block anything that, any story that violates national security.
[00:04:19.188 --> 00:04:22.954]  So why has the Guardian been allowed to do this over and over again?
[00:04:22.954 --> 00:04:24.777]  Because it's part of a larger program.
[00:04:26.261 --> 00:04:37.171]  So they can get corporations and government scared, and the insiders can get all of this anti-free speech legislation rammed through.
[00:04:37.171 --> 00:04:46.260]  So regardless of what you think of WikiLeaks, if you believe in the First Amendment and free speech worldwide, you've got to say no to people out there promoting the execution of Julian Assange.
[00:04:46.260 --> 00:04:48.662]  Give me a break.
[00:04:48.662 --> 00:04:50.263]  They should not make telling the truth.
[00:04:51.364 --> 00:04:52.385]  Illegal.
[00:04:52.385 --> 00:04:52.886]  All right, folks.
[00:04:52.886 --> 00:04:57.210]  We'll be right back with Senator Rand Paul, Congressman Bob Barr, Dr. Mercola, and others.
[00:04:57.210 --> 00:05:00.693]  Stay with us at fullwork.com.
[00:05:00.693 --> 00:05:03.755]  Folks, you've heard us talk about Home Gain before.
[00:05:03.755 --> 00:05:12.984]  Home Gain is now offering a special promo where you get up to $150 when you buy or sell a home with a Home Gain agent you find through their Find a Realtor program.
[00:05:13.877 --> 00:05:16.719]  HomeGain lets you compare realtors anonymously.
[00:05:16.719 --> 00:05:17.599]  It's easy.
[00:05:17.599 --> 00:05:22.922]  Go to HomeGain150.com to find and compare realtors anonymously.
[00:05:22.922 --> 00:05:30.906]  Enter promo code HomeGain150 and receive up to $150 when you close a deal with a HomeGain agent.
[00:05:30.906 --> 00:05:36.729]  Share the HomeGain150 promo code with your friends via Facebook, Twitter, text, and more.
[00:05:36.729 --> 00:05:41.872]  Look for Max the HomeGain Gorilla to find out more about how HomeGain is going to pay you.
[00:05:42.412 --> 00:05:49.535]  Visit HomeGain150.com today to enter your promo code and get paid for buying or selling a house.
[00:05:49.535 --> 00:06:01.180]  That's H-O-M-E-G-A-I-N-150.com.
[00:06:01.180 --> 00:06:04.782]  Of the information war, it's Alex Jones.
[00:06:07.040 --> 00:06:09.502]  All right, he's promised to come back in the New Year for longer.
[00:06:09.502 --> 00:06:12.183]  We've only got him for about 10-15 minutes right now.
[00:06:12.183 --> 00:06:14.325]  How amazing.
[00:06:14.325 --> 00:06:18.628]  Senator-elect Rand Paul going to the Senate.
[00:06:18.628 --> 00:06:21.710]  Senator, I just want to say congratulations to you.
[00:06:21.710 --> 00:06:22.390]  Well, thank you.
[00:06:22.390 --> 00:06:25.232]  It's good to be with you again, Alex.
[00:06:25.232 --> 00:06:31.456]  My first question is, they threw everything they could at you, one of the biggest demonization campaigns in modern history.
[00:06:31.456 --> 00:06:32.416]  It failed.
[00:06:32.416 --> 00:06:36.159]  What does that say about the dinosaur corporate establishment media?
[00:06:37.028 --> 00:06:44.115]  Well, I think it's amazing that, you know, not only do they throw the kitchen sink at us, they made up a few things along the way.
[00:06:44.115 --> 00:06:48.500]  But what I would say is that the mainstream media doesn't control the process anymore.
[00:06:48.500 --> 00:06:52.744]  I think there are so many other outlets where people are getting their news.
[00:06:52.744 --> 00:06:54.126]  Talk radio is a big one.
[00:06:54.126 --> 00:06:55.968]  The Internet's another big one.
[00:06:56.721 --> 00:07:18.733]  And I think also that the scare tactics of saying, oh, so-and-so is going to take away or cut off your grandmother's Social Security doesn't work anymore because people realize that if we do nothing, no one will have Social Security, no one will have Medicare because the politicians have basically spent all the money and there has to be some reform.
[00:07:18.733 --> 00:07:22.375]  Whether you like it or not, there's going to have to be some kind of entitlement reform.
[00:07:22.555 --> 00:07:26.098]  Well, moving quickly through these questions, again, you're gracious to join us.
[00:07:26.098 --> 00:07:37.229]  Obviously, I'm sure you know that Cass Sunstein at the White House, the Commissar, excuse me, Commissioner of the FCC said freedom without government control of media was an aberration.
[00:07:37.229 --> 00:07:41.513]  They're really moving in right now to try to curtail free speech.
[00:07:41.513 --> 00:07:43.335]  What's your concern with that, Senator?
[00:07:44.022 --> 00:07:58.581]  Well, it's funny, I've been concerned about the Fairness Doctrine ever since I was a teenager, and I can remember writing to a conservative leader back then, and the conservative leader said, oh, we need a Fairness Doctrine because the liberals are controlling all the radio and the television.
