[00:00:07.236 --> 00:00:07.977]  It's the fall of 2010.
[00:00:08.037 --> 00:00:20.351]  The entire planet is awakening to the one world government being established by the private central mega banks that have orchestrated the world financial collapse.
[00:00:21.131 --> 00:00:23.174]  I have been on the air for 15 years.
[00:00:24.315 --> 00:00:25.076]  I started out
[00:00:26.360 --> 00:00:47.379]  With very meager beginnings, but thanks to listener support, spreading the word about the broadcast, telling people about InfoWars.com, purchasing our books and videos, we've been able to build a truly independent alternative media platform that is challenging the false left-right paradigm.
[00:00:48.302 --> 00:00:53.167]  The population of the planet is in the beginning stages of a massive awakening.
[00:00:53.248 --> 00:00:58.433]  One of the biggest political realignments, not just in the United States, but worldwide we've ever seen.
[00:00:59.254 --> 00:01:03.339]  But the technocrats, with all their slick propaganda, are turning up the heat.
[00:01:04.160 --> 00:01:08.204]  That's why we are attempting to expand our operations.
[00:01:09.349 --> 00:01:13.070]  Just two and a half years ago we made the decision to move into these offices.
[00:01:13.271 --> 00:01:23.394]  We built the studio, we expanded our film production, our web news operations, and we were able to do it successfully thanks to your support.
[00:01:23.855 --> 00:01:32.558]  Now the media admits that billions of dollars a year of taxpayer money is funded to ABC, NBC, Fox, CNN, local stations,
[00:01:33.814 --> 00:01:38.117]  They now admit that much of their funding comes from the government and taxpayers.
[00:01:38.538 --> 00:01:39.859]  We don't have any of that funding.
[00:01:40.139 --> 00:01:41.420]  We don't have Fortune 500 sponsors.
[00:01:42.990 --> 00:01:47.273]  We don't have the big backing of News Corp like Glenn Beck does.
[00:01:47.393 --> 00:01:57.959]  We want to bring a true message of constitutionalism, a true message of liberty and freedom that is for national defense but not for invading innocent countries.
[00:01:58.460 --> 00:02:06.465]  That is no compromise on the Second Amendment and our borders and our sovereignty that pushes to get us out of the criminal United Nations.
[00:02:07.225 --> 00:02:13.910]  That's why I'm asking you, if you believe in what we've done, to support the Money Bomb coming up October 14th.
[00:02:14.450 --> 00:02:20.915]  I'm going to be broadcasting on the radio and at PrisonPlanet.tv 24 hours.
[00:02:21.055 --> 00:02:23.297]  We're going to air exclusive interviews.
[00:02:23.917 --> 00:02:27.979]  With many of the top researchers in the world during that 24-hour.
[00:02:28.019 --> 00:02:33.022]  We're going to have a live guest on, but also video interviews we're going to be playing.
[00:02:33.482 --> 00:02:36.164]  We already have a lot of folks showing huge interest in the money bomb.
[00:02:36.464 --> 00:02:39.866]  More than $20,000, without us even promoting it, has already been donated.
[00:02:40.486 --> 00:02:43.908]  The last two money bombs we did raised more than $300,000 apiece.
[00:02:46.149 --> 00:02:54.977]  We need to be strong and actually expand during these hard times so the true message of liberty can get out there and expose the controlled left and the controlled right.
[00:02:55.357 --> 00:03:00.162]  So I want to give you a tour of the studios we've built in the last two years.
[00:03:00.582 --> 00:03:05.066]  Because while we've been building this, we've been doing the radio, making films, doing the websites, doing interviews.
[00:03:05.086 --> 00:03:06.788]  So we're having to do all this at the same time.
[00:03:07.468 --> 00:03:11.312]  And it's taken us a long time, but we've gotten it done because we're not some big mega corporation.
[00:03:11.812 --> 00:03:16.396]  We are individual people and a crew of around 20 that have been able to bring this together.
[00:03:16.916 --> 00:03:23.822]  And so I just want to thank you for supporting us, for spreading the word about the show, for supporting our sponsors, for buying the books and DVDs.
[00:03:23.842 --> 00:03:27.405]  I also want to thank my crew, everyone here at the office, for the
[00:03:28.462 --> 00:03:37.867]  Dedication that they've shown because I'm the face of InfoWars, but without my crew and the great research and the tireless work they've put in, none of this would have been possible.
[00:03:37.887 --> 00:03:39.108]  So it's all of us working together.
[00:03:39.468 --> 00:03:46.452]  So now I'm going to take you through the old studios we built the last two years and show you the new studios and I'm going to ask for your help.
[00:03:47.639 --> 00:03:55.782]  We're standing inside the radio slash TV multicast center and we did all this with prosumer gear for about $100,000.
[00:03:56.162 --> 00:04:02.884]  That may sound like a lot to people, but that's on the total low end of what it takes to do what we're doing.
[00:04:03.424 --> 00:04:07.946]  Because remember, we're individual citizens who are learning and doing this on our own.
[00:04:08.386 --> 00:04:09.366]  We're not the globalist.
[00:04:09.846 --> 00:04:13.828]  That's why this is so original and so important and so effective.
[00:04:14.168 --> 00:04:18.249]  We're reaching millions of people a day now, not millions of people a week.
[00:04:18.609 --> 00:04:19.909]  That is so exciting.
[00:04:20.510 --> 00:04:21.530]  Now we're going to the next level.
[00:04:22.090 --> 00:04:27.492]  We moved from a 3,500 foot facility to the 7,400 foot facility.
[00:04:28.012 --> 00:04:31.533]  And in that time frame, we've done thousands of radio shows and interviews.
[00:04:32.193 --> 00:04:40.285]  We have produced Fall of the Republic and the Obama Deception that collectively have been seen more than 40 million times for free online.
[00:04:40.785 --> 00:04:43.269]  We couldn't have done that without your support.
[00:04:43.730 --> 00:04:46.794]  This is the tip of the spear, the front lines of the Info War.
[00:04:47.595 --> 00:04:52.482]  And really in the last year I've had to recognize that we're the best there is.
[00:04:52.502 --> 00:04:53.664]  I don't like that.
[00:04:53.784 --> 00:04:55.447]  I like just being one more soldier.
[00:04:55.827 --> 00:04:59.232]  But I've come to the realization that Info Wars is the front line.
[00:04:59.492 --> 00:05:03.478]  We're having the biggest effect so I have a responsibility to up our game.
[00:05:04.079 --> 00:05:07.320]  to really accelerate our resistance against the globalists.
[00:05:07.660 --> 00:05:16.704]  So again, please support the October 14, 2010 Money Bomb and remember everything that is produced by InfoWars.com and PresentPlanet.com.
[00:05:17.124 --> 00:05:23.767]  It's you out there that buys the DVDs so that we can then give it to everyone else for free and educate people.
[00:05:24.087 --> 00:05:29.169]  That's something the mega corporate giants would never do because they're authoritarian
[00:05:29.909 --> 00:05:30.649]  They're parasites.
[00:05:31.089 --> 00:05:32.630]  They're nothing but mercenaries.
[00:05:33.090 --> 00:05:35.371]  We're here spreading the true message of liberty.
[00:05:37.051 --> 00:05:43.013]  We're releasing on average two films a year and hundreds and hundreds of special video reports.
[00:05:43.674 --> 00:05:53.217]  The three-hour radio show six days a week and now we're trying to up the level of that to four films a year and two TV shows a week.
[00:05:55.162 --> 00:06:01.593]  Here you've got another one of the common areas where we've got video editing, webmasters, little carton demos, cubicle.
[00:06:03.240 --> 00:06:05.801]  We've got customer service right up here at the front.
[00:06:06.442 --> 00:06:08.883]  This is the InfoWars operation.
[00:06:09.443 --> 00:06:14.205]  We're here in Rob's little cubicle where he's done such a great job and gotten so much information out.
[00:06:15.786 --> 00:06:22.769]  That's one reason we expanded so we can move our video editors into a little bit bigger areas just so they can store all the hard drives and videotapes.
