[00:00:00.269 --> 00:00:08.394]  Alex Jones on the GCN Radio Network.
[00:00:08.534 --> 00:00:21.902]  Alright, ladies and gentlemen, we're now simulcasting the second half of this Monday, June 21st, 2010, radio transmission at PrisonPlanet.tv.
[00:00:21.982 --> 00:00:26.445]  So if you want to see us in living color, not just hear us on the radio, go over to PrisonPlanet.tv.
[00:00:28.066 --> 00:00:31.410]  Of course, the other websites are Infowars.com and PrisonPlanet.com.
[00:00:31.730 --> 00:00:43.804]  Rahm Emanuel expected to quit White House, stepping down as corruption scandals intensify surrounding him, like BP paying for his million-dollar-a-year apartment for many, many years.
[00:00:44.465 --> 00:00:45.547]  Or million-dollar apartment.
[00:00:46.467 --> 00:00:46.807]  U.S.
[00:00:46.967 --> 00:00:51.690]  Israeli warships and Suez may be prelude to face off with Iran.
[00:00:51.990 --> 00:00:53.951]  This out of the Israeli National News.
[00:00:54.551 --> 00:01:02.575]  Arutz Shaviv, or Shiva, continuing, that's also in her writs, as well as her Jerusalem Post, are reporting on the same development.
[00:01:02.915 --> 00:01:03.796]  Armada of U.S.
[00:01:03.836 --> 00:01:06.237]  and Israeli warships head for Iran.
[00:01:06.257 --> 00:01:07.517]  More than 12 U.S.
[00:01:07.577 --> 00:01:10.319]  and Israeli warships, including an aircraft carrier,
[00:01:10.879 --> 00:01:15.983]  Passed through the Suez Canal last Friday and are headed for the Red Sea, according to eyewitnesses.
[00:01:16.343 --> 00:01:16.723]  The U.S.
[00:01:16.763 --> 00:01:22.187]  battleships were the largest to have crossed the canal in many years, reported a London-based newspaper.
[00:01:22.587 --> 00:01:32.534]  The Israeli newspaper Haaretz reported Egyptian opposition members criticized the government for cooperating with the United States and Israeli forces in allowing the passage of the ships through the Egyptian territorial waters.
[00:01:32.854 --> 00:01:36.357]  The Red Sea is the most direct route to the Persian Gulf and the Mediterranean.
[00:01:37.645 --> 00:01:44.909]  Meanwhile, we have an InfoWars.com article that quotes Fars News Agency and Press TV.
[00:01:45.390 --> 00:01:49.392]  Iran threatens to stop Western ships if subjected to cargo inspection.
[00:01:49.732 --> 00:01:50.553]  We warn the U.S.
[00:01:50.593 --> 00:02:05.322]  and certain adventurous countries that if they are tempted to inspect Iranian air and ship cargoes, we will take tough action against their ships in the Persian Gulf and the Sea of Oman, said the Iranian parliament speaker.
[00:02:06.162 --> 00:02:07.983]  And it continues, ladies and gentlemen.
[00:02:11.765 --> 00:02:14.186]  We'll be discussing that with Max Keiser.
[00:02:14.906 --> 00:02:22.390]  Also, we've got an article up on InfoWars.com and PrisonPlanet.com that I'm asking listeners to take action on today.
[00:02:23.911 --> 00:02:45.614]  Instead of letting Bobby Jindal complain and Haley Barber complain of Mississippi, instead of just letting the governor of Florida complain about the feds blocking now, for 60 plus days, relief barges, foreign countries, the Dutch, the Norwegians and others, and the Coast Guard going out and blocking state vessels from even putting up berms in front of estuaries,
[00:02:46.175 --> 00:02:50.999]  We need to have the states declare 9th and 10th Amendment powers, and go out and just push the Coast Guard aside.
[00:02:51.359 --> 00:03:14.978]  Say, look, you're engaged in treason, you don't have jurisdiction, for 10 miles into the estuaries and the wetlands, the Coast Guard says they now control the state land, and aren't letting people fish, they aren't letting them remove oil, because you've got to have a permit to basically wipe your nose in this country, because the Fed mafia has to control everything, and contracts to clean it up can only be given to White House cronies like Halliburton and others.
[00:03:16.598 --> 00:03:17.818]  But that's a side issue.
[00:03:18.739 --> 00:03:41.826]  We know now from the Coast Guard hearings with the survivors of the rigs and the head engineers, not just with BP, but Halliburton and the other companies that were out there, there were upwards of five companies working as contractors on the rig, that they told two months before, a month before, two weeks before, a week before, a few days before, and hours before, that's BBC, Associated Press, we have them all listed on my websites,
[00:03:42.426 --> 00:03:55.989]  That it was going to blow up, the well was going to come in and ignite, it was full of methane, gas, and other variants of natural gas, that they were dumping seawater into the 30,000 foot hole, never before done to supposedly pressurize it.
[00:03:56.329 --> 00:04:03.770]  She water weighs, what, you know, nine pounds a gallon instead of 15, 16, 17 for the mud or concrete they inject in.
[00:04:05.111 --> 00:04:07.251]  And I've gone and researched the engineering on this.
[00:04:08.231 --> 00:04:11.472]  The engineers said this will blow up, but BP said go ahead and do it.
[00:04:12.895 --> 00:04:16.838]  That's because they are the key globalist funding the carbon tax.
[00:04:17.119 --> 00:04:24.065]  Their whole carbon tax is in trouble and there is no doubt this is a strategic attack to bring that carbon tax in.
[00:04:24.565 --> 00:04:26.327]  Now we'll see if Max Keiser agrees with us.
[00:04:26.787 --> 00:04:33.613]  He of course brought out the fact that Goldman Sachs and others engaged a few months ago in financial terrorism with that thousand point ten minute drop.
[00:04:33.933 --> 00:04:36.335]  Later it came out that indeed they were in there manipulating.
[00:04:37.356 --> 00:04:39.398]  But I haven't asked Max his view on this.
[00:04:39.438 --> 00:04:44.281]  We'll see what he thinks about the BP slash Obama situation and where this is going.
[00:04:44.541 --> 00:04:50.065]  Then we're going to talk to Max about the Iran situation and other things that the BP disaster is a distraction for.
[00:04:50.526 --> 00:04:53.708]  And then we'll talk about something that even bowled me over.
[00:04:54.773 --> 00:05:04.962]  The FCC had said they wanted to regulate the internet, and tax it, and tax alternative news, to fund a quote, government megaphone, government media, and to fund old line media that's dying.
[00:05:05.682 --> 00:05:06.883]  That had been in the old proposal.
[00:05:07.263 --> 00:05:21.816]  They came out Friday, it's in the AP, Financial Times of London, they have links to the FCC proposal, which is what they want to implement, a black box in your house that watches everything you do on TV and internet, all wired through it, whether it's cable, satellite, doesn't matter,
[00:05:23.534 --> 00:05:26.526]  And it surveils you, and it blocks what you can get.
[00:05:27.580 --> 00:05:40.730]  And then it takes over the ISPs, we already knew about that, with cyber security, where all ISPs, with a hundred or more customers, that's all ISPs out there, Internet Service Providers, everything must be wired through on their end in government equipment.
[00:05:41.051 --> 00:05:54.761]  I work in radio, in 96 under the Telecommunications Act, they said that all radio and TV stations, the final piece of equipment at the transmitter, and I know engineers hate them because they add noise into the chain on radio and TV,
[00:05:55.902 --> 00:06:09.270]  Because you've got to put this federal piece that's shortwave radio controlled where they can dial in and take over and just put a red screen up via computer command on TV and have shortwave broadcast with government announcements on it.
[00:06:09.790 --> 00:06:10.670]  But I digress.
[00:06:11.291 --> 00:06:14.693]  All ISPs, your home, everything will have this control box.
[00:06:15.593 --> 00:06:17.974]  Let's now go to Max Keiser Report.
[00:06:18.034 --> 00:06:25.617]  He has a program on Russia Today, BBC, Press TV, Radio in London, and this guy is everywhere.
[00:06:25.937 --> 00:06:26.857]  Needs no introduction.
[00:06:27.298 --> 00:06:29.578]  Here with us, and he'll be with us a little bit into the next hour.
[00:06:29.898 --> 00:06:31.519]  Max Keiser, great to have you here with us.
[00:06:32.319 --> 00:06:34.120]  Alex Jones, good to be back!
[00:06:34.500 --> 00:06:35.901]  Well, you just heard that rant.
[00:06:35.981 --> 00:06:36.821]  What's your take on it?
[00:06:38.222 --> 00:06:44.304]  Well, to follow up on what we talked about back on the 1,000-point crash on May 6th,
[00:06:45.642 --> 00:06:49.324]  On your show, we talked about it in terms of being a domestic financial terrorist attack.
[00:06:49.685 --> 00:06:56.049]  Now, since that time, just on June 17th, I'm reading a report here, there was another of these attacks.
[00:06:56.069 --> 00:06:59.851]  The Washington Post stock doubled in five minutes.
