[00:00:20.234 --> 00:00:20.794]  Welcome back.
[00:00:20.834 --> 00:00:22.015]  Thank you for joining us today.
[00:00:25.197 --> 00:00:33.143]  We are now simulcasting the syndicated radio broadcast at PrisonPlanet.TV for PrisonPlanet.TV viewers.
[00:00:34.520 --> 00:00:43.025]  I want to go over several important news developments, and then we're going to continue with your phone calls throughout the broadcast.
[00:00:43.065 --> 00:00:51.910]  Steve, Chris, Matt, Tim, and many others that are holding the toll-free number to join us on air is 1-800-259-9231.
[00:00:53.871 --> 00:01:00.035]  Now, Barack Obama became the first president to ever chair the U.N.
[00:01:00.055 --> 00:01:00.875]  Security Council.
[00:01:01.596 --> 00:01:03.297]  We cover this in my film, Fall of the Republic.
[00:01:04.039 --> 00:01:07.220]  We have a little clip of CNN admitting this is what really runs the U.N.
[00:01:07.640 --> 00:01:08.581]  It has all the power.
[00:01:08.681 --> 00:01:10.642]  The General Assembly is a debating club.
[00:01:11.262 --> 00:01:16.004]  It violates, what, Article 1, Section 9 of the U.S.
[00:01:16.144 --> 00:01:17.044]  Constitution.
[00:01:17.685 --> 00:01:22.467]  In fact, guys, give me one of the, of all the republics, because I want to read the back.
[00:01:22.487 --> 00:01:24.107]  The back has a section of the Constitution.
[00:01:24.427 --> 00:01:28.609]  I believe my memory serves, but I want to make sure that I am correct about that.
[00:01:28.629 --> 00:01:31.490]  I mean, I know it violates the Constitution.
[00:01:31.510 --> 00:01:32.891]  I'm going to give you the exact subsection.
[00:01:34.636 --> 00:01:36.497]  They did that to set the precedent.
[00:01:36.537 --> 00:01:44.761]  That's why they had Kissinger and all these global diplomats and world leaders there, and they were just gasped when he became the head of the United Nations.
[00:01:45.401 --> 00:01:46.662]  Because that was illegal.
[00:01:47.202 --> 00:01:48.043]  That was treasonous.
[00:01:48.083 --> 00:01:50.204]  That was treacherous.
[00:01:51.985 --> 00:01:52.485]  What happened?
[00:01:54.122 --> 00:01:54.963]  And it's the same thing.
[00:01:55.003 --> 00:02:03.589]  You've got all these members of the Kenyan government, of their parliament coming out, his grandmother saying, yes, he was born here, born in this village.
