[00:00:03.308 --> 00:00:04.688]  We're live.
[00:00:04.708 --> 00:00:06.329]  It is Tuesday, the 21st day of September 2010.
[00:00:33.888 --> 00:00:41.911]  Coming up in this third hour, Judith McGeary, an attorney and a small family farmer, will be joining us.
[00:00:42.371 --> 00:00:49.334]  She's one of the most well-researched and outspoken critics of the legislation they're trying to pass this week.
[00:00:50.915 --> 00:00:52.236]  And I've read the legislation.
[00:00:52.296 --> 00:01:00.439]  It basically could be interpreted to say that you can't make strawberry jam yourself and even give it to friends and family or sell it.
[00:01:01.910 --> 00:01:13.798]  Or you can't go out in the backyard and pick cucumbers and can them and make them as a batch of pickles to sell.
[00:01:15.720 --> 00:01:20.503]  And this is designed by big mega agribusiness to shut down the small family farm.
[00:01:20.923 --> 00:01:27.008]  They've changed the IRS rules where they basically increase the taxes on what they call hobby farms.
[00:01:27.902 --> 00:01:34.306]  If your farm or ranch isn't making money, then they increase the tax rate and get rid of all the tax exemptions.
[00:01:34.887 --> 00:01:37.509]  That was changed, what, four years ago.
[00:01:38.810 --> 00:01:41.992]  And most farms and ranches are hobby farms.
[00:01:42.722 --> 00:02:09.073]  You know, daddy and mama work in town at the hardware store, or at the prison, or at the power plant, or at the university, but then they've normally got a small piece of the family farm that, you know, great-granddaddy bought a hundred years before, and over time they've had to sell off most of it, but they may have 20, 30, 40 acres, sometimes just a few acres, and government's coming in with zoning and shutting down those small farms nationwide, and we've covered that.
[00:02:09.853 --> 00:02:19.518]  And they're coming in and saying, if your farm doesn't make money, we're going to increase the taxes on you and not give you your farming tax deductions.
[00:02:23.058 --> 00:02:25.799]  I know that's even going on with my own family.
[00:02:27.360 --> 00:02:34.964]  And so then, once they've run your farm or ranch out of business, they can then raise the property taxes on your land.
[00:02:35.304 --> 00:02:38.186]  It's no longer having an agriculture exemption at the state level.
[00:02:39.026 --> 00:02:41.608]  Once the feds have made that designation, then you lose your property.
[00:02:42.634 --> 00:02:57.198]  And so they're doing everything they can on record to shut down the family farms and ranches that don't really make money on average, but allow people to continue that lifestyle, continue that culture, continue that connection to the land.
[00:02:57.518 --> 00:03:07.701]  And it does produce a lot of the produce and a lot of the meat, beef, poultry, pork, that ends up on our dinner tables, on our breakfast tables, on our lunch tables.
[00:03:09.817 --> 00:03:16.141]  But getting rid of the tax exemptions at the federal and state level, on top of all the new regulations and harassment.
[00:03:16.381 --> 00:03:19.903]  I mean, take the Real ID for the American people.
[00:03:19.943 --> 00:03:28.688]  That's designed to track everywhere you work and what you do, ultimately forcing everyone into automatic cash transfer, check transfer to the bank.
[00:03:29.088 --> 00:03:34.071]  And then the feds, along what I call the Finnish model, can directly take the money out of your bank account.
[00:03:34.710 --> 00:03:50.728]  When I talked about the Finnish model yesterday I specifically was talking about they were the first country I saw where they began to give the government full control over your bank account and try to force employers to deposit checks by automatic transfer and then the government could just
[00:03:51.977 --> 00:03:55.639]  Uh, deduct new taxes directly out of your bank account.
[00:03:56.439 --> 00:04:03.263]  Similar systems are used worldwide, where you'll notice every year there's new fees on your cable modem, on your cable service.
[00:04:03.883 --> 00:04:07.745]  Uh, new fees on your cell phone service that's just added.
[00:04:08.205 --> 00:04:09.486]  Congress doesn't pass it.
[00:04:09.946 --> 00:04:16.149]  It's just a regulatory system, and that's designed to track and trace and control you and, uh, further, uh, destroy the economy.
[00:04:17.319 --> 00:04:41.193]  Consolidate power, but it's the same thing with the premises ID animal ID You got to pay depending on the regulation you look at ten to fourteen dollars per tag And you've got to have the same tag for cows Chickens goats you name it well a chicken is not worth fourteen dollars on average But then if you look at Tyson chicken who lobbied for it, and they have a world
[00:04:42.566 --> 00:04:50.230]  Chicken near Monopoly, more than half the market globally, they could have one tag per 10,000 chickens.
[00:04:50.290 --> 00:04:51.790]  But you've got to have a tag per chicken.
[00:04:52.051 --> 00:04:52.971]  Puts you out of business.
[00:04:53.411 --> 00:04:54.632]  Vertically integrates the market.
[00:04:55.412 --> 00:04:56.253]  That's all coming up.
[00:04:56.293 --> 00:04:56.733]  Stay with us.
[00:04:59.107 --> 00:05:13.573]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:05:14.573 --> 00:05:18.255]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:05:19.266 --> 00:05:31.279]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:05:32.020 --> 00:05:39.308]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:05:39.989 --> 00:05:49.581]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:05:50.362 --> 00:05:53.627]  As well, we are always ready to answer any questions you may have.
[00:05:54.287 --> 00:05:57.411]  That's www.SilverLungs.com
[00:05:57.972 --> 00:06:02.213]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:06:02.533 --> 00:06:03.133]  Number one.
[00:06:03.453 --> 00:06:06.594]  New climate legislation could easily double or triple your electric bill.
[00:06:06.874 --> 00:06:07.434]  Number two.
[00:06:07.734 --> 00:06:12.276]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:06:12.616 --> 00:06:13.056]  It's true.
[00:06:13.356 --> 00:06:17.917]  Total government control of electricity in the name of smart grid technology is coming.
[00:06:18.237 --> 00:06:18.777]  Number three.
[00:06:19.057 --> 00:06:22.338]  In some areas of the country, the power grid is dangerously overloaded.
[00:06:22.638 --> 00:06:26.339]  And now, new socialist legislation is only compounding the problem.
[00:06:26.559 --> 00:06:27.100]  Number 4.
[00:06:27.340 --> 00:06:29.702]  Dangerous weather is always a threat to local grids.
[00:06:30.102 --> 00:06:33.486]  Every year, thousands of families lose their power from weather-related outages.
[00:06:33.786 --> 00:06:34.326]  Number 5.
[00:06:34.587 --> 00:06:38.510]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:06:38.730 --> 00:06:43.495]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:06:43.775 --> 00:06:47.797]  You can get more information at www.mysolarbackup.com.
[00:06:47.938 --> 00:06:49.498]  That's mysolarbackup.com.
[00:06:49.739 --> 00:06:51.820]  Remember, the government doesn't own the sun.
[00:06:51.980 --> 00:06:55.182]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:57.703 --> 00:06:58.464]  Listen up, friends.
[00:06:58.504 --> 00:07:00.445]  This is Alex Jones with key information.
[00:07:00.845 --> 00:07:04.367]  The mainstream media is now admitting that we're going into a depression.
[00:07:04.627 --> 00:07:07.269]  Don't be dependent on the government for you and your family.
[00:07:07.509 --> 00:07:12.511]  You need to get your own supply of high-quality, storable foods from efoodsdirect.com.
[00:07:12.872 --> 00:07:14.392]  They're the best company out there.
[00:07:14.632 --> 00:07:18.534]  The longest continually operating, with a ton of great food to choose from.
[00:07:18.814 --> 00:07:20.855]  It's all fresh, made on a monthly basis.
[00:07:21.155 --> 00:07:24.177]  Not some old cruddy food they're selling you like some of the other guys.
[00:07:24.497 --> 00:07:26.298]  Try their new evacuation pack.
[00:07:26.458 --> 00:07:28.779]  A two-week supply of delicious, easy-to-fix food.
[00:07:29.019 --> 00:07:31.140]  It comes with all the equipment you need to prepare it.
[00:07:31.400 --> 00:07:32.401]  What we've got here is
[00:08:01.189 --> 00:08:04.371]  Failure to communicate.
[00:08:04.612 --> 00:08:07.814]  Some men you just can't reach.
[00:08:08.694 --> 00:08:13.878]  So you get what we had here last week, which is the way he wants it.
[00:08:13.938 --> 00:08:15.239]  Well, he gets it.
[00:08:15.319 --> 00:08:23.785]  I don't like it any more than you do.
[00:08:24.146 --> 00:08:26.427]  Waging war on corruption.
[00:08:26.788 --> 00:08:28.169]  It's Alex Jones.
[00:08:32.569 --> 00:08:33.590]  Welcome, my friends.
[00:08:33.610 --> 00:08:37.074]  It is Tuesday, the 21st day of September 2010.
[00:08:37.754 --> 00:08:48.866]  We do have Judith McGeary, attorney and small family farm owner, one of the leading researchers and experts valiantly fighting the UN written
[00:08:50.114 --> 00:08:51.055]  We're good to go.
[00:09:18.376 --> 00:09:18.696]  I don't
[00:09:41.144 --> 00:10:08.646]  for you and they have undercover police and don't allow it to shut it down like we were down there trying to buy cocaine or something uh... they're now shutting down the cheese makers are shutting down people selling tomatoes on street corners uh... from uh... oklahoma to north carolina and just the last week i've seen articles where they're going the people who have been on their land for decades with small truck farms uh... growing uh... lettuce and tomatoes and things like that squash
[00:10:09.386 --> 00:10:13.850]  And they're shutting them down and just saying, we don't care of your zone to be able to grow this.
[00:10:13.870 --> 00:10:14.671]  You're not going to do it.
[00:10:15.532 --> 00:10:19.976]  And if you study the Soviet model of total control, that's what's happening.
[00:10:20.657 --> 00:10:31.126]  The city of Austin won't fill the potholes, has passed giant carbon taxes, $2.6 billion in the next three years to be phased in, larger than all other taxes combined.
[00:10:31.727 --> 00:10:33.689]  They're busy with secret undercover police.
[00:10:34.409 --> 00:10:34.849]  I don't know.
[00:10:55.362 --> 00:10:57.825]  Everything you're doing is being watched all over the country.
[00:10:58.325 --> 00:11:11.359]  Cities like Dallas and others are passing giant taxes where you get huge prison sentences if you don't get a permit and then pay huge fees to have a garage sale or to have a
[00:11:14.738 --> 00:11:19.222]  Little stall at, say, the gun show or the bazaar or the flea market.
