[00:00:00.069 --> 00:00:00.990]  Political talk.
[00:00:01.571 --> 00:00:04.434]  Alex Jones on the GCN Radio Network.
[00:00:06.095 --> 00:00:11.621]  We are live now eight minutes into the second hour on this 25th day of February 2010.
[00:00:11.661 --> 00:00:13.723]  It is Thursday.
[00:00:13.743 --> 00:00:17.287]  Websites are InfoWars.com and PrisonPanda.com.
[00:00:18.814 --> 00:00:26.579]  For the rest of the hour, we are joined by Attorney Philip J. Berg, a former Deputy Attorney General of Pennsylvania, former candidate for governor of the U.S.
[00:00:27.400 --> 00:00:39.429]  Senate in Democratic primaries, former chair of the Democratic Party in Montgomery County, former member of the Democratic State Committee, an attorney with offices in Montgomery County, PA, and an active practice in Philadelphia, PA.
[00:00:39.509 --> 00:00:45.793]  Phil is a paid live member of the NAACP and voluntary fire police for 27 years.
[00:00:45.833 --> 00:00:47.254]  His website is Obamacrimes.com.
[00:00:49.858 --> 00:01:06.106]  And we've had Jerome Corsi on about this day one, a year and a half ago, two years ago now, but the first person to really research this, because he was concerned about it, back when it was in the Democratic primaries, I guess almost two years ago, or two years ago, yeah, almost two years ago, was Phil Byrd.
[00:01:07.106 --> 00:01:08.466]  And he just asked the question.
[00:01:09.107 --> 00:01:11.327]  I mean, we know this guy's name was Barry Sitaro.
[00:01:11.407 --> 00:01:12.948]  We know he lived in foreign countries.
[00:01:13.008 --> 00:01:15.109]  We know he went to Madrasas.
[00:01:15.509 --> 00:01:17.509]  We're not saying that's a bad thing to go to Madrasas.
[00:01:17.529 --> 00:01:20.430]  The point is, the media would say it's a wild conspiracy theory.
[00:01:20.470 --> 00:01:21.871]  His name wasn't Barry Sitaro.
[00:01:22.171 --> 00:01:23.311]  Then they sealed all his records.
[00:01:23.351 --> 00:01:24.732]  No, his name was Barry Sitaro.
[00:01:24.752 --> 00:01:25.472]  That's now admitted.
[00:01:26.414 --> 00:01:28.855]  The point is they're lying about things that are admitted.
[00:01:29.416 --> 00:01:31.797]  Then we got a certificate of a birth certificate.
[00:01:32.337 --> 00:01:36.019]  But more and more, and this is what I've always focused on, it's the fake names.
[00:01:37.360 --> 00:01:53.027]  And it's being adopted in Indonesia because there's only a few countries, like England and Israel and a few others, where you can have dual citizenship and still be allowed to be a U.S.
[00:01:53.087 --> 00:01:54.808]  citizen, much less the president.
[00:01:58.817 --> 00:02:01.559]  Now Glenn Beck is attacking Berg every week.
[00:02:02.239 --> 00:02:04.180]  And again, I'm tired of going after Glenn Beck.
[00:02:04.241 --> 00:02:10.404]  It's just, he was in the news saying global warming was real in USA Today, Sunday, on the weekend edition.
[00:02:11.065 --> 00:02:17.189]  I've seen him put Phil Berg next to Van Jones and then next to Debra Medina and say all these people are bad.
[00:02:19.410 --> 00:02:22.072]  I mean, just incredible behavior.
[00:02:23.126 --> 00:02:32.168]  So that tells me they're desperate if now mainline talk show host, not just Beck, but other big Republicans are attacking Phil Berg.
[00:02:33.868 --> 00:02:36.389]  In my experience, Phil Berg is somebody who wants the truth.
[00:02:36.489 --> 00:02:41.890]  Yes, he called for an investigation of 9-11 and the deadly dust, just like six of the ten commissioner members did.
[00:02:42.250 --> 00:02:43.510]  So he gets demonized for that.
[00:02:44.510 --> 00:02:47.591]  And they say, oh, well, he was supporting Hillary's why he did this.
[00:02:47.611 --> 00:02:48.251]  This is Beck.
[00:02:49.391 --> 00:02:52.072]  No, he did this because he was concerned with the Democratic Party.
[00:02:52.112 --> 00:02:52.772]  He's a Democrat.
[00:02:53.806 --> 00:03:02.233]  And I now, from the preponderance of evidence, it's 60-40.
[00:03:02.293 --> 00:03:04.415]  It's leaning towards him really not being eligible.
[00:03:04.615 --> 00:03:05.957]  And then you get into the math of it.
